Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,83.36,84.07,83.21,84.03,482000,84.03
2015-02-12,83.55,83.71,83.15,83.36,613500,83.36
2015-02-11,83.11,83.57,82.64,83.25,554900,83.25
2015-02-10,82.24,82.98,81.90,82.89,400700,82.89
2015-02-09,81.94,81.98,81.35,81.82,491900,81.82
2015-02-06,82.98,83.00,81.66,81.96,547000,81.96
2015-02-05,83.69,83.72,82.56,83.23,735900,82.90
2015-02-04,83.20,83.78,82.84,83.60,1030500,83.26
2015-02-03,81.50,82.76,80.92,82.69,1219400,82.36
2015-02-02,81.23,82.08,80.15,82.08,1519900,81.75
2015-01-30,82.07,82.41,80.91,80.92,759500,80.59
2015-01-29,82.03,82.72,81.62,82.67,546900,82.34
2015-01-28,82.37,82.71,81.51,81.61,621800,81.28
2015-01-27,81.93,82.35,81.32,82.02,437200,81.69
2015-01-26,82.11,82.77,81.90,82.75,820500,82.42
2015-01-23,83.16,83.31,81.90,81.99,582700,81.66
2015-01-22,82.49,83.40,81.60,83.39,717400,83.05
2015-01-21,81.99,82.34,81.22,82.29,678900,81.96
2015-01-20,82.49,82.69,81.67,82.49,690400,82.16
2015-01-16,80.83,82.39,80.71,82.34,675200,82.01
2015-01-15,80.62,81.14,80.19,80.82,606900,80.49
2015-01-14,79.07,80.36,78.96,80.17,602700,79.85
2015-01-13,79.99,80.68,79.10,79.67,632000,79.35
2015-01-12,79.74,80.25,79.14,79.49,486600,79.17
2015-01-09,80.00,80.26,79.36,79.72,992400,79.40
2015-01-08,78.90,80.22,78.70,79.98,832800,79.66
2015-01-07,78.00,78.46,77.39,78.43,542600,78.11
2015-01-06,78.50,78.69,77.44,77.56,700200,77.25
2015-01-05,78.69,79.18,78.05,78.21,553100,77.90
2015-01-02,78.91,79.19,78.45,79.09,538300,78.77
2014-12-31,79.58,80.14,78.79,78.81,470200,78.49
2014-12-30,79.99,80.46,79.62,79.64,368000,79.32
2014-12-29,80.07,80.63,80.01,80.10,311500,79.78
2014-12-26,80.55,80.73,80.13,80.18,249200,79.86
2014-12-24,80.19,80.97,80.14,80.16,224900,79.84
2014-12-23,80.03,80.74,79.39,80.53,849000,80.21
2014-12-22,78.37,79.05,78.16,78.68,472500,78.36
2014-12-19,78.37,78.87,78.18,78.45,1060700,78.13
2014-12-18,77.66,78.42,77.16,78.38,559200,78.06
2014-12-17,75.95,77.25,75.37,77.08,813500,76.77
2014-12-16,75.45,76.78,74.84,75.83,793900,75.52
2014-12-15,76.26,76.94,75.51,75.93,599800,75.62
2014-12-12,76.45,77.30,75.96,76.00,597800,75.69
