Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,60.48,61.76,60.22,61.75,117400,61.75
2015-02-12,60.52,60.93,60.14,60.61,197000,60.61
2015-02-11,60.19,60.72,59.81,60.28,121400,60.28
2015-02-10,59.24,60.34,59.18,60.23,185100,60.23
2015-02-09,59.16,59.30,58.24,58.50,110100,58.50
2015-02-06,60.55,60.96,58.94,59.17,80000,59.17
2015-02-05,59.90,60.33,59.69,60.31,155700,60.31
2015-02-04,59.29,59.97,59.20,59.81,151600,59.81
2015-02-03,57.71,59.60,57.65,59.53,116200,59.53
2015-02-02,57.72,57.72,56.38,57.49,96500,57.49
2015-01-30,57.83,58.41,57.31,57.45,109300,57.45
2015-01-29,58.10,58.38,57.59,58.29,145900,58.29
2015-01-28,58.76,59.01,58.05,58.10,102400,58.10
2015-01-27,58.47,59.30,58.27,58.62,101800,58.62
2015-01-26,58.61,59.52,58.05,59.06,79300,59.06
2015-01-23,59.12,59.34,58.50,58.57,69100,58.57
2015-01-22,57.91,59.43,57.53,59.34,151200,59.34
2015-01-21,57.83,58.39,57.37,57.64,93000,57.64
2015-01-20,59.68,59.68,58.03,58.11,169100,58.11
2015-01-16,58.37,59.60,57.88,59.55,174900,59.55
2015-01-15,58.62,58.71,57.85,58.38,171100,58.38
2015-01-14,57.47,58.38,57.41,58.12,113500,58.12
2015-01-13,57.64,58.94,57.37,58.29,158500,58.29
2015-01-12,56.63,57.30,56.35,57.28,378800,57.28
2015-01-09,56.49,56.71,55.83,56.65,123000,56.65
2015-01-08,55.00,56.53,54.96,56.50,129100,56.50
2015-01-07,54.03,54.80,53.38,54.72,198000,54.72
2015-01-06,54.60,54.60,53.12,53.51,639400,53.51
2015-01-05,54.89,54.93,53.81,54.41,238900,54.41
2015-01-02,56.42,56.42,54.89,55.48,155400,55.48
2014-12-31,56.79,56.89,56.00,56.02,92900,56.02
2014-12-30,56.92,57.31,56.43,56.86,102900,56.86
2014-12-29,56.93,57.55,56.67,57.17,120200,56.97
2014-12-26,57.12,57.51,56.44,57.01,65300,56.82
2014-12-24,57.05,57.30,56.79,56.92,139700,56.73
2014-12-23,57.20,57.34,56.83,56.86,90600,56.67
2014-12-22,57.01,57.90,56.91,57.12,96200,56.93
