Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,8.06,8.25,8.00,8.19,750800,7.74
2015-02-12,7.87,8.01,7.77,7.98,377300,7.54
2015-02-11,7.87,7.89,7.55,7.79,362000,7.36
2015-02-10,7.77,7.89,7.55,7.82,506400,7.39
2015-02-09,7.33,7.65,7.24,7.49,508000,7.08
2015-02-06,7.25,7.34,7.08,7.22,422400,6.82
2015-02-05,7.00,7.33,6.88,6.98,501900,6.60
2015-02-04,7.02,7.07,6.73,6.83,215200,6.45
2015-02-03,6.65,7.15,6.65,7.00,338900,6.62
2015-02-02,6.78,7.14,6.60,6.64,278400,6.28
2015-01-30,6.33,6.74,6.25,6.70,165300,6.33
2015-01-29,6.16,6.35,6.03,6.30,174500,5.95
2015-01-28,6.63,6.64,6.12,6.22,260900,5.88
2015-01-27,6.67,6.67,6.48,6.54,135200,6.18
2015-01-26,6.62,6.78,6.52,6.55,183300,6.19
2015-01-23,6.51,6.72,6.36,6.51,318800,6.15
2015-01-22,6.32,6.52,6.21,6.36,284400,6.01
2015-01-21,5.92,6.24,5.88,6.18,257900,5.84
2015-01-20,5.58,5.85,5.42,5.80,224700,5.48
2015-01-16,5.24,5.54,5.24,5.49,174900,5.19
2015-01-15,5.58,5.66,5.21,5.21,134200,4.92
2015-01-14,5.39,5.49,5.21,5.49,138600,5.19
2015-01-13,5.39,5.40,5.22,5.39,181000,5.09
2015-01-12,5.54,5.54,5.32,5.38,122600,5.08
2015-01-09,5.64,5.75,5.50,5.56,164300,5.25
2015-01-08,5.24,5.56,5.19,5.56,294700,5.25
2015-01-07,5.20,5.27,5.15,5.19,105700,4.90
2015-01-06,5.29,5.34,5.15,5.15,164600,4.87
2015-01-05,5.47,5.50,5.17,5.28,158700,4.99
2015-01-02,5.15,5.65,5.10,5.59,292500,5.28
2014-12-31,4.98,5.37,4.80,5.37,566800,5.07
2014-12-30,5.06,5.14,4.91,4.99,445600,4.72
2014-12-29,5.02,5.19,5.01,5.10,415700,4.82
2014-12-26,5.22,5.22,5.04,5.05,204500,4.77
2014-12-24,5.26,5.33,5.11,5.22,161000,4.93
2014-12-23,5.40,5.41,5.25,5.34,391300,5.05
2014-12-22,5.58,5.58,5.40,5.40,245100,5.10
2014-12-19,5.58,5.63,5.48,5.59,382700,5.28
2014-12-18,6.01,6.01,5.50,5.55,649000,5.25
2014-12-17,5.55,6.00,5.55,5.87,212600,5.55
2014-12-16,5.50,5.79,5.44,5.55,298200,5.25
2014-12-15,5.69,5.88,5.50,5.52,378400,5.22
2014-12-12,5.64,5.92,5.60,5.75,175000,5.43
2014-12-11,5.61,5.94,5.60,5.64,208000,5.33
2014-12-10,5.83,5.90,5.56,5.65,434500,5.34
2014-12-09,5.59,5.98,5.50,5.94,506100,5.61
2014-12-08,6.02,6.08,5.38,5.63,844300,5.32
2014-12-05,6.16,6.60,6.10,6.13,653400,5.79
2014-12-04,7.26,7.30,6.12,6.21,1009600,5.87
2014-12-03,7.77,7.88,7.28,7.32,610100,6.92
2014-12-02,8.11,8.14,7.56,7.86,491500,7.43
2014-12-01,8.54,8.59,8.01,8.14,504300,7.69
2014-11-28,8.72,8.79,8.23,8.54,448600,8.07
2014-11-26,9.15,9.15,8.85,8.90,309700,8.41
2014-11-25,9.10,9.34,9.08,9.10,220900,8.60
2014-11-24,9.15,9.22,9.05,9.12,176700,8.62
2014-11-21,9.45,9.45,9.10,9.15,303300,8.65
2014-11-20,9.28,9.45,9.21,9.45,158400,8.93
2014-11-19,9.36,9.36,9.18,9.33,158100,8.82
2014-11-18,9.85,9.85,9.15,9.21,391500,8.70
2014-11-17,9.90,10.00,9.60,9.85,444800,9.31
2014-11-14,10.58,10.64,10.11,10.31,555700,9.26
2014-11-13,10.68,10.72,10.56,10.56,360400,9.49
2014-11-12,10.70,10.70,10.62,10.65,157200,9.57
2014-11-11,10.55,10.70,10.50,10.70,134500,9.61
2014-11-10,10.47,10.55,10.40,10.52,198400,9.45
2014-11-07,10.48,10.63,10.36,10.47,145700,9.41
2014-11-06,10.65,10.69,10.47,10.48,329900,9.42
2014-11-05,10.57,10.72,10.40,10.67,193800,9.59
2014-11-04,10.41,10.59,10.39,10.51,207400,9.44
2014-11-03,10.40,10.49,10.36,10.41,137600,9.35
2014-10-31,10.46,10.55,10.30,10.33,188100,9.28
2014-10-30,10.35,10.48,10.30,10.43,80500,9.37
2014-10-29,10.28,10.48,10.28,10.38,164100,9.33
2014-10-28,10.13,10.37,10.13,10.33,266700,9.28
2014-10-27,10.08,10.12,9.76,10.11,188800,9.08
2014-10-24,10.29,10.29,10.08,10.13,76100,9.10
2014-10-23,10.10,10.40,10.05,10.29,113800,9.25
2014-10-22,10.23,10.36,10.11,10.11,116400,9.08
2014-10-21,10.34,10.57,10.11,10.16,267300,9.13
2014-10-20,9.81,10.35,9.81,10.21,173000,9.17
2014-10-17,9.62,10.14,9.61,9.79,334800,8.80
2014-10-16,8.86,9.70,8.73,9.62,411400,8.64
2014-10-15,9.65,9.65,8.52,8.98,972800,8.07
2014-10-14,10.10,10.10,9.75,9.76,247300,8.77
2014-10-13,10.10,10.14,9.90,9.95,276500,8.94
2014-10-10,10.13,10.22,9.90,10.10,322800,9.07
2014-10-09,10.36,10.44,10.15,10.19,179300,9.16
2014-10-08,10.46,10.47,10.25,10.35,208600,9.30
2014-10-07,10.47,10.54,10.25,10.46,199100,9.40
2014-10-06,10.58,10.62,10.47,10.49,111200,9.43
2014-10-03,10.57,10.70,10.46,10.60,111300,9.52
2014-10-02,10.50,10.59,10.40,10.53,135200,9.46
2014-10-01,10.66,10.68,10.44,10.44,116200,9.38
2014-09-30,10.75,10.80,10.60,10.61,199500,9.53
2014-09-29,10.54,10.82,10.45,10.79,425900,9.69
2014-09-26,10.35,10.60,10.34,10.56,129800,9.49
2014-09-25,10.60,10.60,10.33,10.33,278600,9.28
2014-09-24,10.60,10.60,10.50,10.53,102900,9.46
2014-09-23,10.54,10.66,10.50,10.59,198600,9.52
2014-09-22,10.53,10.57,10.47,10.51,179300,9.44
2014-09-19,10.65,10.68,10.52,10.53,95100,9.46
2014-09-18,10.73,10.84,10.60,10.68,136100,9.60
2014-09-17,10.88,10.90,10.71,10.72,115700,9.63
2014-09-16,10.77,11.09,10.70,10.85,627900,9.75
2014-09-15,10.46,10.80,10.36,10.76,525700,9.67
2014-09-12,10.48,10.48,10.35,10.37,118100,9.32
2014-09-11,10.40,10.46,10.35,10.41,122400,9.35
2014-09-10,10.45,10.49,10.32,10.40,117900,9.34
2014-09-09,10.49,10.58,10.41,10.42,171600,9.36
2014-09-08,10.59,10.59,10.45,10.49,226300,9.43
2014-09-05,10.52,10.58,10.40,10.51,160900,9.44
2014-09-04,10.59,10.59,10.40,10.52,166600,9.45
2014-09-03,10.36,10.58,10.36,10.54,232700,9.47
2014-09-02,10.65,10.72,10.32,10.32,504400,9.27
2014-08-29,10.80,10.88,10.45,10.71,406000,9.62
2014-08-28,10.81,11.03,10.81,10.94,168600,9.83
2014-08-27,10.92,11.06,10.80,10.85,162900,9.75
2014-08-26,10.60,11.01,10.60,10.86,400900,9.76
2014-08-25,10.65,10.73,10.55,10.63,115100,9.55
2014-08-22,10.50,10.71,10.42,10.65,199900,9.57
2014-08-21,10.03,10.60,10.03,10.59,290300,9.52
2014-08-20,10.35,10.38,10.02,10.10,570600,9.07
2014-08-19,10.60,10.75,10.40,10.40,450000,9.34
2014-08-18,10.83,10.83,10.60,10.60,325000,9.52
2014-08-15,11.00,11.01,10.58,10.78,480600,9.69
2014-08-14,11.67,11.78,11.50,11.55,846200,9.86
2014-08-13,11.50,11.60,11.45,11.50,403900,9.81
2014-08-12,11.47,11.50,11.41,11.50,338200,9.81
2014-08-11,11.40,11.60,11.38,11.46,607000,9.78
2014-08-08,11.38,11.47,11.35,11.40,224600,9.73
2014-08-07,11.45,11.48,11.15,11.38,386400,9.71
2014-08-06,11.43,11.50,11.43,11.47,141100,9.79
2014-08-05,11.41,11.55,11.38,11.44,296500,9.76
2014-08-04,11.34,11.48,11.29,11.44,289600,9.76
2014-08-01,11.35,11.35,11.17,11.33,212100,9.67
2014-07-31,11.20,11.38,11.15,11.37,153000,9.70
2014-07-30,11.31,11.36,11.17,11.25,133400,9.60
