Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,17.32,17.43,17.02,17.10,45600,17.10
2015-02-12,17.01,17.40,17.01,17.38,17400,17.38
2015-02-11,17.00,17.25,16.84,17.01,47600,17.01
2015-02-10,16.74,17.05,16.74,16.79,47300,16.79
2015-02-09,17.17,17.17,16.76,16.81,49600,16.81
2015-02-06,17.17,17.17,16.95,17.11,32500,17.11
2015-02-05,16.98,17.00,16.81,16.99,21100,16.99
2015-02-04,16.81,16.93,16.71,16.82,29900,16.82
2015-02-03,16.92,16.92,16.69,16.74,61800,16.74
2015-02-02,16.89,16.89,16.63,16.74,22300,16.74
2015-01-30,16.88,17.00,16.83,16.92,25600,16.92
2015-01-29,16.99,16.99,16.65,16.97,40400,16.97
2015-01-28,17.01,17.07,16.76,16.99,44100,16.99
2015-01-27,17.04,17.15,16.90,17.00,44900,17.00
2015-01-26,17.18,17.18,16.91,17.01,121400,17.01
2015-01-23,16.93,17.08,16.93,17.02,38600,17.02
2015-01-22,17.22,17.22,16.86,17.01,109400,17.01
2015-01-21,16.95,17.00,16.90,17.00,49700,17.00
2015-01-20,17.22,17.22,16.84,16.90,64500,16.90
2015-01-16,17.01,17.14,16.92,16.97,79600,16.97
2015-01-15,17.45,17.49,16.87,17.12,174000,17.12
2015-01-14,17.82,17.83,17.39,17.51,66700,17.51
2015-01-13,18.01,18.11,17.79,17.82,63700,17.82
2015-01-12,18.00,18.10,18.00,18.07,18200,18.07
2015-01-09,18.07,18.13,18.00,18.06,17200,18.06
2015-01-08,18.09,18.11,18.00,18.08,15600,18.08
2015-01-07,18.17,18.18,18.00,18.11,20000,18.11
2015-01-06,18.44,18.44,18.02,18.14,25700,18.14
2015-01-05,18.44,18.45,18.29,18.44,38100,18.44
2015-01-02,18.42,18.45,18.30,18.41,25600,18.41
2014-12-31,18.44,18.49,18.16,18.49,49900,18.49
2014-12-30,18.41,18.43,18.15,18.34,17800,18.34
2014-12-29,18.25,18.62,18.25,18.48,19700,18.48
2014-12-26,18.23,18.38,18.10,18.37,15600,18.37
2014-12-24,18.71,18.71,18.50,18.67,17100,18.16
2014-12-23,18.45,18.83,18.39,18.63,29800,18.12
2014-12-22,18.52,18.69,18.47,18.63,35000,18.12
2014-12-19,18.61,18.90,18.45,18.45,89200,17.95
2014-12-18,18.66,18.74,18.42,18.68,30200,18.17
2014-12-17,18.58,18.67,18.27,18.67,33000,18.16
2014-12-16,18.43,18.59,18.27,18.46,29500,17.96
2014-12-15,18.61,18.61,18.11,18.42,35400,17.92
2014-12-12,18.79,18.79,18.36,18.43,22000,17.93
2014-12-11,18.62,18.87,18.50,18.84,34300,18.33
2014-12-10,18.57,18.71,18.52,18.55,26700,18.04
2014-12-09,18.06,18.66,18.06,18.57,15900,18.06
2014-12-08,18.60,18.71,18.28,18.35,26100,17.85
2014-12-05,18.58,18.66,18.55,18.63,25600,18.12
2014-12-04,18.75,18.76,18.53,18.56,17300,18.05
2014-12-03,19.01,19.01,18.52,18.75,65600,18.24
2014-12-02,18.70,18.92,18.66,18.92,36700,18.40
2014-12-01,18.82,18.83,18.65,18.78,29800,18.27
2014-11-28,19.03,19.06,18.82,18.90,4300,18.38
2014-11-26,18.99,19.09,18.95,19.06,12400,18.54
2014-11-25,18.97,19.02,18.88,18.92,18300,18.40
2014-11-24,18.90,18.96,18.77,18.91,23900,18.39
2014-11-21,18.79,18.95,18.69,18.86,38700,18.34
2014-11-20,18.70,18.80,18.70,18.75,14900,18.24
2014-11-19,18.71,18.74,18.57,18.72,28700,18.21
2014-11-18,18.67,18.72,18.57,18.67,20900,18.16
2014-11-17,18.29,18.65,18.29,18.59,59300,18.08
2014-11-14,17.92,18.41,17.92,18.25,55300,17.75
2014-11-13,18.56,18.60,17.64,17.86,211800,17.37
2014-11-12,18.70,18.87,18.70,18.73,10100,18.22
2014-11-11,18.80,18.89,18.68,18.80,34400,18.29
2014-11-10,18.81,18.89,18.67,18.77,20900,18.26
2014-11-07,18.81,18.83,18.66,18.75,8800,18.24
2014-11-06,18.85,18.85,18.70,18.72,7500,18.21
2014-11-05,18.89,18.93,18.71,18.80,42100,18.29
2014-11-04,18.89,18.89,18.61,18.88,66200,18.36
2014-11-03,18.73,18.92,18.60,18.86,37200,18.34
2014-10-31,18.75,18.78,18.49,18.62,16600,18.11
2014-10-30,18.48,18.97,18.40,18.69,54300,18.18
2014-10-29,18.66,18.69,18.52,18.60,20100,18.09
2014-10-28,18.69,18.70,18.60,18.68,15400,18.17
2014-10-27,18.75,18.76,18.59,18.66,30600,18.15
2014-10-24,18.75,18.83,18.65,18.69,17200,18.18
2014-10-23,18.65,18.77,18.58,18.65,19500,18.14
2014-10-22,18.57,18.79,18.38,18.55,65500,18.04
2014-10-21,17.91,18.53,17.91,18.46,106500,17.96
2014-10-20,17.63,17.96,17.63,17.95,30100,17.46
2014-10-17,17.75,17.87,17.67,17.74,39800,17.26
2014-10-16,17.40,17.64,17.25,17.59,67300,17.11
2014-10-15,17.70,17.85,17.29,17.58,44300,17.10
2014-10-14,17.91,18.07,17.80,17.85,57800,17.36
2014-10-13,18.10,18.20,17.79,17.80,80000,17.31
2014-10-10,18.38,18.44,18.13,18.13,61000,17.63
2014-10-09,18.54,18.56,18.39,18.39,44600,17.89
2014-10-08,18.46,18.50,18.35,18.49,37200,17.98
2014-10-07,18.37,18.60,18.33,18.42,44400,17.92
2014-10-06,18.32,18.50,18.31,18.34,71000,17.84
2014-10-03,18.43,18.52,18.32,18.38,22200,17.88
2014-10-02,18.48,18.54,18.14,18.42,56500,17.92
2014-10-01,18.60,18.72,18.36,18.57,42800,18.06
2014-09-30,18.79,18.82,18.67,18.70,51600,18.19
2014-09-29,18.67,18.90,18.67,18.90,22100,18.38
2014-09-26,19.15,19.17,18.69,18.79,44900,18.28
2014-09-25,19.32,19.47,19.24,19.44,26700,18.41
