Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,31.49,31.49,31.15,31.45,13100,31.45
2015-02-12,31.30,31.43,31.00,31.35,10600,31.35
2015-02-11,30.95,31.30,30.83,31.30,14000,31.30
2015-02-10,30.90,31.15,30.76,31.15,9200,31.15
2015-02-09,30.80,30.91,30.76,30.89,8300,30.89
2015-02-06,30.75,30.98,30.75,30.90,7900,30.90
2015-02-05,30.93,30.93,30.57,30.81,10500,30.81
2015-02-04,30.75,30.93,30.51,30.89,6400,30.89
2015-02-03,30.60,30.86,30.60,30.80,10900,30.80
2015-02-02,30.61,30.79,30.59,30.59,14800,30.59
2015-01-30,30.75,30.75,30.55,30.58,20000,30.58
2015-01-29,30.80,31.00,30.78,30.78,8700,30.78
2015-01-28,30.45,30.96,30.36,30.85,10400,30.85
2015-01-27,30.76,30.76,30.49,30.64,8700,30.64
2015-01-26,30.71,30.84,30.40,30.69,19200,30.69
2015-01-23,30.86,31.09,30.15,30.60,17800,30.60
2015-01-22,31.37,31.37,30.96,31.05,44100,31.05
2015-01-21,31.19,31.35,31.11,31.35,10600,31.35
2015-01-20,31.14,31.14,30.86,31.02,10400,31.02
2015-01-16,30.46,31.40,30.46,31.40,19300,31.40
2015-01-15,30.07,30.79,29.98,30.79,15800,30.79
2015-01-14,30.39,30.53,29.85,30.24,39000,30.24
2015-01-13,31.40,31.40,30.66,30.73,25900,30.73
2015-01-12,31.24,31.40,31.23,31.26,7600,31.26
2015-01-09,31.40,31.40,31.20,31.37,10200,31.37
2015-01-08,31.37,31.37,31.15,31.33,8800,31.33
2015-01-07,31.40,31.40,31.04,31.29,3600,31.29
2015-01-06,31.05,31.36,31.02,31.29,5500,31.29
2015-01-05,31.40,31.40,31.00,31.07,2600,31.07
2015-01-02,31.36,31.40,31.15,31.27,12100,31.27
2014-12-31,31.42,31.42,31.11,31.16,17600,31.16
2014-12-30,30.73,31.02,30.63,31.01,7700,31.01
2014-12-29,31.27,31.27,30.62,31.02,14400,31.02
2014-12-26,31.02,31.13,30.89,31.13,3100,31.13
2014-12-24,30.83,30.99,30.73,30.85,4900,30.85
2014-12-23,31.05,31.19,30.61,31.19,8300,31.19
2014-12-22,31.07,31.10,30.89,31.04,3500,31.04
