Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,14.50,14.50,14.38,14.42,143700,14.42
2015-02-12,14.35,14.50,14.32,14.46,232400,14.46
2015-02-11,14.22,14.42,14.22,14.39,221500,14.39
2015-02-10,14.27,14.35,14.20,14.29,96000,14.29
2015-02-09,14.24,14.33,14.15,14.27,108200,14.27
2015-02-06,14.29,14.34,14.15,14.23,121600,14.23
2015-02-05,14.48,14.49,14.37,14.45,134100,14.35
2015-02-04,14.14,14.50,14.14,14.39,231400,14.29
2015-02-03,13.97,14.22,13.97,14.13,183600,14.03
2015-02-02,13.99,14.04,13.85,14.01,108600,13.91
2015-01-30,14.06,14.07,13.95,13.99,140500,13.89
2015-01-29,14.17,14.20,14.01,14.14,156700,14.04
2015-01-28,14.22,14.29,14.15,14.18,110700,14.08
2015-01-27,14.20,14.25,14.04,14.19,207900,14.09
2015-01-26,14.24,14.29,14.18,14.23,195600,14.13
2015-01-23,14.06,14.26,14.01,14.23,248400,14.13
2015-01-22,13.95,14.16,13.92,14.06,170800,13.96
2015-01-21,13.75,13.89,13.72,13.85,108200,13.75
2015-01-20,13.83,13.87,13.70,13.79,211300,13.69
2015-01-16,13.71,13.93,13.68,13.89,155300,13.79
2015-01-15,13.85,13.96,13.76,13.83,165200,13.73
2015-01-14,13.71,13.95,13.71,13.89,223200,13.79
2015-01-13,13.79,13.88,13.70,13.85,184600,13.75
2015-01-12,13.83,13.83,13.67,13.75,141100,13.65
2015-01-09,13.82,13.90,13.72,13.75,141300,13.65
2015-01-08,13.73,13.96,13.72,13.88,110600,13.78
2015-01-07,13.78,13.85,13.65,13.69,283300,13.60
2015-01-06,13.82,13.92,13.68,13.80,198400,13.70
2015-01-05,13.90,13.95,13.68,13.76,147500,13.66
2015-01-02,13.84,13.91,13.76,13.91,129400,13.81
2014-12-31,13.71,13.86,13.71,13.83,128800,13.73
2014-12-30,13.89,13.94,13.71,13.76,220700,13.66
2014-12-29,14.15,14.15,13.92,13.97,165600,13.87
2014-12-26,14.10,14.29,14.06,14.20,184100,14.00
2014-12-24,13.90,14.12,13.89,14.05,118100,13.85
2014-12-23,13.84,13.97,13.64,13.90,151300,13.71
2014-12-22,13.94,14.01,13.73,13.76,167400,13.57
2014-12-19,13.78,13.93,13.71,13.89,175200,13.70
2014-12-18,13.71,13.84,13.59,13.73,229800,13.54
2014-12-17,13.41,13.63,13.34,13.59,162500,13.40
2014-12-16,13.36,13.50,13.22,13.45,238000,13.26
2014-12-15,13.74,13.74,13.44,13.44,208300,13.25
2014-12-12,13.72,13.77,13.60,13.65,245600,13.46
2014-12-11,13.62,13.89,13.62,13.77,158200,13.58
2014-12-10,13.86,13.93,13.61,13.66,216500,13.47
2014-12-09,14.17,14.17,13.81,13.96,270400,13.77
2014-12-08,14.27,14.33,14.09,14.20,122700,14.00
2014-12-05,14.32,14.43,14.26,14.36,160900,14.06
2014-12-04,14.28,14.40,14.23,14.40,115200,14.10
2014-12-03,14.30,14.34,14.23,14.26,137800,13.96
2014-12-02,14.38,14.45,14.24,14.31,169200,14.01
2014-12-01,14.47,14.51,14.35,14.35,122600,14.05
2014-11-28,14.50,14.57,14.44,14.49,69000,14.19
2014-11-26,14.54,14.61,14.41,14.48,138200,14.18
2014-11-25,14.55,14.58,14.40,14.53,186900,14.23
2014-11-24,14.65,14.65,14.42,14.49,165700,14.19
2014-11-21,14.56,14.56,14.45,14.51,156300,14.21
