Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,12.52,12.56,12.36,12.37,58100,12.37
2015-02-12,12.62,12.73,12.52,12.52,45100,12.52
2015-02-11,12.62,12.72,12.57,12.57,37500,12.57
2015-02-10,12.75,12.77,12.55,12.61,39000,12.61
2015-02-09,12.72,12.78,12.59,12.70,39000,12.70
2015-02-06,13.00,13.00,12.56,12.56,156000,12.56
2015-02-05,12.91,13.02,12.91,12.97,60100,12.97
2015-02-04,13.00,13.00,12.80,12.91,41200,12.91
2015-02-03,12.94,12.94,12.78,12.90,41900,12.90
2015-02-02,12.86,13.09,12.74,12.90,98100,12.90
2015-01-30,12.80,12.83,12.70,12.80,68200,12.80
2015-01-29,12.82,12.86,12.71,12.78,31200,12.78
2015-01-28,12.91,12.91,12.74,12.76,42000,12.76
2015-01-27,12.84,12.84,12.70,12.84,31800,12.84
2015-01-26,12.76,12.85,12.73,12.76,25200,12.76
2015-01-23,12.89,12.89,12.79,12.81,14200,12.81
2015-01-22,12.85,12.95,12.85,12.87,14200,12.87
2015-01-21,12.88,13.01,12.87,12.87,34800,12.87
2015-01-20,13.00,13.02,12.87,12.87,34300,12.87
2015-01-16,12.99,13.08,12.84,12.88,37000,12.88
2015-01-15,12.95,12.97,12.86,12.93,41300,12.93
2015-01-14,12.93,12.95,12.61,12.85,53700,12.85
2015-01-13,12.95,12.98,12.72,12.96,79000,12.96
2015-01-12,13.00,13.00,12.90,12.98,42000,12.98
2015-01-09,12.93,13.01,12.86,12.90,56600,12.90
2015-01-08,13.04,13.11,12.94,12.97,92700,12.97
2015-01-07,12.98,12.98,12.87,12.95,32000,12.95
2015-01-06,12.94,12.98,12.85,12.93,26700,12.93
2015-01-05,12.90,13.01,12.85,12.96,107600,12.96
2015-01-02,12.84,12.91,12.76,12.91,30700,12.91
2014-12-31,12.90,12.90,12.72,12.80,32800,12.80
2014-12-30,13.12,13.12,12.96,13.07,66600,12.83
2014-12-29,13.03,13.16,13.02,13.11,89800,12.87
2014-12-26,13.17,13.17,13.00,13.10,22200,12.86
2014-12-24,13.11,13.29,13.07,13.16,50400,12.92
2014-12-23,13.16,13.48,13.07,13.17,122800,12.93
2014-12-22,13.22,13.24,13.07,13.12,51500,12.88
2014-12-19,13.04,13.24,13.04,13.22,120300,12.98
2014-12-18,12.75,13.17,12.74,13.02,134700,12.79
2014-12-17,12.56,12.75,12.53,12.63,67500,12.40
2014-12-16,12.58,12.59,12.50,12.50,21000,12.28
2014-12-15,12.55,12.61,12.50,12.50,91300,12.28
2014-12-12,12.61,12.65,12.40,12.50,239000,12.28
2014-12-11,12.60,12.65,12.51,12.51,81300,12.29
2014-12-10,12.66,12.66,12.51,12.59,144900,12.36
2014-12-09,12.69,12.70,12.60,12.66,72700,12.43
2014-12-08,12.60,12.80,12.57,12.71,108800,12.48
2014-12-05,12.48,12.78,12.48,12.57,1012600,12.34
2014-12-04,12.60,12.85,12.48,12.60,57400,12.37
2014-12-03,12.96,12.96,12.35,12.73,134500,12.50
2014-12-02,13.18,13.28,13.10,13.17,27700,12.93
2014-12-01,13.27,13.30,13.25,13.26,17500,13.02
2014-11-28,13.26,13.30,13.25,13.27,13400,13.03
2014-11-26,13.28,13.30,13.12,13.26,13300,13.02
2014-11-25,13.07,13.24,13.00,13.21,19300,12.97
2014-11-24,12.91,13.15,12.67,13.14,37200,12.90
2014-11-21,13.06,13.33,12.81,12.87,49500,12.64
2014-11-20,13.25,13.42,13.18,13.21,45700,12.97
2014-11-19,13.29,13.30,13.19,13.24,28900,13.00
2014-11-18,13.23,13.30,13.20,13.24,12100,13.00
2014-11-17,13.08,13.25,13.08,13.25,24600,13.01
2014-11-14,13.06,13.16,12.98,12.99,19200,12.76
2014-11-13,13.31,13.35,13.17,13.19,10300,12.95
2014-11-12,12.93,13.34,12.83,13.31,18600,13.07
2014-11-11,13.05,13.23,12.98,12.98,16400,12.74
2014-11-10,12.90,13.11,12.80,12.99,9700,12.76
2014-11-07,13.28,13.28,12.60,12.80,28600,12.57
2014-11-06,13.25,13.50,13.12,13.18,18400,12.94
2014-11-05,13.20,13.38,13.12,13.34,10000,13.10
2014-11-04,13.19,13.25,13.11,13.25,25100,13.01
2014-11-03,13.16,13.25,13.15,13.15,5600,12.92
2014-10-31,12.95,13.19,12.95,13.19,31700,12.95
2014-10-30,12.96,12.96,12.79,12.91,9800,12.68
2014-10-29,13.02,13.05,12.86,12.90,12400,12.67
2014-10-28,13.01,13.16,12.81,12.89,12000,12.66
2014-10-27,13.15,13.22,13.00,13.06,9400,12.83
2014-10-24,12.89,13.28,12.71,13.26,30900,13.02
2014-10-23,13.29,13.29,12.97,12.97,30500,12.74
2014-10-22,13.23,13.25,13.06,13.23,38000,12.99
2014-10-21,13.14,13.30,13.14,13.30,19900,13.06
2014-10-20,13.18,13.49,13.00,13.25,41400,13.01
2014-10-17,13.60,13.60,13.21,13.29,24200,13.05
2014-10-16,13.08,13.29,13.08,13.24,22000,13.00
2014-10-15,13.25,13.43,13.08,13.09,63100,12.85
2014-10-14,13.29,13.60,13.13,13.49,14700,13.25
2014-10-13,13.27,13.42,13.21,13.37,5700,13.13
2014-10-10,13.33,13.38,13.25,13.36,16500,13.12
2014-10-09,13.60,13.62,13.27,13.35,31600,13.11
2014-10-08,13.17,13.41,13.11,13.41,22100,13.17
2014-10-07,13.15,13.37,13.08,13.30,28400,13.06
2014-10-06,13.17,13.28,13.08,13.08,14300,12.84
2014-10-03,13.27,13.27,13.08,13.11,42400,12.87
2014-10-02,13.26,13.43,13.12,13.22,59700,12.98
2014-10-01,13.38,13.38,13.13,13.32,59700,13.08
2014-09-30,13.56,13.77,13.25,13.58,66500,13.11
2014-09-29,13.37,13.62,13.26,13.61,45000,13.13
2014-09-26,13.23,13.37,13.10,13.37,16900,12.90
2014-09-25,13.34,13.39,13.06,13.30,38100,12.83
2014-09-24,13.20,13.62,13.01,13.35,55100,12.88
2014-09-23,13.30,13.42,13.07,13.18,72200,12.72
2014-09-22,13.22,13.47,13.11,13.29,47800,12.83
2014-09-19,13.09,13.29,13.01,13.29,74000,12.83
2014-09-18,13.10,13.26,12.89,12.97,98300,12.52
2014-09-17,12.88,13.21,12.80,13.06,37200,12.60
2014-09-16,12.84,12.85,12.77,12.81,29900,12.36
2014-09-15,12.82,12.85,12.71,12.77,34800,12.32
