Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.48,25.65,25.09,25.38,218500,25.38
2015-02-12,25.10,25.14,24.60,25.06,339200,25.06
2015-02-11,25.02,25.20,24.38,24.60,172400,24.60
2015-02-10,25.81,25.81,24.83,25.20,129500,25.20
2015-02-09,25.22,25.54,25.11,25.40,205600,25.40
2015-02-06,25.04,25.25,24.80,25.12,198000,25.12
2015-02-05,24.62,25.17,24.50,24.82,250200,24.82
2015-02-04,24.29,24.76,24.24,24.50,175000,24.50
2015-02-03,25.00,25.29,24.60,24.66,278800,24.66
2015-02-02,25.36,25.36,24.60,24.87,220300,24.87
2015-01-30,24.97,25.45,24.72,25.18,252600,25.18
2015-01-29,25.73,26.00,25.11,25.86,414600,25.18
2015-01-28,26.25,26.41,24.94,25.42,343000,24.75
2015-01-27,25.90,26.19,25.41,26.11,297800,25.42
2015-01-26,25.40,26.19,25.06,26.05,443400,25.36
2015-01-23,24.71,25.22,24.41,24.54,169400,23.89
2015-01-22,25.04,25.28,24.25,24.71,256700,24.06
2015-01-21,24.74,25.44,24.32,25.03,244400,24.37
2015-01-20,23.00,24.88,23.00,24.80,370800,24.14
2015-01-16,21.78,23.89,21.55,23.51,453900,22.89
2015-01-15,22.00,22.15,21.37,21.78,208400,21.20
2015-01-14,22.04,22.40,20.65,21.96,469700,21.38
2015-01-13,22.90,23.20,22.05,22.45,261100,21.86
2015-01-12,23.33,23.33,22.38,22.80,613400,22.20
2015-01-09,23.33,23.72,22.84,23.41,280200,22.79
2015-01-08,23.00,24.24,23.00,23.24,454300,22.62
2015-01-07,22.80,23.46,22.68,22.89,237800,22.28
2015-01-06,23.06,23.62,22.51,22.66,227400,22.06
2015-01-05,23.60,23.73,22.44,23.07,239300,22.46
2015-01-02,22.31,23.63,22.29,23.54,171200,22.92
2014-12-31,23.11,23.41,22.13,22.41,483900,21.82
2014-12-30,23.10,23.38,22.36,23.17,463600,22.56
2014-12-29,22.66,23.18,22.49,23.10,325400,22.49
2014-12-26,22.01,22.70,21.97,22.59,238400,21.99
2014-12-24,22.23,22.50,21.94,22.15,132300,21.56
2014-12-23,21.51,22.60,21.28,22.23,430400,21.64
2014-12-22,22.29,22.49,21.06,21.18,489700,20.62
2014-12-19,22.55,22.85,22.08,22.25,393300,21.66
2014-12-18,24.10,24.26,22.56,22.60,525000,22.00
2014-12-17,21.54,24.18,21.54,23.76,503600,23.13
2014-12-16,19.59,21.75,18.66,21.54,930200,20.97
2014-12-15,22.73,23.17,19.58,19.76,1409500,19.24
2014-12-12,23.26,23.56,21.88,22.85,593100,22.24
2014-12-11,24.04,24.82,23.31,23.45,425200,22.83
2014-12-10,24.78,25.19,23.31,23.98,539800,23.34
2014-12-09,25.21,25.71,24.55,24.98,578500,24.32
2014-12-08,27.04,27.11,25.03,25.44,473000,24.77
2014-12-05,26.77,27.09,26.27,27.01,346800,26.29
2014-12-04,25.75,26.90,25.75,26.84,296400,26.13
2014-12-03,25.49,26.00,25.18,25.94,403400,25.25
2014-12-02,25.12,25.54,24.36,25.49,655300,24.81
2014-12-01,25.92,26.00,24.43,25.12,578900,24.45
2014-11-28,27.01,27.01,26.00,26.20,254800,25.51
2014-11-26,27.00,27.56,26.66,27.43,262300,26.70
2014-11-25,28.00,28.00,26.81,26.99,481000,26.28
2014-11-24,28.18,28.18,27.71,27.90,279000,27.16
2014-11-21,28.56,28.84,27.75,28.04,564200,27.30
2014-11-20,27.75,28.65,27.71,28.23,226800,27.48
2014-11-19,27.80,28.32,27.75,27.82,151900,27.08
2014-11-18,27.96,28.49,27.80,27.85,150100,27.11
2014-11-17,27.86,28.49,27.78,27.98,221300,27.24
2014-11-14,28.17,28.26,27.58,28.00,211900,27.26
2014-11-13,27.97,28.34,27.41,27.85,252700,27.11
2014-11-12,28.35,28.52,28.00,28.02,372700,27.28
2014-11-11,28.35,28.73,27.90,28.27,175400,27.52
