Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,94.83,95.38,93.74,93.92,1668300,93.92
2015-02-12,94.89,95.80,94.60,95.31,1437100,95.31
2015-02-11,94.58,95.32,93.97,94.81,1024000,94.81
2015-02-10,94.04,94.92,93.25,94.62,1423800,94.62
2015-02-09,93.62,94.87,93.09,93.82,1425300,93.82
2015-02-06,92.04,95.21,91.56,94.21,3206900,94.21
2015-02-05,89.79,91.62,89.27,90.84,2321600,90.84
2015-02-04,87.74,89.89,87.37,89.25,2255300,89.25
2015-02-03,87.17,87.86,86.68,87.27,1680000,87.27
2015-02-02,85.84,87.24,84.77,87.08,1329800,87.08
2015-01-30,85.09,86.39,85.00,85.30,1533600,85.30
2015-01-29,85.22,86.29,85.07,86.22,1309400,86.22
2015-01-28,88.02,88.40,85.14,85.17,1337000,85.17
2015-01-27,88.30,88.84,87.26,87.37,761400,87.37
2015-01-26,88.62,88.99,87.39,88.79,724900,88.79
2015-01-23,88.50,88.94,87.68,88.52,1009600,88.52
2015-01-22,85.58,88.90,85.38,88.57,2125900,88.57
2015-01-21,85.29,86.97,84.99,85.55,2147100,85.55
2015-01-20,86.74,87.36,85.48,85.55,2095400,85.55
2015-01-16,84.48,85.22,83.43,85.04,2198000,85.04
2015-01-15,84.93,85.54,84.45,84.87,1308100,84.87
2015-01-14,85.39,86.21,84.34,85.01,2362800,85.01
2015-01-13,88.60,89.20,86.86,87.13,1746200,87.13
2015-01-12,88.93,89.24,87.42,87.61,1132800,87.61
2015-01-09,88.70,89.26,88.20,88.79,1239500,88.79
2015-01-08,89.26,89.97,88.54,88.71,2002400,88.71
2015-01-07,87.00,88.34,86.65,88.30,1908800,88.30
2015-01-06,89.00,89.21,87.02,87.29,1583800,87.29
2015-01-05,87.90,89.04,87.69,88.64,1503900,88.64
2015-01-02,89.22,89.38,87.62,88.14,1130200,88.14
2014-12-31,90.09,90.29,88.64,88.65,863400,88.65
2014-12-30,89.96,90.20,89.68,89.85,782900,89.85
2014-12-29,90.02,90.96,89.64,90.18,889200,90.18
2014-12-26,91.04,91.35,90.32,90.39,716800,90.39
2014-12-24,91.00,91.35,90.15,90.58,908700,90.58
2014-12-23,93.20,93.91,92.63,92.72,1443500,90.72
2014-12-22,92.27,93.04,92.00,92.91,1680300,90.91
2014-12-19,91.93,93.04,91.93,92.36,2746200,90.37
2014-12-18,90.06,92.30,90.03,92.28,2187100,90.29
2014-12-17,87.70,89.99,87.56,89.94,1969000,88.00
2014-12-16,87.50,88.43,86.82,87.50,1722100,85.61
2014-12-15,87.67,88.17,87.00,87.94,1758100,86.04
2014-12-12,87.82,88.38,87.04,87.08,1427200,85.20
2014-12-11,89.52,89.99,88.34,88.48,1902900,86.57
