Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,21.79,23.00,21.79,22.91,53400,22.91
2015-02-12,21.95,22.30,21.55,21.86,29600,21.86
2015-02-11,22.64,22.64,21.90,21.90,27000,21.90
2015-02-10,22.36,22.64,21.70,22.55,37600,22.55
2015-02-09,21.53,22.50,21.06,22.32,98200,22.32
2015-02-06,20.58,21.92,20.55,21.77,106400,21.77
2015-02-05,20.84,21.22,20.32,20.51,76400,20.51
2015-02-04,21.40,21.99,20.72,20.80,64100,20.80
2015-02-03,21.20,21.89,21.10,21.50,83500,21.50
2015-02-02,20.60,21.57,20.20,21.26,91700,21.26
2015-01-30,20.53,21.28,20.06,20.87,45400,20.66
2015-01-29,20.75,21.35,20.20,20.61,60600,20.40
2015-01-28,21.00,21.69,20.58,20.68,57800,20.47
2015-01-27,19.79,21.80,19.79,21.23,113700,21.01
2015-01-26,20.15,21.70,19.38,19.97,137400,19.76
2015-01-23,19.95,20.43,19.61,20.23,148200,20.02
2015-01-22,19.75,20.40,19.46,20.01,83500,19.80
2015-01-21,19.24,20.57,18.90,19.69,342500,19.49
2015-01-20,19.83,20.27,19.06,19.34,176700,19.14
2015-01-16,19.84,20.40,19.78,19.98,105600,19.77
2015-01-15,20.49,21.08,19.52,20.05,380800,19.84
2015-01-14,20.51,20.88,19.22,20.33,250900,20.12
2015-01-13,21.36,22.12,20.44,21.00,131700,20.78
2015-01-12,22.00,22.14,21.16,21.37,87400,21.15
2015-01-09,22.25,22.46,21.72,22.23,87700,22.00
2015-01-08,22.93,23.31,21.99,22.31,56000,22.08
2015-01-07,22.43,23.01,21.58,22.89,415900,22.65
2015-01-06,23.07,23.42,22.55,22.69,149100,22.46
2015-01-05,25.34,25.34,23.15,23.15,100900,22.91
2015-01-02,24.32,25.89,23.80,25.41,44200,25.15
2014-12-31,24.34,25.98,23.88,24.12,454600,23.87
2014-12-30,23.33,25.02,23.15,24.43,82400,24.18
2014-12-29,23.18,24.00,22.50,23.16,192400,22.92
2014-12-26,23.38,23.38,23.07,23.23,136100,22.99
2014-12-24,23.88,23.88,23.35,23.56,85100,23.32
2014-12-23,24.18,24.19,22.73,23.97,134300,23.72
2014-12-22,23.85,24.30,22.20,24.06,204500,23.81
2014-12-19,24.74,24.74,23.86,23.91,82100,23.66
2014-12-18,25.01,25.50,24.00,24.63,62300,24.38
2014-12-17,24.75,25.65,23.64,24.75,191600,24.50
2014-12-16,25.50,26.43,24.10,24.67,211200,24.42
2014-12-15,25.72,26.50,24.00,25.84,86300,25.57
2014-12-12,25.08,25.97,24.36,25.64,55000,25.38
2014-12-11,24.50,26.90,24.50,25.22,199500,24.96
2014-12-10,25.56,26.01,23.08,24.31,379000,24.06
2014-12-09,25.50,26.19,25.17,25.56,281800,25.30
2014-12-08,26.66,26.97,24.75,25.53,169100,25.27
2014-12-05,26.72,27.18,26.60,26.91,103800,26.63
2014-12-04,27.98,28.95,26.50,26.50,77200,26.23
2014-12-03,26.87,28.98,26.70,28.00,148800,27.71
2014-12-02,26.59,27.58,26.00,26.72,115900,26.44
2014-12-01,27.31,27.46,25.46,26.50,388000,26.23
2014-11-28,28.39,28.39,26.11,27.46,85000,27.18
2014-11-26,28.57,28.74,27.76,28.11,44600,27.82
2014-11-25,28.38,29.75,27.56,28.47,130200,28.18
2014-11-24,29.39,29.58,28.00,28.38,191400,28.09
2014-11-21,29.99,29.99,29.00,29.51,107900,29.21
2014-11-20,29.71,29.94,29.11,29.94,55400,29.63
2014-11-19,29.87,30.00,28.50,29.91,80600,29.60
2014-11-18,30.13,30.50,29.76,29.97,68000,29.66
2014-11-17,29.97,30.38,29.73,30.22,156600,29.91
2014-11-14,30.99,31.30,29.81,29.83,31600,29.52
2014-11-13,30.93,31.62,30.51,30.80,104400,30.48
2014-11-12,30.31,30.64,30.00,30.50,32000,30.19
2014-11-11,29.60,30.42,29.60,30.36,55100,30.05
2014-11-10,30.31,31.67,29.58,29.64,49000,29.33
2014-11-07,30.45,32.40,29.76,30.36,227300,30.05
2014-11-06,30.02,30.40,29.72,30.40,42200,30.09
2014-11-05,29.67,30.94,29.50,30.18,104900,29.87
2014-11-04,30.80,31.03,29.16,29.86,111100,29.55
2014-11-03,30.16,31.73,29.99,31.05,101000,30.73
2014-10-31,30.49,30.50,29.59,30.26,155900,29.95
2014-10-30,28.70,30.25,28.46,30.00,72000,29.69
2014-10-29,29.17,29.27,28.30,29.26,116300,28.96
2014-10-28,28.66,29.46,28.05,29.08,135100,28.78
2014-10-27,28.18,28.75,27.16,28.37,154700,28.08
2014-10-24,28.74,28.95,28.02,28.40,98000,28.11
2014-10-23,28.69,29.24,28.25,28.54,208500,28.25
2014-10-22,28.84,29.95,28.39,28.40,280700,28.11
2014-10-21,27.69,29.23,27.69,28.66,122600,28.36
2014-10-20,26.88,27.70,26.00,27.59,134500,27.31
2014-10-17,27.34,27.48,26.00,27.03,108300,26.75
2014-10-16,25.50,27.66,25.00,26.95,130700,26.67
2014-10-15,25.87,26.00,24.55,25.93,215600,25.66
2014-10-14,26.10,26.49,25.50,25.87,283700,25.60
2014-10-13,26.84,26.84,25.76,26.11,325700,25.84
2014-10-10,27.50,27.94,26.52,26.97,419600,26.69
2014-10-09,27.72,28.08,27.50,27.62,126800,27.34
2014-10-08,27.92,28.17,27.75,27.92,242600,27.63
2014-10-07,27.99,28.37,27.82,28.10,165500,27.81
2014-10-06,27.99,28.50,27.80,28.04,87900,27.75
2014-10-03,28.75,28.75,27.73,28.00,87500,27.71
2014-10-02,28.71,28.94,27.50,28.62,282800,28.33
2014-10-01,28.10,29.40,28.10,28.94,300100,28.64
2014-09-30,28.75,28.79,27.99,28.10,719800,27.81
2014-09-29,28.99,29.25,28.72,28.72,417200,28.42
2014-09-26,29.71,29.90,29.12,29.52,936400,29.22
2014-09-25,28.50,30.40,26.80,30.40,14251400,30.09
