Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,42.26,42.46,41.43,41.45,68800,41.45
2015-02-12,41.63,42.31,41.57,42.15,53900,42.15
2015-02-11,41.48,41.61,40.86,41.30,113700,41.30
2015-02-10,42.00,42.00,41.42,41.57,59400,41.57
2015-02-09,42.01,42.23,41.23,41.57,77300,41.57
2015-02-06,42.70,42.94,41.87,42.18,119600,42.18
2015-02-05,42.72,43.12,42.55,42.70,83500,42.70
2015-02-04,41.84,43.23,41.56,42.68,265000,42.68
2015-02-03,42.40,43.03,41.85,42.00,169000,42.00
2015-02-02,42.15,42.55,41.92,42.40,174900,42.40
2015-01-30,42.43,43.07,41.95,42.08,129000,42.08
2015-01-29,42.80,43.20,41.83,42.91,136600,42.91
2015-01-28,44.32,44.34,42.61,42.78,159400,42.78
2015-01-27,44.00,44.74,43.50,44.06,207600,44.06
2015-01-26,44.54,44.97,44.18,44.42,225600,44.42
2015-01-23,45.48,45.64,44.57,44.66,95000,44.66
2015-01-22,45.50,46.49,43.50,45.37,270100,45.37
2015-01-21,46.39,47.16,45.95,46.34,156400,46.34
2015-01-20,46.98,47.03,46.25,46.60,128500,46.60
2015-01-16,45.81,46.90,45.50,46.86,78300,46.86
2015-01-15,46.89,46.89,45.78,46.06,91300,46.06
2015-01-14,45.15,47.12,45.15,46.64,158100,46.64
2015-01-13,44.00,46.07,43.98,45.65,263600,45.65
2015-01-12,43.12,44.39,42.80,44.27,151200,44.27
2015-01-09,42.91,43.40,42.35,43.15,139700,43.15
2015-01-08,42.79,43.20,42.37,42.96,156100,42.96
2015-01-07,42.01,42.40,41.37,42.33,116000,42.33
2015-01-06,41.42,41.77,40.39,41.64,192800,41.64
2015-01-05,41.13,41.54,40.79,41.36,177100,41.36
2015-01-02,42.30,42.47,40.99,41.62,141700,41.62
2014-12-31,42.78,42.99,42.05,42.08,92600,42.08
2014-12-30,43.30,43.51,42.44,42.53,76700,42.53
2014-12-29,43.40,43.83,43.06,43.36,46700,43.36
2014-12-26,43.18,43.63,43.18,43.36,51000,43.36
2014-12-24,43.23,43.63,43.06,43.20,35000,43.20
2014-12-23,42.93,43.43,42.74,43.08,75200,43.08
2014-12-22,41.26,43.01,41.21,42.80,109700,42.80
2014-12-19,42.61,42.66,40.96,41.21,308500,41.21
2014-12-18,42.72,43.01,42.20,42.53,137700,42.53
2014-12-17,40.53,42.10,40.53,42.03,148000,42.03
2014-12-16,40.48,41.31,40.48,40.48,111200,40.48
2014-12-15,41.36,41.60,40.30,40.66,88400,40.66
2014-12-12,41.78,41.87,41.08,41.23,92100,41.23
2014-12-11,42.33,43.11,42.23,42.30,65800,42.30
2014-12-10,43.19,44.02,42.21,42.22,137500,42.22
2014-12-09,42.43,43.60,42.36,43.41,98000,43.41
2014-12-08,43.14,43.68,42.80,42.95,75000,42.95
2014-12-05,43.26,43.84,42.95,43.29,109500,43.29
2014-12-04,43.60,43.66,42.89,43.38,104300,43.38
2014-12-03,43.48,43.80,43.15,43.60,83000,43.60
2014-12-02,42.39,43.59,42.26,43.53,82400,43.53
2014-12-01,43.04,43.31,42.42,42.46,89700,42.46
2014-11-28,44.02,44.19,43.25,43.27,44000,43.27
2014-11-26,43.61,44.12,43.42,44.08,109500,44.08
2014-11-25,43.09,43.82,42.88,43.67,166000,43.67
2014-11-24,44.30,44.48,43.90,44.25,142600,43.03
2014-11-21,44.59,44.92,43.92,44.25,120500,43.03
2014-11-20,43.34,44.05,43.34,43.98,69000,42.77
2014-11-19,43.92,43.92,42.90,43.68,65800,42.48
2014-11-18,43.47,44.22,43.47,44.06,97900,42.85
2014-11-17,43.39,43.92,42.83,43.45,134200,42.25
2014-11-14,43.54,44.03,43.31,43.55,136500,42.35
2014-11-13,43.75,44.50,43.42,43.60,73800,42.40
2014-11-12,42.74,44.15,42.57,43.79,100500,42.58
2014-11-11,42.94,43.18,42.56,43.03,81400,41.84
2014-11-10,42.95,42.95,42.29,42.94,131600,41.76
2014-11-07,42.97,42.99,42.53,42.92,182900,41.74
2014-11-06,43.42,43.46,42.95,42.98,77000,41.80
2014-11-05,43.21,43.82,43.09,43.27,76800,42.08
2014-11-04,42.34,42.88,42.19,42.67,57500,41.49
2014-11-03,43.03,43.16,42.15,42.40,115600,41.23
2014-10-31,42.98,43.24,42.46,42.86,100900,41.68
2014-10-30,41.37,42.49,41.20,42.12,99400,40.96
2014-10-29,41.86,42.27,41.44,41.72,144600,40.57
2014-10-28,40.66,41.79,40.32,41.74,73500,40.59
2014-10-27,40.66,40.74,40.20,40.50,70100,39.38
2014-10-24,40.13,41.15,39.92,41.04,84600,39.91
2014-10-23,40.38,40.78,40.12,40.20,76100,39.09
2014-10-22,40.31,40.76,39.95,39.99,140100,38.89
2014-10-21,39.72,40.59,39.40,40.31,122200,39.20
2014-10-20,39.70,40.03,39.10,39.62,198800,38.53
2014-10-17,40.89,40.89,39.78,39.99,194500,38.89
2014-10-16,38.02,41.06,36.93,40.28,354000,39.17
2014-10-15,37.84,39.11,37.08,38.89,222500,37.82
2014-10-14,37.59,38.65,37.44,38.37,178600,37.31
2014-10-13,37.96,38.16,37.34,37.50,233300,36.47
2014-10-10,38.72,39.45,38.00,38.02,194900,36.97
2014-10-09,40.13,40.37,38.86,39.04,166600,37.96
2014-10-08,38.49,40.20,38.19,40.15,221700,39.04
2014-10-07,38.88,38.88,37.86,38.44,166900,37.38
2014-10-06,38.61,39.19,38.49,39.09,167400,38.01
2014-10-03,38.79,38.92,38.52,38.55,80500,37.49
2014-10-02,37.95,38.90,37.79,38.61,131300,37.55
2014-10-01,38.42,38.47,37.68,38.10,147000,37.05
2014-09-30,38.72,38.98,38.28,38.44,98900,37.38
2014-09-29,39.41,39.54,38.69,38.90,107700,37.83
2014-09-26,39.24,40.02,38.87,39.91,83100,38.81
2014-09-25,39.41,39.59,38.64,39.11,74700,38.03
2014-09-24,39.50,39.79,39.35,39.51,108800,38.42
2014-09-23,39.17,39.53,39.08,39.39,232900,38.30
2014-09-22,39.27,39.27,38.75,39.19,124700,38.11
2014-09-19,41.26,41.26,39.44,39.51,175000,38.42
2014-09-18,41.03,41.43,40.95,41.19,74800,40.05
2014-09-17,41.43,41.43,40.69,40.94,63400,39.81
2014-09-16,40.82,41.47,40.28,41.30,79900,40.16
2014-09-15,41.16,41.22,40.89,40.97,44500,39.84
2014-09-12,42.34,42.41,41.05,41.26,117700,40.12
2014-09-11,42.40,42.98,41.85,42.28,96700,41.11
2014-09-10,42.25,42.71,42.17,42.65,104300,41.47
2014-09-09,42.85,42.86,42.04,42.30,71400,41.13
2014-09-08,42.66,43.11,42.49,43.00,42300,41.81
2014-09-05,42.53,42.90,42.16,42.82,70300,41.64
2014-09-04,44.02,44.02,42.38,42.50,105800,41.33
2014-09-03,44.07,44.07,43.58,43.89,222400,42.68
2014-09-02,43.90,44.36,43.65,43.93,69300,42.50
2014-08-29,43.24,43.76,43.06,43.64,72600,42.22
2014-08-28,43.23,43.23,42.83,43.02,51200,41.62
2014-08-27,43.43,43.49,43.16,43.29,53100,41.89
2014-08-26,43.16,43.70,43.16,43.44,68200,42.03
2014-08-25,43.52,43.85,43.07,43.27,89500,41.87
2014-08-22,43.76,43.97,43.09,43.15,79500,41.75
2014-08-21,43.31,43.97,43.00,43.56,120300,42.15
2014-08-20,43.29,43.73,42.83,43.22,85900,41.82
2014-08-19,43.53,43.72,43.09,43.34,85200,41.93
2014-08-18,43.53,44.04,43.29,43.43,115700,42.02
2014-08-15,43.86,43.91,42.51,43.16,84600,41.76
2014-08-14,43.63,43.91,43.16,43.49,43000,42.08
2014-08-13,43.29,43.77,42.95,43.64,63200,42.22
2014-08-12,43.01,43.37,42.66,43.11,122400,41.71
2014-08-11,42.63,43.61,42.13,43.12,100800,41.72
2014-08-08,41.88,42.71,41.66,42.49,75400,41.11
2014-08-07,42.65,42.82,41.42,41.83,86200,40.47
2014-08-06,41.43,42.69,41.19,42.49,98500,41.11
2014-08-05,41.93,42.07,41.28,41.56,57600,40.21
2014-08-04,41.83,42.20,41.39,42.15,86900,40.78
2014-08-01,41.41,41.88,41.11,41.66,70700,40.31
