Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,6.01,6.08,5.86,5.90,92900,5.90
2015-02-12,5.85,6.08,5.79,5.97,395800,5.97
2015-02-11,5.64,6.33,5.64,5.85,183900,5.85
2015-02-10,6.10,6.36,5.61,5.67,201300,5.67
2015-02-09,6.16,6.23,6.01,6.10,237400,6.10
2015-02-06,5.95,6.19,5.72,6.15,174000,6.15
2015-02-05,5.62,6.03,5.50,5.94,135600,5.94
2015-02-04,5.50,5.66,5.50,5.63,99800,5.63
2015-02-03,5.50,5.50,5.37,5.49,129100,5.49
2015-02-02,5.50,5.77,5.27,5.46,549800,5.46
2015-01-30,6.34,6.53,4.53,5.50,2971600,5.50
2015-01-29,7.37,7.37,6.28,6.28,506100,6.28
2015-01-28,7.62,7.70,7.32,7.37,372500,7.37
2015-01-27,7.69,7.73,7.50,7.51,132000,7.51
2015-01-26,7.60,7.79,7.31,7.72,257200,7.72
2015-01-23,7.65,7.65,7.55,7.61,148400,7.61
2015-01-22,7.54,7.89,7.54,7.65,117900,7.65
2015-01-21,7.61,7.76,7.43,7.55,114900,7.55
2015-01-20,7.59,8.00,7.45,7.64,186800,7.64
2015-01-16,7.92,8.00,7.40,7.53,175300,7.53
2015-01-15,8.26,8.36,7.88,7.89,139800,7.89
2015-01-14,8.42,8.45,8.14,8.23,273600,8.23
2015-01-13,8.49,8.55,8.24,8.49,431600,8.49
2015-01-12,8.41,8.50,8.22,8.30,166300,8.30
2015-01-09,8.47,8.49,8.26,8.44,199700,8.44
2015-01-08,8.24,8.50,8.11,8.49,243300,8.49
2015-01-07,8.33,8.40,8.09,8.18,236100,8.18
2015-01-06,8.15,8.40,8.01,8.09,323400,8.09
2015-01-05,8.60,8.60,7.90,7.98,362100,7.98
2015-01-02,8.08,8.48,8.08,8.34,393700,8.34
2014-12-31,8.24,8.27,7.77,7.91,182300,7.91
2014-12-30,7.30,8.22,7.29,8.19,827100,8.19
2014-12-29,7.08,7.30,7.05,7.28,220400,7.28
2014-12-26,7.13,7.29,7.06,7.11,42800,7.11
2014-12-24,7.21,7.21,7.05,7.14,16100,7.14
2014-12-23,7.15,7.19,7.15,7.18,20100,7.18
2014-12-22,7.17,7.30,7.01,7.11,101600,7.11
2014-12-19,7.20,7.34,6.92,6.94,242700,6.94
2014-12-18,7.20,7.28,7.09,7.14,348100,7.14
2014-12-17,7.01,7.25,7.00,7.10,200500,7.10
2014-12-16,7.04,7.04,6.75,6.96,807500,6.96
2014-12-15,6.91,7.13,6.71,6.86,217700,6.86
2014-12-12,7.07,7.17,6.91,6.97,356100,6.97
2014-12-11,7.06,7.17,7.02,7.15,164400,7.15
2014-12-10,7.25,7.26,7.00,7.03,156000,7.03
2014-12-09,7.00,7.18,6.98,7.07,297100,7.07
2014-12-08,6.85,7.41,6.82,7.06,361000,7.06
2014-12-05,6.98,7.08,6.76,7.00,262400,7.00
2014-12-04,7.10,7.20,6.98,7.01,975900,7.01
2014-12-03,7.00,7.31,6.90,7.04,307200,7.04
2014-12-02,7.10,7.30,7.10,7.21,630000,7.21
2014-12-01,7.48,7.48,7.10,7.21,665500,7.21
2014-11-28,7.49,7.52,7.25,7.34,96600,7.34
2014-11-26,7.60,7.60,7.15,7.22,585300,7.22
2014-11-25,7.54,7.63,7.25,7.38,1111500,7.38
2014-11-24,7.80,8.06,7.60,7.60,912900,7.60
2014-11-21,7.26,7.89,7.25,7.61,2532500,7.61
2014-11-20,7.63,7.88,7.05,7.15,14049100,7.15
