Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,79.39,79.71,78.65,78.88,3216000,78.88
2015-02-12,78.03,79.64,77.89,79.29,3961500,79.29
2015-02-11,77.10,77.58,76.90,77.32,1923300,77.32
2015-02-10,77.42,77.60,76.75,77.06,2063000,77.06
2015-02-09,75.69,77.04,75.29,76.72,2441500,76.72
2015-02-06,76.32,77.51,76.07,76.22,3786500,76.22
2015-02-05,75.45,75.96,75.41,75.78,3303500,75.78
2015-02-04,75.74,76.08,75.08,75.30,3317900,75.00
2015-02-03,74.69,75.60,74.54,75.51,2830800,75.21
2015-02-02,73.70,74.52,72.77,74.42,3552000,74.12
2015-01-30,74.50,74.91,73.11,73.21,4937800,72.92
2015-01-29,74.20,75.25,73.90,74.96,4577700,74.66
2015-01-28,76.66,76.84,74.43,74.45,4404900,74.15
2015-01-27,77.28,77.58,76.70,76.77,3205600,76.46
2015-01-26,77.23,78.30,76.50,78.19,4297900,77.88
2015-01-23,76.63,78.72,76.63,77.60,4822800,77.29
2015-01-22,76.96,77.16,74.75,76.20,7580300,75.90
2015-01-21,77.08,77.60,76.60,77.21,2486600,76.90
2015-01-20,76.63,77.62,76.44,77.39,3296000,77.08
2015-01-16,76.64,77.21,75.55,76.65,4689900,76.34
2015-01-15,76.75,78.38,76.64,76.95,3913300,76.64
2015-01-14,77.44,77.44,75.51,76.75,4149400,76.44
2015-01-13,79.75,80.04,77.63,78.39,3944700,78.08
2015-01-12,79.79,80.00,78.65,79.06,2372100,78.75
2015-01-09,80.90,81.03,79.36,79.37,2741300,79.05
2015-01-08,80.71,81.39,80.58,80.77,2008200,80.45
2015-01-07,80.16,80.46,79.71,79.99,2434100,79.67
2015-01-06,80.73,80.77,78.86,79.09,2929500,78.77
2015-01-05,81.57,82.16,80.20,80.59,2678200,80.27
2015-01-02,82.79,83.24,81.73,82.49,1483200,82.16
2014-12-31,83.83,83.95,82.53,82.55,1523200,82.22
2014-12-30,83.09,83.72,82.90,83.31,2069000,82.98
2014-12-29,82.96,83.96,82.83,83.30,1601200,82.97
2014-12-26,83.38,83.78,83.18,83.21,957600,82.88
2014-12-24,83.57,83.57,83.19,83.23,1040600,82.90
2014-12-23,83.39,83.77,83.21,83.28,1685200,82.95
2014-12-22,82.40,82.93,82.08,82.89,2040800,82.56
2014-12-19,82.46,82.94,81.72,82.43,4057100,82.10
2014-12-18,80.34,82.17,80.33,82.16,4340300,81.83
2014-12-17,78.42,79.62,78.15,79.61,5072400,79.29
2014-12-16,78.87,79.94,77.72,78.23,3887600,77.92
2014-12-15,80.51,80.51,78.58,79.61,4607400,79.29
2014-12-12,81.80,82.23,80.15,80.17,3028100,79.85
2014-12-11,82.58,83.11,82.19,82.38,2138300,82.05
2014-12-10,83.28,83.60,82.30,82.39,4792900,82.06
2014-12-09,82.09,83.52,82.09,83.27,3188700,82.94
2014-12-08,83.17,83.26,82.48,83.20,3581200,82.87
2014-12-05,82.70,83.26,82.43,82.94,2853200,82.61
2014-12-04,81.00,82.19,81.00,82.09,2924000,81.76
2014-12-03,82.05,82.57,81.83,82.18,2333500,81.85
2014-12-02,82.14,82.80,81.97,82.34,1962200,82.01
2014-12-01,82.54,82.80,82.17,82.31,2161000,81.98
2014-11-28,82.62,83.69,82.59,83.20,1161900,82.87
2014-11-26,82.91,83.00,82.41,82.75,1470000,82.42
2014-11-25,82.10,82.86,81.99,82.66,2393700,82.33
2014-11-24,81.58,82.23,81.51,82.10,1767900,81.77
2014-11-21,81.75,81.91,80.93,81.21,2461900,80.89
2014-11-20,80.45,81.53,80.22,81.09,2968000,80.77
2014-11-19,81.40,81.46,80.48,80.64,2173200,80.32
2014-11-18,81.50,82.03,81.25,81.29,2596100,80.97
2014-11-17,81.73,81.73,80.37,81.14,2931000,80.82
2014-11-14,81.41,81.96,81.41,81.76,2458300,81.43
2014-11-13,82.01,82.33,81.20,81.60,2632200,81.27
2014-11-12,81.95,82.01,81.26,81.57,2408300,81.25
2014-11-11,82.23,83.21,81.83,82.18,3543900,81.85
2014-11-10,82.60,83.30,82.54,83.24,2207100,82.91
2014-11-07,82.22,83.14,82.00,82.60,2065100,82.27
2014-11-06,81.60,82.31,81.24,82.08,2413200,81.75
2014-11-05,82.69,82.79,81.32,81.60,3954700,80.98
2014-11-04,82.77,82.84,81.84,82.47,2199400,81.84
2014-11-03,83.00,83.32,82.51,82.67,2061000,82.04
2014-10-31,82.87,83.07,82.43,82.77,2666600,82.14
2014-10-30,81.40,82.36,81.21,81.73,2227400,81.11
2014-10-29,80.83,81.80,80.58,81.29,2509500,80.67
2014-10-28,79.61,80.80,79.55,80.69,2251700,80.07
2014-10-27,79.25,79.68,78.86,79.04,2675700,78.44
2014-10-24,78.65,79.35,78.44,79.27,2289700,78.66
2014-10-23,78.68,78.92,78.21,78.39,2306300,77.79
2014-10-22,78.51,78.77,77.80,77.85,3531500,77.25
2014-10-21,77.29,78.74,76.69,78.70,4667400,78.10
2014-10-20,76.23,76.73,76.00,76.50,4578800,75.92
2014-10-17,75.99,76.77,75.08,76.43,9753000,75.85
2014-10-16,77.85,79.46,77.26,78.53,5980200,77.93
2014-10-15,79.05,80.19,77.83,79.21,7118000,78.60
2014-10-14,79.61,80.48,79.54,80.03,2889600,79.42
2014-10-13,80.23,80.81,79.41,79.48,2987200,78.87
2014-10-10,81.44,82.14,80.34,80.36,2738900,79.75
2014-10-09,82.61,83.10,81.33,81.44,2954700,80.82
2014-10-08,81.11,82.94,80.71,82.76,3370700,82.13
2014-10-07,81.54,81.81,80.82,80.82,3123900,80.20
2014-10-06,82.81,82.99,81.82,82.22,1952600,81.59
2014-10-03,82.08,82.66,82.03,82.28,3397200,81.65
2014-10-02,80.68,81.50,80.14,81.13,2721800,80.51
2014-10-01,81.75,81.91,80.57,80.61,3336100,79.99
2014-09-30,81.94,82.40,81.56,81.62,3460900,81.00
2014-09-29,80.79,82.03,80.75,81.83,3133600,81.20
2014-09-26,81.05,81.81,80.88,81.61,2292000,80.99
2014-09-25,82.27,82.51,81.01,81.01,3232300,80.39
2014-09-24,82.21,82.52,81.66,82.42,2158900,81.79
2014-09-23,82.81,83.20,82.04,82.05,2805900,81.42
2014-09-22,83.93,84.35,83.25,83.29,2112500,82.65
2014-09-19,84.42,84.66,83.89,84.07,4328500,83.43
2014-09-18,83.16,83.99,82.97,83.67,4199200,83.03
2014-09-17,82.48,83.27,82.13,82.88,4075000,82.25
2014-09-16,81.55,82.49,81.25,82.18,2891500,81.55
2014-09-15,81.12,81.78,80.92,81.50,3621100,80.88
2014-09-12,81.12,81.22,80.66,80.94,2949600,80.32
2014-09-11,81.04,81.34,80.93,81.23,2129800,80.61
2014-09-10,81.61,82.23,81.20,81.23,3078700,80.61
2014-09-09,81.99,82.06,81.48,81.52,1945700,80.90
2014-09-08,82.42,82.78,81.85,82.08,1906600,81.45
2014-09-05,82.50,82.85,82.14,82.69,1620600,82.06
2014-09-04,82.68,83.10,82.18,82.50,1892600,81.87
2014-09-03,82.81,82.93,82.44,82.53,2207400,81.90
2014-09-02,82.34,82.69,81.87,82.58,2808900,81.95
2014-08-29,82.05,82.42,81.79,82.06,1897900,81.43
2014-08-28,81.50,81.79,81.21,81.59,1200600,80.97
2014-08-27,81.99,82.02,81.69,81.96,1556800,81.33
2014-08-26,82.13,82.25,81.74,81.80,1458000,81.17
2014-08-25,81.87,82.66,81.82,82.06,2188200,81.43
2014-08-22,81.65,82.00,81.20,81.30,1458800,80.68
2014-08-21,81.21,81.82,80.97,81.69,2863900,81.07
2014-08-20,80.45,81.02,80.26,80.92,2159600,80.30
2014-08-19,80.63,80.68,80.42,80.48,1687500,79.86
2014-08-18,79.87,80.42,79.77,80.42,3003500,79.81
2014-08-15,80.17,80.24,78.74,79.30,2364900,78.69
2014-08-14,79.91,80.15,79.63,79.79,1611100,79.18
2014-08-13,79.64,79.96,79.39,79.88,2594000,79.27
2014-08-12,78.39,79.42,78.39,79.34,2927200,78.73
2014-08-11,79.03,79.34,78.59,78.71,1745100,78.11
2014-08-08,78.12,78.90,77.70,78.88,2279600,78.28
2014-08-07,78.85,78.92,77.88,78.04,2346400,77.44
2014-08-06,78.38,79.08,78.25,78.76,2820900,77.86
2014-08-05,79.71,79.92,78.65,78.79,3695200,77.89
2014-08-04,79.80,80.22,79.40,80.22,5056900,79.30
2014-08-01,79.04,80.02,78.87,79.49,4016700,78.58
2014-07-31,81.11,81.18,79.54,79.54,3243200,78.63
2014-07-30,81.48,81.80,81.02,81.56,2806300,80.63
2014-07-29,81.53,81.91,81.18,81.19,2139100,80.26
2014-07-28,83.11,83.52,81.16,81.53,2386600,80.60
2014-07-25,82.11,82.52,81.57,81.65,2929600,80.72
2014-07-24,82.54,82.61,82.17,82.40,3620000,81.46
2014-07-23,82.33,82.39,81.95,81.99,2851400,81.05
2014-07-22,81.91,82.39,81.89,82.12,3966300,81.18
2014-07-21,82.32,82.42,81.78,81.92,3595400,80.98
2014-07-18,83.68,83.90,82.06,82.29,6368300,81.35
2014-07-17,84.07,84.28,82.41,82.49,4083900,81.55
2014-07-16,85.05,85.16,84.06,84.38,3356700,83.42
2014-07-15,84.39,85.39,84.34,84.90,3029200,83.93
2014-07-14,84.64,84.90,83.89,84.01,2608500,83.05
2014-07-11,83.77,84.08,83.32,83.96,1934500,83.00
2014-07-10,83.04,84.08,82.99,83.69,2401700,82.73
2014-07-09,84.15,84.95,83.68,84.39,2773000,83.43
2014-07-08,83.29,83.61,82.89,83.23,2640700,82.28
2014-07-07,84.31,84.60,83.29,83.57,2501800,82.62
2014-07-03,84.20,84.98,83.91,84.95,2811500,83.98
2014-07-02,83.29,83.68,83.15,83.60,2830400,82.64
2014-07-01,83.12,83.53,82.88,83.02,3252600,82.07
2014-06-30,83.00,83.08,82.48,82.60,2349100,81.66
2014-06-27,81.06,83.19,81.06,83.01,2723100,82.06
2014-06-26,82.25,82.52,81.54,82.49,1977300,81.55
2014-06-25,82.14,82.59,81.94,82.33,2554600,81.39
2014-06-24,83.35,83.72,82.42,82.45,3538400,81.51
2014-06-23,83.18,83.57,82.75,83.49,3117500,82.54
2014-06-20,82.40,83.89,82.38,83.43,6220000,82.48
2014-06-19,81.97,82.22,81.34,82.00,3867100,81.06
2014-06-18,80.82,81.74,80.20,81.65,5820200,80.72
2014-06-17,80.82,81.55,80.77,80.90,5594400,79.98
2014-06-16,80.38,81.40,80.15,81.04,3273000,80.11
2014-06-13,80.91,81.04,80.13,80.47,3259900,79.55
2014-06-12,80.61,81.26,80.61,80.93,2920700,80.01
2014-06-11,81.57,81.57,80.30,80.83,3373700,79.91
2014-06-10,81.81,81.96,81.48,81.71,2537600,80.78
2014-06-09,81.00,82.32,80.96,81.99,3341000,81.05
2014-06-06,79.91,80.97,79.78,80.80,2650900,79.88
2014-06-05,78.90,79.97,78.81,79.82,2088300,78.91
2014-06-04,78.69,79.28,78.60,79.18,2094400,78.28
2014-06-03,78.47,79.07,78.11,78.78,2410700,77.88
2014-06-02,78.92,79.03,78.20,78.63,2454500,77.73
2014-05-30,78.65,79.24,78.61,78.89,2424900,77.99
2014-05-29,78.59,78.90,78.17,78.72,2464100,77.82
2014-05-28,77.98,78.88,77.93,78.55,2939400,77.65
2014-05-27,77.19,78.20,77.16,77.75,2028500,76.86
2014-05-23,76.43,77.28,76.43,77.19,1702000,76.31
2014-05-22,76.50,77.08,76.50,76.65,1936300,75.77
2014-05-21,75.80,76.79,75.70,76.67,1830300,75.79
2014-05-20,76.09,76.25,75.33,75.48,1928600,74.62
2014-05-19,75.70,76.16,75.60,76.10,2264100,75.23
