Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,54.25,54.64,54.25,54.36,16100,54.36
2015-02-12,54.30,54.62,54.30,54.49,14300,54.49
2015-02-11,54.25,54.81,53.58,54.21,10800,54.21
2015-02-10,54.55,54.76,53.97,54.02,11400,54.02
2015-02-09,54.50,54.80,53.62,54.16,12200,54.16
2015-02-06,54.74,55.07,54.02,54.42,17900,54.42
2015-02-05,55.06,55.38,54.24,54.70,17700,54.70
2015-02-04,54.11,55.20,54.11,54.60,19100,54.60
2015-02-03,53.10,54.24,53.10,54.11,27000,54.11
2015-02-02,52.30,53.38,51.75,52.35,40600,52.35
2015-01-30,52.99,54.26,52.07,52.25,37500,52.25
2015-01-29,50.86,54.42,50.26,53.55,37700,53.55
2015-01-28,51.63,52.51,50.57,50.96,20400,50.96
2015-01-27,52.38,52.68,51.72,52.54,13000,52.54
2015-01-26,53.81,54.18,52.79,53.07,18300,53.07
2015-01-23,53.46,54.11,52.78,53.55,36500,53.55
2015-01-22,52.41,53.25,51.75,53.20,41300,53.20
2015-01-21,52.17,52.88,51.53,51.86,41300,51.86
2015-01-20,52.96,53.31,52.12,52.55,15700,52.55
2015-01-16,53.30,53.90,52.42,53.23,32200,53.23
2015-01-15,55.15,55.15,52.88,53.63,32600,53.63
2015-01-14,54.95,55.47,53.83,54.74,18800,54.74
2015-01-13,56.00,57.15,54.84,55.56,26000,55.56
2015-01-12,56.23,56.60,54.67,56.25,35900,56.25
2015-01-09,56.82,58.05,56.16,56.65,23900,56.65
2015-01-08,56.57,57.73,56.57,56.98,19100,56.98
2015-01-07,55.79,57.24,55.43,56.10,27100,56.10
2015-01-06,55.93,56.98,55.26,55.71,13600,55.71
2015-01-05,57.80,57.80,55.86,56.51,14200,56.51
2015-01-02,58.11,58.20,57.51,58.01,25200,58.01
2014-12-31,58.39,58.39,57.42,57.88,20900,57.88
2014-12-30,59.36,59.70,58.30,58.62,10700,58.62
2014-12-29,60.22,60.22,58.75,59.42,16200,59.42
2014-12-26,59.05,59.90,58.82,59.77,12200,59.77
2014-12-24,58.31,59.10,57.98,58.76,7300,58.76
2014-12-23,58.27,58.66,57.59,58.16,31000,58.16
2014-12-22,57.99,58.20,57.80,58.20,10300,58.20
2014-12-19,55.79,58.76,55.48,58.16,95100,58.16
2014-12-18,55.57,56.73,54.79,55.96,48600,55.96
2014-12-17,52.16,55.25,51.84,55.16,29900,55.16
2014-12-16,50.63,52.71,50.57,51.77,37700,51.77
2014-12-15,52.01,52.21,50.68,50.99,20100,50.99
2014-12-12,52.70,53.21,51.96,52.55,36100,52.55
2014-12-11,54.60,54.60,53.20,53.43,24800,53.43
2014-12-10,55.29,56.43,54.73,54.78,25800,54.78
2014-12-09,55.30,55.74,55.25,55.66,36600,55.66
2014-12-08,55.80,56.32,55.50,55.76,35100,55.76
2014-12-05,55.69,56.87,55.57,55.75,38200,55.75
2014-12-04,56.22,56.77,55.61,56.02,28700,56.02
2014-12-03,55.08,56.90,55.08,55.98,29900,55.98
2014-12-02,55.84,56.19,54.81,55.36,18600,55.36
2014-12-01,53.99,55.96,53.13,55.05,39700,55.05
2014-11-28,54.51,55.16,53.67,53.76,17300,53.76
2014-11-26,55.47,55.47,53.53,54.14,24600,54.14
2014-11-25,54.87,56.59,54.87,55.33,36000,55.33
2014-11-24,53.56,54.94,53.56,54.72,31800,54.72
2014-11-21,54.05,54.39,53.28,53.83,43400,53.83
2014-11-20,52.65,53.48,52.60,53.07,102300,53.07
2014-11-19,52.41,53.21,52.19,52.65,88300,52.65
2014-11-18,51.68,52.47,51.68,52.21,75400,52.21
2014-11-17,52.23,53.56,51.00,51.71,52300,51.71
2014-11-14,52.54,53.29,52.28,52.50,117400,52.50
2014-11-13,53.31,53.48,52.33,52.53,315400,52.53
2014-11-12,53.75,54.30,52.63,53.42,97400,53.42
2014-11-11,55.81,56.15,53.96,54.26,33300,54.26
2014-11-10,55.08,56.05,54.95,55.62,52100,55.62
2014-11-07,54.27,56.34,53.84,55.23,53200,55.23
2014-11-06,53.93,54.46,52.73,53.81,30000,53.81
2014-11-05,56.59,56.64,53.34,53.60,23600,53.60
2014-11-04,55.77,56.48,54.81,55.84,26700,55.84
2014-11-03,54.75,56.43,54.01,55.60,37000,55.60
2014-10-31,59.50,59.50,53.51,54.58,179400,54.58
2014-10-30,57.67,58.58,57.39,58.00,37300,58.00
2014-10-29,58.08,58.22,56.88,58.22,14500,58.22
2014-10-28,56.42,57.99,56.42,57.71,59200,57.71
2014-10-27,56.66,57.10,55.74,56.44,10900,56.44
2014-10-24,57.21,57.53,56.03,57.05,16800,57.05
2014-10-23,57.15,57.40,56.70,57.04,17000,57.04
2014-10-22,57.64,57.64,56.34,56.67,29300,56.67
2014-10-21,55.82,57.90,55.60,57.05,31600,57.05
2014-10-20,55.00,55.88,54.51,55.75,27500,55.75
2014-10-17,56.30,56.33,55.12,55.20,12400,55.20
2014-10-16,56.04,56.60,54.96,55.71,32200,55.71
2014-10-15,53.56,56.03,53.40,55.43,46800,55.43
2014-10-14,54.41,55.62,53.85,55.00,31500,55.00
2014-10-13,53.80,54.90,53.25,53.78,32600,53.78
2014-10-10,54.28,54.59,53.07,53.40,18500,53.40
2014-10-09,56.06,56.09,54.74,54.98,17400,54.98
2014-10-08,56.41,56.86,55.72,56.25,89000,56.25
2014-10-07,57.01,57.32,55.70,56.62,17500,56.62
2014-10-06,57.55,57.97,56.98,57.09,12200,57.09
2014-10-03,57.90,57.98,57.15,57.60,14100,57.60
2014-10-02,57.75,58.02,56.37,57.12,76900,57.12
2014-10-01,62.18,62.18,57.44,57.52,112200,57.52
2014-09-30,62.33,62.79,61.82,62.40,55400,62.40
2014-09-29,62.34,62.70,62.07,62.47,20500,62.47
2014-09-26,62.42,62.94,62.31,62.55,14200,62.55
2014-09-25,62.40,63.03,62.05,62.49,18500,62.49
2014-09-24,62.93,63.44,62.27,63.01,20700,63.01
2014-09-23,62.91,63.77,62.17,62.52,21500,62.52
2014-09-22,63.72,63.72,62.66,62.86,21100,62.86
2014-09-19,63.92,64.84,62.47,64.26,62800,64.26
2014-09-18,63.33,64.29,62.99,63.82,9200,63.82
2014-09-17,62.05,63.23,61.93,62.90,14000,62.90
2014-09-16,62.19,62.51,61.61,61.91,21900,61.91
2014-09-15,63.89,64.20,62.05,62.56,18200,62.56
2014-09-12,65.38,65.38,63.30,63.41,15900,63.41
