Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,26.70,26.80,26.69,26.76,16700,26.76
2015-02-12,26.62,26.75,26.62,26.68,31900,26.68
2015-02-11,26.57,26.67,26.57,26.59,33100,26.59
2015-02-10,26.51,26.62,26.51,26.60,27800,26.60
2015-02-09,26.54,26.57,26.54,26.54,30600,26.54
2015-02-06,26.73,26.76,26.57,26.61,15200,26.61
2015-02-05,26.63,26.74,26.63,26.73,21800,26.73
2015-02-04,26.74,26.75,26.67,26.67,19000,26.67
2015-02-03,26.79,26.80,26.75,26.76,26000,26.76
2015-02-02,26.75,26.76,26.72,26.74,22500,26.74
2015-01-30,26.85,26.86,26.71,26.71,45400,26.71
2015-01-29,26.80,26.88,26.80,26.84,45700,26.84
2015-01-28,26.83,26.83,26.79,26.81,49600,26.81
2015-01-27,26.75,26.82,26.75,26.79,69000,26.79
2015-01-26,26.82,26.88,26.80,26.82,30400,26.82
2015-01-23,26.73,26.82,26.72,26.78,21500,26.78
2015-01-22,26.77,26.79,26.72,26.76,22900,26.76
2015-01-21,26.72,26.77,26.66,26.66,26400,26.66
2015-01-20,26.86,26.86,26.68,26.71,36600,26.71
2015-01-16,26.75,26.83,26.75,26.78,43800,26.78
2015-01-15,26.88,26.88,26.74,26.76,23200,26.76
2015-01-14,26.76,26.82,26.76,26.78,19700,26.78
2015-01-13,26.88,26.88,26.74,26.77,28200,26.77
2015-01-12,26.81,26.85,26.79,26.81,14600,26.81
2015-01-09,26.81,26.85,26.76,26.83,16100,26.83
2015-01-08,26.90,26.90,26.83,26.83,32600,26.83
2015-01-07,27.00,27.03,26.85,26.89,138000,26.89
2015-01-06,26.83,26.99,26.80,26.96,23600,26.96
2015-01-05,26.94,26.98,26.77,26.88,45100,26.88
2015-01-02,26.79,27.00,26.79,26.98,26100,26.98
2014-12-31,26.80,26.80,26.68,26.80,43300,26.80
2014-12-30,26.78,26.80,26.71,26.79,12900,26.79
2014-12-29,26.65,26.78,26.65,26.75,23000,26.75
2014-12-26,26.51,26.67,26.50,26.63,103700,26.63
2014-12-24,26.65,26.70,26.62,26.65,6600,26.65
2014-12-23,26.78,26.78,26.66,26.68,16700,26.68
2014-12-22,26.69,26.78,26.69,26.77,17000,26.77
2014-12-19,26.51,26.84,26.51,26.73,29400,26.73
2014-12-18,26.49,26.59,26.49,26.54,19700,26.54
2014-12-17,26.23,26.39,26.23,26.38,17700,26.38
2014-12-16,26.13,26.39,26.13,26.29,26200,26.29
2014-12-15,26.50,26.55,26.36,26.36,15600,26.36
2014-12-12,26.55,26.56,26.49,26.54,13000,26.54
2014-12-11,26.39,26.73,26.39,26.58,58700,26.58
2014-12-10,26.40,26.47,26.30,26.46,40100,26.46
2014-12-09,26.28,26.40,26.23,26.40,24000,26.40
2014-12-08,26.16,26.29,26.16,26.29,15400,26.29
2014-12-05,26.11,26.31,26.09,26.12,22700,26.12
2014-12-04,26.43,26.43,26.12,26.12,33700,26.12
2014-12-03,26.60,26.63,26.40,26.42,17800,26.42
2014-12-02,26.55,26.59,26.51,26.58,53400,26.58
