Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,21.05,21.18,21.05,21.13,46200,21.13
2015-02-12,20.88,21.06,20.83,20.93,75000,20.93
2015-02-11,20.87,21.01,20.71,20.78,99100,20.78
2015-02-10,21.26,21.28,20.90,21.03,105500,21.03
2015-02-09,21.32,21.51,21.18,21.24,64400,21.24
2015-02-06,21.43,21.46,21.25,21.35,125700,21.35
2015-02-05,21.19,21.48,21.17,21.28,104700,21.28
2015-02-04,20.89,21.12,20.85,21.05,120200,21.05
2015-02-03,20.81,21.16,20.74,21.08,118000,21.08
2015-02-02,20.47,20.69,20.38,20.69,95400,20.69
2015-01-30,20.30,20.58,20.01,20.41,121400,20.41
2015-01-29,20.38,20.40,19.98,20.39,102100,20.39
2015-01-28,20.75,20.75,20.25,20.32,120800,20.32
2015-01-27,20.56,20.73,20.39,20.69,91400,20.69
2015-01-26,20.69,20.80,20.60,20.70,120300,20.70
2015-01-23,20.50,20.75,20.32,20.64,117200,20.64
2015-01-22,20.90,20.93,20.45,20.56,179200,20.56
2015-01-21,20.27,20.71,20.26,20.69,105600,20.69
2015-01-20,20.07,20.35,19.83,20.24,131800,20.24
2015-01-16,19.69,20.25,19.69,20.25,143400,20.25
2015-01-15,19.74,19.94,19.47,19.54,178300,19.54
2015-01-14,19.55,19.66,19.07,19.60,332700,19.60
2015-01-13,19.99,20.16,19.60,19.66,187500,19.66
2015-01-12,20.43,20.44,19.77,19.96,211800,19.96
2015-01-09,20.60,20.86,20.36,20.59,84300,20.59
2015-01-08,20.48,20.88,20.48,20.64,80900,20.64
2015-01-07,20.53,20.78,20.25,20.35,110100,20.35
2015-01-06,20.94,21.10,20.23,20.31,191100,20.31
2015-01-05,21.52,21.52,20.88,21.07,103200,21.07
2015-01-02,21.44,21.69,21.42,21.69,53400,21.69
2014-12-31,21.44,21.52,21.27,21.39,132500,21.39
2014-12-30,21.25,21.37,21.16,21.35,74300,21.35
2014-12-29,21.11,21.42,21.09,21.23,193000,21.23
2014-12-26,21.33,21.62,21.15,21.19,67400,21.19
2014-12-24,21.33,21.52,21.13,21.30,102700,21.30
2014-12-23,20.75,21.56,20.75,21.36,198700,21.36
2014-12-22,21.17,21.31,20.86,21.26,163300,21.26
2014-12-19,21.36,21.56,21.23,21.24,237600,21.24
2014-12-18,21.30,21.90,20.70,21.32,267800,21.32
2014-12-17,19.67,20.92,19.67,20.84,349800,20.84
2014-12-16,19.10,20.04,18.89,19.78,326600,19.78
2014-12-15,19.82,19.96,19.30,19.43,187500,19.43
2014-12-12,19.74,19.96,19.53,19.69,274900,19.69
2014-12-11,20.28,20.71,19.96,19.97,179800,19.97
2014-12-10,20.47,20.52,20.15,20.30,246900,20.30
2014-12-09,20.28,20.84,20.12,20.76,401500,20.76
2014-12-08,21.43,21.43,20.44,20.64,223900,20.64
2014-12-05,21.61,21.75,21.56,21.60,174100,21.60
2014-12-04,21.48,21.85,21.47,21.67,225400,21.67
2014-12-03,21.38,21.71,21.38,21.62,140600,21.62
2014-12-02,20.94,21.50,20.90,21.31,228100,21.31
2014-12-01,21.87,21.90,20.97,21.03,278200,21.03
2014-11-28,22.99,22.99,22.03,22.07,151000,22.07
2014-11-26,23.10,23.14,22.90,23.14,163000,23.14
2014-11-25,23.06,23.19,22.87,23.07,223000,23.07
