Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,8.05,8.20,7.94,8.20,49300,8.20
2015-02-12,8.09,8.09,7.90,8.02,35600,8.02
2015-02-11,7.95,8.06,7.94,8.06,25900,8.06
2015-02-10,8.10,8.10,7.95,7.96,40100,7.96
2015-02-09,8.05,8.06,7.93,8.01,38600,8.01
2015-02-06,7.90,8.10,7.90,8.02,43500,8.02
2015-02-05,7.92,8.04,7.80,8.03,78700,8.03
2015-02-04,7.92,8.06,7.92,7.97,53500,7.97
2015-02-03,8.17,8.17,7.93,7.98,56700,7.98
2015-02-02,8.25,8.25,7.86,8.11,94900,8.11
2015-01-30,7.80,8.18,7.80,8.02,60600,8.02
2015-01-29,7.90,8.00,7.82,7.89,54000,7.89
2015-01-28,8.17,8.18,7.90,8.00,83900,8.00
2015-01-27,8.15,8.15,7.90,8.11,89600,8.11
2015-01-26,8.12,8.22,8.00,8.14,66900,8.14
2015-01-23,8.25,8.35,8.00,8.08,120300,8.08
2015-01-22,8.08,8.25,8.00,8.17,41400,8.17
2015-01-21,7.92,8.35,7.75,7.96,122000,7.96
2015-01-20,8.33,9.24,7.75,7.91,241100,7.91
2015-01-16,8.29,8.38,8.05,8.33,82800,8.33
2015-01-15,8.40,8.40,8.20,8.28,62600,8.28
2015-01-14,8.20,8.40,8.10,8.27,115500,8.27
2015-01-13,8.28,8.43,8.20,8.20,109400,8.20
2015-01-12,8.45,8.67,8.12,8.28,138000,8.28
2015-01-09,8.00,8.35,7.77,8.12,1186700,8.12
2015-01-08,9.61,10.39,9.26,9.46,235000,9.46
2015-01-07,10.29,10.29,9.53,9.67,184000,9.67
2015-01-06,11.56,11.75,10.01,10.08,272200,10.08
2015-01-05,11.62,12.00,10.99,11.26,245100,11.26
2015-01-02,10.18,11.00,10.15,11.00,244900,11.00
2014-12-31,9.92,10.20,9.80,9.95,249000,9.95
2014-12-30,10.70,11.08,9.51,9.80,285000,9.80
2014-12-29,10.76,12.87,9.32,10.40,840500,10.40
2014-12-26,10.10,11.00,9.65,10.89,241800,10.89
2014-12-24,8.58,9.90,8.49,9.35,138900,9.35
2014-12-23,8.61,9.78,7.80,8.36,108000,8.36
2014-12-22,7.35,8.60,7.35,8.30,195300,8.30
2014-12-18,7.17,8.50,6.81,7.20,214500,7.20
2014-12-17,6.25,6.60,6.25,6.60,38200,6.60
2014-12-16,6.50,6.60,6.25,6.32,52300,6.32
2014-12-15,5.30,6.50,5.30,6.20,93900,6.20
2014-12-12,5.15,5.30,5.15,5.29,5500,5.29
2014-12-11,5.05,5.15,4.80,5.15,11300,5.15
2014-12-10,4.78,5.25,4.78,5.10,25200,5.10
2014-12-09,5.20,5.20,4.40,4.80,61900,4.80
2014-12-08,5.50,5.85,5.00,5.12,22300,5.12
2014-12-05,5.75,5.85,5.50,5.50,13200,5.50
2014-12-04,0.22,0.22,0.21,0.21,9500,5.30
2014-12-03,0.22,0.22,0.20,0.22,9000,5.50
