Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,26.18,26.32,26.16,26.26,65000,26.26
2015-02-12,26.08,26.18,26.08,26.14,67100,26.14
2015-02-11,26.00,26.08,25.97,26.07,58000,26.07
2015-02-10,25.98,26.05,25.93,25.98,88700,25.98
2015-02-09,25.85,25.91,25.84,25.86,53700,25.86
2015-02-06,26.00,26.00,25.75,25.80,145900,25.80
2015-02-05,26.20,26.20,25.95,26.05,92600,26.05
2015-02-04,26.34,26.36,26.14,26.19,112300,26.19
2015-02-03,26.28,26.37,26.25,26.34,56500,26.34
2015-02-02,26.40,26.41,26.24,26.33,68400,26.33
2015-01-30,26.40,26.40,26.34,26.35,103400,26.35
2015-01-29,26.30,26.49,26.30,26.40,78200,26.40
2015-01-28,26.32,26.34,26.25,26.30,88800,26.30
2015-01-27,26.17,26.31,26.12,26.23,96900,26.23
2015-01-26,26.07,26.17,25.95,26.16,119200,26.16
2015-01-23,25.92,26.25,25.92,26.16,133500,26.16
2015-01-22,25.88,25.99,25.86,25.99,85000,25.99
2015-01-21,25.89,26.00,25.68,25.94,213900,25.94
2015-01-20,25.90,25.92,25.70,25.89,152100,25.89
2015-01-16,25.75,25.84,25.70,25.73,23900,25.73
2015-01-15,25.83,25.83,25.60,25.73,119500,25.73
2015-01-14,25.62,25.78,25.62,25.75,82900,25.75
2015-01-13,25.80,25.85,25.74,25.77,89700,25.77
2015-01-12,25.67,25.81,25.67,25.79,83000,25.79
2015-01-09,25.67,25.76,25.65,25.76,75100,25.76
2015-01-08,25.62,25.71,25.60,25.67,100700,25.67
2015-01-07,25.58,25.67,25.53,25.67,160500,25.67
2015-01-06,25.62,25.73,25.57,25.57,88500,25.57
2015-01-05,25.80,25.80,25.54,25.60,74200,25.60
2015-01-02,25.70,25.90,25.65,25.88,57000,25.88
2014-12-31,25.47,25.64,25.47,25.64,53800,25.64
2014-12-30,25.52,25.52,25.42,25.49,60800,25.49
2014-12-29,25.53,25.53,25.38,25.49,102500,25.49
2014-12-26,25.68,25.82,25.61,25.77,46000,25.77
2014-12-24,25.72,25.72,25.58,25.59,37400,25.59
2014-12-23,25.71,25.75,25.65,25.70,126800,25.70
2014-12-22,25.75,25.94,25.60,25.70,98700,25.70
2014-12-19,25.62,25.75,25.62,25.75,36500,25.75
2014-12-18,25.60,25.75,25.56,25.64,25900,25.64
2014-12-17,25.58,25.63,25.50,25.59,59400,25.59
2014-12-16,25.45,25.58,25.42,25.58,71400,25.58
2014-12-15,25.42,25.48,25.36,25.42,57500,25.42
2014-12-12,25.45,25.49,25.33,25.36,60500,25.36
2014-12-11,25.47,25.54,25.43,25.49,48400,25.49
2014-12-10,25.45,25.45,25.35,25.43,54500,25.43
2014-12-09,25.47,25.50,25.40,25.43,71100,25.43
2014-12-08,25.59,25.59,25.48,25.50,63900,25.50
2014-12-05,25.55,25.60,25.51,25.57,44800,25.57
2014-12-04,25.66,25.70,25.51,25.57,56500,25.57
2014-12-03,25.70,25.74,25.65,25.66,142900,25.66
2014-12-02,25.70,25.77,25.63,25.65,85200,25.65
2014-12-01,25.80,25.94,25.59,25.64,227700,25.64
2014-11-28,25.80,25.83,25.72,25.78,79000,25.78
2014-11-26,25.54,25.86,25.54,25.83,111600,25.83
2014-11-25,25.46,25.52,25.46,25.51,136200,25.51
2014-11-24,25.52,25.52,25.47,25.50,68200,25.50
2014-11-21,25.47,25.52,25.43,25.49,142600,25.49
2014-11-20,25.47,25.58,25.42,25.47,333600,25.47
2014-11-19,25.51,25.63,25.49,25.50,100600,25.50
2014-11-18,25.49,25.57,25.43,25.56,179700,25.56
2014-11-17,25.49,25.49,25.42,25.46,120400,25.46
2014-11-14,25.45,25.53,25.40,25.42,106300,25.42
2014-11-13,25.40,25.55,25.40,25.45,116000,25.45
2014-11-12,25.37,25.43,25.30,25.41,463000,25.41
2014-11-11,25.37,25.39,25.29,25.35,111300,25.35
2014-11-10,25.40,25.45,25.30,25.32,125700,25.32
2014-11-07,25.42,25.50,25.27,25.38,168900,25.38
2014-11-06,25.47,25.47,25.22,25.40,227900,25.40
2014-11-05,25.28,25.34,25.22,25.29,83000,25.29
2014-11-04,25.65,25.65,25.23,25.29,148400,25.29
2014-11-03,25.50,25.60,25.36,25.37,214200,25.37
2014-10-31,25.25,25.59,25.18,25.57,244400,25.57
2014-10-30,25.10,25.26,25.10,25.26,162200,25.26
2014-10-29,25.08,25.19,25.08,25.12,185100,25.12
2014-10-28,25.07,25.13,25.06,25.07,362300,25.07
2014-10-27,25.01,25.09,25.00,25.07,194600,25.07
2014-10-24,25.05,25.07,24.99,25.02,141300,25.02
2014-10-23,25.01,25.07,25.00,25.03,323900,25.03
2014-10-22,24.93,25.00,24.93,24.97,291400,24.97
2014-10-21,24.87,24.97,24.87,24.92,213500,24.92
2014-10-20,24.82,24.90,24.81,24.87,162200,24.87
2014-10-17,24.84,24.84,24.74,24.78,133000,24.78
2014-10-16,24.75,24.83,24.72,24.79,192500,24.79
2014-10-15,24.73,24.84,24.72,24.75,409900,24.75
2014-10-14,24.78,24.85,24.78,24.83,170300,24.83
2014-10-13,24.84,24.85,24.72,24.77,176700,24.77
2014-10-10,24.81,24.88,24.70,24.81,309500,24.81
2014-10-09,24.84,24.89,24.77,24.80,297800,24.80
2014-10-08,24.76,24.85,24.70,24.83,439300,24.83
2014-10-07,24.75,24.80,24.68,24.72,538200,24.72
2014-10-06,24.58,24.75,24.55,24.73,570600,24.73
2014-10-03,24.50,24.60,24.48,24.59,371200,24.59
2014-10-02,24.43,24.49,24.41,24.45,496100,24.45
2014-10-01,24.44,24.49,24.35,24.39,580200,24.39
2014-09-30,24.32,24.50,24.25,24.36,716300,24.36
