Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,20.93,21.11,20.82,21.10,355500,21.10
2015-02-12,20.81,21.07,20.77,20.96,380400,20.96
2015-02-11,20.78,20.88,20.63,20.74,483800,20.74
2015-02-10,20.69,20.90,20.40,20.83,404900,20.83
2015-02-09,20.60,20.83,20.51,20.56,311700,20.56
2015-02-06,20.80,20.98,20.59,20.64,469200,20.64
2015-02-05,20.35,20.82,20.28,20.78,377900,20.78
2015-02-04,20.03,20.35,20.00,20.20,439300,20.20
2015-02-03,19.60,20.21,19.58,20.17,599000,20.17
2015-02-02,19.19,19.49,18.81,19.44,560600,19.44
2015-01-30,19.72,19.85,19.16,19.16,803900,19.16
2015-01-29,19.64,19.94,19.38,19.92,617900,19.92
2015-01-28,19.82,19.90,19.53,19.60,513200,19.60
2015-01-27,19.68,19.80,19.47,19.66,303100,19.66
2015-01-26,19.71,19.96,19.47,19.88,365300,19.88
2015-01-23,19.81,19.98,19.68,19.75,397700,19.75
2015-01-22,19.56,19.84,19.18,19.83,520800,19.83
2015-01-21,19.51,19.52,19.21,19.39,398700,19.39
2015-01-20,20.10,20.10,19.56,19.63,466600,19.63
2015-01-16,19.80,20.07,19.73,19.99,446500,19.99
2015-01-15,19.79,20.39,19.33,19.88,990200,19.88
2015-01-14,19.60,19.84,19.55,19.74,310300,19.74
2015-01-13,19.94,20.22,19.54,19.81,519600,19.81
2015-01-12,20.15,20.22,19.70,19.81,393300,19.81
2015-01-09,20.25,20.30,20.00,20.14,359700,20.14
2015-01-08,20.15,20.36,20.00,20.20,1035300,20.20
2015-01-07,19.75,20.02,19.55,19.97,686900,19.97
2015-01-06,19.97,20.04,19.49,19.62,320200,19.62
2015-01-05,20.15,20.15,19.72,19.90,503600,19.90
2015-01-02,20.52,20.65,20.07,20.31,366400,20.31
2014-12-31,20.90,20.94,20.35,20.37,413700,20.37
2014-12-30,20.70,20.99,20.66,20.81,342400,20.81
2014-12-29,20.45,20.78,20.45,20.70,364200,20.70
2014-12-26,20.57,20.67,20.31,20.42,429400,20.42
2014-12-24,20.57,20.57,20.30,20.51,273800,20.51
2014-12-23,20.44,20.68,20.33,20.52,428500,20.52
2014-12-22,20.37,20.42,20.25,20.41,501600,20.34
2014-12-19,20.42,20.63,20.28,20.36,1037100,20.29
2014-12-18,20.28,20.51,20.09,20.48,714100,20.41
2014-12-17,19.73,20.11,19.58,20.05,814200,19.98
2014-12-16,19.73,20.00,19.55,19.69,486500,19.62
2014-12-15,20.17,20.27,19.78,19.81,379000,19.74
2014-12-12,20.22,20.39,20.04,20.07,406500,20.00
2014-12-11,20.47,20.78,20.44,20.48,394800,20.41
2014-12-10,20.56,20.68,20.26,20.31,485200,20.24
2014-12-09,20.20,20.62,20.12,20.60,1060800,20.53
2014-12-08,20.72,20.96,20.41,20.43,485800,20.36
2014-12-05,20.84,20.94,20.71,20.74,398400,20.67
2014-12-04,20.92,20.98,20.69,20.86,650300,20.79
2014-12-03,20.88,21.10,20.84,20.96,601300,20.89
2014-12-02,20.82,21.05,20.76,20.89,609300,20.82
2014-12-01,20.79,21.05,20.62,20.82,505300,20.75
2014-11-28,21.06,21.18,20.82,20.85,254200,20.78
2014-11-26,21.11,21.13,20.81,20.96,466200,20.89
2014-11-25,21.10,21.34,21.10,21.13,524400,21.06
2014-11-24,20.98,21.15,20.79,21.10,531800,21.03
2014-11-21,21.09,21.13,20.93,20.98,460600,20.91
2014-11-20,20.48,20.85,20.46,20.82,540300,20.75
2014-11-19,21.05,21.05,20.30,20.65,659500,20.58
2014-11-18,20.99,21.22,20.98,21.01,538800,20.94
2014-11-17,21.15,21.24,20.95,20.96,478600,20.89
2014-11-14,21.31,21.45,21.11,21.12,583700,21.05
2014-11-13,21.41,21.50,21.11,21.25,324900,21.18
2014-11-12,21.20,21.46,21.17,21.39,459700,21.32
2014-11-11,21.41,21.45,21.24,21.34,379100,21.27
2014-11-10,20.97,21.51,20.91,21.46,890500,21.39
2014-11-07,20.55,20.97,20.46,20.95,502500,20.88
2014-11-06,20.80,21.00,20.25,20.47,696800,20.40
2014-11-05,20.36,20.39,19.90,20.11,681700,20.04
2014-11-04,20.02,20.30,19.90,20.25,689500,20.18
2014-11-03,20.12,20.26,19.87,20.01,667500,19.94
2014-10-31,20.15,20.30,19.96,20.17,638700,20.10
