Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,73.83,73.83,72.12,72.91,4098100,72.91
2015-02-12,74.27,74.60,73.36,73.72,5422100,73.72
2015-02-11,76.21,76.49,74.00,74.12,4040700,74.12
2015-02-10,75.23,76.86,75.22,76.66,4019500,76.66
2015-02-09,75.72,78.15,74.71,75.23,4549300,75.23
2015-02-06,78.19,78.31,75.03,75.71,3956000,75.71
2015-02-05,78.03,78.82,77.31,78.69,1779600,78.69
2015-02-04,78.16,78.85,77.38,77.63,2138300,77.63
2015-02-03,77.65,78.88,77.12,78.58,3045700,78.58
2015-02-02,77.18,78.04,76.44,77.72,2560800,77.72
2015-01-30,78.82,78.85,76.82,76.89,2939700,76.89
2015-01-29,77.95,79.27,77.35,79.14,1887300,79.14
2015-01-28,79.00,79.89,77.70,77.85,2090400,77.85
2015-01-27,78.73,79.40,78.26,78.98,1523500,78.98
2015-01-26,78.76,79.09,77.98,78.93,1617500,78.93
2015-01-23,78.96,79.54,78.42,79.09,1507300,79.09
2015-01-22,79.44,79.71,78.12,78.72,3053700,78.72
2015-01-21,78.00,79.43,77.47,79.27,2466000,79.27
2015-01-20,78.00,78.39,77.30,78.37,1912500,78.37
2015-01-16,77.22,77.81,76.83,77.76,2559400,77.76
2015-01-15,76.45,77.38,76.02,77.17,2655100,77.17
2015-01-14,76.27,76.95,75.33,76.45,3647800,76.45
2015-01-13,77.23,77.72,75.87,76.44,2347000,76.44
2015-01-12,76.76,76.90,75.73,76.50,2177300,76.50
2015-01-09,77.55,77.68,76.21,76.50,1815100,76.50
2015-01-08,77.06,77.74,76.88,77.37,2164100,77.37
2015-01-07,76.37,77.01,75.72,76.47,2908100,76.47
2015-01-06,76.79,77.94,76.03,76.16,3290000,76.16
2015-01-05,77.28,77.60,76.30,76.55,2779200,76.55
2015-01-02,77.26,77.60,76.53,77.49,2210200,77.49
2014-12-31,78.37,78.51,76.80,76.90,2080800,76.90
2014-12-30,79.95,80.13,78.03,78.30,1990200,78.30
2014-12-29,79.24,80.89,79.24,80.23,2761400,80.23
2014-12-26,78.48,79.85,78.25,79.28,3526600,79.28
2014-12-24,76.80,78.66,76.71,78.38,1414700,78.38
2014-12-23,76.83,77.51,76.20,76.90,1923200,76.90
2014-12-22,76.03,76.97,75.78,76.51,2747400,76.51
2014-12-19,75.30,75.95,74.44,75.40,4360700,75.40
2014-12-18,74.24,75.34,73.78,75.33,2756200,75.33
2014-12-17,72.36,74.09,72.18,73.97,2643800,73.97
2014-12-16,72.01,73.31,71.34,71.79,2124900,71.79
2014-12-15,73.06,73.06,71.43,71.98,2352100,71.98
