Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,50.96,51.05,50.65,50.96,15200,50.96
2015-02-12,51.24,51.51,50.54,50.54,48200,50.54
2015-02-11,51.96,52.10,51.46,51.70,15100,51.70
2015-02-10,52.05,52.79,52.05,52.46,39900,52.46
2015-02-09,52.53,52.92,51.99,52.20,18200,52.20
2015-02-06,53.29,53.29,51.96,52.27,44700,52.27
2015-02-05,52.94,53.71,52.94,53.42,35500,53.42
2015-02-04,53.41,53.80,52.97,52.97,24300,52.97
2015-02-03,53.18,53.89,52.86,53.27,1800,53.27
2015-02-02,52.49,53.28,52.36,53.25,2100,53.25
2015-01-30,53.97,53.97,51.72,51.72,97400,51.72
2015-01-29,53.57,54.09,53.13,53.85,5000,53.85
2015-01-28,54.04,54.27,53.10,53.31,5400,53.31
2015-01-27,54.03,54.09,53.25,53.70,26400,53.70
2015-01-26,53.80,54.60,53.53,54.03,32600,54.03
2015-01-23,53.60,54.22,53.52,54.21,1900,54.21
2015-01-22,53.78,54.06,53.10,53.60,132700,53.60
2015-01-21,53.84,55.20,53.82,54.20,14100,54.20
2015-01-20,53.44,54.51,52.85,53.50,16300,53.50
2015-01-16,53.16,53.16,52.75,53.09,1400,53.09
2015-01-15,52.57,52.95,52.57,52.78,2600,52.78
2015-01-14,52.67,53.11,52.25,52.35,7500,52.35
2015-01-13,53.23,53.25,52.24,52.72,13400,52.72
2015-01-12,52.50,52.76,52.22,52.74,53600,52.74
2015-01-09,53.13,53.19,52.56,52.60,64100,52.60
2015-01-08,53.04,53.60,52.67,53.29,48000,53.29
2015-01-07,52.43,53.23,52.13,52.43,44500,52.43
2015-01-06,53.00,53.18,52.12,52.12,58000,52.12
2015-01-05,52.85,53.23,52.42,52.61,57400,52.61
2015-01-02,52.95,52.96,52.60,52.72,1000,52.72
2014-12-31,53.11,53.29,52.01,52.01,6500,52.01
2014-12-30,53.95,53.95,53.50,53.50,1700,53.50
2014-12-29,53.75,54.60,53.43,54.20,13900,54.20
2014-12-26,53.92,54.63,53.92,54.34,35700,53.54
2014-12-24,54.16,54.16,53.73,53.99,55600,53.20
2014-12-23,53.40,53.55,53.29,53.29,1400,52.51
2014-12-22,53.26,53.52,52.99,53.52,12700,52.74
2014-12-19,53.00,53.00,52.69,52.87,112900,52.09
2014-12-18,52.55,52.90,52.50,52.68,222100,51.91
2014-12-17,52.17,52.47,51.74,52.35,133700,51.58
2014-12-16,51.77,51.95,51.01,51.01,98200,50.26
2014-12-15,51.95,51.95,51.16,51.56,6900,50.80
2014-12-12,51.91,52.17,51.83,52.01,11000,51.25
2014-12-11,51.81,52.40,51.76,51.94,110400,51.18
2014-12-10,52.50,52.50,51.38,51.42,12900,50.67
2014-12-09,51.90,52.14,51.58,51.82,10600,51.06
2014-12-08,51.82,52.18,51.70,51.98,9600,51.22
2014-12-05,51.80,56.00,51.48,51.48,48800,50.72
2014-12-04,51.88,52.04,51.80,52.03,400900,51.27
2014-12-03,51.96,51.97,51.47,51.47,13900,50.72
2014-12-02,51.74,52.13,51.60,51.92,444100,51.16
2014-12-01,51.67,51.80,51.51,51.52,1200,50.76
2014-11-28,52.09,52.11,51.60,51.60,4500,50.84
2014-11-26,51.90,51.91,51.51,51.51,22400,50.75
2014-11-25,51.60,51.89,51.45,51.82,30300,51.06
2014-11-24,51.46,52.02,51.46,51.88,10900,51.12
2014-11-21,52.00,52.00,51.45,51.45,6500,50.70
2014-11-20,51.25,51.54,51.14,51.53,5000,50.78
2014-11-19,51.25,51.37,50.99,51.30,7700,50.55
2014-11-18,51.17,51.34,51.13,51.27,8600,50.52
2014-11-17,51.07,51.30,50.87,51.12,16300,50.37
2014-11-14,51.25,51.31,50.51,50.74,9300,50.00
2014-11-13,51.45,51.45,51.10,51.20,5900,50.45
2014-11-12,51.50,51.60,51.23,51.35,9600,50.60
2014-11-11,52.17,52.17,51.63,51.93,6800,51.17
2014-11-10,51.82,52.12,51.43,52.00,53700,51.24
2014-11-07,51.78,52.02,51.74,51.82,5500,51.06
2014-11-06,52.25,52.25,51.33,51.61,21800,50.85
2014-11-05,51.40,51.86,51.30,51.86,10000,51.10
2014-11-04,51.43,51.43,50.60,50.73,81600,49.99
2014-11-03,50.58,51.30,50.58,51.21,11100,50.46
2014-10-31,50.25,50.68,50.25,50.35,206400,49.61
2014-10-30,50.56,50.81,49.99,50.56,368300,49.82
2014-10-29,50.75,50.77,50.24,50.28,149000,49.54
2014-10-28,50.91,50.91,50.45,50.70,14600,49.96
2014-10-27,50.88,51.40,50.71,50.71,38500,49.97
2014-10-24,50.32,51.99,50.32,51.38,466200,50.63
2014-10-23,51.32,51.57,50.10,50.25,243200,49.51
2014-10-22,50.52,50.62,50.25,50.42,296100,49.68
2014-10-21,49.50,50.61,49.50,50.15,452300,49.41
2014-10-20,50.08,50.56,49.61,49.99,50400,49.26
2014-10-17,49.45,49.60,49.11,49.25,105500,48.53
2014-10-16,48.22,49.41,48.20,48.87,63300,48.15
2014-10-15,49.14,49.50,47.85,48.01,94800,47.31
2014-10-14,50.18,50.18,49.01,49.52,800700,48.79
2014-10-13,50.43,50.61,50.00,50.00,648200,49.27
2014-10-10,50.51,50.73,50.29,50.29,133000,49.55
2014-10-09,51.01,51.12,50.20,50.22,212300,49.48
2014-10-08,50.51,51.14,50.50,51.14,33800,50.39
2014-10-07,50.35,50.71,50.26,50.41,22500,49.67
2014-10-06,50.90,50.90,50.28,50.41,9600,49.67
2014-10-03,50.15,50.61,50.06,50.51,3900,49.77
2014-10-02,50.00,50.36,49.82,50.33,14200,49.59
2014-10-01,50.01,50.50,49.90,49.90,7600,49.17
2014-09-30,50.13,50.44,49.90,49.90,14800,49.17
2014-09-29,49.20,50.41,49.20,49.66,13000,48.93
2014-09-26,49.77,49.82,49.01,49.42,21400,48.70
2014-09-25,50.17,50.18,49.92,49.96,150300,48.44
2014-09-24,50.54,50.54,50.10,50.10,45500,48.58
2014-09-23,50.15,50.32,50.05,50.19,1346300,48.66
2014-09-22,50.52,50.75,50.14,50.15,104900,48.63
2014-09-19,50.45,50.92,50.33,50.74,102500,49.20
2014-09-18,50.92,50.92,50.30,50.31,81500,48.78
2014-09-17,50.70,50.87,50.51,50.55,56500,49.01
2014-09-16,50.50,50.80,50.50,50.54,88200,49.00
2014-09-15,50.52,50.52,50.40,50.43,160800,48.90
2014-09-12,51.25,51.25,50.50,50.50,67700,48.97
2014-09-11,51.20,51.66,51.16,51.32,62700,49.76
2014-09-10,51.25,51.50,51.00,51.50,10300,49.94
2014-09-09,51.45,51.56,51.24,51.25,222300,49.69
2014-09-08,51.65,51.88,51.60,51.85,42400,50.27
2014-09-05,52.46,52.46,51.50,51.75,101000,50.18
2014-09-04,51.10,51.92,50.97,51.92,27600,50.34
2014-09-03,51.05,51.24,51.01,51.13,62500,49.58
2014-09-02,51.10,51.75,50.89,51.11,19100,49.56
2014-08-29,51.40,51.80,50.83,50.83,14000,49.29
2014-08-28,51.28,51.32,50.91,51.31,41400,49.75
2014-08-27,50.57,51.16,50.55,51.14,11200,49.59
2014-08-26,51.33,51.33,50.61,50.61,62900,49.07
2014-08-25,50.92,51.31,50.85,51.22,149900,49.66
2014-08-22,51.00,51.13,50.70,50.84,146600,49.30
2014-08-21,50.83,50.99,50.62,50.92,202600,49.37
2014-08-20,50.34,50.85,50.34,50.84,83700,49.30
2014-08-19,50.30,50.70,50.30,50.56,89600,49.02
2014-08-18,50.85,50.85,50.40,50.45,17200,48.92
2014-08-15,50.74,50.94,50.43,50.70,10400,49.16
2014-08-14,49.91,50.34,49.91,50.26,181700,48.73
2014-08-13,50.18,50.30,49.97,50.14,33300,48.62
2014-08-12,50.20,50.23,50.00,50.05,11100,48.53
2014-08-11,50.32,50.32,49.95,49.95,207900,48.43
2014-08-08,49.51,50.34,49.38,50.03,86500,48.51
2014-08-07,49.20,49.42,48.85,49.23,196100,47.73
2014-08-06,49.70,49.70,48.69,48.88,553100,47.39
2014-08-05,50.18,50.46,49.40,49.48,782000,47.98
2014-08-04,51.50,51.50,49.75,50.14,175700,48.62
2014-08-01,50.75,51.57,50.25,51.57,43300,50.00
2014-07-31,51.32,51.32,50.49,50.70,245700,49.16
2014-07-30,51.85,51.85,50.98,51.28,76100,49.72
2014-07-29,52.00,52.07,51.50,51.60,178600,50.03
2014-07-28,52.06,52.25,51.78,52.00,170200,50.42
2014-07-25,52.17,52.46,51.68,51.70,216600,50.13
2014-07-24,52.23,52.54,52.01,52.01,103500,50.43
2014-07-23,52.50,52.50,51.85,52.25,250000,50.66
2014-07-22,52.51,52.51,50.50,52.39,107200,50.80
2014-07-21,52.20,53.15,52.15,52.43,9900,50.84
2014-07-18,52.10,52.50,52.00,52.16,149900,50.58
2014-07-17,53.42,53.42,51.82,52.01,348200,50.43
2014-07-16,51.90,52.50,51.80,52.32,108100,50.73
2014-07-15,51.87,52.00,51.51,51.95,52600,50.37
2014-07-14,52.49,52.49,51.75,51.75,27700,50.18
2014-07-11,52.25,52.49,52.00,52.00,38100,50.42
