Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,6.93,7.11,6.91,6.99,1468700,6.99
2015-02-12,7.13,7.18,6.90,6.94,1295300,6.94
2015-02-11,6.95,7.26,6.93,7.13,1410100,7.13
2015-02-10,7.05,7.20,6.85,6.96,2563400,6.96
2015-02-09,7.04,7.16,6.86,6.87,2095000,6.87
2015-02-06,7.30,7.33,7.06,7.07,2375600,7.07
2015-02-05,7.06,7.40,7.03,7.37,3310600,7.32
2015-02-04,6.93,7.20,6.91,7.07,1952000,7.02
2015-02-03,7.31,7.43,7.06,7.07,3359300,7.02
2015-02-02,7.42,7.56,7.23,7.28,4226800,7.23
2015-01-30,7.71,7.78,7.25,7.35,5802000,7.30
2015-01-29,7.84,7.94,7.44,7.80,4731100,7.75
2015-01-28,7.99,7.99,7.59,7.87,4132400,7.82
2015-01-27,7.95,8.03,7.80,7.92,3300200,7.87
2015-01-26,8.02,8.24,7.95,8.06,1873100,8.01
2015-01-23,8.18,8.29,7.84,8.05,2220300,8.00
2015-01-22,7.86,8.05,7.73,7.98,1847700,7.93
2015-01-21,8.30,8.31,7.63,7.80,3505600,7.75
2015-01-20,8.37,8.54,8.10,8.38,2979900,8.32
2015-01-16,8.21,8.27,7.97,8.27,2348500,8.21
2015-01-15,8.51,8.53,7.97,8.35,2829900,8.29
2015-01-14,8.70,8.71,8.42,8.48,3073500,8.42
2015-01-13,9.17,9.31,8.73,8.81,3606600,8.75
2015-01-12,8.95,9.22,8.86,9.05,3662600,8.99
2015-01-09,8.61,9.04,8.61,8.85,4646200,8.79
2015-01-08,8.20,8.56,8.20,8.55,4189200,8.49
2015-01-07,7.72,8.14,7.71,8.09,7114400,8.04
2015-01-06,7.46,7.74,7.35,7.57,2819200,7.52
2015-01-05,7.74,7.74,7.31,7.42,1377400,7.37
2015-01-02,7.40,7.76,7.24,7.71,1273500,7.66
2014-12-31,7.29,7.41,7.25,7.31,794700,7.26
2014-12-30,7.10,7.31,7.00,7.29,1102300,7.24
2014-12-29,7.22,7.30,7.09,7.15,538000,7.10
2014-12-26,7.15,7.44,7.12,7.25,541800,7.20
2014-12-24,7.10,7.16,6.99,7.13,336200,7.08
2014-12-23,7.17,7.24,7.08,7.17,1705500,7.12
2014-12-22,7.00,7.19,6.86,7.18,2482500,7.13
2014-12-19,7.16,7.22,6.82,6.99,1537400,6.94
2014-12-18,7.13,7.23,6.85,7.16,1294100,7.11
2014-12-17,6.84,7.10,6.81,7.01,2115200,6.96
2014-12-16,7.03,7.17,6.80,6.86,2022500,6.81
2014-12-15,6.73,7.33,6.72,7.02,2619000,6.97
2014-12-12,6.45,6.93,6.43,6.64,4920800,6.59
2014-12-11,6.10,6.40,6.08,6.22,1783000,6.18
2014-12-10,6.02,6.29,5.98,6.10,2024100,6.06
2014-12-09,5.75,6.09,5.71,6.07,1692300,6.03
2014-12-08,6.13,6.15,5.74,5.83,1372600,5.79
2014-12-05,6.21,6.31,6.12,6.13,927200,6.09
2014-12-04,6.14,6.25,6.10,6.17,1187600,6.13
2014-12-03,6.08,6.30,6.01,6.13,1276800,6.09
2014-12-02,6.04,6.20,6.04,6.06,2796700,6.02
2014-12-01,6.30,6.60,5.97,6.05,2448300,6.01
2014-11-28,6.33,6.50,6.24,6.27,1533900,6.23
2014-11-26,6.30,6.35,6.15,6.30,566800,6.26
2014-11-25,6.10,6.39,6.10,6.32,935900,6.28
2014-11-24,5.88,6.12,5.85,6.08,370400,6.04
2014-11-21,5.97,6.07,5.83,5.85,838300,5.81
2014-11-20,5.89,6.07,5.84,5.86,2230700,5.82
2014-11-19,6.18,6.24,5.90,5.90,889800,5.86
2014-11-18,6.17,6.30,6.08,6.15,732400,6.11
2014-11-17,6.23,6.33,6.07,6.18,325000,6.12
2014-11-14,6.37,6.43,6.18,6.27,473700,6.21
2014-11-13,6.40,6.47,6.13,6.24,695800,6.18
2014-11-12,6.33,6.50,6.33,6.43,341900,6.37
2014-11-11,6.43,6.60,6.21,6.39,457400,6.33
2014-11-10,6.52,6.53,6.32,6.44,275100,6.38
2014-11-07,6.41,6.48,6.33,6.48,312400,6.42
2014-11-06,6.27,6.40,6.25,6.40,248200,6.34
2014-11-05,6.40,6.46,6.21,6.27,607200,6.21
2014-11-04,6.61,6.70,6.30,6.37,378600,6.31
2014-11-03,6.65,6.74,6.56,6.59,352600,6.52
2014-10-31,6.74,6.74,6.49,6.66,479300,6.59
2014-10-30,6.55,6.65,6.50,6.53,571700,6.46
2014-10-29,6.34,6.76,6.34,6.63,1399700,6.56
2014-10-28,6.05,6.32,6.04,6.30,2128500,6.24
2014-10-27,6.05,6.10,5.93,5.98,341500,5.92
2014-10-24,6.07,6.13,6.00,6.12,313900,6.06
2014-10-23,6.09,6.17,5.96,6.05,816400,5.99
2014-10-22,6.34,6.35,6.01,6.01,616400,5.95
2014-10-21,6.16,6.40,6.16,6.32,510000,6.26
2014-10-20,6.16,6.31,6.09,6.11,444800,6.05
2014-10-17,6.29,6.36,6.03,6.16,1595200,6.10
2014-10-16,5.85,6.16,5.80,6.04,1615900,5.98
2014-10-15,5.47,5.99,5.44,5.97,1449500,5.91
2014-10-14,5.32,5.56,5.20,5.55,1338800,5.49
2014-10-13,5.59,5.65,5.28,5.30,1349900,5.25
2014-10-10,5.52,5.70,5.41,5.53,1414500,5.47
2014-10-09,5.82,5.86,5.52,5.57,960100,5.51
2014-10-08,5.89,5.89,5.48,5.83,1345500,5.77
2014-10-07,6.13,6.13,5.90,5.91,501400,5.85
2014-10-06,6.25,6.33,6.08,6.16,518600,6.10
2014-10-03,6.39,6.39,6.21,6.26,611300,6.20
2014-10-02,6.42,6.43,6.17,6.33,1254700,6.27
2014-10-01,6.18,6.55,6.14,6.44,1969900,6.38
2014-09-30,6.12,6.20,6.05,6.16,1899700,6.10
2014-09-29,6.12,6.24,6.06,6.11,662800,6.05
2014-09-26,6.14,6.25,6.01,6.21,1130200,6.15
2014-09-25,6.35,6.38,6.09,6.10,2002000,6.04
