Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,17.99,19.48,17.92,18.44,180000,18.44
2015-02-12,16.86,17.98,16.83,17.84,136000,17.84
2015-02-11,16.40,16.79,16.25,16.62,121300,16.62
2015-02-10,16.83,16.83,16.42,16.42,65200,16.42
2015-02-09,16.99,17.21,16.75,16.84,96300,16.84
2015-02-06,17.72,17.88,16.95,17.01,105900,17.01
2015-02-05,17.22,17.84,17.22,17.63,61900,17.63
2015-02-04,17.11,17.43,16.98,17.27,74400,17.27
2015-02-03,17.03,17.46,17.03,17.22,86200,17.22
2015-02-02,17.01,17.12,16.51,17.08,71500,17.08
2015-01-30,17.93,17.93,16.66,16.79,151600,16.79
2015-01-29,17.78,18.13,17.36,18.00,173300,18.00
2015-01-28,17.99,18.07,17.11,17.87,138000,17.87
2015-01-27,16.61,17.96,16.30,17.76,243300,17.76
2015-01-26,16.18,16.86,15.98,16.77,114900,16.77
2015-01-23,15.26,16.19,15.26,16.00,137500,16.00
2015-01-22,15.50,15.50,15.15,15.33,149800,15.33
2015-01-21,15.36,15.44,15.20,15.34,38500,15.34
2015-01-20,15.69,15.69,15.24,15.41,49500,15.41
2015-01-16,15.34,15.71,15.34,15.48,60800,15.48
2015-01-15,15.42,15.48,15.03,15.32,102200,15.32
2015-01-14,15.40,15.47,15.20,15.35,51800,15.35
2015-01-13,14.70,15.49,14.70,15.40,88100,15.40
2015-01-12,15.33,15.38,14.65,14.75,90200,14.75
2015-01-09,15.56,15.69,14.82,15.36,166300,15.36
2015-01-08,15.86,15.86,15.39,15.55,74200,15.55
2015-01-07,16.08,16.08,15.39,15.68,85900,15.68
2015-01-06,15.86,15.99,15.43,15.96,129100,15.96
2015-01-05,16.07,16.23,15.70,15.81,66200,15.81
2015-01-02,16.18,16.74,15.60,15.82,82000,15.82
2014-12-31,16.56,16.80,16.36,16.39,187400,15.59
2014-12-30,16.76,16.94,16.36,16.51,92400,15.70
2014-12-29,16.20,16.99,16.20,16.98,101200,16.15
2014-12-26,16.69,16.79,16.24,16.25,76800,15.46
2014-12-24,16.36,16.81,16.15,16.68,54300,15.87
2014-12-23,16.38,16.51,16.20,16.20,33000,15.41
2014-12-22,16.91,17.01,16.30,16.35,96900,15.55
2014-12-19,16.68,17.10,16.55,17.00,96600,16.17
2014-12-18,17.05,17.48,16.51,16.66,123900,15.85
2014-12-17,16.71,17.14,16.38,17.07,72100,16.24
2014-12-16,17.00,17.13,16.50,16.58,115500,15.77
2014-12-15,17.22,17.41,16.75,17.01,152800,16.18
2014-12-12,17.26,17.41,16.76,17.36,241900,16.51
2014-12-11,17.10,17.73,17.01,17.39,108000,16.54
2014-12-10,16.97,17.81,16.80,17.00,325700,16.17
2014-12-09,16.19,17.00,16.18,16.98,140600,16.15
2014-12-08,17.87,17.87,16.15,16.19,329900,15.40
2014-12-05,17.91,18.05,17.80,17.94,77900,17.06
2014-12-04,18.15,18.21,17.80,17.84,141800,16.97
2014-12-03,17.94,18.34,17.82,18.12,188400,17.24
2014-12-02,18.13,18.13,17.74,17.90,164500,17.03
2014-12-01,17.95,18.20,17.70,18.14,177400,17.25
2014-11-28,18.10,18.13,17.81,17.96,116400,17.08
2014-11-26,18.56,18.58,17.47,18.16,276700,17.27
2014-11-25,18.65,18.78,18.11,18.59,247400,17.68
2014-11-24,18.62,18.78,18.40,18.60,195400,17.69
2014-11-21,18.01,18.64,17.81,18.54,556200,17.64
2014-11-20,17.64,18.37,17.51,17.85,522300,16.98
2014-11-19,15.15,18.40,15.10,17.74,2301300,16.87
2014-11-18,14.55,15.15,14.45,14.97,641500,14.24
2014-11-17,14.50,14.60,14.42,14.53,218000,13.82
2014-11-14,14.35,14.55,14.25,14.50,318700,13.79
2014-11-13,14.46,14.50,14.22,14.34,168200,13.64
2014-11-12,14.25,14.50,14.25,14.49,82000,13.78
2014-11-11,14.03,14.33,13.99,14.28,181400,13.58
2014-11-10,14.07,14.51,14.07,14.08,192800,13.39
2014-11-07,14.03,14.15,13.75,14.08,98400,13.39
2014-11-06,13.92,14.09,13.88,14.00,202000,13.32
2014-11-05,13.96,14.35,13.85,13.93,444200,13.25
2014-11-04,14.36,14.40,13.75,14.00,502500,13.32
2014-11-03,14.72,14.90,14.38,14.50,327900,13.79
2014-10-31,15.13,15.25,14.91,15.00,55900,14.27
2014-10-30,15.12,15.30,14.75,15.14,92200,14.40
2014-10-29,15.35,15.35,15.07,15.29,114600,14.54
2014-10-28,14.84,15.35,14.81,15.35,92900,14.60
2014-10-27,14.92,14.99,14.63,14.82,38300,14.10
2014-10-24,14.78,14.99,14.67,14.81,25100,14.09
2014-10-23,14.32,14.84,14.25,14.75,65400,14.03
2014-10-22,14.25,14.50,14.10,14.30,80600,13.60
2014-10-21,14.28,14.40,13.91,14.25,104500,13.55
2014-10-20,14.00,14.18,13.70,13.97,70900,13.29
2014-10-17,13.93,14.52,13.93,13.99,94900,13.31
2014-10-16,13.02,14.25,13.02,13.94,142500,13.26
2014-10-15,12.99,13.41,12.65,13.28,88500,12.63
2014-10-14,12.33,13.17,12.31,13.08,131000,12.44
2014-10-13,13.00,13.08,12.35,12.45,132700,11.84
2014-10-10,13.39,13.60,13.00,13.07,89500,12.43
2014-10-09,14.31,14.31,13.85,13.91,36600,13.23
2014-10-08,14.22,14.34,13.92,14.34,36200,13.64
2014-10-07,14.09,14.25,13.93,14.22,84900,13.53
2014-10-06,14.34,14.47,13.95,14.11,73400,13.42
2014-10-03,14.00,14.98,14.00,14.22,117100,13.53
2014-10-02,13.85,14.06,13.34,13.99,131700,13.31
2014-10-01,13.98,13.98,13.63,13.80,78600,13.13
2014-09-30,14.00,14.25,13.84,14.01,78100,13.33
