Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,24.35,24.41,24.28,24.28,67300,24.28
2015-02-12,24.31,24.31,24.21,24.25,30400,24.25
2015-02-11,24.35,24.35,24.20,24.20,16800,24.20
2015-02-10,24.37,24.37,24.30,24.36,23100,24.36
2015-02-09,24.09,24.37,24.07,24.37,19100,24.37
2015-02-06,24.25,24.32,24.05,24.26,49500,24.26
2015-02-05,24.19,24.27,24.11,24.16,34000,24.16
2015-02-04,24.45,24.50,24.25,24.30,32900,24.30
2015-02-03,24.62,24.62,24.44,24.49,32400,24.49
2015-02-02,24.63,24.64,24.53,24.62,19800,24.62
2015-01-30,24.68,24.73,24.49,24.57,15200,24.57
2015-01-29,24.51,24.73,24.33,24.71,43700,24.71
2015-01-28,24.55,24.55,24.30,24.47,26000,24.47
2015-01-27,24.23,24.60,24.13,24.41,51400,24.41
2015-01-26,24.26,24.26,24.15,24.19,37500,24.19
2015-01-23,24.14,24.25,24.06,24.14,16400,24.14
2015-01-22,24.08,24.18,24.01,24.07,37000,24.07
2015-01-21,24.02,24.26,23.92,23.99,31900,23.99
2015-01-20,24.09,24.14,23.98,24.07,34500,23.91
2015-01-16,23.97,24.17,23.90,23.90,29800,23.74
2015-01-15,24.13,24.27,24.00,24.00,24900,23.84
2015-01-14,24.00,24.16,23.97,24.00,22900,23.84
2015-01-13,24.01,24.37,23.98,24.05,14300,23.89
2015-01-12,23.97,24.13,23.97,23.98,18400,23.82
2015-01-09,23.94,24.13,23.94,24.00,22900,23.84
2015-01-08,23.87,24.43,23.87,24.00,54400,23.84
2015-01-07,24.03,24.17,23.90,23.92,44500,23.76
2015-01-06,23.91,24.03,23.87,23.94,64300,23.78
2015-01-05,23.73,24.08,23.73,23.93,53200,23.77
2015-01-02,23.84,23.89,23.69,23.84,20900,23.68
2014-12-31,23.86,24.00,23.84,23.84,29800,23.68
2014-12-30,23.85,24.21,23.84,23.86,28800,23.70
2014-12-29,23.90,24.11,23.83,23.96,27200,23.80
2014-12-26,24.88,25.12,24.58,25.05,18000,23.68
2014-12-24,24.79,24.93,24.52,24.77,24700,23.41
2014-12-23,24.60,24.87,24.60,24.79,14500,23.43
2014-12-22,24.76,24.76,24.40,24.54,35200,23.19
2014-12-19,24.63,24.75,24.58,24.70,22200,23.34
2014-12-18,24.30,24.63,24.30,24.61,38800,23.26
2014-12-17,24.12,24.37,23.97,24.26,21900,22.93
2014-12-16,24.19,24.28,24.06,24.11,21400,22.64
2014-12-15,24.24,24.33,24.06,24.22,21600,22.74
2014-12-12,24.36,24.61,24.21,24.24,21300,22.76
2014-12-11,24.44,24.61,24.36,24.45,17000,22.96
2014-12-10,24.50,24.54,24.25,24.40,33700,22.91
2014-12-09,24.64,24.71,24.39,24.44,71600,22.95
2014-12-08,24.69,24.93,24.54,24.61,27200,23.11
2014-12-05,24.74,24.77,24.60,24.65,20900,23.14
2014-12-04,24.56,24.88,24.54,24.73,41700,23.22
2014-12-03,24.82,24.84,24.55,24.56,15500,23.06
2014-12-02,24.32,24.93,24.32,24.84,117800,23.32
2014-12-01,24.87,24.87,24.47,24.54,25700,23.04
2014-11-28,24.74,24.90,24.37,24.88,12000,23.36
2014-11-26,24.45,24.67,24.26,24.64,34500,23.13
2014-11-25,24.28,24.48,24.15,24.47,46500,22.97
2014-11-24,24.30,24.30,24.19,24.28,33400,22.80
2014-11-21,24.20,24.35,24.18,24.28,19100,22.80
2014-11-20,24.15,24.25,24.15,24.16,15200,22.68
2014-11-19,24.20,24.26,24.16,24.17,44900,22.69
2014-11-18,24.22,24.29,24.22,24.27,19200,22.64
2014-11-17,24.22,24.31,24.21,24.24,36800,22.61
2014-11-14,24.26,24.27,24.20,24.21,22000,22.58
