Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,20.86,20.86,20.59,20.72,66500,20.72
2015-02-12,20.87,20.88,20.51,20.79,107600,20.79
2015-02-11,20.87,20.93,20.60,20.79,91900,20.79
2015-02-10,20.82,20.95,20.66,20.92,96600,20.92
2015-02-09,21.05,21.08,20.80,20.88,69200,20.88
2015-02-06,21.26,21.26,20.92,21.14,77500,21.14
2015-02-05,21.19,21.22,21.13,21.22,66700,21.22
2015-02-04,21.03,21.36,21.00,21.05,51700,21.05
2015-02-03,20.95,21.15,20.90,21.08,81700,21.08
2015-02-02,20.98,20.99,20.79,20.93,73300,20.93
2015-01-30,21.04,21.22,20.77,20.83,67700,20.83
2015-01-29,20.81,21.08,20.78,21.06,63900,21.06
2015-01-28,21.07,21.17,20.77,20.82,62900,20.82
2015-01-27,20.81,21.09,20.68,20.95,35200,20.95
2015-01-26,20.88,20.96,20.75,20.89,83300,20.89
2015-01-23,20.84,20.94,20.73,20.74,123000,20.74
2015-01-22,21.14,21.14,20.89,20.92,102300,20.92
2015-01-21,20.92,20.99,20.81,20.90,68200,20.90
2015-01-20,20.75,20.93,20.65,20.88,98900,20.88
2015-01-16,20.36,20.60,20.22,20.60,92600,20.60
2015-01-15,20.28,20.45,20.17,20.29,98700,20.29
2015-01-14,20.17,20.35,20.10,20.31,96900,20.31
2015-01-13,20.70,20.86,20.25,20.29,79300,20.29
2015-01-12,20.89,21.04,20.48,20.70,87100,20.70
2015-01-09,20.83,20.93,20.64,20.80,68500,20.80
2015-01-08,20.76,20.95,20.52,20.91,87200,20.91
2015-01-07,20.54,20.71,20.51,20.61,140400,20.61
2015-01-06,20.94,20.94,20.35,20.45,95200,20.45
2015-01-05,21.21,21.21,20.84,20.89,250400,20.89
2015-01-02,21.51,21.65,21.37,21.39,82800,21.39
2014-12-31,21.80,21.82,21.57,21.64,107200,21.64
2014-12-30,21.60,21.67,21.44,21.67,74900,21.67
2014-12-29,21.61,21.76,21.48,21.61,149200,21.61
2014-12-26,21.62,21.74,21.45,21.74,39200,21.74
2014-12-24,21.32,21.56,21.21,21.50,40100,21.50
2014-12-23,21.28,21.41,20.93,21.41,92800,21.41
2014-12-22,21.27,21.60,21.01,21.07,83100,21.07
2014-12-19,20.95,21.43,20.90,21.35,124900,21.35
2014-12-18,20.91,21.17,20.82,20.97,122200,20.97
2014-12-17,20.15,20.71,20.06,20.71,95200,20.71
2014-12-16,20.31,20.60,19.80,20.17,192100,20.17
2014-12-15,21.41,21.58,20.29,20.51,137000,20.51
2014-12-12,21.68,21.81,20.99,21.15,124100,21.15
2014-12-11,22.10,22.15,21.75,21.82,73400,21.82
2014-12-10,22.65,22.65,22.33,22.45,86200,22.10
2014-12-09,22.29,22.66,21.91,22.64,118200,22.29
2014-12-08,22.55,22.56,22.25,22.45,84000,22.10
2014-12-05,22.80,22.80,22.52,22.63,88300,22.28
2014-12-04,22.78,22.78,22.36,22.76,112400,22.41
2014-12-03,22.57,22.76,22.26,22.76,187500,22.41
2014-12-02,22.07,22.48,22.05,22.46,98700,22.11
2014-12-01,22.28,22.29,22.00,22.02,59000,21.68
2014-11-28,22.46,22.52,22.34,22.44,39300,22.09
2014-11-26,22.53,22.57,22.43,22.52,71300,22.17
2014-11-25,22.53,22.63,22.28,22.47,113600,22.12
2014-11-24,22.40,22.45,22.35,22.45,57800,22.10
2014-11-21,22.42,22.54,22.26,22.38,85800,22.03
