Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,38.62,39.39,38.07,38.70,701200,38.70
2015-02-12,37.78,38.10,37.34,38.03,588900,38.03
2015-02-11,37.75,38.01,36.51,37.04,606300,37.04
2015-02-10,38.89,39.40,37.92,38.04,532700,38.04
2015-02-09,39.06,39.95,38.72,38.95,571400,38.95
2015-02-06,38.35,38.85,37.84,38.81,673300,38.81
2015-02-05,37.28,38.09,36.41,37.92,624900,37.92
2015-02-04,38.09,38.44,36.93,37.19,638500,36.41
2015-02-03,39.25,40.11,38.09,38.43,747200,37.62
2015-02-02,37.25,39.02,37.00,39.02,1109200,38.20
2015-01-30,36.05,38.14,36.00,37.53,646400,36.74
2015-01-29,37.85,38.57,35.64,36.97,795300,36.19
2015-01-28,39.37,39.37,37.29,37.85,703400,37.06
2015-01-27,39.46,39.82,38.30,39.32,355100,38.50
2015-01-26,40.12,40.56,39.17,39.57,1128600,38.74
2015-01-23,39.99,40.40,39.50,39.88,572400,39.04
2015-01-22,41.66,41.68,39.74,39.95,639100,39.11
2015-01-21,39.78,41.94,38.88,41.36,763300,40.49
2015-01-20,39.20,41.71,38.77,39.65,899000,38.82
2015-01-16,40.35,41.20,39.17,40.46,848100,39.61
2015-01-15,40.25,41.00,39.65,40.29,534700,39.44
2015-01-14,40.98,40.99,37.81,39.98,1531900,39.14
2015-01-13,43.70,44.00,40.46,41.27,506600,40.40
2015-01-12,44.85,44.87,42.00,43.74,542700,42.82
2015-01-09,45.87,46.04,44.97,45.54,361300,44.58
2015-01-08,45.98,46.89,45.52,46.05,448700,45.08
2015-01-07,44.60,45.86,44.23,45.71,539400,44.75
2015-01-06,45.05,45.53,43.50,44.52,442900,43.59
2015-01-05,47.44,47.44,45.02,45.22,394800,44.27
2015-01-02,45.30,47.71,45.30,47.49,332600,46.49
2014-12-31,46.59,46.84,45.35,45.43,357000,44.48
2014-12-30,46.30,46.51,45.47,46.23,183900,45.26
2014-12-29,45.99,46.53,45.04,46.31,301100,45.34
2014-12-26,45.75,45.85,44.75,45.82,189200,44.86
2014-12-24,45.29,45.68,44.58,45.60,196200,44.64
2014-12-23,44.90,45.38,44.27,45.24,226600,44.29
2014-12-22,43.82,44.60,43.17,44.58,522800,43.65
2014-12-19,44.70,45.22,43.88,44.23,759300,43.30
2014-12-18,45.57,46.36,43.78,45.00,738400,44.06
2014-12-17,42.42,45.70,42.36,44.65,827200,43.71
2014-12-16,40.80,43.17,40.16,42.41,700800,41.52
2014-12-15,42.23,42.58,40.09,41.18,825800,40.32
2014-12-12,41.60,42.62,41.31,42.09,551900,41.21
2014-12-11,41.87,43.95,41.70,42.31,741600,41.42
2014-12-10,43.47,43.78,41.58,41.92,918100,41.04
2014-12-09,43.00,44.58,42.41,43.97,566600,43.05
2014-12-08,46.36,46.64,43.70,43.91,811100,42.99
2014-12-05,47.58,47.58,46.27,46.74,320300,45.76
2014-12-04,47.33,47.62,46.78,47.18,831900,46.19
2014-12-03,47.32,47.75,46.68,46.98,1082100,45.99
2014-12-02,45.00,47.93,45.00,46.82,1308200,45.84
2014-12-01,47.82,48.49,44.73,45.34,1028700,44.39
2014-11-28,51.12,51.12,47.77,47.91,336700,46.91
2014-11-26,51.14,51.84,50.30,51.60,434200,50.52
2014-11-25,51.66,51.92,50.41,50.90,505000,49.83
2014-11-24,52.02,52.45,50.91,51.23,519700,50.16
2014-11-21,53.23,53.65,51.79,52.00,2784900,50.91
2014-11-20,52.38,53.16,51.96,52.58,809900,51.48
2014-11-19,52.08,52.65,51.64,52.26,759400,51.16
2014-11-18,51.72,52.37,51.20,52.27,886400,51.17
2014-11-17,51.68,52.07,51.15,51.75,623900,50.66
2014-11-14,51.85,52.12,51.08,51.56,615500,50.48
2014-11-13,52.04,52.21,51.03,51.23,382000,50.16
2014-11-12,51.37,51.87,50.69,51.85,436100,50.76
2014-11-11,52.42,52.51,51.14,51.15,678100,50.08
2014-11-10,53.41,53.98,52.18,52.27,382000,51.17
2014-11-07,52.85,53.82,52.44,53.42,373600,52.30
2014-11-06,52.66,54.31,51.94,52.60,866300,51.50
2014-11-05,51.18,52.45,51.15,51.89,462900,50.80
2014-11-04,52.32,52.49,50.89,51.97,352800,50.13
2014-11-03,53.20,54.09,52.42,52.65,416100,50.78
2014-10-31,54.33,54.64,51.82,52.95,577600,51.07
2014-10-30,55.48,55.77,52.90,53.49,398500,51.59
2014-10-29,55.93,56.25,54.41,55.46,288400,53.49
2014-10-28,54.93,56.28,54.91,55.83,405200,53.85
2014-10-27,54.01,54.96,53.27,54.86,308500,52.91
2014-10-24,55.09,55.47,54.44,55.07,255500,53.12
2014-10-23,54.67,55.55,54.31,54.86,191000,52.91
2014-10-22,54.94,55.35,53.61,54.45,474300,52.52
2014-10-21,54.22,55.72,53.95,54.80,474100,52.86
2014-10-20,54.33,54.71,53.13,54.22,228700,52.30
2014-10-17,53.55,55.24,52.45,54.17,689800,52.25
2014-10-16,51.71,54.14,50.87,53.09,860700,51.21
2014-10-15,50.07,53.18,48.71,52.14,661700,50.29
2014-10-14,50.57,51.02,46.98,50.48,1089000,48.69
2014-10-13,52.50,53.52,50.05,50.51,602100,48.72
2014-10-10,52.24,53.26,49.90,52.32,594800,50.46
2014-10-09,53.92,53.93,51.00,52.44,327700,50.58
2014-10-08,53.74,53.74,52.28,53.44,240400,51.54
2014-10-07,53.70,54.67,52.97,53.48,221800,51.58
