Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,1.88,1.89,1.83,1.86,33600,1.86
2015-02-12,1.92,1.92,1.87,1.88,4000,1.88
2015-02-11,1.88,1.92,1.88,1.88,8000,1.88
2015-02-10,1.86,1.93,1.86,1.88,4600,1.88
2015-02-09,1.86,1.89,1.86,1.87,7600,1.87
2015-02-06,1.91,1.91,1.86,1.86,23600,1.86
2015-02-05,1.88,1.99,1.88,1.91,7500,1.91
2015-02-04,1.92,1.93,1.88,1.88,11400,1.88
2015-02-03,1.93,1.93,1.87,1.88,11700,1.88
2015-02-02,1.93,1.95,1.87,1.91,29700,1.91
2015-01-30,1.88,1.88,1.86,1.86,10500,1.86
2015-01-29,1.88,1.88,1.85,1.87,7300,1.87
2015-01-28,1.85,1.86,1.85,1.85,17000,1.85
2015-01-27,1.88,1.88,1.82,1.82,17100,1.82
2015-01-26,1.79,1.83,1.76,1.82,46000,1.82
2015-01-23,1.77,1.80,1.76,1.76,8200,1.76
2015-01-22,1.85,1.85,1.75,1.77,18300,1.77
2015-01-21,1.84,1.86,1.77,1.81,31500,1.81
2015-01-20,1.95,1.95,1.83,1.84,14100,1.84
2015-01-16,1.90,1.96,1.88,1.88,10900,1.83
2015-01-15,1.92,1.98,1.92,1.92,14600,1.87
2015-01-14,1.93,1.97,1.91,1.97,6000,1.92
2015-01-13,1.92,1.92,1.92,1.92,4400,1.87
2015-01-12,1.91,1.91,1.88,1.91,22200,1.86
2015-01-09,1.90,1.93,1.88,1.89,8000,1.84
2015-01-08,1.90,1.91,1.81,1.91,15700,1.86
2015-01-07,1.85,1.92,1.77,1.86,17800,1.81
2015-01-06,1.78,1.85,1.72,1.81,24600,1.76
2015-01-05,1.79,1.79,1.75,1.75,15000,1.70
2015-01-02,1.80,1.83,1.78,1.82,11400,1.77
2014-12-31,1.85,1.85,1.80,1.80,46800,1.75
2014-12-30,1.86,1.88,1.83,1.84,34100,1.79
2014-12-29,1.89,1.90,1.86,1.86,24900,1.81
2014-12-26,1.95,1.96,1.88,1.89,37100,1.84
2014-12-24,1.96,1.97,1.96,1.97,9100,1.92
2014-12-23,1.96,2.00,1.96,1.97,13300,1.92
2014-12-22,2.00,2.01,1.96,1.99,34900,1.94
2014-12-19,2.01,2.09,2.01,2.03,8900,1.98
2014-12-18,2.02,2.03,2.02,2.02,8300,1.97
2014-12-17,2.01,2.04,2.00,2.01,25500,1.96
2014-12-16,2.01,2.03,2.01,2.01,5300,1.96
2014-12-15,2.05,2.08,2.00,2.00,30000,1.95
2014-12-12,2.05,2.08,2.04,2.05,17700,2.00
2014-12-11,2.05,2.08,2.05,2.06,8100,2.01
2014-12-10,2.08,2.08,2.05,2.05,17000,2.00
2014-12-09,2.06,2.09,2.06,2.07,3000,2.01
2014-12-08,2.10,2.10,2.05,2.06,9100,2.01
2014-12-05,2.07,2.14,2.05,2.07,29900,2.01
2014-12-04,2.14,2.16,2.06,2.06,1800,2.01
2014-12-03,2.15,2.16,2.12,2.13,1500,2.07
2014-12-02,2.16,2.18,2.06,2.12,5400,2.06
2014-12-01,2.22,2.22,2.12,2.12,12500,2.06
2014-11-28,2.21,2.23,2.16,2.19,2200,2.13
2014-11-26,2.25,2.25,2.20,2.20,6700,2.14
2014-11-25,2.20,2.28,2.20,2.26,36500,2.20
2014-11-24,2.22,2.24,2.15,2.16,12400,2.10
2014-11-21,2.07,2.20,2.07,2.14,17300,2.08
2014-11-20,2.20,2.22,2.14,2.21,2500,2.15
2014-11-19,2.16,2.23,2.14,2.23,35300,2.17
2014-11-18,2.17,2.18,2.12,2.13,11100,2.07
2014-11-17,2.12,2.17,2.12,2.14,6600,2.08
2014-11-14,2.14,2.18,2.11,2.17,18800,2.11
2014-11-13,2.15,2.18,2.12,2.17,8100,2.11
2014-11-12,2.14,2.17,2.11,2.16,5500,2.10
2014-11-11,2.15,2.17,2.11,2.13,8900,2.07
2014-11-10,2.18,2.18,2.15,2.15,5300,2.09
2014-11-07,2.13,2.20,2.07,2.19,41700,2.13
2014-11-06,2.12,2.13,2.10,2.13,4100,2.07
2014-11-05,2.14,2.14,2.04,2.06,12500,2.01
2014-11-04,2.10,2.15,2.10,2.10,4600,2.04
2014-11-03,2.10,2.14,2.10,2.14,11300,2.08
2014-10-31,2.10,2.13,2.07,2.07,17900,2.01
