Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.36,25.46,25.24,25.41,7000,25.41
2015-02-12,25.50,25.52,25.37,25.47,8500,25.47
2015-02-11,25.35,25.47,25.22,25.41,11000,25.41
2015-02-10,25.34,25.43,25.30,25.32,9300,25.32
2015-02-09,25.42,25.54,25.35,25.35,5100,25.35
2015-02-06,25.63,25.63,25.44,25.49,11400,25.49
2015-02-05,25.63,25.76,25.60,25.67,17400,25.67
2015-02-04,25.71,25.71,25.57,25.71,84700,25.71
2015-02-03,25.60,25.73,25.60,25.69,7400,25.69
2015-02-02,25.62,25.74,25.60,25.62,8000,25.62
2015-01-30,25.57,25.74,25.57,25.59,6000,25.59
2015-01-29,25.38,25.64,25.38,25.52,6500,25.52
2015-01-28,25.56,25.56,25.30,25.42,14800,25.42
2015-01-27,25.70,25.84,25.70,25.70,7500,25.34
2015-01-26,25.86,25.86,25.70,25.70,9100,25.34
2015-01-23,25.72,25.78,25.70,25.76,4300,25.40
2015-01-22,25.56,25.72,25.55,25.63,9900,25.27
2015-01-21,25.84,25.84,25.56,25.60,10600,25.24
2015-01-20,25.90,25.91,25.82,25.84,12200,25.48
2015-01-16,25.66,26.14,25.66,26.14,13100,25.77
2015-01-15,25.71,25.76,25.57,25.74,11600,25.38
2015-01-14,25.75,25.78,25.60,25.68,5800,25.32
2015-01-13,25.82,25.94,25.71,25.80,9300,25.44
2015-01-12,25.56,25.86,25.56,25.73,7400,25.37
2015-01-09,25.55,25.65,25.49,25.63,3100,25.27
2015-01-08,25.48,25.63,25.40,25.49,90000,25.13
2015-01-07,25.41,25.56,25.41,25.50,5200,25.14
2015-01-06,25.48,25.50,25.40,25.50,5300,25.14
2015-01-05,25.48,25.49,25.38,25.45,6900,25.09
2015-01-02,25.50,25.50,25.43,25.49,12800,25.13
2014-12-31,25.50,25.50,25.37,25.49,6600,25.13
2014-12-30,25.46,25.50,25.43,25.50,4100,25.14
2014-12-29,25.42,25.42,25.33,25.41,5400,25.06
2014-12-26,25.31,25.37,25.31,25.35,6900,25.00
2014-12-24,25.33,25.40,25.25,25.34,8100,24.99
2014-12-23,25.26,25.48,25.25,25.46,7900,25.10
2014-12-22,25.27,25.33,25.25,25.33,8300,24.98
2014-12-19,25.24,25.34,25.15,25.34,9600,24.99
2014-12-18,25.38,25.38,25.22,25.28,8600,24.93
2014-12-17,25.10,25.36,25.09,25.36,8500,25.01
2014-12-16,25.08,25.34,25.08,25.13,6900,24.78
2014-12-15,25.16,25.21,25.14,25.21,5000,24.86
2014-12-12,25.32,25.32,25.12,25.18,8700,24.83
2014-12-11,25.50,25.50,25.10,25.12,8000,24.77
2014-12-10,25.18,25.22,25.13,25.18,9000,24.83
2014-12-09,25.09,25.33,25.08,25.15,8400,24.80
2014-12-08,25.10,25.28,25.10,25.24,3900,24.89
2014-12-05,25.05,25.22,25.05,25.12,9600,24.77
2014-12-04,25.16,25.22,25.11,25.16,12000,24.81
2014-12-03,25.33,25.33,25.25,25.25,11000,24.90
2014-12-02,25.30,25.38,25.25,25.26,12800,24.91
2014-12-01,25.35,25.45,25.35,25.36,1600,25.01
2014-11-28,25.27,25.47,25.27,25.39,4600,25.04
2014-11-26,25.43,25.48,25.34,25.37,9300,25.02
2014-11-25,25.37,25.42,25.30,25.31,6600,24.96
2014-11-24,25.33,25.39,25.32,25.32,8600,24.97
2014-11-21,25.43,25.48,25.29,25.40,18000,25.05
2014-11-20,25.47,25.48,25.39,25.42,16600,25.06
2014-11-19,25.40,25.49,25.39,25.48,9000,25.12
2014-11-18,25.50,25.50,25.41,25.45,11800,25.09
2014-11-17,25.44,25.50,25.38,25.49,9900,25.13
2014-11-14,25.37,25.45,25.37,25.45,7800,25.09
2014-11-13,25.46,25.49,25.45,25.45,4600,25.09
2014-11-12,25.47,25.49,25.46,25.49,4100,25.13
2014-11-11,25.50,25.50,25.47,25.50,2500,25.14
2014-11-10,25.44,25.50,25.44,25.47,7000,25.11
2014-11-07,25.40,25.66,25.38,25.49,19500,25.13
2014-11-06,25.56,25.57,25.47,25.49,5400,25.13
2014-11-05,25.51,25.64,25.41,25.50,9600,25.14
2014-11-04,25.40,25.54,25.40,25.50,8400,25.14
2014-11-03,25.44,25.50,25.40,25.47,16800,25.11
2014-10-31,25.44,25.44,25.37,25.44,2900,25.08
2014-10-30,25.33,25.45,25.27,25.43,3500,25.07
2014-10-29,25.51,25.60,25.23,25.28,8100,24.93
2014-10-28,25.86,25.91,25.66,25.72,9100,25.01
2014-10-27,25.57,25.77,25.57,25.77,2400,25.06
2014-10-24,25.60,25.69,25.53,25.69,13700,24.98
2014-10-23,25.80,25.80,25.63,25.71,4700,25.00
2014-10-22,25.61,25.69,25.51,25.58,15000,24.87
2014-10-21,25.53,25.78,25.53,25.65,12700,24.94
2014-10-20,25.55,25.55,25.53,25.53,4200,24.82
2014-10-17,25.47,25.55,25.25,25.55,15900,24.84
2014-10-16,25.30,25.40,25.26,25.32,6600,24.62
2014-10-15,25.36,25.47,25.22,25.30,12500,24.60
2014-10-14,25.25,25.44,25.25,25.33,7400,24.63
2014-10-13,25.25,25.35,25.25,25.28,3900,24.58
2014-10-10,25.29,25.36,25.18,25.25,10600,24.55
2014-10-09,25.42,25.42,25.25,25.27,23100,24.57
2014-10-08,25.26,25.52,25.26,25.44,14800,24.73
2014-10-07,25.22,25.44,25.22,25.33,5700,24.63
2014-10-06,25.41,25.41,25.17,25.38,21300,24.68
2014-10-03,25.27,25.30,25.24,25.28,8200,24.58
2014-10-02,25.23,25.27,25.19,25.23,13400,24.53
2014-10-01,25.18,25.34,25.16,25.18,7100,24.48
2014-09-30,25.28,25.28,25.18,25.25,10700,24.55
2014-09-29,25.16,25.20,25.13,25.20,10600,24.50
2014-09-26,25.18,25.25,25.15,25.22,8500,24.52
