Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,2.20,2.23,2.13,2.17,555300,2.17
2015-02-12,2.10,2.16,2.09,2.15,55100,2.15
2015-02-11,2.05,2.08,2.04,2.08,64900,2.08
2015-02-10,2.17,2.18,2.10,2.14,98200,2.14
2015-02-09,2.19,2.33,2.17,2.33,89300,2.33
2015-02-06,2.26,2.28,2.19,2.24,180700,2.24
2015-02-05,2.33,2.33,2.23,2.31,153900,2.31
2015-02-04,2.35,2.41,2.27,2.28,132300,2.28
2015-02-03,2.37,2.40,2.34,2.37,137500,2.37
2015-02-02,2.28,2.35,2.26,2.30,263200,2.30
2015-01-30,2.33,2.35,2.21,2.30,352300,2.30
2015-01-29,2.52,2.58,2.47,2.55,87700,2.55
2015-01-28,2.51,2.63,2.47,2.63,92400,2.63
2015-01-27,2.56,2.64,2.52,2.53,31700,2.53
2015-01-26,2.62,2.66,2.52,2.56,93800,2.56
2015-01-23,2.75,2.75,2.62,2.66,76400,2.66
2015-01-22,2.82,2.89,2.71,2.85,81200,2.85
2015-01-21,2.71,2.91,2.70,2.89,133100,2.89
2015-01-20,2.66,2.84,2.66,2.80,146900,2.80
2015-01-16,2.94,2.98,2.75,2.85,92200,2.85
2015-01-15,3.10,3.10,2.92,3.01,240300,3.01
2015-01-14,3.01,3.06,2.95,3.01,504300,3.01
2015-01-13,3.08,3.09,2.94,2.97,1304300,2.97
2015-01-12,2.94,3.02,2.87,2.94,58500,2.94
2015-01-09,2.89,3.01,2.87,3.00,71000,3.00
2015-01-08,3.08,3.14,2.91,3.03,395300,3.03
2015-01-07,3.16,3.18,2.88,3.09,246200,3.09
2015-01-06,2.99,3.01,2.80,2.82,215200,2.82
2015-01-05,2.87,2.90,2.80,2.80,235800,2.80
2015-01-02,2.89,3.02,2.89,2.89,76400,2.89
2014-12-31,2.99,2.99,2.84,2.87,73300,2.87
2014-12-30,3.10,3.12,3.02,3.06,180900,3.06
2014-12-29,3.04,3.08,2.94,2.97,795600,2.97
2014-12-26,2.94,3.01,2.91,2.92,102700,2.92
2014-12-24,2.81,2.81,2.58,2.72,54700,2.72
2014-12-23,2.87,2.91,2.74,2.75,174000,2.75
2014-12-22,2.74,2.86,2.72,2.86,157600,2.86
2014-12-19,2.61,2.69,2.50,2.57,555100,2.57
2014-12-18,2.56,2.59,2.41,2.45,103800,2.45
2014-12-17,2.35,2.62,2.33,2.58,203700,2.58
2014-12-16,2.25,2.43,2.19,2.33,192100,2.33
