Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,14.02,14.22,13.96,14.07,5171400,14.07
2015-02-12,13.64,13.77,13.48,13.70,8869200,13.70
2015-02-11,13.32,13.51,13.08,13.34,6850200,13.34
2015-02-10,13.86,13.91,13.26,13.54,5095000,13.54
2015-02-09,13.82,14.14,13.76,13.91,6448900,13.91
2015-02-06,13.94,14.08,13.63,13.68,7123100,13.68
2015-02-05,13.94,14.21,13.75,13.80,9214900,13.80
2015-02-04,13.82,13.96,13.31,13.82,11037200,13.82
2015-02-03,13.25,14.36,13.25,14.19,14208100,14.19
2015-02-02,12.53,13.02,12.42,13.01,9002000,13.01
2015-01-30,11.80,12.37,11.68,12.24,10450500,12.24
2015-01-29,12.79,12.88,11.89,12.05,11430500,12.05
2015-01-28,13.51,13.51,12.72,12.75,10416300,12.75
2015-01-27,13.23,13.72,13.16,13.67,6786600,13.67
2015-01-26,13.35,13.45,13.15,13.26,4405000,13.26
2015-01-23,13.34,13.58,13.20,13.38,6990800,13.38
2015-01-22,13.36,13.46,13.10,13.30,11304900,13.30
2015-01-21,13.16,13.39,13.12,13.34,8580200,13.34
2015-01-20,13.34,13.34,12.76,12.97,9652700,12.97
2015-01-16,12.87,13.69,12.83,13.62,9404500,13.62
2015-01-15,12.92,13.19,12.74,12.79,12166800,12.79
2015-01-14,12.51,12.73,12.24,12.53,9880000,12.53
2015-01-13,12.66,12.77,12.49,12.62,9598100,12.62
2015-01-12,12.84,12.84,12.53,12.65,10822600,12.65
2015-01-09,13.11,13.15,12.89,13.04,11330800,13.04
2015-01-08,13.07,13.31,12.94,13.12,8747300,13.12
2015-01-07,13.04,13.11,12.88,12.91,14322100,12.91
2015-01-06,13.03,13.13,12.81,12.90,11037200,12.90
2015-01-05,13.58,13.72,13.00,13.12,10247800,13.12
2015-01-02,13.82,13.99,13.59,13.81,8981500,13.81
2014-12-31,13.84,14.11,13.70,13.87,6556500,13.87
2014-12-30,13.71,14.04,13.68,13.85,7031300,13.85
2014-12-29,13.80,14.03,13.75,13.94,8731200,13.94
2014-12-26,13.85,13.93,13.53,13.70,4178400,13.70
2014-12-24,13.63,13.79,13.41,13.73,3596700,13.73
2014-12-23,13.52,13.86,13.52,13.76,7369100,13.76
2014-12-22,13.89,13.94,13.15,13.50,9482300,13.50
2014-12-19,13.57,14.20,13.30,14.15,9762000,14.15
2014-12-18,13.68,13.73,13.07,13.41,10406700,13.41
2014-12-17,12.53,13.33,12.31,13.03,13664500,13.03
2014-12-16,11.52,12.88,11.44,12.48,14717800,12.48
2014-12-15,12.15,12.34,11.55,11.62,12575400,11.62
2014-12-12,12.28,12.47,12.16,12.19,8591100,12.19
2014-12-11,12.68,13.09,12.50,12.58,8307300,12.58
2014-12-10,13.07,13.12,12.57,12.74,13392200,12.67
2014-12-09,13.36,13.67,13.11,13.34,12560200,13.27
2014-12-08,14.48,14.54,13.24,13.44,11210900,13.37
2014-12-05,15.02,15.08,14.55,14.73,8172000,14.65
2014-12-04,15.34,15.39,14.94,14.97,6214900,14.89
2014-12-03,15.56,15.87,15.46,15.48,6611000,15.39
2014-12-02,15.62,16.01,15.40,15.59,6967600,15.50
2014-12-01,15.82,16.16,15.38,15.72,7627800,15.63
2014-11-28,16.47,16.58,15.76,15.78,6426600,15.69
2014-11-26,18.03,18.15,17.79,17.82,4766500,17.72
2014-11-25,18.32,18.62,18.02,18.15,4750400,18.05
2014-11-24,18.62,18.67,18.09,18.27,4548900,18.17
2014-11-21,18.50,19.05,18.43,18.58,8206400,18.48
2014-11-20,17.77,18.39,17.76,18.18,6695000,18.08
2014-11-19,17.89,17.91,17.48,17.80,4355700,17.70
2014-11-18,17.68,17.93,17.51,17.80,3809100,17.70
2014-11-17,17.85,17.99,17.68,17.81,4501600,17.71
2014-11-14,17.51,17.95,17.39,17.91,6525500,17.81
2014-11-13,18.10,18.12,17.18,17.35,6808300,17.25
2014-11-12,18.36,18.72,18.05,18.16,7136700,18.06
2014-11-11,18.48,18.64,18.20,18.47,5125400,18.37
2014-11-10,19.10,19.31,18.35,18.49,4445500,18.39
2014-11-07,18.48,19.04,18.45,18.91,5265500,18.81
2014-11-06,18.39,18.43,17.96,18.37,6654400,18.27
2014-11-05,17.85,18.52,17.67,18.44,6513600,18.34
2014-11-04,18.10,18.19,17.49,17.70,6476700,17.60
2014-11-03,18.81,18.96,18.29,18.35,6851900,18.25
2014-10-31,18.33,18.65,18.11,18.63,6539600,18.53
2014-10-30,18.43,18.43,18.13,18.28,6412900,18.18
2014-10-29,18.60,18.99,18.25,18.40,7321500,18.30
2014-10-28,17.85,18.45,17.72,18.44,5049800,18.34
2014-10-27,18.08,18.14,17.41,17.80,11591500,17.70
2014-10-24,18.43,18.61,18.28,18.35,4800100,18.25
2014-10-23,18.32,18.65,18.04,18.49,6823900,18.39
2014-10-22,19.00,19.02,18.05,18.05,9227400,17.95
2014-10-21,18.80,19.11,18.71,19.09,6531200,18.99
2014-10-20,18.49,18.75,18.28,18.72,5890400,18.62
2014-10-17,19.18,19.19,18.41,18.63,6600800,18.53
2014-10-16,18.12,18.98,18.03,18.87,8583100,18.77
2014-10-15,18.01,18.68,18.00,18.62,8996300,18.52
2014-10-14,18.87,19.31,18.30,18.42,7468700,18.32
2014-10-13,19.62,20.04,18.79,18.81,4992600,18.71
2014-10-10,20.07,20.33,19.65,19.80,5207000,19.69
2014-10-09,20.89,21.03,20.20,20.20,5965100,20.09
2014-10-08,21.37,21.38,20.57,21.09,6073500,20.97
2014-10-07,21.38,21.54,21.15,21.21,4800600,21.09
2014-10-06,21.15,21.61,21.06,21.45,5153300,21.33
2014-10-03,21.39,21.71,21.12,21.15,4332000,21.03
2014-10-02,21.54,21.68,21.16,21.51,6740600,21.39
2014-10-01,21.15,21.74,21.08,21.38,6391400,21.26
2014-09-30,21.68,21.76,21.04,21.21,5808500,21.09
2014-09-29,21.39,21.93,21.23,21.59,9662100,21.47
2014-09-26,20.91,21.22,20.72,21.13,2715900,21.01
2014-09-25,21.30,21.33,20.91,20.95,4246900,20.83
2014-09-24,21.32,21.46,21.04,21.29,4845600,21.17
2014-09-23,21.32,21.63,21.19,21.42,5516400,21.30
2014-09-22,21.63,21.68,21.12,21.32,4591800,21.20
2014-09-19,22.20,22.23,21.75,21.77,5811500,21.65
2014-09-18,22.55,22.57,22.14,22.29,6040300,22.17
2014-09-17,22.86,22.86,22.43,22.49,5113300,22.37
2014-09-16,22.65,22.92,22.51,22.75,3316400,22.62
2014-09-15,22.50,22.86,22.43,22.67,3491100,22.55
2014-09-12,22.28,22.53,22.10,22.45,3228700,22.33
2014-09-11,22.54,22.54,22.21,22.32,5991400,22.20
2014-09-10,23.10,23.10,22.55,22.83,6137400,22.63
2014-09-09,22.58,23.32,22.51,23.25,6687500,23.05
2014-09-08,22.60,22.64,22.29,22.50,3686600,22.31
2014-09-05,22.59,22.74,22.50,22.64,2164100,22.45
2014-09-04,23.01,23.41,22.53,22.62,4333800,22.43
2014-09-03,22.84,23.17,22.83,23.11,3293200,22.91
2014-09-02,22.88,22.97,22.63,22.64,3640200,22.45
2014-08-29,22.93,23.05,22.74,23.03,2353400,22.83
2014-08-28,22.82,22.95,22.73,22.88,3226000,22.68
2014-08-27,22.57,22.98,22.51,22.90,6756100,22.70
2014-08-26,22.32,22.56,22.23,22.44,4601500,22.25
2014-08-25,22.05,22.29,21.97,22.25,2386400,22.06
2014-08-22,22.05,22.05,21.80,21.98,2492800,21.79
2014-08-21,21.99,22.02,21.66,22.01,2831900,21.82
2014-08-20,21.72,21.90,21.49,21.87,2185600,21.68
2014-08-19,21.34,21.74,21.27,21.73,3570300,21.54
2014-08-18,21.59,21.60,21.25,21.31,2510800,21.13
2014-08-15,21.44,21.58,21.16,21.53,3056300,21.35
2014-08-14,21.50,21.62,21.31,21.42,2436900,21.24
2014-08-13,21.70,21.79,21.34,21.42,3270300,21.24
2014-08-12,21.74,21.88,21.57,21.67,3320400,21.48
2014-08-11,21.82,22.00,21.75,21.87,3764200,21.68
2014-08-08,21.31,21.78,21.24,21.69,4571300,21.50
2014-08-07,21.08,21.43,21.06,21.30,4953500,21.12
2014-08-06,20.87,21.21,20.82,20.97,4078400,20.79
2014-08-05,21.26,21.37,20.76,20.95,5421600,20.77
2014-08-04,21.16,21.56,21.13,21.47,2481000,21.29
2014-08-01,21.40,21.60,21.08,21.11,9649100,20.93
2014-07-31,21.83,21.91,21.31,21.55,5915800,21.37
2014-07-30,22.18,22.20,21.92,22.02,3936000,21.83
2014-07-29,22.08,22.20,21.93,22.05,3061000,21.86
2014-07-28,22.03,22.21,21.83,22.08,5343600,21.89
2014-07-25,22.18,22.19,21.68,22.03,5686900,21.84
2014-07-24,22.42,22.59,21.78,22.25,6840300,22.06
2014-07-23,21.40,22.10,21.23,22.09,7981000,21.90
2014-07-22,21.59,21.62,21.25,21.32,4411800,21.14
2014-07-21,21.52,21.57,21.31,21.52,3078600,21.34
2014-07-18,21.40,22.02,21.32,21.63,5684300,21.45
2014-07-17,22.04,22.05,21.27,21.30,5051100,21.12
2014-07-16,21.60,22.00,21.57,21.96,3772200,21.77
2014-07-15,21.94,21.94,21.39,21.45,5473800,21.27
2014-07-14,21.98,22.14,21.94,21.95,4897200,21.76
2014-07-11,22.33,22.33,21.74,21.85,4293700,21.66
2014-07-10,22.39,22.49,22.16,22.35,3438700,22.16
2014-07-09,22.56,22.58,22.27,22.53,3669600,22.34
2014-07-08,22.23,22.60,21.86,22.55,5723000,22.36
2014-07-07,22.84,22.88,22.13,22.27,6243500,22.08
2014-07-03,23.22,23.32,23.03,23.14,1896200,22.94
2014-07-02,23.56,23.61,22.67,23.32,3637800,23.12
2014-07-01,23.82,23.96,23.54,23.71,2257300,23.51
2014-06-30,23.63,23.80,23.53,23.71,3106900,23.51
2014-06-27,23.83,23.99,23.52,23.62,3885300,23.42
2014-06-26,24.16,24.29,23.74,23.91,3406600,23.71
2014-06-25,24.08,24.34,24.05,24.13,3038500,23.92
2014-06-24,24.63,24.74,23.98,24.00,2538700,23.79
2014-06-23,24.48,24.57,24.34,24.54,2569400,24.33
2014-06-20,24.64,24.83,24.45,24.53,3450900,24.32
2014-06-19,24.57,24.61,24.40,24.60,3692800,24.39
2014-06-18,24.63,24.71,24.46,24.57,3115500,24.36
2014-06-17,24.51,24.65,24.37,24.54,3207800,24.33
2014-06-16,24.48,24.66,24.35,24.55,4583700,24.34
2014-06-13,23.90,24.48,23.83,24.42,5656300,24.21
2014-06-12,23.89,24.04,23.63,23.88,5936400,23.68
2014-06-11,23.57,23.90,23.41,23.78,4759300,23.58
2014-06-10,23.32,23.58,23.04,23.56,4040300,23.29
2014-06-09,23.25,23.46,23.20,23.35,2340400,23.08
2014-06-06,23.45,23.46,22.94,23.21,4326900,22.94
2014-06-05,23.57,23.67,23.37,23.44,3313000,23.17
2014-06-04,23.46,23.58,23.35,23.52,2375900,23.25
2014-06-03,23.39,23.55,23.31,23.48,2920400,23.21
2014-06-02,23.16,23.47,23.12,23.31,3524000,23.04
2014-05-30,23.27,23.40,23.05,23.31,3983600,23.04
2014-05-29,23.06,23.40,22.88,23.28,5192700,23.01
2014-05-28,22.69,22.94,22.51,22.93,3079700,22.67
2014-05-27,23.04,23.09,22.57,22.71,3875000,22.45
2014-05-23,23.22,23.22,22.83,22.95,2679600,22.69
2014-05-22,23.27,23.48,22.93,23.05,5997600,22.79
2014-05-21,22.86,23.36,22.74,23.33,5661300,23.06
2014-05-20,22.96,23.05,22.66,22.78,3628800,22.52
2014-05-19,22.76,23.20,22.72,22.94,4296600,22.68
2014-05-16,22.94,23.15,22.60,22.68,4693700,22.42
2014-05-15,22.73,23.07,22.36,23.00,4418900,22.74
2014-05-14,23.10,23.44,22.79,22.79,8870100,22.53
2014-05-13,23.84,23.88,22.64,22.98,9799500,22.72
2014-05-12,22.50,22.71,22.40,22.56,5668900,22.30
2014-05-09,22.75,22.94,22.36,22.44,8120300,22.18
2014-05-08,23.65,23.65,22.93,22.95,5261200,22.69
2014-05-07,23.30,23.93,23.27,23.57,12067600,23.30
2014-05-06,22.76,22.91,22.46,22.58,3736700,22.32
2014-05-05,22.83,22.85,22.52,22.56,3795100,22.30
2014-05-02,22.87,23.19,22.76,22.94,2895300,22.68
2014-05-01,23.16,23.19,22.74,22.82,3228200,22.56
2014-04-30,23.37,23.42,23.01,23.21,3184100,22.94
2014-04-29,22.92,23.85,22.90,23.48,6154300,23.21
2014-04-28,22.84,23.09,22.53,22.76,6734900,22.50
2014-04-25,22.88,23.05,22.54,22.63,6172900,22.37
2014-04-24,23.22,23.34,22.95,23.00,3576700,22.74
2014-04-23,23.09,23.35,23.00,23.17,2586900,22.90
2014-04-22,23.16,23.39,22.92,23.12,2827300,22.85
2014-04-21,23.31,23.43,23.06,23.17,3036600,22.90
2014-04-17,23.25,23.54,22.85,23.39,4853200,23.12
2014-04-16,22.71,23.28,22.47,23.26,9689800,22.99
2014-04-15,22.64,23.06,22.29,22.33,6791000,22.07
2014-04-14,22.58,22.83,22.53,22.64,3703300,22.38
2014-04-11,22.33,22.65,22.26,22.42,2714700,22.16
2014-04-10,22.38,22.82,22.26,22.41,4433300,22.15
2014-04-09,22.57,22.73,22.36,22.49,4222900,22.23
2014-04-08,21.76,22.72,21.68,22.67,5960200,22.41
2014-04-07,21.91,22.23,21.75,21.78,4885100,21.53
2014-04-04,22.10,22.17,21.85,22.04,4788000,21.79
2014-04-03,21.11,22.17,21.06,22.05,8227600,21.80
2014-04-02,21.26,21.49,21.24,21.42,4385700,21.17
2014-04-01,21.23,21.53,21.18,21.31,5314200,21.07
2014-03-31,21.54,21.63,21.20,21.38,5025800,21.13
2014-03-28,21.31,21.50,21.25,21.42,4642200,21.17
2014-03-27,20.91,21.29,20.85,21.24,6661600,21.00
2014-03-26,20.67,20.90,20.59,20.89,6332600,20.65
2014-03-25,20.51,20.64,20.31,20.64,4080900,20.40
2014-03-24,20.25,20.58,20.07,20.48,4436900,20.24
2014-03-21,20.31,20.46,20.18,20.30,3751500,20.07
2014-03-20,20.12,20.31,19.99,20.30,3323400,20.07
2014-03-19,20.42,20.44,20.11,20.21,4761500,19.98
2014-03-18,20.35,20.70,20.21,20.53,3524600,20.29
2014-03-17,20.40,20.64,20.20,20.41,4858100,20.18
2014-03-14,20.03,20.29,19.87,20.23,3649600,20.00
2014-03-13,19.92,20.23,19.83,20.06,7728800,19.83
2014-03-12,19.79,20.01,19.45,19.91,5978900,19.68
2014-03-11,20.38,20.58,20.11,20.12,6287400,19.82
2014-03-10,20.08,20.52,20.06,20.49,10481100,20.18
2014-03-07,19.87,20.16,19.75,20.07,6614200,19.77
2014-03-06,19.61,19.99,19.42,19.89,4689900,19.59
2014-03-05,19.50,19.80,19.43,19.58,5379900,19.29
2014-03-04,19.41,19.59,19.15,19.53,6119700,19.24
2014-03-03,18.88,19.40,18.88,19.36,5455800,19.07
2014-02-28,18.80,19.16,18.74,18.98,4056700,18.70
2014-02-27,19.06,19.06,18.61,18.74,6417800,18.46
2014-02-26,19.01,19.14,18.72,19.09,4706400,18.81
2014-02-25,19.30,19.30,18.84,19.10,8137800,18.81
2014-02-24,19.03,19.64,19.00,19.39,8209500,19.10
2014-02-21,18.60,18.97,18.56,18.91,4922600,18.63
2014-02-20,18.92,19.02,18.61,18.61,3685300,18.33
2014-02-19,18.99,19.18,18.93,18.98,5871800,18.70
2014-02-18,18.64,19.02,18.58,18.98,6997500,18.70
2014-02-14,18.90,18.98,18.49,18.51,5162800,18.23
2014-02-13,18.76,19.20,18.61,18.89,6509400,18.61
2014-02-12,18.40,18.84,18.34,18.57,8754200,18.29
2014-02-11,18.27,18.41,18.21,18.33,4908200,18.06
2014-02-10,18.32,18.32,18.10,18.24,3082900,17.97
2014-02-07,18.96,18.97,18.34,18.39,5370200,18.12
2014-02-06,18.75,19.30,18.75,18.94,7564400,18.66
2014-02-05,18.46,19.16,18.46,18.80,13661700,18.52
2014-02-04,17.81,18.46,17.77,18.44,7556400,18.16
2014-02-03,18.03,18.06,17.60,17.64,3431500,17.38
2014-01-31,17.79,18.12,17.74,17.97,3722000,17.70
2014-01-30,18.01,18.04,17.87,17.99,3546600,17.72
2014-01-29,18.02,18.04,17.89,17.95,5851600,17.68
2014-01-28,17.91,18.18,17.82,18.14,4296000,17.87
2014-01-27,18.17,18.30,17.74,17.95,5425700,17.68
2014-01-24,18.28,18.61,18.03,18.21,7864700,17.94
2014-01-23,18.24,18.44,17.99,18.39,7914400,18.12
2014-01-22,18.07,18.30,18.01,18.24,5315100,17.97
2014-01-21,17.83,17.98,17.77,17.97,4501900,17.70
2014-01-17,17.61,17.95,17.49,17.69,4085100,17.43
2014-01-16,17.55,17.69,17.45,17.67,3696600,17.41
2014-01-15,17.34,17.65,17.33,17.42,2947500,17.16
