Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,64.95,65.04,63.35,63.92,3402800,63.92
2015-02-12,66.01,66.16,65.36,65.61,3100100,64.96
2015-02-11,66.63,66.70,65.61,65.94,2989300,65.29
2015-02-10,65.93,67.15,65.92,67.00,2342000,66.34
2015-02-09,66.77,67.17,65.83,66.04,2852600,65.39
2015-02-06,68.45,68.58,66.55,66.77,4028000,66.11
2015-02-05,68.62,68.91,67.95,68.81,1488400,68.13
2015-02-04,68.84,69.27,68.08,68.23,2353300,67.55
2015-02-03,69.31,69.48,68.65,68.99,3078200,68.31
2015-02-02,69.28,69.69,68.25,69.46,2680800,68.77
2015-01-30,71.15,71.23,69.22,69.28,5384900,68.59
2015-01-29,70.79,71.54,70.15,71.40,2101500,70.69
2015-01-28,70.93,72.25,70.64,70.85,2404200,70.15
2015-01-27,70.38,71.16,70.27,70.88,1746500,70.18
2015-01-26,70.36,70.43,69.65,70.41,1444600,69.71
2015-01-23,70.30,70.67,70.12,70.37,1408900,69.67
2015-01-22,70.66,70.95,69.73,70.05,1990800,69.36
2015-01-21,69.86,70.61,69.38,70.45,2250000,69.75
2015-01-20,69.25,70.05,69.14,69.99,2597700,69.30
2015-01-16,68.60,69.15,68.52,69.10,1920600,68.42
2015-01-15,67.49,68.54,67.28,68.37,1800200,67.69
2015-01-14,66.35,67.54,66.20,67.49,2381600,66.82
2015-01-13,66.81,67.77,66.32,66.77,2535600,66.11
2015-01-12,67.28,67.38,66.45,66.90,1428000,66.24
2015-01-09,67.61,67.65,66.65,67.13,1352600,66.46
2015-01-08,67.26,67.77,67.07,67.48,2025600,66.81
2015-01-07,66.27,67.34,65.74,67.06,2173500,66.40
2015-01-06,65.75,67.04,65.68,66.08,3203600,65.43
2015-01-05,66.24,66.46,65.36,65.71,2465000,65.06
2015-01-02,66.10,66.48,65.48,66.34,1689900,65.68
2014-12-31,67.08,67.42,65.95,66.01,2058000,65.36
2014-12-30,68.40,68.40,66.77,66.91,1916000,66.25
2014-12-29,67.67,68.92,67.67,68.50,2461900,67.82
2014-12-26,67.08,68.15,66.92,67.76,2086700,67.09
2014-12-24,66.05,67.12,66.03,66.91,1236700,66.25
2014-12-23,65.99,66.29,65.79,66.01,1591000,65.36
2014-12-22,66.05,66.26,65.39,65.94,1636200,65.29
2014-12-19,65.64,66.06,65.27,65.69,3543400,65.04
2014-12-18,64.80,65.56,64.55,65.56,2653400,64.91
2014-12-17,64.00,64.81,63.72,64.78,3116400,64.14
2014-12-16,64.12,65.05,63.63,64.14,2759300,63.50
