Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,35.03,35.12,34.58,34.84,257800,34.84
2015-02-12,34.77,35.16,34.67,35.08,183100,35.08
2015-02-11,34.68,34.89,34.49,34.73,409600,34.73
2015-02-10,34.86,34.90,34.07,34.75,529300,34.75
2015-02-09,35.30,35.57,34.66,34.75,445300,34.75
2015-02-06,35.23,35.41,34.96,35.27,926800,35.27
2015-02-05,34.64,35.39,34.61,35.27,781000,35.27
2015-02-04,34.71,34.91,34.54,34.60,709200,34.60
2015-02-03,34.54,35.00,34.29,34.78,600700,34.78
2015-02-02,35.16,35.16,34.26,34.78,579900,34.78
2015-01-30,35.38,35.44,34.57,34.60,695900,34.60
2015-01-29,35.20,35.48,34.88,35.44,442500,35.44
2015-01-28,34.98,35.66,34.86,35.21,907300,35.21
2015-01-27,35.02,35.19,34.37,35.15,1097100,34.79
2015-01-26,35.27,35.47,34.85,35.11,983900,34.75
2015-01-23,37.56,37.81,34.92,35.33,3067200,34.97
2015-01-22,37.84,38.39,37.46,38.18,993000,37.79
2015-01-21,37.97,38.28,37.73,38.16,342100,37.77
2015-01-20,38.67,38.84,38.16,38.40,357700,38.01
2015-01-16,37.82,38.51,37.75,38.51,792300,38.12
2015-01-15,38.81,39.02,37.81,37.92,888100,37.53
2015-01-14,39.35,39.45,39.03,39.19,577900,38.79
2015-01-13,39.43,39.65,39.13,39.59,654200,39.18
2015-01-12,39.15,39.49,39.00,39.43,358800,39.03
2015-01-09,38.96,39.39,38.72,39.17,581000,38.77
2015-01-08,38.14,38.96,37.83,38.91,851500,38.51
2015-01-07,38.00,38.13,37.85,38.09,576700,37.70
2015-01-06,37.94,38.22,37.78,37.91,1100300,37.52
2015-01-05,37.31,37.90,37.08,37.85,778600,37.46
2015-01-02,36.79,37.46,36.79,37.39,303800,37.01
2014-12-31,37.17,37.49,36.52,36.59,523800,36.22
2014-12-30,37.31,37.60,37.03,37.10,380000,36.72
2014-12-29,37.06,37.64,37.06,37.38,322400,37.00
2014-12-26,37.16,37.36,36.90,37.12,290300,36.74
2014-12-24,36.90,37.47,36.90,37.07,214500,36.69
2014-12-23,37.32,37.38,36.66,36.94,437200,36.56
2014-12-22,36.41,37.20,36.41,37.17,453800,36.79
2014-12-19,36.02,36.65,36.01,36.36,1888000,35.99
2014-12-18,36.01,36.07,35.58,36.05,385800,35.68
2014-12-17,35.25,35.85,35.13,35.85,404800,35.48
2014-12-16,35.01,35.52,34.73,35.17,373000,34.81
2014-12-15,35.38,35.53,34.97,34.97,442700,34.61
2014-12-12,35.44,35.89,35.24,35.29,442000,34.93
2014-12-11,35.79,35.93,35.49,35.56,457600,35.20
2014-12-10,35.64,36.02,35.48,35.68,456600,35.31
2014-12-09,35.47,36.21,35.41,35.75,1119000,35.38
2014-12-08,35.27,35.97,35.27,35.62,513900,35.26
2014-12-05,35.22,35.46,35.04,35.36,645100,35.00
2014-12-04,35.07,35.64,35.02,35.35,953000,34.99
2014-12-03,34.89,35.38,34.74,35.08,935100,34.72
2014-12-02,34.74,34.97,34.53,34.82,684500,34.46
2014-12-01,34.78,35.15,34.58,34.71,1113300,34.35
2014-11-28,11.68,11.84,11.63,11.64,155400,34.56
2014-11-26,11.61,11.72,11.54,11.66,303600,34.62
2014-11-25,11.55,11.60,11.49,11.58,259500,34.38
2014-11-24,11.46,11.58,11.42,11.55,244000,34.29
2014-11-21,11.43,11.54,11.35,11.42,361700,33.91
2014-11-20,11.25,11.38,11.19,11.36,336900,33.73
2014-11-19,11.34,11.41,11.24,11.24,268300,33.37
2014-11-18,11.40,11.42,11.32,11.38,801200,33.79
2014-11-17,11.36,11.45,11.34,11.37,298600,33.76
2014-11-14,11.51,11.56,11.36,11.39,249800,33.82
2014-11-13,11.52,11.59,11.44,11.54,262000,34.27
2014-11-12,11.53,11.58,11.39,11.50,276300,34.15
2014-11-11,11.63,11.65,11.50,11.53,269600,34.24
2014-11-10,11.49,11.65,11.44,11.62,382700,34.50
2014-11-07,11.32,11.54,11.31,11.50,527400,34.15
2014-11-06,11.44,11.54,11.32,11.33,351100,33.64
2014-11-05,11.68,11.68,11.39,11.46,462600,34.03
2014-11-04,11.51,11.65,11.48,11.64,547000,34.56
2014-11-03,11.28,11.54,11.23,11.53,440800,34.24
2014-10-31,11.22,11.36,11.13,11.26,529700,33.43
2014-10-30,11.09,11.15,11.05,11.13,375600,33.05
2014-10-29,11.15,11.23,11.04,11.13,433100,33.05
2014-10-28,11.14,11.27,10.96,11.27,502600,33.11
2014-10-27,11.11,11.13,10.80,11.13,1089500,32.70
2014-10-24,11.15,11.20,10.97,11.12,723100,32.67
2014-10-23,11.18,11.21,11.07,11.09,415700,32.58
2014-10-22,11.19,11.24,11.05,11.13,426900,32.70
2014-10-21,11.06,11.16,10.97,11.16,284900,32.78
2014-10-20,10.79,11.04,10.79,11.01,801700,32.34
2014-10-17,10.77,10.81,10.64,10.80,610100,31.73
2014-10-16,10.81,10.88,10.65,10.71,743300,31.46
2014-10-15,10.76,11.00,10.72,10.87,722900,31.93
2014-10-14,10.73,11.03,10.71,10.83,507700,31.81
2014-10-13,10.64,10.80,10.59,10.68,332100,31.37
2014-10-10,10.50,10.71,10.45,10.62,511900,31.20
2014-10-09,10.45,10.60,10.44,10.51,355800,30.87
2014-10-08,10.32,10.46,10.25,10.46,496200,30.73
2014-10-07,10.32,10.47,10.29,10.33,282500,30.35
2014-10-06,10.34,10.45,10.31,10.35,279500,30.40
2014-10-03,10.33,10.34,10.19,10.34,452700,30.38
2014-10-02,10.24,10.30,10.18,10.26,429000,30.14
2014-10-01,10.29,10.31,10.16,10.26,649300,30.14
2014-09-30,10.36,10.43,10.25,10.28,603500,30.20
2014-09-29,10.22,10.38,10.17,10.35,537200,30.40
2014-09-26,10.19,10.26,10.12,10.26,466600,30.14
2014-09-25,10.19,10.23,10.06,10.19,361200,29.93
2014-09-24,10.19,10.29,10.14,10.20,492100,29.96
2014-09-23,10.34,10.38,10.20,10.20,433300,29.96
2014-09-22,10.42,10.45,10.32,10.36,515700,30.43
2014-09-19,10.54,10.62,10.43,10.46,813400,30.73
2014-09-18,10.66,10.68,10.50,10.51,432700,30.87
2014-09-17,10.62,10.77,10.49,10.66,742500,31.32
2014-09-16,10.47,10.64,10.43,10.62,402000,31.20
2014-09-15,10.54,10.58,10.44,10.50,586400,30.85
2014-09-12,10.85,10.89,10.50,10.55,764500,30.99
2014-09-11,10.74,10.89,10.74,10.88,420800,31.96
2014-09-10,10.97,10.97,10.77,10.79,627800,31.70
2014-09-09,10.97,11.03,10.93,10.99,540400,32.28
2014-09-08,10.97,11.02,10.93,11.00,583900,32.31
2014-09-05,10.89,11.02,10.87,10.97,289200,32.23
2014-09-04,10.85,10.95,10.81,10.87,238700,31.93
2014-09-03,10.85,10.92,10.81,10.84,179500,31.84
2014-09-02,10.92,10.95,10.79,10.83,356400,31.81
2014-08-29,10.85,10.93,10.80,10.89,204400,31.99
2014-08-28,10.83,10.88,10.81,10.85,211800,31.87
2014-08-27,10.79,10.85,10.70,10.83,559300,31.81
2014-08-26,10.76,10.82,10.75,10.76,251700,31.61
2014-08-25,10.83,10.83,10.74,10.76,214400,31.61
2014-08-22,10.86,10.89,10.70,10.78,188500,31.67
2014-08-21,10.89,10.93,10.84,10.87,226200,31.93
2014-08-20,10.82,10.90,10.74,10.87,266300,31.93
2014-08-19,10.82,10.85,10.75,10.83,250600,31.81
2014-08-18,10.70,10.78,10.66,10.78,425400,31.67
2014-08-15,10.67,10.71,10.58,10.64,455700,31.26
2014-08-14,10.72,10.74,10.62,10.64,228700,31.26
2014-08-13,10.55,10.73,10.53,10.69,644200,31.40
2014-08-12,10.59,10.66,10.46,10.50,484000,30.85
2014-08-11,10.57,10.66,10.57,10.59,407100,31.11
2014-08-08,10.52,10.59,10.49,10.55,339400,30.99
2014-08-07,10.52,10.65,10.49,10.52,320400,30.90
2014-08-06,10.59,10.61,10.46,10.50,629800,30.85
2014-08-05,10.56,10.74,10.55,10.62,969300,31.20
2014-08-04,10.55,10.63,10.44,10.62,658600,31.20
2014-08-01,10.49,10.68,10.49,10.54,1206700,30.96
2014-07-31,10.75,10.81,10.55,10.56,1437000,31.02
2014-07-30,10.82,10.87,10.70,10.80,1112000,31.73
2014-07-29,10.85,10.93,10.80,10.81,680800,31.76
2014-07-28,10.97,11.06,10.89,11.01,755100,31.99
2014-07-25,11.10,11.15,10.97,11.00,679200,31.96
2014-07-24,11.22,11.25,11.12,11.17,722600,32.46
2014-07-23,10.97,11.23,10.97,11.19,1007800,32.51
2014-07-22,11.11,11.25,11.10,11.18,988800,32.48
2014-07-21,11.10,11.15,11.00,11.13,7200300,32.34
2014-07-18,11.08,11.20,11.07,11.10,897600,32.25
2014-07-17,11.18,11.31,11.09,11.09,2627900,32.22
2014-07-16,11.01,11.11,10.97,11.04,835900,32.08
2014-07-15,10.90,11.04,10.87,10.95,604200,31.82
2014-07-14,10.89,10.89,10.81,10.88,205500,31.61
2014-07-11,10.81,10.88,10.75,10.84,193400,31.50
2014-07-10,10.69,10.85,10.68,10.81,571700,31.41
2014-07-09,10.77,10.82,10.68,10.77,331500,31.29
2014-07-08,10.67,10.76,10.62,10.76,488200,31.26
2014-07-07,10.64,10.76,10.63,10.73,457200,31.18
2014-07-03,10.77,10.77,10.57,10.65,307600,30.94
2014-07-02,10.80,10.82,10.62,10.69,452200,31.06
2014-07-01,10.77,10.87,10.73,10.82,1057200,31.44
2014-06-30,10.67,10.74,10.54,10.74,477400,31.21
2014-06-27,10.54,10.73,10.51,10.70,877700,31.09
2014-06-26,10.58,10.60,10.53,10.57,479400,30.71
2014-06-25,10.61,10.66,10.51,10.56,464500,30.68
2014-06-24,10.66,10.70,10.62,10.63,446000,30.89
