Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,10.57,10.60,10.22,10.48,21600,10.48
2015-02-12,10.13,10.50,10.01,10.49,68800,10.49
2015-02-11,10.32,10.32,9.90,9.99,55400,9.99
2015-02-10,10.23,10.40,10.17,10.20,26200,10.20
2015-02-09,10.21,10.38,10.17,10.30,14100,10.30
2015-02-06,10.19,10.50,10.19,10.27,7700,10.27
2015-02-05,10.14,10.34,10.06,10.25,7400,10.25
2015-02-04,10.23,10.49,10.06,10.25,39800,10.25
2015-02-03,10.42,10.79,10.20,10.32,55300,10.32
2015-02-02,10.31,10.61,10.01,10.45,63100,10.45
2015-01-30,10.10,10.39,9.96,10.35,81500,10.35
2015-01-29,9.67,10.35,9.37,10.35,145700,10.35
2015-01-28,9.85,9.99,9.52,9.74,138800,9.74
2015-01-27,9.25,10.32,9.11,9.75,322400,9.75
2015-01-26,9.44,9.97,9.12,9.43,96200,9.43
2015-01-23,9.54,10.01,9.30,9.52,38000,9.52
2015-01-22,9.72,9.90,9.50,9.68,54700,9.68
2015-01-21,9.70,9.99,9.67,9.72,49800,9.72
2015-01-20,9.90,9.90,9.51,9.68,45300,9.68
2015-01-16,9.51,9.98,9.51,9.78,66100,9.78
2015-01-15,9.53,10.00,9.53,9.61,36400,9.61
2015-01-14,10.00,10.03,9.61,9.72,78200,9.72
2015-01-13,10.32,10.50,10.04,10.06,47700,10.06
2015-01-12,10.51,10.89,10.02,10.18,79700,10.18
2015-01-09,11.00,11.11,10.10,10.24,247900,10.24
2015-01-08,9.93,10.80,9.93,10.47,192200,10.47
2015-01-07,9.10,9.99,9.10,9.95,77100,9.95
2015-01-06,9.25,9.33,8.80,8.98,39300,8.98
2015-01-05,8.47,9.35,8.47,9.17,44600,9.17
2015-01-02,8.21,8.46,8.17,8.37,26100,8.37
2014-12-31,8.41,8.59,8.09,8.16,133400,8.16
2014-12-30,8.89,8.99,8.40,8.44,113000,8.44
2014-12-29,9.15,9.28,8.81,8.93,48100,8.93
2014-12-26,9.41,9.55,9.00,9.21,55800,9.21
2014-12-24,9.48,9.48,9.11,9.40,9600,9.40
2014-12-23,9.67,9.67,8.91,9.50,74600,9.50
2014-12-22,8.24,9.60,8.20,9.57,364700,9.57
2014-12-19,8.02,8.36,8.01,8.09,85600,8.09
2014-12-18,8.42,8.44,7.91,7.97,265300,7.97
2014-12-17,8.51,8.69,7.95,8.22,156100,8.22
2014-12-16,8.70,8.70,8.30,8.46,223300,8.46
2014-12-15,9.41,9.50,8.58,8.93,333400,8.93
2014-12-12,9.92,9.92,8.42,9.20,452900,9.20
2014-12-11,11.30,11.30,9.73,9.95,405900,9.95
2014-12-10,11.20,11.26,10.76,10.95,180900,10.95
2014-12-09,11.50,11.55,11.27,11.40,167400,11.40
2014-12-08,11.63,11.85,11.59,11.74,241600,11.74
2014-12-05,11.53,11.97,11.06,11.84,384700,11.84
2014-12-04,11.72,11.80,11.30,11.70,233900,11.70
2014-12-03,11.90,11.98,11.75,11.80,169800,11.80
2014-12-02,11.91,12.00,11.79,11.98,256500,11.98
2014-12-01,11.97,12.00,11.70,12.00,158800,12.00
2014-11-28,11.90,12.20,11.77,12.00,167600,12.00
2014-11-26,11.93,12.06,11.65,12.00,151800,12.00
2014-11-25,11.94,12.00,11.61,12.00,265700,12.00
2014-11-24,12.01,12.35,11.85,11.91,230300,11.91
2014-11-21,11.90,13.00,11.77,12.00,670100,12.00
2014-11-20,11.74,11.90,11.50,11.85,285800,11.85
2014-11-19,11.99,12.00,11.49,11.80,477400,11.80
2014-11-18,12.00,12.50,10.95,11.70,6117600,11.70
