Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,54.26,54.26,53.28,53.71,275200,53.71
2015-02-12,53.22,54.35,53.16,54.29,341600,54.29
2015-02-11,53.61,53.89,52.84,53.01,388200,53.01
2015-02-10,53.67,53.79,52.61,53.43,608600,53.43
2015-02-09,54.39,54.54,53.44,53.65,308600,53.65
2015-02-06,56.00,56.00,53.93,54.19,405800,54.19
2015-02-05,55.50,56.23,55.06,56.21,299100,56.21
2015-02-04,55.40,55.42,54.79,55.18,383400,55.18
2015-02-03,55.00,55.53,54.34,55.49,323500,55.49
2015-02-02,54.75,55.03,53.34,54.93,447600,54.93
2015-01-30,55.91,56.02,54.69,54.73,497900,54.73
2015-01-29,55.97,56.14,55.49,56.05,233500,56.05
2015-01-28,56.67,56.94,55.90,56.01,329000,56.01
2015-01-27,56.27,56.88,55.29,56.31,356500,56.31
2015-01-26,55.88,56.38,55.48,56.29,537400,56.29
2015-01-23,56.47,56.59,55.69,55.81,304000,55.81
2015-01-22,55.87,56.56,55.50,56.36,632500,56.36
2015-01-21,55.37,55.71,54.87,55.49,341900,55.49
2015-01-20,56.51,56.58,55.14,55.45,433700,55.45
2015-01-16,55.93,56.40,55.38,56.30,253300,56.30
2015-01-15,56.40,56.57,55.41,55.92,310000,55.92
2015-01-14,55.15,56.42,55.15,56.30,306600,56.30
2015-01-13,55.53,55.98,54.98,55.55,234900,55.55
2015-01-12,54.86,55.66,54.71,55.59,299000,55.59
2015-01-09,55.00,55.12,54.50,54.75,339200,54.75
2015-01-08,54.65,55.29,54.37,54.94,282200,54.94
2015-01-07,53.65,55.06,53.03,54.63,617600,54.63
2015-01-06,52.60,53.61,52.60,53.45,822900,53.45
2015-01-05,52.23,52.72,51.99,52.44,505600,52.44
2015-01-02,51.87,52.45,51.57,52.36,277500,52.36
2014-12-31,52.03,52.55,51.33,51.55,518900,51.55
2014-12-30,52.28,52.62,51.79,51.87,297200,51.87
2014-12-29,51.76,52.48,51.76,52.42,297300,52.42
2014-12-26,51.29,52.00,51.29,51.90,218900,51.90
2014-12-24,51.23,51.68,51.07,51.09,238000,51.09
