Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,18.50,18.52,18.15,18.50,92200,18.50
2015-02-12,18.55,18.55,18.14,18.35,59200,18.35
2015-02-11,18.37,18.99,18.37,18.50,153800,18.50
2015-02-10,18.47,18.99,18.25,18.60,178100,18.60
2015-02-09,18.58,18.89,18.35,18.49,85600,18.49
2015-02-06,18.19,18.55,17.85,18.55,254900,18.55
2015-02-05,18.25,18.39,17.93,18.01,361300,18.01
2015-02-04,17.73,18.20,17.62,18.07,363600,18.07
2015-02-03,17.77,18.28,17.75,17.78,349000,17.78
2015-02-02,16.99,17.78,16.99,17.60,138600,17.60
2015-01-30,17.94,18.36,17.25,17.78,200500,17.47
2015-01-29,18.36,18.36,17.32,17.34,170800,17.04
2015-01-28,18.55,18.55,18.00,18.00,100100,17.69
2015-01-27,18.40,18.83,18.00,18.29,256900,17.97
2015-01-26,18.45,19.00,18.31,18.49,251100,18.17
2015-01-23,18.00,18.59,17.90,18.35,156100,18.03
2015-01-22,18.77,18.78,18.06,18.15,341100,17.83
2015-01-21,18.38,18.80,18.16,18.68,277000,18.36
2015-01-20,18.75,18.75,18.18,18.30,141200,17.98
2015-01-16,17.94,18.76,17.94,18.71,188200,18.38
2015-01-15,18.29,18.70,18.05,18.22,270000,17.90
2015-01-14,17.99,18.21,17.59,17.93,245400,17.62
2015-01-13,18.85,18.85,18.12,18.51,137900,18.19
2015-01-12,18.94,18.94,18.25,18.73,167400,18.40
2015-01-09,19.17,19.96,18.89,19.10,332500,18.77
2015-01-08,18.44,19.57,18.26,19.07,188300,18.74
2015-01-07,18.95,19.01,18.06,18.33,243200,18.01
2015-01-06,19.21,19.40,18.37,18.81,353800,18.48
2015-01-05,19.98,19.98,19.00,19.18,255800,18.85
2015-01-02,19.45,19.78,19.16,19.75,116600,19.41
2014-12-31,18.94,19.64,18.84,19.39,424600,19.05
2014-12-30,19.32,19.49,18.91,19.16,313800,18.83
2014-12-29,19.85,19.87,18.95,19.09,603100,18.76
2014-12-26,19.51,20.28,19.16,19.75,588500,19.41
2014-12-24,19.06,19.78,18.86,19.10,321300,18.77
2014-12-23,18.35,19.08,18.11,19.04,661600,18.71
2014-12-22,19.36,19.36,18.06,18.29,286700,17.97
2014-12-19,20.39,20.68,19.11,19.45,2765800,19.11
2014-12-18,20.35,21.04,19.80,20.38,440800,20.03
2014-12-17,18.90,20.84,18.70,19.90,380000,19.55
2014-12-16,17.06,18.94,17.06,18.91,512200,18.58
2014-12-15,17.39,18.37,17.11,17.51,610900,17.21
2014-12-12,18.64,19.03,17.30,17.40,1411200,17.10
2014-12-11,18.00,20.17,18.00,18.16,830600,17.84
2014-12-10,19.25,19.37,17.30,17.65,1028700,17.34
2014-12-09,20.21,20.21,19.11,19.75,375200,19.41
2014-12-08,21.00,21.00,19.76,20.00,379400,19.65
2014-12-05,21.05,21.15,20.58,21.08,293300,20.71
2014-12-04,21.62,21.79,20.93,20.96,110900,20.60
2014-12-03,21.22,21.64,20.66,21.48,202800,21.11
2014-12-02,19.55,21.30,19.55,21.20,316700,20.83
2014-12-01,20.05,20.17,18.98,19.79,607400,19.45
2014-11-28,21.00,21.51,20.08,20.12,217000,19.77
2014-11-26,21.49,22.41,21.25,22.32,135200,21.93
2014-11-25,22.40,23.11,21.70,21.73,253200,21.35
2014-11-24,22.86,23.28,22.15,22.19,271600,21.80
2014-11-21,23.51,23.63,22.65,22.90,461000,22.50
2014-11-20,23.45,23.45,23.07,23.20,195000,22.80
2014-11-19,24.10,24.12,23.11,23.60,156300,23.19
2014-11-18,23.90,24.06,23.47,23.84,230900,23.43
2014-11-17,23.42,24.06,22.91,24.00,249100,23.58
2014-11-14,23.03,23.49,22.54,23.40,104500,22.99
2014-11-13,23.37,23.37,22.80,22.93,168000,22.53
2014-11-12,23.60,23.86,23.14,23.24,215900,22.84
2014-11-11,23.70,23.82,23.26,23.57,107600,23.16
2014-11-10,23.91,24.17,23.56,23.56,70100,23.15
2014-11-07,23.52,24.13,23.50,23.70,70500,23.29
2014-11-06,23.47,23.53,23.25,23.47,79600,23.06
2014-11-05,23.79,24.15,23.21,23.35,185500,22.94
2014-11-04,23.84,24.29,23.00,23.36,293500,22.95
2014-11-03,24.15,24.69,23.84,23.84,73200,23.43
2014-10-31,23.84,24.25,23.84,24.16,137600,23.74
2014-10-30,24.35,24.50,23.64,24.11,159000,23.39
2014-10-29,24.33,24.75,24.33,24.46,71400,23.73
2014-10-28,24.45,24.54,24.16,24.45,92800,23.72
2014-10-27,24.43,24.91,24.24,24.45,173500,23.72
2014-10-24,24.25,24.96,24.15,24.44,165400,23.71
2014-10-23,24.46,24.72,23.78,24.17,119400,23.45
2014-10-22,24.02,24.42,23.90,24.16,253200,23.44
2014-10-21,23.61,24.44,23.54,23.95,295900,23.24
2014-10-20,23.28,23.65,23.12,23.55,195000,22.85
2014-10-17,23.18,24.00,22.90,23.28,214100,22.59
2014-10-16,21.75,23.05,21.74,22.91,211700,22.23
2014-10-15,20.91,22.28,20.11,21.75,547300,21.10
2014-10-14,22.64,22.64,20.88,21.21,729100,20.58
2014-10-13,23.25,23.32,22.00,22.54,374100,21.87
2014-10-10,23.84,24.03,22.54,23.34,490300,22.65
2014-10-09,24.10,24.44,23.27,23.97,231600,23.26
2014-10-08,24.28,24.48,23.08,24.19,231200,23.47
2014-10-07,24.24,24.73,24.21,24.24,85800,23.52
2014-10-06,24.85,25.02,24.03,24.50,122400,23.77
2014-10-03,24.83,25.27,24.64,24.92,114200,24.18
2014-10-02,24.72,25.06,24.49,24.84,276000,24.10
2014-10-01,24.55,25.31,24.25,24.93,339100,24.19
2014-09-30,24.62,24.77,24.33,24.64,182900,23.91
2014-09-29,24.74,24.90,24.53,24.65,175200,23.92
2014-09-26,23.82,25.00,23.82,24.88,123500,24.14
2014-09-25,24.78,25.13,24.78,24.83,236500,24.09
2014-09-24,25.10,25.36,24.92,24.96,204400,24.22
2014-09-23,25.05,25.26,24.70,25.07,176500,24.32
2014-09-22,25.72,25.72,25.20,25.21,99700,24.46
2014-09-19,26.00,26.13,25.65,25.73,98700,24.97
2014-09-18,25.77,26.07,25.48,26.00,197800,25.23
2014-09-17,25.62,26.00,25.61,25.85,145800,25.08
2014-09-16,25.67,26.07,25.51,25.76,315800,24.99
2014-09-15,25.83,26.00,25.25,25.77,319100,25.00
2014-09-12,26.12,26.19,25.75,25.87,181100,25.10
2014-09-11,26.12,26.25,26.00,26.13,219400,25.35
2014-09-10,26.20,26.20,26.00,26.19,149200,25.41
2014-09-09,26.25,26.25,25.94,26.20,137000,25.42
2014-09-08,25.88,26.24,25.64,26.03,428300,25.26
2014-09-05,25.53,26.01,25.50,25.89,252100,25.12
2014-09-04,25.49,26.05,25.43,25.65,97700,24.89
2014-09-03,25.45,25.79,25.21,25.52,260700,24.76
2014-09-02,25.53,25.81,25.42,25.43,120200,24.67
2014-08-29,25.59,25.95,25.39,25.63,98700,24.87
2014-08-28,25.50,26.07,25.35,25.68,71200,24.92
2014-08-27,25.94,26.25,25.62,25.77,87500,25.00
2014-08-26,26.02,26.22,25.43,26.01,81900,25.24
2014-08-25,25.81,26.24,25.49,25.97,101400,25.20
2014-08-22,25.43,26.10,25.08,25.79,86500,25.02
2014-08-21,25.72,25.81,24.99,25.49,191900,24.73
2014-08-20,26.00,26.15,25.70,25.81,148100,25.04
2014-08-19,26.37,26.50,25.81,26.00,119800,25.23
2014-08-18,26.14,26.50,25.87,26.44,122600,25.65
