Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,22.00,24.91,21.55,21.99,88500,21.99
2015-02-12,22.20,22.40,20.76,21.43,112700,21.43
2015-02-11,21.87,21.87,20.83,21.47,73700,21.47
2015-02-10,21.75,22.44,20.60,21.78,113700,21.78
2015-02-09,21.37,22.22,20.53,21.35,41100,21.35
2015-02-06,21.85,21.99,20.47,21.54,18800,21.54
2015-02-05,21.18,22.07,20.59,21.68,29400,21.68
2015-02-04,20.51,21.49,20.41,21.02,25900,21.02
2015-02-03,21.69,21.94,20.40,21.00,110800,21.00
2015-02-02,21.00,22.61,20.80,21.44,184300,21.44
2015-01-30,21.40,22.20,21.10,21.59,416000,21.59
2015-01-29,19.26,22.63,19.00,22.00,4721000,22.00
