Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,13.99,14.05,13.97,14.05,61700,14.05
2015-02-12,14.00,14.07,13.96,13.96,128600,13.96
2015-02-11,13.90,13.98,13.89,13.95,67800,13.95
2015-02-10,13.84,13.95,13.78,13.92,72600,13.92
2015-02-09,13.71,13.81,13.71,13.77,84800,13.77
2015-02-06,13.75,13.81,13.72,13.74,76500,13.74
2015-02-05,13.71,13.78,13.69,13.73,70700,13.73
2015-02-04,13.60,13.73,13.60,13.65,138100,13.65
2015-02-03,13.53,13.66,13.52,13.64,87200,13.64
2015-02-02,13.34,13.46,13.22,13.46,80600,13.46
2015-01-30,13.32,13.42,13.27,13.28,65300,13.28
2015-01-29,13.37,13.41,13.17,13.40,111400,13.40
2015-01-28,13.53,13.58,13.32,13.33,100600,13.33
2015-01-27,13.55,13.56,13.41,13.49,99600,13.49
2015-01-26,13.64,13.67,13.60,13.65,100900,13.65
2015-01-23,13.67,13.71,13.61,13.63,99100,13.63
2015-01-22,13.56,13.70,13.50,13.67,119600,13.67
2015-01-21,13.43,13.49,13.38,13.48,66300,13.48
2015-01-20,13.54,13.55,13.41,13.52,119200,13.43
2015-01-16,13.32,13.46,13.32,13.46,121800,13.37
2015-01-15,13.38,13.38,13.26,13.30,91400,13.22
2015-01-14,13.25,13.36,13.16,13.33,190100,13.25
2015-01-13,13.50,13.59,13.30,13.38,146500,13.29
2015-01-12,13.55,13.60,13.38,13.43,154700,13.34
2015-01-09,13.65,13.65,13.49,13.58,130100,13.49
2015-01-08,13.48,13.66,13.48,13.62,97900,13.53
2015-01-07,13.44,13.53,13.33,13.37,247700,13.28
2015-01-06,13.40,13.57,13.28,13.33,96600,13.25
2015-01-05,13.65,13.66,13.33,13.37,157400,13.28
2015-01-02,13.84,13.84,13.70,13.75,43900,13.66
2014-12-31,13.86,13.92,13.76,13.79,67100,13.70
2014-12-30,13.86,13.86,13.78,13.80,55100,13.71
2014-12-29,13.99,14.02,13.86,13.86,100500,13.77
2014-12-26,13.98,14.04,13.94,13.97,61500,13.88
2014-12-24,14.02,14.06,13.95,13.95,59300,13.86
2014-12-23,13.95,14.06,13.95,13.99,99400,13.90
2014-12-22,14.13,14.13,13.94,13.96,98300,13.87
2014-12-19,14.04,14.15,13.96,14.14,228800,13.96
2014-12-18,13.70,14.03,13.69,13.99,223900,13.82
2014-12-17,13.22,13.56,13.13,13.53,92800,13.36
2014-12-16,13.30,13.47,13.18,13.18,144200,13.02
2014-12-15,13.57,13.61,13.33,13.34,109100,13.17
2014-12-12,13.63,13.68,13.47,13.47,87900,13.30
2014-12-11,13.67,13.82,13.67,13.72,60300,13.55
2014-12-10,13.69,13.74,13.61,13.64,162800,13.47
2014-12-09,13.78,13.81,13.71,13.77,122000,13.60
2014-12-08,13.94,14.05,13.90,13.98,65400,13.81
2014-12-05,14.04,14.06,13.99,13.99,79000,13.82
2014-12-04,14.04,14.05,13.98,14.02,58000,13.85
2014-12-03,14.02,14.08,14.01,14.05,79200,13.88
2014-12-02,13.98,14.04,13.96,13.99,68400,13.82
2014-12-01,14.08,14.08,13.95,13.98,73700,13.81
2014-11-28,14.10,14.15,14.07,14.12,65200,13.94
2014-11-26,14.06,14.10,14.04,14.08,72800,13.91
2014-11-25,13.97,14.06,13.97,14.03,86100,13.86
2014-11-24,14.12,14.14,13.99,14.00,85900,13.83
2014-11-21,14.10,14.16,14.02,14.07,106200,13.90
2014-11-20,13.87,13.97,13.85,13.96,92600,13.79
2014-11-19,13.93,13.93,13.88,13.90,68600,13.73
2014-11-18,13.94,14.02,13.93,14.01,90200,13.75
2014-11-17,13.90,13.97,13.90,13.96,128900,13.70
2014-11-14,13.88,13.92,13.83,13.90,45500,13.64
