Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,60.23,60.41,59.17,60.17,1284700,60.17
2015-02-12,59.36,59.50,58.80,59.21,809800,59.21
2015-02-11,58.87,59.37,58.36,58.75,870900,58.75
2015-02-10,58.67,59.48,58.11,59.36,946200,59.36
2015-02-09,60.00,60.13,58.30,58.54,1722700,58.54
2015-02-06,60.96,60.96,59.27,59.85,1449200,59.85
2015-02-05,60.87,61.30,60.01,60.77,1384300,60.77
2015-02-04,60.24,61.25,59.40,60.33,1355500,60.33
2015-02-03,62.88,63.14,61.65,61.76,1717700,60.76
2015-02-02,62.16,63.53,61.69,62.71,2302200,61.70
2015-01-30,60.55,62.29,60.21,61.40,1584900,60.41
2015-01-29,59.30,60.93,58.54,60.75,2039900,59.77
2015-01-28,60.70,60.83,58.83,59.13,1983100,58.18
2015-01-27,60.94,61.11,59.50,60.38,2899600,59.41
2015-01-26,65.58,66.58,60.52,61.13,5674300,60.15
2015-01-23,65.21,66.11,64.75,65.34,1339700,64.29
2015-01-22,64.80,65.50,64.32,65.04,1461400,63.99
2015-01-21,63.06,64.35,62.51,64.15,1773900,63.12
2015-01-20,62.50,63.20,61.51,62.62,1108800,61.61
2015-01-16,60.05,62.79,59.90,62.70,1371400,61.69
2015-01-15,59.47,61.00,59.21,59.92,943600,58.95
2015-01-14,58.96,59.58,57.50,59.47,2139700,58.51
2015-01-13,61.70,62.23,59.02,59.56,1871200,58.60
2015-01-12,63.92,64.10,61.06,61.70,1421000,60.71
2015-01-09,64.01,64.54,63.17,64.26,1149400,63.22
2015-01-08,64.25,65.58,63.26,64.10,1388800,63.07
2015-01-07,63.17,64.15,62.60,63.85,1389700,62.82
2015-01-06,62.69,64.23,61.44,62.88,1853500,61.87
2015-01-05,64.67,65.00,62.70,62.85,1610600,61.84
2015-01-02,64.79,66.41,64.55,65.65,896200,64.59
2014-12-31,66.28,66.85,64.99,65.00,916600,63.95
2014-12-30,64.20,66.41,64.05,66.07,1377400,65.01
2014-12-29,63.54,64.62,63.43,64.49,764700,63.45
2014-12-26,64.10,64.47,63.50,63.69,529900,62.66
2014-12-24,63.62,64.15,63.41,63.95,443000,62.92
2014-12-23,63.83,64.00,63.00,63.60,1238200,62.58
2014-12-22,62.60,63.27,61.86,63.19,1213800,62.17
2014-12-19,63.86,64.05,61.50,62.98,2485200,61.97
2014-12-18,64.22,65.00,62.10,63.55,1797600,62.53
2014-12-17,61.26,63.71,61.26,63.39,1857900,62.37
2014-12-16,58.07,62.66,57.19,61.46,2164500,60.47
2014-12-15,60.57,62.03,58.28,59.32,1646500,58.36
2014-12-12,60.79,61.75,59.57,60.56,1511600,59.58
2014-12-11,61.42,63.47,61.09,61.69,1027200,60.70
2014-12-10,61.92,61.92,60.31,61.42,1409100,60.43
2014-12-09,59.95,62.73,59.12,62.31,1631200,61.31
2014-12-08,63.88,64.30,59.74,60.61,2923300,59.63
2014-12-05,65.50,65.76,64.30,64.52,865200,63.48
2014-12-04,66.44,66.73,64.81,65.50,1367200,64.44
2014-12-03,64.83,66.11,64.83,65.81,1182500,64.75
2014-12-02,62.16,65.73,62.16,64.81,1690700,63.77
2014-12-01,63.24,63.94,61.35,62.42,2898600,61.41
2014-11-28,66.83,66.83,65.13,65.17,1240000,64.12
2014-11-26,66.94,68.03,66.47,67.98,1039600,66.88
2014-11-25,66.74,67.09,66.35,66.81,1171200,65.73
2014-11-24,66.20,67.19,65.68,66.52,1120800,65.45
