Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,11.84,11.85,11.78,11.79,267600,11.79
2015-02-12,11.79,11.87,11.76,11.85,369300,11.85
2015-02-11,11.70,11.75,11.68,11.75,192600,11.75
2015-02-10,11.77,11.77,11.68,11.74,294300,11.74
2015-02-09,11.77,11.78,11.67,11.67,249100,11.67
2015-02-06,11.82,11.85,11.75,11.79,280400,11.79
2015-02-05,11.82,11.84,11.72,11.83,372500,11.83
2015-02-04,11.70,11.85,11.68,11.77,506200,11.77
2015-02-03,11.62,11.75,11.59,11.75,839000,11.75
2015-02-02,11.42,11.60,11.37,11.59,893000,11.59
2015-01-30,11.33,11.48,11.32,11.41,1120700,11.41
2015-01-29,11.33,11.36,11.29,11.36,583500,11.36
2015-01-28,11.42,11.43,11.28,11.28,290700,11.28
2015-01-27,11.38,11.40,11.31,11.38,287800,11.38
2015-01-26,11.44,11.46,11.37,11.44,311000,11.44
2015-01-23,11.41,11.48,11.41,11.43,205900,11.43
2015-01-22,11.38,11.48,11.34,11.45,292900,11.45
2015-01-21,11.26,11.34,11.26,11.33,241900,11.33
2015-01-20,11.35,11.37,11.27,11.37,304400,11.27
2015-01-16,11.15,11.34,11.13,11.31,411000,11.21
2015-01-15,11.17,11.22,11.13,11.15,324600,11.05
2015-01-14,11.12,11.20,11.05,11.17,517200,11.07
2015-01-13,11.28,11.32,11.18,11.23,522500,11.13
2015-01-12,11.36,11.36,11.23,11.24,276700,11.14
2015-01-09,11.38,11.39,11.27,11.34,247400,11.24
2015-01-08,11.28,11.37,11.27,11.36,416300,11.26
2015-01-07,11.18,11.20,11.11,11.19,384100,11.09
2015-01-06,11.12,11.18,11.03,11.09,527400,11.00
2015-01-05,11.15,11.20,11.02,11.09,705600,11.00
2015-01-02,11.24,11.30,11.17,11.17,508000,11.07
2014-12-31,11.35,11.42,11.02,11.02,1686800,10.93
2014-12-30,11.34,11.41,11.31,11.31,921900,11.21
2014-12-29,11.61,11.64,11.40,11.40,630800,11.30
2014-12-26,11.72,11.76,11.57,11.59,586900,11.49
2014-12-24,11.70,11.83,11.64,11.73,263400,11.63
2014-12-23,11.69,11.76,11.67,11.74,423600,11.64
2014-12-22,11.68,11.70,11.58,11.68,393600,11.58
2014-12-19,11.74,11.83,11.72,11.80,271100,11.60
2014-12-18,11.65,11.75,11.65,11.75,316300,11.55
2014-12-17,11.31,11.54,11.31,11.53,387000,11.34
2014-12-16,11.41,11.52,11.27,11.31,490100,11.12
2014-12-15,11.60,11.61,11.41,11.48,321900,11.29
2014-12-12,11.69,11.77,11.51,11.54,391100,11.35
2014-12-11,11.69,11.83,11.68,11.68,335400,11.49
2014-12-10,11.85,11.89,11.64,11.68,408300,11.49
2014-12-09,11.89,11.89,11.77,11.85,291800,11.65
2014-12-08,11.99,12.48,11.92,11.96,256900,11.76
2014-12-05,12.09,12.10,11.98,11.98,306500,11.78
2014-12-04,12.15,12.15,12.07,12.12,179600,11.92
2014-12-03,12.16,12.21,12.12,12.20,186300,12.00
2014-12-02,12.07,12.20,12.05,12.16,203000,11.96
2014-12-01,12.15,12.15,12.03,12.06,229600,11.86
2014-11-28,12.15,12.20,12.13,12.20,167100,12.00
2014-11-26,12.12,12.15,12.10,12.15,138000,11.95
2014-11-25,12.13,12.15,12.07,12.11,196000,11.91
2014-11-24,12.14,12.15,12.09,12.10,216600,11.90
2014-11-21,12.13,12.16,12.06,12.12,184400,11.92
2014-11-20,12.00,12.09,12.00,12.04,227800,11.84
2014-11-19,12.06,12.06,11.98,12.03,170700,11.83
2014-11-18,12.03,12.15,12.02,12.15,255000,11.85
2014-11-17,12.05,12.07,11.97,12.01,428900,11.72
2014-11-14,12.02,12.07,12.01,12.07,147700,11.77
2014-11-13,12.07,12.10,11.98,11.99,201900,11.70
2014-11-12,12.06,12.08,11.99,12.03,319900,11.73
2014-11-11,12.03,12.09,11.95,12.09,312200,11.79
2014-11-10,12.13,12.13,11.96,12.00,301900,11.71
2014-11-07,12.14,12.15,12.03,12.11,255600,11.81
2014-11-06,12.13,12.17,12.10,12.17,291000,11.87
2014-11-05,12.12,12.15,12.06,12.13,344300,11.83
2014-11-04,12.11,12.12,11.93,12.09,343200,11.79
2014-11-03,12.05,12.14,12.02,12.14,267400,11.84
2014-10-31,12.09,12.09,12.00,12.08,318900,11.78
2014-10-30,11.97,12.00,11.90,11.97,277600,11.68
2014-10-29,11.99,12.03,11.88,11.99,331900,11.70
2014-10-28,12.01,12.05,11.90,11.99,349000,11.70
2014-10-27,11.88,11.95,11.85,11.95,206700,11.66
2014-10-24,11.86,11.91,11.83,11.91,264500,11.62
2014-10-23,11.87,11.88,11.78,11.83,371300,11.54
2014-10-22,11.81,11.82,11.67,11.74,387100,11.45
2014-10-21,11.62,11.85,11.59,11.85,393600,11.46
2014-10-20,11.39,11.52,11.39,11.51,284700,11.14
2014-10-17,11.34,11.58,11.31,11.42,632900,11.05
2014-10-16,10.93,11.29,10.90,11.27,670700,10.90
2014-10-15,11.07,11.12,10.77,11.07,1016500,10.71
2014-10-14,11.25,11.28,11.08,11.21,874100,10.85
2014-10-13,11.66,11.66,11.20,11.21,718100,10.85
2014-10-10,11.93,11.94,11.64,11.65,533300,11.27
2014-10-09,12.09,12.10,11.90,11.93,234500,11.54
2014-10-08,12.01,12.12,11.83,12.12,522900,11.73
2014-10-07,12.05,12.07,12.00,12.03,246800,11.64
2014-10-06,12.06,12.11,12.00,12.08,437500,11.69
2014-10-03,11.93,12.02,11.89,11.99,329600,11.60
2014-10-02,12.03,12.03,11.57,11.85,1157100,11.46
2014-10-01,12.21,12.21,12.03,12.03,330700,11.64
2014-09-30,12.38,12.42,12.15,12.15,421300,11.75
2014-09-29,12.25,12.33,12.23,12.33,212100,11.93
2014-09-26,12.20,12.32,12.18,12.30,219800,11.90
2014-09-25,12.39,12.39,12.19,12.20,358400,11.80
2014-09-24,12.33,12.38,12.30,12.38,181600,11.98
2014-09-23,12.38,12.41,12.32,12.35,272600,11.95
2014-09-22,12.52,12.52,12.36,12.39,235700,11.99
2014-09-19,12.53,12.58,12.48,12.51,247100,12.10
2014-09-18,12.62,12.65,12.61,12.63,230200,12.13
2014-09-17,12.63,12.63,12.58,12.60,280100,12.10
2014-09-16,12.55,12.60,12.52,12.59,257700,12.09
2014-09-15,12.55,12.57,12.51,12.57,325900,12.07
