Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,9.10,9.20,8.91,8.95,75600,8.95
2015-02-12,9.25,9.25,9.01,9.14,173300,9.14
2015-02-11,9.26,9.35,8.97,9.15,111700,9.15
2015-02-10,9.54,9.55,9.10,9.26,106300,9.26
2015-02-09,10.00,10.00,9.50,9.51,56700,9.51
2015-02-06,9.93,9.93,9.41,9.81,88700,9.81
2015-02-05,9.08,9.82,9.03,9.81,203200,9.81
2015-02-04,9.10,9.34,9.00,9.10,92200,9.10
2015-02-03,8.72,9.27,8.60,9.01,222700,9.01
2015-02-02,8.78,8.78,8.35,8.43,124200,8.43
2015-01-30,9.23,9.36,8.65,8.78,72000,8.78
2015-01-29,9.63,9.63,8.99,9.28,86700,9.28
2015-01-28,9.65,9.69,9.13,9.50,143000,9.50
2015-01-27,8.77,9.71,8.57,9.57,310200,9.57
2015-01-26,8.54,9.07,8.05,8.94,248700,8.94
2015-01-23,9.17,9.17,8.58,8.62,362200,8.62
2015-01-22,9.52,9.59,8.75,9.22,333200,9.22
2015-01-21,10.20,10.35,9.13,9.50,495900,9.50
2015-01-20,10.44,10.55,10.19,10.21,91400,10.21
2015-01-16,10.32,10.61,10.25,10.43,128900,10.43
2015-01-15,10.95,10.95,10.25,10.30,219500,10.30
2015-01-14,10.50,11.04,10.12,10.69,266400,10.69
2015-01-13,11.74,12.18,10.77,10.89,501700,10.89
2015-01-12,12.26,12.65,11.30,11.75,1029200,11.75
2015-01-09,11.00,11.14,10.63,10.84,202900,10.84
2015-01-08,10.80,11.28,10.66,10.96,260300,10.96
2015-01-07,11.65,11.75,10.60,10.74,345900,10.74
2015-01-06,10.41,11.40,10.40,11.31,559000,11.31
2015-01-05,10.14,10.65,10.06,10.33,251800,10.33
2015-01-02,10.37,10.57,10.10,10.15,154100,10.15
2014-12-31,10.82,10.95,10.15,10.26,253700,10.26
2014-12-30,10.52,10.92,10.52,10.76,108600,10.76
2014-12-29,11.10,11.29,10.56,10.62,178600,10.62
2014-12-26,11.01,11.75,11.01,11.17,488500,11.17
2014-12-24,10.14,11.25,10.14,11.01,339600,11.01
2014-12-23,10.61,10.85,10.00,10.15,404400,10.15
2014-12-22,11.08,11.88,10.36,10.60,551600,10.60
2014-12-19,12.59,12.74,11.07,11.19,964000,11.19
2014-12-18,13.56,13.68,11.82,12.58,432700,12.58
2014-12-17,14.25,14.48,13.01,13.21,190400,13.21
2014-12-16,13.75,14.37,13.57,13.76,144100,13.76
2014-12-15,15.14,15.30,13.95,14.11,179100,14.11
2014-12-12,14.21,15.49,14.15,15.24,120700,15.24
2014-12-11,15.28,15.74,14.30,14.53,268000,14.53
2014-12-10,15.80,16.38,14.60,14.94,458400,14.94
2014-12-09,14.54,15.91,14.25,15.46,392500,15.46
2014-12-08,14.12,15.59,13.52,14.74,432400,14.74
2014-12-05,14.45,14.45,13.01,14.10,247100,14.10
2014-12-04,14.45,14.90,13.74,14.06,246300,14.06
2014-12-03,15.77,16.58,14.60,14.71,531900,14.71
2014-12-02,13.75,15.90,13.50,15.70,993300,15.70
2014-12-01,15.20,15.20,13.50,13.70,589800,13.70
2014-11-28,17.30,17.64,15.26,15.32,419200,15.32
2014-11-26,17.98,18.80,16.95,17.30,619500,17.30
2014-11-25,20.20,20.20,17.43,17.91,737700,17.91
2014-11-24,20.42,21.10,19.07,19.55,703200,19.55
2014-11-21,23.75,23.75,19.78,21.14,1349900,21.14
2014-11-20,22.67,24.02,21.25,23.60,2884000,23.60
