Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,11.25,11.50,11.25,11.49,12900,11.49
2015-02-12,11.23,11.43,11.23,11.30,12700,11.30
2015-02-11,11.35,11.35,11.35,11.35,200,11.35
2015-02-10,11.57,11.57,11.35,11.37,2600,11.37
2015-02-09,11.27,11.46,11.26,11.46,2200,11.46
2015-02-06,11.20,11.39,11.20,11.35,3600,11.35
2015-02-05,11.49,11.49,11.10,11.34,2900,11.34
2015-02-04,11.68,11.68,11.25,11.25,8500,11.25
2015-02-03,11.50,11.50,11.04,11.39,6100,11.39
2015-02-02,11.05,11.49,11.05,11.28,1900,11.28
2015-01-30,10.95,11.00,10.95,11.00,600,11.00
2015-01-29,11.08,11.09,11.00,11.00,8800,11.00
2015-01-28,11.13,11.13,11.05,11.05,500,10.98
2015-01-27,11.06,11.06,11.06,11.06,1100,10.99
2015-01-26,10.86,11.13,10.86,11.06,9500,10.99
2015-01-23,11.00,11.05,11.00,11.05,11100,10.98
2015-01-22,10.80,10.95,10.80,10.95,8400,10.88
2015-01-21,10.80,10.87,10.80,10.87,1100,10.80
2015-01-20,10.76,10.79,10.75,10.79,6800,10.72
2015-01-16,10.78,10.81,10.75,10.81,1200,10.74
2015-01-15,10.83,10.83,10.76,10.79,2700,10.72
2015-01-14,10.75,10.84,10.75,10.82,14300,10.75
2015-01-13,10.75,10.86,10.75,10.86,700,10.79
2015-01-12,10.75,10.90,10.75,10.89,3700,10.82
2015-01-09,11.02,11.02,10.72,10.92,5900,10.85
2015-01-08,11.25,11.25,10.95,10.95,7700,10.88
2015-01-07,10.91,11.29,10.91,11.16,21700,11.09
2015-01-06,11.05,11.17,11.05,11.17,400,11.10
2015-01-05,11.04,11.04,11.04,11.04,000,10.97
2015-01-02,11.01,11.27,10.98,11.04,6300,10.97
2014-12-31,11.26,11.49,11.17,11.31,19000,11.24
2014-12-30,11.49,11.61,11.26,11.42,12400,11.35
2014-12-29,11.59,11.69,11.25,11.39,8600,11.32
2014-12-26,11.33,11.56,11.33,11.55,4600,11.48
2014-12-24,11.23,11.68,11.23,11.35,3800,11.28
2014-12-23,11.02,11.44,10.99,11.22,8400,11.15
2014-12-22,10.86,11.50,10.86,11.49,6000,11.42
2014-12-19,11.71,11.75,10.78,10.78,38900,10.71
2014-12-18,11.50,11.75,10.91,11.34,18900,11.27
2014-12-17,11.45,11.50,11.36,11.50,12200,11.43
2014-12-16,11.50,11.50,11.30,11.45,14600,11.38
2014-12-15,11.25,11.40,11.25,11.40,19400,11.33
2014-12-12,11.17,11.50,11.00,11.19,4300,11.12
2014-12-11,11.30,11.30,11.25,11.29,8700,11.22
2014-12-10,11.10,11.25,11.07,11.24,28000,11.17
2014-12-09,10.95,11.35,10.95,11.20,8000,11.13
2014-12-08,10.93,10.95,10.85,10.95,5600,10.88
2014-12-05,10.84,10.90,10.79,10.79,7300,10.72
2014-12-04,10.81,10.84,10.81,10.82,1400,10.75
2014-12-03,10.75,10.85,10.75,10.75,5400,10.68
2014-12-02,10.72,10.74,10.72,10.73,1900,10.66
2014-12-01,10.72,10.74,10.71,10.74,4500,10.67
2014-11-28,10.73,10.73,10.73,10.73,200,10.66
2014-11-26,10.74,10.74,10.74,10.74,000,10.67
2014-11-25,10.74,10.74,10.74,10.74,400,10.67
2014-11-24,10.72,10.72,10.72,10.72,000,10.65
2014-11-21,10.75,10.75,10.70,10.72,15300,10.65
2014-11-20,10.74,10.74,10.67,10.67,4200,10.60
2014-11-19,10.74,10.74,10.74,10.74,000,10.67
2014-11-18,10.73,10.75,10.70,10.74,7800,10.67
2014-11-17,10.73,10.74,10.71,10.71,2100,10.64
2014-11-14,10.75,10.75,10.66,10.66,500,10.59
2014-11-13,10.68,10.68,10.68,10.68,600,10.61
2014-11-12,10.74,10.74,10.74,10.74,000,10.67
2014-11-11,10.74,10.74,10.69,10.74,2800,10.67
2014-11-10,10.75,10.75,10.75,10.75,100,10.68
2014-11-07,10.65,10.75,10.60,10.75,3800,10.68
2014-11-06,10.65,10.65,10.65,10.65,000,10.58
2014-11-05,10.70,10.70,10.65,10.65,900,10.58
2014-11-04,10.64,10.70,10.64,10.65,4700,10.58
2014-11-03,10.62,10.70,10.62,10.70,1000,10.63
2014-10-31,10.66,10.66,10.62,10.62,152900,10.55
2014-10-30,10.67,10.67,10.60,10.62,3100,10.55
2014-10-29,10.68,10.69,10.65,10.65,16600,10.52
2014-10-28,10.74,10.79,10.74,10.79,6200,10.66
2014-10-27,10.75,10.75,10.75,10.75,000,10.62
2014-10-24,10.74,10.75,10.70,10.75,2600,10.62
2014-10-23,10.60,10.69,10.60,10.69,5100,10.56
2014-10-22,10.69,10.69,10.60,10.60,1800,10.47
2014-10-21,10.63,10.63,10.63,10.63,500,10.50
2014-10-20,10.65,10.65,10.65,10.65,000,10.52
2014-10-17,10.60,10.65,10.60,10.65,500,10.52
2014-10-16,10.60,10.60,10.60,10.60,600,10.47
2014-10-15,10.69,10.69,10.51,10.60,9900,10.47
2014-10-14,10.60,10.68,10.60,10.60,1300,10.47
2014-10-13,10.60,10.60,10.60,10.60,50100,10.47
2014-10-10,10.60,10.63,10.60,10.63,1000,10.50
2014-10-09,10.60,10.60,10.60,10.60,200,10.47
2014-10-08,10.60,10.60,10.60,10.60,50100,10.47
