Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,10.54,10.67,10.49,10.55,611500,10.55
2015-02-12,10.46,10.57,10.45,10.54,520400,10.54
2015-02-11,10.39,10.52,10.35,10.42,706400,10.42
2015-02-10,10.41,10.45,10.27,10.42,970800,10.42
2015-02-09,10.38,10.53,10.28,10.31,697800,10.31
2015-02-06,10.65,10.65,10.31,10.38,807200,10.38
2015-02-05,10.35,10.64,10.30,10.64,867500,10.64
2015-02-04,10.12,10.37,10.10,10.28,681300,10.28
2015-02-03,9.93,10.16,9.89,10.15,748800,10.15
2015-02-02,10.02,10.02,9.70,9.91,700900,9.91
2015-01-30,10.14,10.24,9.99,10.01,973300,10.01
2015-01-29,10.20,10.26,10.07,10.24,450100,10.24
2015-01-28,10.36,10.40,10.15,10.17,441200,10.17
2015-01-27,10.36,10.50,10.31,10.33,612900,10.33
2015-01-26,10.42,10.51,10.29,10.48,412900,10.48
2015-01-23,10.68,10.69,10.44,10.44,337100,10.44
2015-01-22,10.44,10.70,10.37,10.65,738200,10.65
2015-01-21,10.40,10.46,10.27,10.41,568600,10.41
2015-01-20,10.67,10.73,10.39,10.47,807100,10.47
2015-01-16,10.53,10.67,10.53,10.66,580600,10.66
2015-01-15,10.74,10.75,10.49,10.59,768500,10.59
2015-01-14,10.55,10.74,10.51,10.72,916300,10.72
2015-01-13,10.70,10.81,10.52,10.66,1083200,10.66
2015-01-12,10.56,10.67,10.50,10.58,991100,10.54
2015-01-09,10.65,10.72,10.53,10.56,1004600,10.52
2015-01-08,10.66,10.75,10.56,10.63,1440900,10.59
2015-01-07,10.69,10.71,10.52,10.61,840300,10.57
2015-01-06,10.75,10.75,10.50,10.58,672100,10.54
2015-01-05,10.59,10.76,10.53,10.68,789500,10.64
2015-01-02,10.91,11.03,10.84,10.93,627300,10.89
2014-12-31,11.01,11.18,10.76,10.82,833400,10.78
2014-12-30,11.00,11.10,10.83,10.92,682000,10.88
2014-12-29,10.99,11.10,10.97,11.06,346000,11.02
2014-12-26,10.86,11.02,10.86,10.99,260100,10.95
2014-12-24,10.86,10.97,10.79,10.80,183300,10.76
2014-12-23,10.87,10.91,10.80,10.86,394000,10.82
2014-12-22,10.56,10.82,10.56,10.82,387200,10.78
2014-12-19,10.72,10.76,10.55,10.56,1019800,10.52
2014-12-18,10.75,10.81,10.61,10.75,563700,10.71
2014-12-17,10.32,10.65,10.23,10.65,582200,10.61
2014-12-16,10.14,10.33,10.05,10.25,594800,10.21
2014-12-15,10.50,10.50,10.06,10.14,706400,10.10
2014-12-12,10.43,10.63,10.42,10.42,420400,10.38
2014-12-11,10.50,10.71,10.37,10.59,510200,10.55
2014-12-10,10.49,10.59,10.41,10.44,533200,10.40
2014-12-09,10.33,10.64,10.31,10.55,1068800,10.51
2014-12-08,10.50,10.71,10.40,10.46,1105000,10.42
2014-12-05,10.49,10.59,10.45,10.51,818300,10.47
2014-12-04,10.50,10.53,10.37,10.50,472800,10.46
2014-12-03,10.41,10.52,10.31,10.51,572100,10.47
2014-12-02,10.19,10.40,10.15,10.37,343500,10.33
2014-12-01,10.37,10.46,10.18,10.21,631500,10.17
2014-11-28,10.29,10.58,10.29,10.42,427300,10.38
2014-11-26,10.36,10.41,10.28,10.32,483300,10.28
2014-11-25,10.43,10.48,10.32,10.33,816900,10.29
2014-11-24,10.35,10.44,10.28,10.43,502500,10.39
2014-11-21,10.45,10.52,10.26,10.30,459100,10.26
2014-11-20,9.98,10.32,9.98,10.31,445600,10.27
2014-11-19,10.37,10.41,10.04,10.06,830400,10.02
2014-11-18,10.52,10.56,10.41,10.41,493400,10.37
2014-11-17,10.45,10.56,10.38,10.46,441700,10.42
2014-11-14,10.64,10.65,10.45,10.45,334900,10.41
2014-11-13,10.64,10.74,10.54,10.62,478100,10.58
2014-11-12,10.75,10.81,10.59,10.61,631100,10.57
2014-11-11,10.70,10.83,10.62,10.79,447100,10.75
2014-11-10,10.78,10.94,10.55,10.68,1137300,10.64
2014-11-07,10.83,10.92,10.74,10.78,544700,10.74
2014-11-06,10.90,10.97,10.82,10.88,401400,10.84
2014-11-05,10.95,10.95,10.78,10.88,398700,10.84
2014-11-04,10.89,10.95,10.72,10.91,389800,10.87
2014-11-03,10.75,10.99,10.63,10.93,1086300,10.89
2014-10-31,10.58,10.75,10.49,10.73,1463000,10.69
2014-10-30,10.60,10.60,10.16,10.49,774500,10.45
2014-10-29,10.40,10.48,10.27,10.40,698800,10.36
2014-10-28,10.32,10.46,10.21,10.42,964200,10.38
2014-10-27,10.10,10.30,10.04,10.30,666300,10.26
2014-10-24,10.13,10.19,10.00,10.15,425800,10.11
2014-10-23,9.88,10.13,9.77,10.09,615300,10.05
2014-10-22,9.83,9.96,9.75,9.75,432100,9.71
2014-10-21,9.69,9.86,9.62,9.83,626200,9.79
2014-10-20,9.38,9.69,9.38,9.67,490500,9.63
2014-10-17,9.69,9.69,9.40,9.50,604400,9.46
2014-10-16,9.21,9.58,9.20,9.53,654700,9.49
2014-10-15,9.13,9.41,9.04,9.36,989700,9.32
2014-10-14,9.22,9.52,9.15,9.25,645400,9.22
2014-10-13,9.29,9.38,9.11,9.11,1058400,9.08
2014-10-10,9.44,9.65,9.29,9.30,624200,9.26
2014-10-09,9.60,9.73,9.41,9.50,750700,9.44
2014-10-08,9.16,9.60,9.15,9.60,750100,9.54
2014-10-07,9.20,9.35,9.16,9.20,560200,9.15
2014-10-06,9.41,9.41,9.23,9.26,395600,9.21
2014-10-03,9.39,9.40,9.28,9.37,358400,9.31
2014-10-02,9.16,9.30,8.99,9.28,704100,9.23
2014-10-01,9.35,9.35,9.02,9.15,843900,9.10
2014-09-30,9.62,9.66,9.36,9.36,638000,9.30
2014-09-29,9.50,9.61,9.45,9.60,719900,9.54
2014-09-26,9.40,9.60,9.37,9.59,680000,9.53
2014-09-25,9.41,9.43,9.25,9.37,552600,9.31
2014-09-24,9.18,9.56,9.18,9.43,989100,9.37
2014-09-23,9.42,9.49,9.16,9.17,757000,9.12
2014-09-22,9.45,9.52,9.37,9.46,595400,9.40
2014-09-19,9.56,9.68,9.41,9.50,1062900,9.44
2014-09-18,9.70,9.73,9.54,9.56,477700,9.50
2014-09-17,9.77,9.85,9.60,9.68,635800,9.62
2014-09-16,9.47,9.81,9.43,9.74,830200,9.68
2014-09-15,9.56,9.66,9.42,9.51,637100,9.45
2014-09-12,9.90,9.96,9.44,9.55,764800,9.49
2014-09-11,9.74,9.93,9.72,9.87,646900,9.81
2014-09-10,9.83,9.84,9.69,9.78,1963900,9.72
2014-09-09,10.21,10.28,9.84,9.84,927000,9.78
2014-09-08,10.35,10.48,10.19,10.21,379600,10.15
2014-09-05,10.14,10.37,10.10,10.36,493000,10.30
2014-09-04,10.30,10.36,10.16,10.18,466900,10.12
2014-09-03,10.33,10.36,10.24,10.28,480900,10.22
2014-09-02,10.35,10.41,10.26,10.28,692700,10.22
2014-08-29,10.20,10.35,10.16,10.34,494700,10.28
2014-08-28,10.45,10.49,10.20,10.20,757300,10.14
2014-08-27,10.48,10.56,10.45,10.50,261500,10.44
2014-08-26,10.50,10.58,10.42,10.46,559400,10.40
2014-08-25,10.35,10.48,10.35,10.44,457200,10.38
2014-08-22,10.39,10.43,10.19,10.33,658900,10.27
2014-08-21,10.52,10.52,10.37,10.40,691600,10.34
2014-08-20,10.54,10.64,10.44,10.52,687800,10.46
2014-08-19,10.90,10.92,10.55,10.61,796300,10.55
2014-08-18,10.66,10.87,10.60,10.87,739200,10.81
2014-08-15,10.60,10.64,10.42,10.53,416000,10.47
2014-08-14,10.60,10.65,10.43,10.47,525600,10.41
2014-08-13,10.43,10.65,10.43,10.55,598000,10.49
2014-08-12,10.62,10.68,10.39,10.41,549400,10.35
2014-08-11,10.59,10.78,10.58,10.63,382500,10.57
2014-08-08,10.46,10.54,10.41,10.51,370400,10.45
2014-08-07,10.59,10.68,10.40,10.47,349800,10.41
2014-08-06,10.43,10.66,10.43,10.54,563600,10.48
2014-08-05,10.79,10.90,10.49,10.51,686500,10.45
2014-08-04,10.40,10.84,10.39,10.83,724700,10.77
2014-08-01,10.49,10.63,10.34,10.42,581400,10.36
2014-07-31,10.21,10.55,10.05,10.47,931500,10.41
2014-07-30,10.29,10.33,10.07,10.12,454900,10.06
2014-07-29,10.31,10.42,10.20,10.22,309700,10.16
2014-07-28,10.21,10.30,10.09,10.23,580600,10.17
2014-07-25,10.31,10.43,10.14,10.19,508900,10.13
2014-07-24,10.65,10.70,10.38,10.43,312000,10.37
2014-07-23,10.51,10.64,10.44,10.61,308200,10.55
2014-07-22,10.32,10.47,10.22,10.45,355400,10.39
2014-07-21,10.30,10.30,10.13,10.21,368600,10.15
2014-07-18,10.01,10.34,9.98,10.34,536100,10.28
2014-07-17,10.17,10.29,9.98,10.01,817200,9.95
2014-07-16,10.25,10.35,10.20,10.24,393100,10.18
2014-07-15,10.39,10.44,10.16,10.21,401400,10.15
2014-07-14,10.32,10.52,10.31,10.38,409400,10.32
2014-07-11,10.36,10.38,10.27,10.30,336000,10.24
2014-07-10,10.22,10.48,10.22,10.40,566300,10.32
2014-07-09,10.30,10.39,10.21,10.37,411400,10.29
2014-07-08,10.34,10.34,10.22,10.28,401700,10.20
2014-07-07,10.52,10.58,10.26,10.36,479600,10.28
2014-07-03,10.48,10.53,10.39,10.51,232600,10.43
2014-07-02,10.48,10.53,10.39,10.43,330100,10.35
2014-07-01,10.56,10.67,10.45,10.49,920900,10.41
