Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,153.31,155.28,153.06,155.05,221600,155.05
2015-02-12,150.82,153.90,150.58,153.81,220600,153.81
2015-02-11,149.73,151.25,148.98,150.81,253100,150.81
2015-02-10,149.00,150.09,147.49,149.98,113300,149.98
2015-02-09,147.44,148.96,146.66,148.52,247400,148.52
2015-02-06,148.43,149.09,147.40,147.99,170500,147.99
2015-02-05,148.18,148.64,147.28,148.41,240200,148.41
2015-02-04,148.07,148.61,147.06,147.77,198000,147.77
2015-02-03,144.45,148.74,144.45,148.68,363400,148.68
2015-02-02,144.67,144.67,141.23,144.31,306000,144.31
2015-01-30,144.43,145.23,143.14,143.59,303600,143.59
2015-01-29,145.16,145.16,143.55,144.96,289200,144.96
2015-01-28,147.00,147.00,144.85,144.94,302400,144.94
2015-01-27,144.84,147.09,144.50,145.85,277000,145.85
2015-01-26,144.60,146.18,142.87,146.07,271200,146.07
2015-01-23,142.70,145.19,142.56,144.32,281900,144.32
2015-01-22,139.97,142.89,138.29,142.89,213600,142.89
2015-01-21,138.35,139.98,138.12,139.02,238600,139.02
2015-01-20,140.80,141.05,137.84,139.43,301800,139.43
2015-01-16,138.30,140.37,138.30,140.23,236000,140.23
2015-01-15,139.96,140.18,137.93,138.48,229900,138.48
2015-01-14,138.99,140.33,138.93,140.01,197900,140.01
2015-01-13,141.09,142.36,139.01,140.28,300700,140.28
2015-01-12,140.04,140.04,138.62,139.46,240100,139.46
2015-01-09,140.03,140.19,138.93,139.37,208200,139.37
2015-01-08,139.60,140.84,139.57,140.47,177200,140.47
2015-01-07,138.20,139.69,137.71,138.76,230800,138.76
2015-01-06,139.03,139.73,136.80,137.66,349900,137.66
2015-01-05,139.87,140.26,138.00,138.39,181000,138.39
2015-01-02,141.47,142.08,139.09,140.59,186500,140.59
2014-12-31,142.51,143.76,140.66,140.75,174400,140.75
2014-12-30,142.59,143.97,142.58,142.63,297500,142.63
2014-12-29,144.09,145.32,142.53,142.59,300700,142.59
2014-12-26,144.56,145.18,144.56,144.59,92100,144.59
2014-12-24,144.05,145.33,143.68,144.52,85500,144.52
2014-12-23,144.12,144.87,143.09,144.37,285000,144.37
2014-12-22,142.68,143.73,142.40,143.61,230000,143.61
2014-12-19,142.20,143.27,141.47,142.20,454200,142.20
2014-12-18,140.54,143.07,140.54,142.23,369300,142.23
2014-12-17,135.49,140.25,134.96,139.97,384800,139.97
2014-12-16,138.88,140.00,134.51,135.83,518200,135.83
2014-12-15,135.06,136.01,134.01,135.10,340600,135.10
2014-12-12,136.58,137.35,134.42,134.64,168900,134.64
2014-12-11,136.41,138.12,135.56,137.53,228800,137.53
2014-12-10,137.89,138.35,135.39,135.54,241300,135.54
2014-12-09,135.02,138.04,135.02,137.91,224300,137.91
2014-12-08,137.17,138.13,136.72,136.99,337400,136.99
2014-12-05,137.79,138.12,137.20,137.33,291000,137.33
2014-12-04,138.48,138.48,136.73,137.40,385400,137.40
2014-12-03,138.44,138.58,137.50,137.99,248400,137.99
2014-12-02,137.52,138.49,136.71,138.06,239700,138.06
2014-12-01,136.89,138.22,136.12,137.59,243100,137.59
2014-11-28,137.59,138.26,136.78,137.06,127400,137.06
2014-11-26,137.48,137.58,136.24,137.19,116500,137.19
2014-11-25,137.63,137.90,137.00,137.00,176600,137.00
2014-11-24,137.42,137.96,137.28,137.58,196300,137.19
2014-11-21,137.98,138.13,137.11,137.30,186900,136.91
2014-11-20,136.07,136.91,135.92,136.75,182100,136.36
2014-11-19,136.47,136.63,135.14,136.56,153900,136.17
2014-11-18,136.72,137.76,136.43,136.47,173700,136.08
2014-11-17,136.42,137.56,135.95,136.94,154400,136.55
2014-11-14,137.92,138.03,136.14,136.44,187400,136.05
2014-11-13,137.96,138.26,137.14,137.75,191100,137.36
2014-11-12,135.24,137.85,135.24,137.50,203000,137.11
2014-11-11,136.23,136.23,135.03,135.99,172000,135.60
2014-11-10,134.39,136.14,134.09,136.08,167400,135.69
2014-11-07,133.36,134.83,132.92,134.47,183500,134.09
2014-11-06,132.43,133.74,131.94,133.46,169800,133.08
2014-11-05,133.46,134.13,132.51,132.73,210500,132.35
2014-11-04,131.39,132.63,131.31,132.50,174100,132.12
2014-11-03,131.16,132.21,130.75,131.31,230800,130.94
2014-10-31,132.01,132.12,130.98,131.44,199500,131.07
2014-10-30,129.63,130.66,129.63,130.33,184900,129.96
2014-10-29,129.35,130.64,129.23,129.86,199000,129.49
2014-10-28,128.50,129.73,128.21,129.40,541000,129.03
2014-10-27,126.64,128.34,126.44,127.98,242800,127.62
2014-10-24,126.32,127.26,126.32,126.89,329300,126.53
2014-10-23,127.30,127.97,126.34,126.48,375800,126.12
2014-10-22,127.00,128.24,125.69,125.76,246300,125.40
2014-10-21,124.53,126.81,124.46,126.58,232100,126.22
2014-10-20,121.85,124.12,121.04,124.07,248500,123.72
2014-10-17,121.75,122.52,120.35,121.98,290200,121.63
2014-10-16,118.36,120.52,118.27,120.21,332600,119.87
2014-10-15,118.77,121.34,118.06,120.26,549400,119.92
2014-10-14,118.16,121.66,117.38,120.47,599200,120.13
2014-10-13,114.30,118.54,110.77,117.16,448400,116.83
2014-10-10,119.15,119.66,116.28,116.34,315600,116.01
2014-10-09,122.24,122.36,119.24,119.29,172600,118.95
2014-10-08,121.12,122.37,120.24,122.32,233400,121.97
2014-10-07,122.53,123.11,120.96,120.99,176300,120.65
2014-10-06,123.91,124.12,122.73,123.43,198700,123.08
2014-10-03,122.50,123.92,121.93,123.62,280000,123.27
2014-10-02,120.69,121.96,120.03,121.72,282500,121.37
2014-10-01,121.27,121.27,119.53,120.49,456100,120.15
2014-09-30,121.91,122.55,121.12,121.53,231300,121.19
2014-09-29,120.17,122.15,120.17,122.06,208000,121.71
2014-09-26,120.82,121.77,120.52,121.44,211300,121.10
2014-09-25,122.36,122.36,120.31,120.82,165600,120.48
2014-09-24,122.20,122.58,121.21,122.52,189600,122.17
2014-09-23,123.49,124.13,122.24,122.27,197800,121.92
2014-09-22,124.12,124.94,122.90,124.06,291700,123.71
2014-09-19,125.64,125.69,123.85,124.09,414600,123.74
2014-09-18,122.80,125.10,122.15,125.06,414500,124.71
2014-09-17,125.43,125.43,122.22,122.80,671500,122.45
2014-09-16,125.61,127.04,124.67,126.76,584700,126.40
2014-09-15,127.94,127.96,125.88,126.14,389100,125.78
2014-09-12,127.78,127.92,126.66,127.88,250600,127.52
2014-09-11,127.25,128.01,127.25,127.58,166400,127.22
2014-09-10,127.16,127.70,126.87,127.57,187000,127.21
2014-09-09,128.65,128.83,126.86,127.03,313700,126.67
2014-09-08,128.30,129.75,128.03,128.52,194200,128.16
2014-09-05,128.06,128.96,127.73,128.68,137900,128.32
2014-09-04,128.35,129.23,127.50,127.94,282500,127.58
2014-09-03,127.99,128.43,127.85,128.31,189200,127.95
2014-09-02,127.48,129.27,127.12,127.86,290700,127.50
2014-08-29,127.55,127.87,126.78,127.40,139700,127.04
2014-08-28,127.00,127.79,126.88,126.89,175500,126.53
2014-08-27,127.76,129.28,126.83,127.85,216300,127.49
2014-08-26,127.56,129.06,126.89,127.86,281300,127.11
2014-08-25,127.59,127.60,126.89,127.41,178600,126.66
2014-08-22,127.18,127.40,126.44,127.00,224200,126.25
2014-08-21,126.87,127.97,126.41,127.43,203000,126.68
2014-08-20,125.92,126.84,125.75,126.55,248700,125.81
2014-08-19,125.30,126.50,125.03,126.03,247000,125.29
2014-08-18,124.68,125.20,124.46,124.84,260200,124.11
2014-08-15,123.92,125.23,123.29,124.01,379900,123.28
2014-08-14,122.85,123.57,122.36,122.92,332600,122.20
2014-08-13,122.57,123.95,122.42,122.92,189500,122.20
2014-08-12,122.05,123.15,122.04,122.29,248500,121.57
2014-08-11,122.38,122.76,121.51,122.38,197600,121.66
2014-08-08,121.04,122.35,120.99,121.85,297700,121.13
2014-08-07,121.46,122.85,120.93,121.10,217200,120.39
2014-08-06,120.93,121.82,120.66,120.76,388100,120.05
2014-08-05,121.49,122.16,120.71,121.68,271600,120.96
2014-08-04,120.81,122.92,120.43,122.66,270200,121.94
2014-08-01,120.00,121.14,118.72,120.72,326800,120.01
2014-07-31,121.24,122.03,120.08,120.13,185000,119.42
2014-07-30,122.17,122.57,121.52,122.41,181600,121.69
2014-07-29,121.34,122.73,121.12,121.92,354500,121.20
2014-07-28,122.46,122.46,120.99,121.17,215500,120.46
2014-07-25,122.08,122.90,121.78,122.34,193700,121.62
2014-07-24,122.37,123.21,120.78,122.70,346000,121.98
2014-07-23,121.62,121.90,120.70,120.83,235300,120.12
2014-07-22,120.49,121.79,119.89,121.67,304200,120.96
2014-07-21,119.93,120.80,119.45,120.26,283000,119.55
2014-07-18,119.32,120.76,119.14,120.51,285700,119.80
2014-07-17,120.48,121.00,118.73,119.09,317700,118.39
2014-07-16,121.41,121.43,120.24,120.61,313000,119.90
2014-07-15,121.05,121.54,120.42,121.06,267500,120.35
2014-07-14,120.90,121.32,120.01,121.22,406600,120.51
2014-07-11,119.38,120.50,118.82,120.00,297300,119.29
2014-07-10,118.95,120.09,118.90,119.57,347600,118.87
2014-07-09,121.11,121.11,119.70,120.45,293600,119.74
2014-07-08,121.46,121.74,120.22,120.58,350800,119.87
