Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,20.85,21.08,20.71,20.73,100900,20.73
2015-02-12,20.99,21.16,20.67,20.75,110100,20.75
2015-02-11,20.80,21.06,20.70,20.70,99900,20.70
2015-02-10,21.07,21.11,20.54,20.84,92500,20.84
2015-02-09,21.36,21.58,20.88,20.93,104700,20.93
2015-02-06,21.15,21.37,21.11,21.27,160000,21.27
2015-02-05,21.01,21.09,20.90,20.96,100300,20.96
2015-02-04,20.89,20.99,20.70,20.71,106100,20.71
2015-02-03,20.92,21.10,20.79,20.96,105700,20.96
2015-02-02,20.96,20.96,20.36,20.85,81100,20.85
2015-01-30,20.35,20.95,20.23,20.86,138500,20.75
2015-01-29,20.23,20.38,19.80,20.37,107100,20.26
2015-01-28,20.60,20.60,20.14,20.23,127600,20.12
2015-01-27,20.44,20.61,20.23,20.55,105000,20.44
2015-01-26,20.57,20.60,20.35,20.47,108800,20.36
2015-01-23,20.69,20.70,20.33,20.51,159700,20.40
2015-01-22,20.43,20.72,20.40,20.63,98600,20.52
2015-01-21,20.06,20.45,20.06,20.41,122700,20.30
2015-01-20,20.05,20.63,19.75,19.97,380200,19.86
2015-01-16,19.68,20.23,19.60,20.15,113600,20.04
2015-01-15,19.70,19.84,19.45,19.59,146900,19.48
2015-01-14,19.39,19.57,19.00,19.43,193100,19.32
2015-01-13,19.79,19.90,19.40,19.51,124000,19.40
2015-01-12,20.13,20.13,19.53,19.74,217700,19.63
2015-01-09,20.05,20.32,20.03,20.14,79200,20.03
2015-01-08,20.00,20.27,20.00,20.13,150400,20.02
2015-01-07,20.02,20.29,19.80,19.85,102600,19.74
2015-01-06,20.19,20.49,19.70,19.89,170300,19.78
2015-01-05,21.19,21.21,20.18,20.32,197200,20.21
2015-01-02,21.45,21.45,21.20,21.45,80000,21.33
2014-12-31,21.37,21.58,21.15,21.55,74000,21.32
2014-12-30,21.19,21.41,21.07,21.34,102100,21.11
2014-12-29,21.18,21.35,21.02,21.11,89900,20.89
2014-12-26,21.39,21.39,21.03,21.13,59900,20.91
2014-12-24,21.14,21.38,20.97,21.29,66100,21.06
2014-12-23,20.71,21.33,20.67,21.21,267300,20.98
2014-12-22,20.70,20.70,20.17,20.48,149400,20.26
2014-12-19,20.35,20.77,20.20,20.76,126300,20.54
2014-12-18,20.47,20.71,19.96,20.29,214400,20.07
2014-12-17,19.21,20.37,19.09,20.24,349900,20.02
2014-12-16,18.81,19.45,18.58,19.08,261900,18.88
2014-12-15,19.46,19.59,18.83,18.95,197300,18.75
2014-12-12,19.31,19.54,18.95,19.41,286600,19.20
2014-12-11,19.62,20.11,19.47,19.60,390000,19.39
2014-12-10,20.20,20.20,19.33,19.55,290600,19.34
2014-12-09,19.81,20.26,19.69,20.22,177500,20.01
2014-12-08,20.99,20.99,20.07,20.11,193400,19.90
2014-12-05,20.95,21.15,20.87,20.95,83900,20.73
2014-12-04,20.88,21.06,20.86,20.95,193600,20.73
2014-12-03,20.95,21.19,20.88,20.96,107400,20.74
