Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,32.51,32.51,32.14,32.37,23100,32.37
2015-02-12,31.93,32.27,31.92,32.26,338400,32.26
2015-02-11,31.51,31.51,31.16,31.31,123900,31.31
2015-02-10,31.33,31.68,31.33,31.68,54500,31.68
2015-02-09,31.06,31.14,30.94,30.98,6300,30.98
2015-02-06,31.60,31.77,31.23,31.33,54200,31.33
2015-02-05,31.61,31.96,31.61,31.94,52600,31.94
2015-02-04,31.60,31.69,31.29,31.42,53800,31.42
2015-02-03,31.75,31.99,31.60,31.97,121200,31.97
2015-02-02,30.76,31.23,30.68,31.14,8696400,31.14
2015-01-30,31.07,31.19,30.88,30.88,98500,30.88
2015-01-29,31.14,31.46,29.94,31.40,107100,31.40
2015-01-28,31.32,31.37,30.59,30.67,100800,30.67
2015-01-27,31.19,31.41,30.97,31.28,89900,31.28
2015-01-26,31.05,31.47,31.02,31.43,1293200,31.43
2015-01-23,30.85,30.93,30.68,30.71,163300,30.71
2015-01-22,30.88,31.21,30.71,31.01,133600,31.01
2015-01-21,30.70,30.98,30.63,30.88,118300,30.88
2015-01-20,31.00,31.00,30.51,30.68,370200,30.68
2015-01-16,29.89,30.52,29.87,30.47,128500,30.47
2015-01-15,29.86,30.08,29.82,29.82,114800,29.82
2015-01-14,29.84,30.12,29.73,30.06,252800,30.06
2015-01-13,30.08,30.33,29.64,30.02,116000,30.02
2015-01-12,29.85,30.01,29.70,29.85,1438700,29.85
2015-01-09,30.04,30.12,29.70,29.94,137000,29.94
2015-01-08,29.86,30.14,29.85,30.01,114000,30.01
2015-01-07,29.76,29.76,29.41,29.65,130300,29.65
2015-01-06,29.96,29.96,29.41,29.46,79800,29.46
2015-01-05,30.37,30.37,29.58,30.00,171700,30.00
2015-01-02,31.03,31.04,29.63,30.75,105100,30.75
2014-12-31,31.11,31.46,30.70,30.70,128400,30.70
2014-12-30,31.33,31.55,31.10,31.10,78800,31.10
2014-12-29,31.44,31.64,31.15,31.62,1638200,31.62
2014-12-26,31.48,31.88,31.47,31.48,49800,31.48
2014-12-24,31.54,31.86,31.40,31.55,50000,31.55
2014-12-23,31.49,31.69,31.27,31.45,57300,31.45
2014-12-22,31.54,31.62,31.33,31.39,63300,31.38
2014-12-19,31.28,31.45,31.04,31.23,79400,31.22
2014-12-18,31.17,31.54,31.13,31.35,75400,31.34
2014-12-17,30.20,31.05,30.20,30.96,60600,30.95
2014-12-16,30.47,31.13,30.44,30.54,40600,30.53
2014-12-15,31.04,31.04,30.14,30.33,1415900,30.32
2014-12-12,31.55,31.55,30.84,30.84,62500,30.83
2014-12-11,31.99,31.99,31.45,31.45,36900,31.44
2014-12-10,32.18,32.18,31.25,31.79,47100,31.78
2014-12-09,32.19,32.35,31.91,32.05,40700,32.04
2014-12-08,32.85,32.85,32.44,32.46,183300,32.45
2014-12-05,32.72,32.86,32.69,32.72,44300,32.71
2014-12-04,32.62,32.78,32.42,32.56,33800,32.55
2014-12-03,34.28,34.28,32.42,32.52,87700,32.51
2014-12-02,32.72,32.73,32.56,32.60,48300,32.59
2014-12-01,32.75,32.84,32.72,32.72,9742900,32.71
2014-11-28,32.72,32.72,32.61,32.61,500,32.60
2014-11-26,32.71,32.88,32.71,32.71,2300,32.70
2014-11-25,32.83,32.84,32.69,32.70,3300,32.69
2014-11-24,32.43,32.53,32.40,32.53,1281600,32.53
2014-11-21,31.96,31.96,31.96,31.96,1400,31.95
2014-11-20,32.11,32.11,32.11,32.11,000,32.10
2014-11-19,32.11,32.11,32.11,32.11,400,32.10
2014-11-18,31.86,31.97,31.86,31.97,1200,31.96
2014-11-17,31.26,31.26,31.26,31.26,000,31.25
2014-11-14,31.26,31.26,31.26,31.26,000,31.25
2014-11-13,31.26,31.26,31.26,31.26,200,31.25
2014-11-12,31.42,31.42,31.42,31.42,000,31.41
2014-11-11,31.30,31.42,31.30,31.42,300,31.41
2014-11-10,31.29,31.29,31.26,31.26,300,31.25
2014-11-07,31.07,31.07,31.07,31.07,100,31.06
2014-11-06,31.22,31.27,31.20,31.25,4100,31.24
2014-11-05,31.30,31.30,31.30,31.30,000,31.29
2014-11-04,31.30,31.30,31.30,31.30,200,31.29
2014-11-03,31.34,31.37,31.33,31.33,2200,31.32
2014-10-31,30.88,30.88,30.88,30.88,000,30.87
2014-10-30,30.88,30.88,30.88,30.88,500,30.87
2014-10-29,30.84,30.84,30.84,30.84,000,30.83
2014-10-28,30.84,30.84,30.84,30.84,000,30.83
