Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,18.00,18.00,18.00,18.00,000,18.00
2015-02-12,18.09,18.09,18.00,18.00,5500,18.00
2015-02-11,18.06,18.07,17.97,18.07,6200,18.07
2015-02-10,18.09,18.09,17.90,17.96,20600,17.96
2015-02-09,17.91,18.32,17.91,17.96,700,17.96
2015-02-06,18.25,18.25,18.07,18.15,18900,18.15
2015-02-05,18.00,18.10,17.95,18.10,17800,18.10
2015-02-04,17.92,17.92,17.81,17.92,5600,17.92
2015-02-03,17.88,17.90,17.83,17.90,20700,17.90
2015-02-02,17.78,17.84,17.78,17.84,3100,17.84
2015-01-30,17.85,17.87,17.82,17.82,8700,17.82
2015-01-29,17.82,17.89,17.82,17.89,3000,17.89
2015-01-28,17.82,17.83,17.82,17.82,2000,17.82
2015-01-27,17.83,17.83,17.82,17.82,1400,17.82
2015-01-26,17.90,17.90,17.85,17.85,4800,17.85
2015-01-23,17.83,17.89,17.83,17.89,3000,17.89
2015-01-22,17.82,17.89,17.82,17.82,1000,17.82
2015-01-21,17.74,17.79,17.69,17.75,1100,17.75
2015-01-20,17.98,17.98,17.69,17.98,800,17.98
2015-01-16,17.87,17.97,17.70,17.82,16300,17.82
2015-01-15,17.81,17.95,17.81,17.81,17200,17.81
2015-01-14,17.76,17.92,17.76,17.87,2900,17.87
2015-01-13,17.98,17.98,17.87,17.88,9100,17.88
2015-01-12,17.90,18.03,17.89,17.92,10900,17.92
2015-01-09,17.90,17.93,17.87,17.88,10100,17.88
2015-01-08,17.86,18.05,17.86,17.90,14800,17.90
2015-01-07,17.83,18.05,17.80,17.90,15200,17.90
2015-01-06,17.94,18.15,17.76,17.80,17900,17.80
2015-01-05,17.94,18.18,17.90,17.96,14200,17.96
2015-01-02,17.98,18.14,17.95,18.14,10600,18.14
2014-12-31,17.91,18.14,17.91,18.14,6000,18.14
2014-12-30,17.95,18.10,17.90,18.10,1900,18.10
2014-12-29,17.99,18.08,17.82,18.03,3200,18.03
2014-12-26,17.91,18.00,17.80,18.00,41500,18.00
2014-12-24,18.11,18.15,17.85,17.85,93500,17.85
2014-12-23,18.50,18.50,18.00,18.00,10200,18.00
2014-12-22,18.49,18.49,18.21,18.35,1100,18.35
2014-12-19,18.60,18.60,18.26,18.50,3200,18.50
2014-12-18,18.65,18.65,18.50,18.50,1800,18.50
2014-12-17,18.75,18.75,18.60,18.65,1900,18.65
2014-12-16,18.75,18.79,18.55,18.55,4800,18.55
2014-12-15,18.80,18.80,18.55,18.75,3400,18.75
2014-12-12,18.90,18.90,18.55,18.80,7400,18.80
2014-12-11,18.90,18.90,18.55,18.89,10100,18.89
2014-12-10,18.90,18.90,18.55,18.83,1900,18.83
2014-12-09,18.50,18.90,18.10,18.85,8700,18.85
2014-12-08,18.90,18.90,18.90,18.90,100,18.90
2014-12-05,18.95,18.95,18.95,18.95,100,18.95
2014-12-04,18.67,19.00,18.67,19.00,2700,19.00
2014-12-03,18.75,19.00,18.70,18.78,8100,18.78
2014-12-02,18.68,18.80,18.63,18.80,1800,18.80
2014-12-01,18.25,18.75,18.08,18.75,19500,18.75
2014-11-28,18.40,18.40,18.40,18.40,1000,18.40
2014-11-26,18.00,18.98,18.00,18.98,600,18.98
2014-11-25,18.00,19.00,18.00,18.15,14800,18.15
2014-11-24,18.25,18.25,18.14,18.18,13900,18.18
2014-11-21,18.40,18.40,18.40,18.40,1100,18.40
2014-11-20,18.43,18.48,18.43,18.44,1200,18.44
2014-11-19,18.65,18.65,18.50,18.50,3500,18.50
2014-11-18,19.00,19.00,18.65,18.65,1200,18.65
2014-11-17,19.00,19.00,18.62,18.62,2100,18.62
2014-11-14,18.50,19.00,18.50,18.94,3000,18.94
2014-11-13,18.50,18.50,18.50,18.50,1500,18.50
2014-11-12,18.50,18.51,18.50,18.50,3200,18.50
2014-11-11,19.00,19.00,18.50,18.50,2300,18.50
2014-11-10,19.00,20.00,18.87,20.00,2500,20.00
2014-11-07,19.00,19.00,18.95,19.00,1700,19.00
2014-11-06,19.00,19.00,18.55,18.55,3000,18.55
2014-11-05,17.98,18.55,17.98,18.55,2100,18.55
2014-11-04,17.50,18.20,17.50,18.00,1200,18.00
2014-11-03,19.00,23.00,18.00,18.66,9500,18.66
