Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,29.87,31.40,29.87,30.25,87900,30.25
2015-02-12,29.40,30.60,29.40,29.75,84700,29.75
2015-02-11,31.05,31.71,29.33,29.40,154800,29.40
2015-02-10,31.71,32.02,31.00,31.01,96600,31.01
2015-02-09,31.38,32.20,31.20,31.32,34700,31.32
2015-02-06,31.90,32.36,31.25,31.39,94600,31.39
2015-02-05,31.08,32.35,31.08,31.75,89100,31.75
2015-02-04,30.26,32.21,29.93,30.85,119800,30.85
2015-02-03,30.19,30.64,29.76,30.29,59600,30.29
2015-02-02,29.56,31.20,29.56,30.16,92000,30.16
2015-01-30,30.04,30.61,29.40,29.53,43100,29.53
2015-01-29,30.93,31.49,29.10,30.23,114500,30.23
2015-01-28,31.70,31.99,30.71,31.03,101700,31.03
2015-01-27,29.80,32.83,29.69,31.70,101000,31.70
2015-01-26,29.46,30.62,29.38,29.92,55400,29.92
2015-01-23,29.88,31.27,28.80,29.38,88100,29.38
2015-01-22,31.93,32.21,29.06,29.81,314600,29.81
2015-01-21,33.79,34.40,31.36,31.82,142000,31.82
2015-01-20,34.48,34.48,32.36,34.00,81300,34.00
2015-01-16,33.44,34.88,33.12,34.48,92900,34.48
2015-01-15,34.90,35.50,33.28,33.58,61800,33.58
2015-01-14,33.48,35.99,33.10,34.82,152400,34.82
2015-01-13,35.19,36.90,33.31,33.73,159900,33.73
2015-01-12,34.08,36.74,33.75,35.01,133700,35.01
2015-01-09,34.52,34.52,32.01,33.90,181200,33.90
2015-01-08,36.41,37.00,33.67,35.22,153900,35.22
2015-01-07,34.97,37.00,33.41,36.23,275500,36.23
2015-01-06,34.00,40.59,33.00,35.06,1072900,35.06
2015-01-05,27.54,34.24,27.34,33.79,344300,33.79
2015-01-02,27.44,27.90,27.06,27.48,97500,27.48
2014-12-31,27.16,27.61,27.02,27.34,37300,27.34
2014-12-30,27.50,28.00,27.02,27.21,50200,27.21
2014-12-29,27.39,27.72,27.27,27.50,85200,27.50
2014-12-26,27.51,27.60,27.10,27.30,48500,27.30
2014-12-24,27.22,28.72,26.93,27.50,97500,27.50
2014-12-23,26.28,28.50,26.20,27.34,190400,27.34
2014-12-22,27.39,27.74,26.05,26.32,112600,26.32
2014-12-19,28.48,28.53,26.31,27.46,1397500,27.46
2014-12-18,27.91,28.48,25.77,28.05,279000,28.05
2014-12-17,29.00,31.48,27.01,27.38,413900,27.38
2014-12-16,29.18,29.43,28.00,29.07,263200,29.07
2014-12-15,29.00,29.55,28.11,29.04,242900,29.04
2014-12-12,28.07,29.43,27.89,28.99,181000,28.99
2014-12-11,29.00,29.39,26.93,28.42,220400,28.42
2014-12-10,29.00,29.94,28.04,28.92,242200,28.92
2014-12-09,28.79,29.34,26.51,28.81,454700,28.81
2014-12-08,26.50,30.15,25.52,28.00,543300,28.00
2014-12-05,23.85,27.29,22.97,26.18,379900,26.18
2014-12-04,23.35,24.24,22.50,23.84,177700,23.84
2014-12-03,21.50,23.50,20.10,23.02,293300,23.02
2014-12-02,22.58,23.00,21.00,21.54,313000,21.54
2014-12-01,22.65,22.80,21.50,22.37,188400,22.37
2014-11-28,23.78,23.78,22.59,22.65,72600,22.65
2014-11-26,23.53,23.80,23.25,23.70,107200,23.70
2014-11-25,23.50,23.78,22.75,23.61,177000,23.61
2014-11-24,22.64,23.55,22.50,23.34,177900,23.34
2014-11-21,24.04,24.04,22.50,22.82,192600,22.82
2014-11-20,23.08,23.90,23.00,23.14,149900,23.14
2014-11-19,23.90,23.90,23.20,23.37,208300,23.37
2014-11-18,24.25,24.75,23.50,23.59,596700,23.59
2014-11-17,22.09,23.89,22.09,23.81,1100500,23.81
2014-11-14,23.00,23.45,21.48,22.00,6443400,22.00
