Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,54.02,54.49,53.78,53.96,1050400,53.96
2015-02-12,53.79,54.20,53.24,54.09,1989900,54.09
2015-02-11,53.25,53.78,53.21,53.38,1472900,53.38
2015-02-10,52.78,53.32,52.56,53.29,1497800,53.29
2015-02-09,52.84,53.01,52.20,52.43,1793400,52.43
2015-02-06,54.60,54.70,52.88,53.10,2998800,53.10
2015-02-05,54.46,55.37,54.23,54.40,2748300,54.40
2015-02-04,54.00,54.60,53.55,54.33,2216200,54.33
2015-02-03,53.49,54.70,53.21,54.66,2139700,54.66
2015-02-02,53.36,53.68,52.12,53.34,2147300,53.34
2015-01-30,54.80,54.91,53.15,53.22,1795200,53.22
2015-01-29,54.12,54.41,53.40,54.35,1527700,54.35
2015-01-28,54.32,54.74,53.59,53.79,1386100,53.79
2015-01-27,53.37,54.48,53.24,54.08,1286500,54.08
2015-01-26,53.33,54.12,53.01,53.99,1358800,53.99
2015-01-23,53.56,54.00,53.00,53.45,1886300,53.45
2015-01-22,52.31,53.80,52.31,53.48,2305100,53.48
2015-01-21,51.74,52.58,51.55,52.51,1597900,52.51
2015-01-20,52.39,52.47,51.60,51.84,2340500,51.84
2015-01-16,52.12,52.52,51.12,52.07,3130500,52.07
2015-01-15,53.12,53.26,51.77,52.13,3302500,52.13
2015-01-14,53.68,53.68,51.65,53.21,5715100,53.21
2015-01-13,57.09,57.15,55.06,55.63,2210100,55.41
2015-01-12,56.49,57.02,56.31,56.79,1866600,56.57
2015-01-09,56.72,56.90,55.84,56.22,1749000,56.00
2015-01-08,57.49,57.62,56.95,57.50,2266600,57.27
2015-01-07,55.05,57.27,55.03,56.92,3255500,56.69
2015-01-06,56.03,56.16,53.93,54.44,2715600,54.22
2015-01-05,55.64,56.10,55.18,55.89,2045600,55.67
2015-01-02,56.43,56.72,55.37,56.04,949500,55.82
2014-12-31,56.54,57.00,56.17,56.18,1041400,55.96
2014-12-30,56.52,56.82,56.25,56.35,971900,56.13
2014-12-29,55.35,56.74,55.31,56.55,1440100,56.33
2014-12-26,55.75,55.83,55.10,55.46,867200,55.24
2014-12-24,55.29,55.93,55.17,55.31,1105600,55.09
2014-12-23,54.81,55.65,54.53,55.22,2405000,55.00
2014-12-22,54.03,55.01,54.00,54.66,2611700,54.44
2014-12-19,57.44,57.56,52.70,53.86,11244300,53.65
2014-12-18,57.03,57.88,56.53,57.88,2271500,57.65
2014-12-17,55.98,56.67,55.63,56.33,2744600,56.11
2014-12-16,56.94,57.25,55.78,55.78,1972700,55.56
2014-12-15,56.56,57.37,56.34,57.14,2289400,56.91
2014-12-12,56.12,57.00,55.92,56.15,1814300,55.93
2014-12-11,56.48,57.40,56.27,56.38,1624300,56.16
2014-12-10,56.42,57.13,55.92,56.02,2052600,55.80
2014-12-09,55.64,56.61,55.62,56.49,1353500,56.27
2014-12-08,56.47,57.45,56.36,56.54,1490300,56.32
2014-12-05,57.50,57.50,56.53,56.70,1652800,56.48
2014-12-04,57.23,57.50,56.67,57.31,1598900,57.08
2014-12-03,56.60,57.63,56.60,57.51,1688500,57.28
2014-12-02,56.75,57.08,56.35,56.90,2215000,56.67
2014-12-01,57.50,57.50,56.29,56.35,1676200,56.13
2014-11-28,56.80,57.61,56.76,57.29,1159500,57.06
2014-11-26,56.87,57.28,56.60,56.73,1587000,56.51
2014-11-25,56.78,57.20,56.45,56.91,7141400,56.68
2014-11-24,54.95,56.75,54.71,56.43,3807300,56.21
2014-11-21,59.17,59.19,54.49,54.55,8960700,54.33
2014-11-20,56.50,57.18,56.27,57.00,3797000,56.77
2014-11-19,54.98,56.29,54.72,56.19,3498100,55.97
2014-11-18,54.91,55.03,54.44,54.83,3137900,54.61
2014-11-17,56.00,56.16,54.76,54.80,2319600,54.58
2014-11-14,55.50,56.32,55.50,55.99,1695200,55.77
2014-11-13,55.75,56.23,55.20,55.67,1598400,55.45
2014-11-12,54.64,55.94,54.64,55.73,3641000,55.51
2014-11-11,54.77,54.93,54.47,54.70,1735300,54.48
2014-11-10,54.60,54.95,54.38,54.77,1986100,54.55
2014-11-07,54.19,55.16,54.13,54.50,3089900,54.28
2014-11-06,52.94,54.51,52.86,54.47,2283900,54.25
2014-11-05,54.00,54.06,52.03,52.71,4376700,52.50
2014-11-04,54.17,54.17,52.25,53.63,7334900,53.42
2014-11-03,56.01,56.48,55.76,56.17,1215100,55.95
2014-10-31,56.67,56.76,55.89,56.01,1260100,55.79
2014-10-30,55.51,56.04,55.48,55.85,848400,55.63
2014-10-29,55.43,56.21,55.37,55.67,1206000,55.45
2014-10-28,55.15,55.46,54.62,55.46,1674800,55.24
2014-10-27,54.54,55.16,54.22,55.05,1508900,54.83
2014-10-24,55.10,55.17,54.46,54.70,1460800,54.48
2014-10-23,55.26,55.66,55.01,55.14,1379900,54.92
2014-10-22,55.48,55.52,54.49,54.69,2150300,54.47
2014-10-21,54.56,55.98,54.41,55.40,1858100,55.18
2014-10-20,53.43,54.39,53.31,54.37,1908100,54.15
2014-10-17,53.33,54.35,52.90,53.47,2266600,53.26
2014-10-16,52.50,53.05,51.62,52.68,2946700,52.47
2014-10-15,53.01,53.66,52.25,53.29,2802000,53.08
2014-10-14,54.30,54.53,53.47,53.89,2200800,53.46
2014-10-13,55.01,55.14,53.80,53.85,1901200,53.42
2014-10-10,55.03,55.60,55.00,55.15,2101600,54.71
2014-10-09,55.39,55.74,55.07,55.10,1894400,54.66
2014-10-08,54.99,55.73,54.27,55.60,2764900,55.15
2014-10-07,55.49,55.82,54.99,54.99,1161200,54.55
2014-10-06,56.38,56.53,55.66,55.75,1518400,55.30
2014-10-03,55.34,56.54,55.01,56.17,1903300,55.72
2014-10-02,54.77,55.23,54.40,54.94,1635200,54.50
2014-10-01,55.57,55.66,54.60,54.82,1999900,54.38
2014-09-30,56.53,56.75,55.35,55.65,1987200,55.20
2014-09-29,56.25,56.73,56.03,56.56,1661500,56.11
2014-09-26,56.83,58.23,56.68,56.96,3299400,56.50
2014-09-25,56.76,56.81,55.86,56.06,1597700,55.61
2014-09-24,56.32,57.02,56.05,56.96,1153700,56.50
2014-09-23,56.50,57.30,55.95,56.24,1860200,55.79
2014-09-22,57.30,57.39,56.54,56.62,1606900,56.17
2014-09-19,57.67,57.68,56.60,56.82,4536100,56.36
2014-09-18,57.46,57.55,57.18,57.38,1645900,56.92
2014-09-17,57.97,58.00,57.18,57.31,1652700,56.85
2014-09-16,56.98,58.40,56.87,57.98,1700800,57.51
2014-09-15,57.18,57.36,56.90,57.13,816400,56.67
2014-09-12,57.25,57.76,56.98,57.10,1050100,56.64
2014-09-11,56.65,57.15,56.48,57.15,1008300,56.69
2014-09-10,56.51,57.01,56.23,56.79,1364300,56.33
2014-09-09,57.17,57.25,56.32,56.49,1619400,56.04
2014-09-08,57.25,57.54,56.87,57.20,1851600,56.74
2014-09-05,57.06,57.27,56.37,57.19,1524600,56.73
2014-09-04,57.25,57.95,57.09,57.33,1472800,56.87
2014-09-03,57.66,57.90,56.82,57.12,2766300,56.66
2014-09-02,56.29,57.50,56.15,57.25,2465400,56.79
2014-08-29,56.10,56.50,55.67,56.11,892000,55.66
2014-08-28,55.94,56.26,55.52,55.99,1167600,55.54
2014-08-27,55.70,56.53,55.46,56.34,2257800,55.89
2014-08-26,54.66,55.63,54.66,55.37,1761900,54.93
2014-08-25,53.92,54.79,53.92,54.58,1699500,54.14
2014-08-22,55.10,55.33,53.21,54.12,5582000,53.69
2014-08-21,52.60,52.95,52.17,52.57,2440100,52.15
2014-08-20,51.71,52.69,51.39,52.43,2319700,52.01
2014-08-19,51.32,52.12,51.11,51.96,2355600,51.54
2014-08-18,50.21,50.70,50.07,50.70,1441100,50.29
2014-08-15,50.60,50.69,49.13,49.81,2498500,49.41
2014-08-14,50.38,51.00,50.35,50.71,1296400,50.30
2014-08-13,50.39,50.76,49.81,50.20,960900,49.80
