Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,13.93,14.22,13.46,13.89,53200,13.89
2015-02-12,14.20,14.20,13.63,14.07,58600,14.07
2015-02-11,14.00,14.05,13.81,14.04,35600,14.04
2015-02-10,13.39,13.99,12.85,13.60,55800,13.60
2015-02-09,13.05,13.84,13.00,13.57,68400,13.57
2015-02-06,13.17,13.52,12.96,13.17,176300,13.17
2015-02-05,13.23,13.44,12.55,12.82,82700,12.82
2015-02-04,13.16,14.00,12.73,12.74,90500,12.74
2015-02-03,13.99,14.10,12.89,13.48,139200,13.48
2015-02-02,15.09,15.24,14.02,14.21,154900,14.21
2015-01-30,14.95,15.54,14.50,14.74,223600,14.74
2015-01-29,19.00,19.50,14.80,14.95,5211600,14.95
