Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,20.00,20.00,18.88,19.96,800,19.96
2015-02-12,19.80,19.80,19.80,19.80,700,19.80
2015-02-11,19.50,19.50,19.50,19.50,000,19.50
2015-02-10,19.50,19.50,19.50,19.50,000,19.50
2015-02-09,19.50,19.50,19.50,19.50,300,19.50
2015-02-06,18.51,19.80,18.50,19.80,4100,19.80
2015-02-05,19.77,19.77,19.77,19.77,000,19.77
2015-02-04,19.77,19.77,19.77,19.77,000,19.77
2015-02-03,19.77,19.77,19.77,19.77,000,19.77
2015-02-02,19.77,19.77,19.77,19.77,000,19.77
2015-01-30,19.77,19.77,19.77,19.77,000,19.77
2015-01-29,19.77,19.77,19.77,19.77,000,19.77
2015-01-28,19.77,19.77,19.77,19.77,100,19.77
2015-01-27,19.82,19.82,19.82,19.82,000,19.82
2015-01-26,19.82,19.82,19.82,19.82,300,19.82
2015-01-23,18.55,18.55,18.55,18.55,000,18.55
2015-01-22,18.55,18.55,18.55,18.55,000,18.55
2015-01-21,18.35,18.56,18.35,18.55,1800,18.55
2015-01-20,18.55,18.55,18.55,18.55,300,18.55
2015-01-16,18.25,18.25,18.25,18.25,000,18.25
2015-01-15,18.25,18.25,18.25,18.25,000,18.25
2015-01-14,18.47,18.47,18.25,18.25,500,18.25
2015-01-13,18.00,18.50,17.51,18.50,2000,18.50
2015-01-12,18.63,18.63,18.20,18.20,1000,18.20
2015-01-09,18.68,18.68,18.54,18.54,400,18.54
2015-01-08,18.68,18.68,18.68,18.68,300,18.68
2015-01-07,18.06,18.06,18.06,18.06,100,18.06
2015-01-06,17.75,17.75,17.75,17.75,000,17.75
2015-01-05,17.75,17.75,17.75,17.75,000,17.75
2015-01-02,17.75,17.75,17.75,17.75,200,17.75
2014-12-31,18.54,18.55,18.04,18.55,4500,18.55
2014-12-30,18.60,18.60,18.60,18.60,000,18.60
2014-12-29,18.60,18.60,18.60,18.60,200,18.60
2014-12-26,17.62,19.00,17.62,18.60,1500,18.60
2014-12-24,18.60,18.60,18.60,18.60,700,18.60
2014-12-23,18.60,18.60,18.08,18.20,500,18.20
2014-12-22,19.52,19.57,18.11,18.57,10100,18.57
2014-12-19,19.00,19.00,17.57,17.82,400,17.82
2014-12-18,17.70,17.70,17.70,17.70,100,17.70
2014-12-17,18.79,18.79,16.90,17.65,12700,17.65
2014-12-16,18.79,18.79,18.79,18.79,000,18.79
2014-12-15,19.43,19.43,18.79,18.79,1800,18.79
2014-12-12,19.80,19.80,19.80,19.80,000,19.80
2014-12-11,19.80,19.80,19.80,19.80,000,19.80
2014-12-10,19.80,19.80,19.80,19.80,300,19.80
2014-12-09,19.63,19.64,19.63,19.64,1800,19.64
2014-12-08,20.00,20.00,20.00,20.00,500,20.00
2014-12-05,19.53,20.00,19.50,20.00,2400,20.00
2014-12-04,20.15,20.15,20.15,20.15,000,20.15
2014-12-03,20.15,20.15,20.15,20.15,200,20.15
2014-12-02,19.50,19.50,19.50,19.50,000,19.50
2014-12-01,19.56,19.56,19.50,19.50,1000,19.50
2014-11-28,19.56,19.66,19.56,19.56,1900,19.56
2014-11-26,20.00,20.00,19.90,19.90,600,19.90
2014-11-25,20.00,20.00,20.00,20.00,000,20.00
2014-11-24,20.00,20.00,20.00,20.00,000,19.71
2014-11-21,20.00,20.00,20.00,20.00,600,19.71
2014-11-20,21.00,21.00,21.00,21.00,000,20.70
2014-11-19,20.75,21.10,20.75,21.00,2000,20.70
2014-11-18,19.95,19.95,19.95,19.95,100,19.66
2014-11-17,19.91,19.91,19.81,19.81,1900,19.52
2014-11-14,20.03,20.03,19.75,20.00,2000,19.71
2014-11-13,20.08,20.08,20.08,20.08,000,19.79
2014-11-12,19.26,20.08,19.26,20.08,300,19.79
