Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,8.87,9.10,8.78,9.01,50000,9.01
2015-02-12,9.18,9.18,8.67,9.04,45800,9.04
2015-02-11,9.15,9.37,8.76,9.02,59200,9.02
2015-02-10,9.10,9.26,8.93,9.10,52100,9.10
2015-02-09,9.08,9.18,9.02,9.06,25600,9.06
2015-02-06,9.20,9.35,8.91,9.10,38700,9.10
2015-02-05,9.18,9.53,8.90,9.18,147100,9.18
2015-02-04,8.91,9.19,8.31,9.10,170400,9.10
2015-02-03,9.38,9.38,8.74,8.97,261700,8.97
2015-02-02,8.91,9.65,8.80,9.36,285100,9.36
2015-01-30,8.50,8.99,8.41,8.76,168100,8.76
2015-01-29,8.64,8.64,8.25,8.55,171200,8.55
2015-01-28,8.92,8.94,8.44,8.60,227000,8.60
2015-01-27,8.66,8.90,8.52,8.84,176100,8.84
2015-01-26,8.22,8.80,8.05,8.70,796400,8.70
2015-01-23,7.79,8.30,7.70,8.10,236100,8.10
2015-01-22,7.54,7.80,7.46,7.80,95400,7.80
2015-01-21,7.70,7.70,7.30,7.54,155000,7.54
2015-01-20,7.36,7.69,7.06,7.68,79700,7.68
2015-01-16,7.46,7.54,7.00,7.32,114400,7.32
2015-01-15,7.90,7.90,7.19,7.53,115700,7.53
2015-01-14,7.51,7.75,7.15,7.73,104200,7.73
2015-01-13,7.41,7.48,7.01,7.43,171000,7.43
2015-01-12,7.96,7.96,7.20,7.41,117800,7.41
2015-01-09,8.08,8.10,7.62,7.90,69000,7.90
2015-01-08,8.04,8.18,7.91,8.04,95400,8.04
2015-01-07,8.24,8.24,7.60,7.94,139700,7.94
2015-01-06,8.85,8.88,8.06,8.24,348300,8.24
2015-01-05,7.50,8.58,6.90,8.35,559900,8.35
2015-01-02,6.84,7.50,6.84,7.45,187100,7.45
2014-12-31,7.17,7.20,6.81,7.01,95900,7.01
2014-12-30,6.73,7.22,6.53,7.03,7100,7.03
2014-12-29,6.68,6.88,6.45,6.80,94000,6.80
2014-12-26,6.39,6.74,6.32,6.69,45000,6.69
2014-12-24,6.40,6.40,6.07,6.35,106100,6.35
2014-12-23,6.80,6.80,6.37,6.50,120100,6.50
2014-12-22,6.14,7.09,6.00,6.90,419800,6.90
2014-12-19,5.89,6.19,5.89,6.14,64500,6.14
2014-12-18,6.08,6.24,5.59,5.90,107000,5.90
2014-12-17,6.17,6.28,5.99,6.19,91000,6.19
2014-12-16,5.94,6.19,5.86,6.19,111600,6.19
2014-12-15,6.33,6.45,5.82,6.01,134600,6.01
2014-12-12,6.23,6.50,6.08,6.42,91600,6.42
2014-12-11,6.60,6.66,6.04,6.23,164000,6.23
2014-12-10,6.66,6.66,6.01,6.49,121400,6.49
2014-12-09,6.52,6.73,6.34,6.56,134200,6.56
2014-12-08,6.60,7.25,6.35,6.64,571400,6.64
2014-12-05,5.41,6.66,5.40,6.60,619300,6.60
2014-12-04,5.32,5.40,5.32,5.40,34500,5.40
2014-12-03,5.35,5.37,5.35,5.35,21500,5.35
2014-12-02,5.41,5.41,5.35,5.35,20600,5.35
2014-12-01,5.39,5.49,5.31,5.41,84100,5.41
2014-11-28,5.45,5.45,5.25,5.30,35800,5.30
2014-11-26,5.36,5.47,5.36,5.45,52500,5.45
2014-11-25,5.43,5.49,5.31,5.43,62000,5.43
2014-11-24,5.34,5.45,5.27,5.38,91600,5.38
2014-11-21,5.45,5.45,5.22,5.27,24400,5.27
2014-11-20,5.36,5.40,5.30,5.34,32500,5.34
2014-11-19,5.45,5.46,5.34,5.34,39300,5.34
2014-11-18,5.45,5.49,5.31,5.45,95700,5.45
2014-11-17,5.50,5.50,5.28,5.30,60400,5.30
2014-11-14,5.45,5.45,5.34,5.38,16300,5.38
2014-11-13,5.37,5.47,5.25,5.41,50700,5.41
2014-11-12,5.33,5.37,5.27,5.31,37400,5.31
2014-11-11,5.53,5.53,5.34,5.41,28500,5.41
2014-11-10,5.40,5.54,5.40,5.48,41200,5.48
2014-11-07,5.42,5.63,5.25,5.34,143000,5.34
2014-11-06,5.45,5.54,5.30,5.43,73600,5.43
2014-11-05,5.50,5.58,5.39,5.43,40300,5.43
2014-11-04,5.33,5.50,5.21,5.50,86200,5.50
2014-11-03,5.37,5.49,5.23,5.33,71600,5.33
2014-10-31,5.48,5.53,5.37,5.40,18100,5.40
2014-10-30,5.57,5.57,5.35,5.49,51700,5.49
2014-10-29,5.50,5.54,5.28,5.51,51200,5.51
2014-10-28,5.33,5.49,5.27,5.46,70200,5.46
2014-10-27,5.46,5.54,5.27,5.33,77700,5.33
2014-10-24,5.41,5.55,5.37,5.46,118800,5.46
2014-10-23,5.51,5.67,5.27,5.47,244600,5.47
2014-10-22,5.50,5.62,5.39,5.55,67700,5.55
