Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,60.08,60.08,59.98,60.00,131100,60.00
2015-02-12,59.98,60.01,59.98,60.00,194300,60.00
2015-02-11,59.97,59.99,59.97,59.97,214000,59.97
2015-02-10,59.99,60.00,59.98,60.00,237700,60.00
2015-02-09,60.06,60.06,59.97,59.99,566100,59.99
2015-02-06,59.99,60.06,59.98,60.00,189300,60.00
2015-02-05,60.00,60.07,59.97,60.00,167400,60.00
2015-02-04,59.96,60.04,59.96,60.04,196400,60.04
2015-02-03,59.99,60.06,59.99,60.05,8353600,60.05
2015-02-02,59.96,60.06,59.95,60.05,5929200,60.05
2015-01-30,60.03,60.06,59.96,60.05,125400,60.05
2015-01-29,60.04,60.04,59.96,59.96,113300,59.96
2015-01-28,59.97,60.04,59.95,59.98,165700,59.98
2015-01-27,59.96,60.00,59.96,59.96,82800,59.96
2015-01-26,59.95,60.00,59.94,59.99,694300,59.99
2015-01-23,59.97,60.02,59.97,59.98,146300,59.98
2015-01-22,59.99,60.04,59.95,60.03,85200,60.03
2015-01-21,59.97,60.02,59.94,60.01,3881100,60.01
2015-01-20,60.02,60.04,59.97,60.04,4822600,60.02
2015-01-16,59.96,59.99,59.94,59.97,21400,59.95
2015-01-15,59.96,60.03,59.96,59.96,20000,59.94
2015-01-14,59.99,60.01,59.95,59.95,31300,59.93
2015-01-13,59.95,59.99,59.95,59.96,15100,59.94
2015-01-12,60.01,60.01,59.93,59.96,638500,59.94
2015-01-09,59.94,59.99,59.94,59.95,28500,59.93
2015-01-08,59.98,59.98,59.94,59.94,16100,59.92
2015-01-07,59.97,60.00,59.94,59.94,17400,59.92
2015-01-06,59.92,59.98,59.92,59.95,17000,59.93
2015-01-05,59.95,59.97,59.95,59.96,31500,59.94
2015-01-02,59.90,59.98,59.89,59.98,20800,59.96
2014-12-31,59.99,59.99,59.87,59.88,42100,59.86
2014-12-30,59.88,59.99,59.88,59.90,55900,59.88
2014-12-29,59.92,59.98,59.89,59.90,11741300,59.88
2014-12-26,59.92,60.00,59.91,59.92,28600,59.90
2014-12-24,59.96,59.99,59.91,59.92,77800,59.90
2014-12-23,59.93,59.98,59.91,59.94,68300,59.92
2014-12-22,59.96,60.04,59.96,60.01,620700,59.95
2014-12-19,59.94,60.02,59.94,59.98,66200,59.92
2014-12-18,60.02,60.03,59.98,59.99,55600,59.93
2014-12-17,60.03,60.05,60.00,60.01,37500,59.95
2014-12-16,60.02,60.04,60.02,60.02,36500,59.96
2014-12-15,60.03,60.05,60.01,60.04,708300,59.98
2014-12-12,60.02,60.02,59.99,60.00,47600,59.94
2014-12-11,60.02,60.04,60.00,60.01,38100,59.95
2014-12-10,60.03,60.03,60.01,60.01,46000,59.95
2014-12-09,60.02,60.05,60.01,60.01,91700,59.95
2014-12-08,60.01,60.03,60.00,60.01,8524100,59.95
2014-12-05,60.01,60.04,60.01,60.04,58700,59.98
2014-12-04,60.04,60.04,60.02,60.02,63700,59.96
2014-12-03,60.02,60.06,60.01,60.06,81300,60.00
2014-12-02,60.06,60.06,60.02,60.05,95900,59.99
2014-12-01,60.03,60.05,59.98,60.03,5349000,59.97
2014-11-28,60.00,60.06,60.00,60.00,56100,59.94
2014-11-26,60.00,60.06,60.00,60.06,103000,60.00
2014-11-25,60.02,60.04,60.00,60.01,92500,59.95
2014-11-24,60.03,60.05,59.99,59.99,753400,59.93
2014-11-21,60.02,60.07,60.00,60.00,137500,59.94
2014-11-20,60.02,60.07,60.02,60.04,131000,59.96
2014-11-19,60.03,60.07,60.03,60.03,124800,59.95
2014-11-18,60.01,60.08,60.01,60.06,149200,59.98
2014-11-17,60.08,60.08,60.04,60.04,108700,59.96
2014-11-14,60.05,60.06,60.03,60.05,78700,59.97
2014-11-13,60.01,60.05,60.01,60.03,62200,59.95
2014-11-12,60.04,60.08,60.02,60.06,78600,59.98
2014-11-11,60.07,60.08,60.02,60.08,161600,60.00
2014-11-10,60.03,60.08,60.02,60.02,135700,59.94
2014-11-07,30.03,30.05,30.01,30.04,71600,60.00
2014-11-06,30.00,30.04,30.00,30.03,49300,59.98
2014-11-05,30.01,30.05,30.00,30.01,84500,59.94
2014-11-04,30.02,30.05,30.00,30.02,126000,59.96
2014-11-03,30.04,32.29,30.02,30.05,18074800,60.02
2014-10-31,30.01,30.05,28.72,28.72,50200,57.37
2014-10-30,30.00,30.03,29.97,30.03,65800,59.98
2014-10-29,30.02,30.03,30.00,30.02,40000,59.96
2014-10-28,30.04,30.04,30.01,30.01,9349000,59.94
2014-10-27,30.03,30.03,30.03,30.03,000,59.98
2014-10-24,30.03,30.03,30.03,30.03,000,59.98
2014-10-23,30.03,30.04,30.03,30.03,4800,59.98
2014-10-22,30.04,30.04,30.04,30.04,100,60.00
2014-10-21,30.05,30.05,30.05,30.05,000,60.02
2014-10-20,30.05,30.05,30.05,30.05,000,60.00
2014-10-17,30.05,30.05,30.05,30.05,000,60.00
2014-10-16,30.00,30.05,30.00,30.05,400,60.00
2014-10-15,30.00,30.02,30.00,30.02,2000,59.94
2014-10-14,30.04,30.04,30.04,30.04,000,59.98
2014-10-13,30.00,30.04,30.00,30.04,1100,59.98
2014-10-10,30.07,30.07,30.04,30.04,45300,59.98
2014-10-09,30.02,30.02,30.02,30.02,000,59.95
2014-10-08,30.02,30.02,30.02,30.02,000,59.95
2014-10-07,30.02,30.02,30.02,30.02,000,59.95
2014-10-06,30.03,30.03,30.02,30.02,800,59.95
2014-10-03,30.03,30.03,29.99,29.99,400,59.88
2014-10-02,29.98,29.98,29.98,29.98,000,59.86
2014-10-01,30.02,30.02,29.98,29.98,200,59.86
2014-09-30,30.03,30.03,30.01,30.01,100,59.92
2014-09-29,30.00,30.00,30.00,30.00,200,59.90
2014-09-26,30.04,30.04,30.02,30.02,200,59.94
2014-09-25,30.00,30.00,30.00,30.00,000,59.90
2014-09-24,30.00,30.00,30.00,30.00,000,59.90
2014-09-23,29.98,30.00,29.98,30.00,100,59.90
2014-09-22,30.04,30.04,30.04,30.04,1100,59.96
2014-09-19,30.03,30.03,30.03,30.03,700,59.94
2014-09-18,30.03,30.03,30.03,30.03,100,59.94
2014-09-17,30.03,30.03,30.03,30.03,000,59.94
2014-09-16,30.03,30.03,30.03,30.03,000,59.94
2014-09-15,30.03,30.03,30.03,30.03,200,59.94
2014-09-12,30.01,30.03,30.00,30.00,4400,59.89
2014-09-11,30.04,30.04,30.04,30.04,17000,59.96
2014-09-10,30.04,30.04,30.04,30.04,000,59.96
2014-09-09,30.04,30.04,30.04,30.04,000,59.96
2014-09-08,30.05,30.05,30.04,30.04,900,59.96
2014-09-05,30.05,30.05,30.05,30.05,100,59.98
2014-09-04,30.04,30.04,30.02,30.02,700,59.92
2014-09-03,30.02,30.04,30.02,30.04,700,59.96
2014-09-02,30.04,30.04,30.04,30.04,1200,59.96
2014-08-29,30.03,30.03,30.03,30.03,000,59.94
2014-08-28,30.03,30.03,30.03,30.03,200,59.94
2014-08-27,30.04,30.04,30.04,30.04,000,59.96
2014-08-26,30.04,30.04,30.04,30.04,600,59.96
2014-08-25,30.04,30.04,30.04,30.04,1200,59.96
2014-08-22,30.02,30.02,30.02,30.02,000,59.92
2014-08-21,30.02,30.02,30.02,30.02,000,59.92
2014-08-20,30.02,30.02,30.02,30.02,000,59.90
2014-08-19,30.02,30.02,30.02,30.02,000,59.90
2014-08-18,30.02,30.02,30.02,30.02,000,59.90
2014-08-15,30.02,30.02,30.02,30.02,000,59.90
2014-08-14,30.02,30.02,30.02,30.02,000,59.90
2014-08-13,30.02,30.02,30.02,30.02,000,59.90
2014-08-12,30.02,30.02,30.02,30.02,000,59.90
2014-08-11,30.02,30.02,30.02,30.02,000,59.90
2014-08-08,30.02,30.02,30.02,30.02,000,59.90
2014-08-07,30.02,30.02,30.02,30.02,000,59.90
2014-08-06,30.02,30.02,30.02,30.02,100,59.90
