Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,54.34,54.49,53.54,53.80,66000,53.80
2015-02-12,54.53,54.75,54.20,54.35,54900,54.35
2015-02-11,54.50,54.96,54.00,54.19,112300,54.19
2015-02-10,53.40,54.70,53.25,54.46,178600,54.46
2015-02-09,54.13,54.13,52.87,53.00,184800,53.00
2015-02-06,54.00,54.26,53.70,54.13,170600,54.13
2015-02-05,54.41,54.65,54.00,54.09,145300,54.09
2015-02-04,53.72,54.50,53.68,54.17,129300,54.17
2015-02-03,54.62,54.62,53.58,53.81,162200,53.81
2015-02-02,55.09,55.09,53.96,54.50,229600,54.50
2015-01-30,54.24,54.69,53.96,54.32,142600,54.32
2015-01-29,53.10,54.27,52.66,54.21,112400,54.21
2015-01-28,53.56,53.81,53.04,53.04,56400,53.04
2015-01-27,53.35,53.60,52.84,53.40,162200,53.40
2015-01-26,53.38,53.90,53.20,53.50,115900,53.50
2015-01-23,52.69,53.50,52.31,53.40,141900,53.40
2015-01-22,51.83,52.50,51.82,52.50,152800,52.50
2015-01-21,51.07,52.04,51.07,51.79,126800,51.79
2015-01-20,50.81,51.10,50.61,51.10,156700,51.10
2015-01-16,50.61,50.92,50.18,50.57,1138700,50.57
2015-01-15,50.89,51.22,50.12,50.50,222800,50.50
2015-01-14,51.51,51.53,50.04,50.92,191200,50.92
2015-01-13,51.92,52.50,50.80,51.59,163800,51.59
2015-01-12,51.12,52.00,50.71,51.91,289300,51.91
2015-01-09,50.65,51.23,50.38,51.00,336000,51.00
2015-01-08,49.65,50.60,49.65,50.55,388100,50.55
2015-01-07,49.65,49.90,49.36,49.46,159100,49.46
2015-01-06,48.25,50.65,48.18,49.67,407500,49.67
2015-01-05,47.32,48.25,47.20,48.20,689600,48.20
2015-01-02,47.75,48.25,47.00,47.30,118100,47.30
2014-12-31,47.44,47.95,47.40,47.83,147300,47.83
2014-12-30,47.36,47.69,47.21,47.49,175600,47.49
2014-12-29,47.75,47.75,47.35,47.49,131200,47.49
2014-12-26,47.85,48.18,47.38,47.55,104900,47.55
2014-12-24,47.62,48.25,47.56,47.85,141800,47.85
2014-12-23,47.24,47.84,46.96,47.41,383200,47.41
2014-12-22,46.35,46.95,46.26,46.80,92100,46.80
2014-12-19,46.43,46.67,46.17,46.32,102700,46.32
