Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,28.95,29.01,28.79,28.99,12100,28.99
2015-02-12,28.56,28.84,28.56,28.77,7100,28.77
2015-02-11,28.44,28.72,28.36,28.48,9800,28.48
2015-02-10,28.79,28.92,28.22,28.64,12700,28.64
2015-02-09,28.94,29.11,28.59,28.65,10000,28.65
2015-02-06,28.79,29.20,28.75,28.95,17900,28.95
2015-02-05,28.75,29.00,28.63,28.95,15200,28.78
2015-02-04,29.11,29.47,28.42,28.53,21900,28.36
2015-02-03,28.43,29.35,28.43,29.13,9700,28.96
2015-02-02,28.17,28.50,27.76,28.48,13100,28.31
2015-01-30,28.35,28.49,27.95,28.00,27100,27.84
2015-01-29,28.09,28.86,28.00,28.64,24100,28.47
2015-01-28,29.11,29.23,28.03,28.08,12900,27.92
2015-01-27,27.92,29.51,27.92,29.06,12500,28.89
2015-01-26,28.93,29.68,28.47,29.63,13700,29.46
2015-01-23,29.55,29.63,29.12,29.12,9400,28.95
2015-01-22,28.35,29.68,28.12,29.49,22100,29.32
2015-01-21,28.36,28.62,27.72,28.05,12400,27.89
2015-01-20,28.67,28.67,28.06,28.32,14200,28.15
2015-01-16,27.75,28.82,27.75,28.76,17200,28.59
2015-01-15,28.14,28.32,27.79,27.84,18300,27.68
2015-01-14,28.13,28.39,28.00,28.16,7900,27.99
2015-01-13,28.32,29.33,27.95,28.51,13000,28.34
2015-01-12,28.16,28.34,28.00,28.06,17900,27.90
2015-01-09,29.08,29.08,28.25,28.31,11900,28.14
2015-01-08,28.70,29.18,28.56,29.18,9600,29.01
2015-01-07,28.59,28.59,28.22,28.44,20200,28.27
2015-01-06,28.96,29.14,28.20,28.28,13600,28.11
2015-01-05,29.28,29.30,28.78,29.03,9800,28.86
2015-01-02,30.61,30.68,29.19,29.39,11900,29.22
2014-12-31,30.90,30.99,30.46,30.52,9200,30.34
2014-12-30,30.40,30.98,30.40,30.82,14600,30.64
2014-12-29,30.63,30.65,30.55,30.64,9400,30.46
2014-12-26,30.40,30.75,30.18,30.49,14500,30.31
2014-12-24,30.21,30.30,29.97,30.22,5200,30.04
2014-12-23,29.99,30.39,29.27,30.23,18100,30.05
2014-12-22,29.92,29.98,29.57,29.97,10000,29.79
2014-12-19,30.10,30.10,29.68,29.99,57100,29.81
2014-12-18,29.97,30.35,29.61,30.23,33600,30.05
2014-12-17,29.18,29.88,28.88,29.83,39000,29.65
2014-12-16,28.97,29.59,28.96,29.34,27100,29.17
2014-12-15,28.53,29.33,28.42,29.06,18000,28.89
2014-12-12,28.86,29.39,28.49,28.49,13700,28.32
2014-12-11,29.46,29.80,29.25,29.25,12600,29.08
2014-12-10,29.49,29.80,28.96,29.03,14300,28.86
2014-12-09,28.45,29.95,28.07,29.78,19400,29.61
2014-12-08,29.04,29.48,28.59,28.77,9900,28.60
2014-12-05,28.41,29.30,28.41,29.20,14700,29.03
2014-12-04,28.55,28.69,28.16,28.44,13300,28.27
