Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,20.11,20.13,19.96,20.09,36700,20.09
2015-02-12,20.10,20.26,19.71,20.13,45300,20.13
2015-02-11,20.37,20.41,19.91,20.12,37100,20.12
2015-02-10,20.19,20.39,20.13,20.38,24300,20.38
2015-02-09,19.95,19.99,19.73,19.95,29900,19.95
2015-02-06,20.14,20.14,19.81,19.93,22700,19.93
2015-02-05,20.12,20.20,19.96,20.04,24600,20.04
2015-02-04,20.11,20.20,19.96,20.01,12200,20.01
2015-02-03,19.91,20.20,19.87,20.20,14900,20.20
2015-02-02,19.66,19.90,19.52,19.88,16700,19.88
2015-01-30,19.91,19.91,19.56,19.58,11500,19.58
2015-01-29,20.01,20.08,19.78,19.86,22400,19.86
2015-01-28,19.91,19.98,19.78,19.96,9400,19.96
2015-01-27,20.23,20.24,19.89,19.89,19500,19.89
2015-01-26,20.18,20.50,20.18,20.25,30100,20.25
2015-01-23,19.86,20.19,19.86,20.12,20600,20.12
2015-01-22,19.36,20.01,19.36,19.86,23200,19.86
2015-01-21,19.31,19.43,19.20,19.28,12700,19.28
2015-01-20,19.09,19.46,18.98,19.43,32500,19.43
2015-01-16,18.77,19.17,18.68,19.02,26700,19.02
2015-01-15,19.13,19.27,18.78,18.87,21200,18.87
2015-01-14,19.31,19.33,18.99,19.04,18000,19.04
2015-01-13,19.94,19.94,19.34,19.35,29600,19.35
2015-01-12,20.18,20.41,20.00,20.00,27800,19.56
2015-01-09,20.64,20.79,20.28,20.28,17600,19.84
2015-01-08,20.67,20.71,20.44,20.49,34900,20.04
2015-01-07,20.35,20.63,20.30,20.38,32200,19.93
2015-01-06,20.31,20.51,20.20,20.29,34300,19.85
2015-01-05,20.35,20.42,20.02,20.08,17500,19.64
2015-01-02,20.39,20.72,20.25,20.30,24600,19.86
2014-12-31,20.20,20.52,20.19,20.42,13600,19.97
2014-12-30,20.33,20.33,20.15,20.19,14800,19.75
2014-12-29,20.32,20.45,20.30,20.30,11200,19.86
2014-12-26,20.50,20.50,20.30,20.35,28600,19.90
2014-12-24,20.25,20.73,20.25,20.32,15000,19.87
2014-12-23,20.04,20.38,19.90,20.18,41000,19.74
2014-12-22,19.87,20.15,19.77,19.83,29300,19.40
2014-12-19,19.93,20.00,19.69,19.87,18400,19.43
2014-12-18,19.59,19.99,19.59,19.99,20600,19.55
2014-12-17,19.59,19.60,19.21,19.22,37700,18.80
2014-12-16,19.35,19.76,19.35,19.48,26500,19.05
2014-12-15,19.52,19.68,19.29,19.42,38500,18.99
2014-12-12,19.47,19.67,19.47,19.51,10000,19.08
2014-12-11,19.40,19.74,19.40,19.59,19400,19.16
2014-12-10,19.50,19.53,19.19,19.23,20400,18.81
2014-12-09,19.68,19.68,19.36,19.48,27100,19.05
2014-12-08,19.85,19.96,19.76,19.80,27100,19.37
2014-12-05,19.85,19.91,19.75,19.85,30900,19.42
2014-12-04,19.85,20.05,19.82,19.83,43400,19.40
2014-12-03,19.86,20.05,19.73,20.05,30500,19.61
2014-12-02,19.76,19.80,19.65,19.78,35300,19.35
2014-12-01,19.76,19.98,19.51,19.71,31800,19.28
2014-11-28,19.76,19.84,19.72,19.84,21400,19.41
2014-11-26,19.80,19.96,19.65,19.79,46000,19.36
2014-11-25,19.85,19.87,19.60,19.77,46600,19.34
2014-11-24,19.62,19.84,19.62,19.83,23700,19.40
2014-11-21,19.77,19.81,19.58,19.79,43000,19.36
2014-11-20,19.43,19.62,19.35,19.50,38900,19.07
2014-11-19,19.24,19.52,19.21,19.49,22800,19.06
2014-11-18,19.13,19.37,19.10,19.36,50300,18.94
2014-11-17,19.13,19.20,19.05,19.13,44500,18.71
2014-11-14,19.39,19.47,19.15,19.19,39100,18.77
2014-11-13,19.69,19.69,19.29,19.32,46900,18.90
2014-11-12,19.39,19.55,19.39,19.55,42700,19.12
2014-11-11,19.51,19.59,19.17,19.54,40000,19.11
2014-11-10,19.63,19.71,19.56,19.59,16800,19.16
2014-11-07,19.81,19.81,19.52,19.53,31700,19.10
2014-11-06,19.76,19.87,19.71,19.81,20500,19.38
2014-11-05,19.67,19.77,19.52,19.76,41600,19.33
2014-11-04,19.68,19.70,19.53,19.56,35400,19.13
2014-11-03,19.70,19.76,19.52,19.66,39900,19.23
2014-10-31,19.77,19.77,19.47,19.62,48100,19.19
2014-10-30,19.48,19.73,19.40,19.46,30000,19.03
2014-10-29,19.50,19.57,19.40,19.49,71300,19.06
2014-10-28,19.26,19.56,19.23,19.39,35400,18.97
2014-10-27,19.45,19.45,19.03,19.25,34000,18.83
2014-10-24,19.40,19.56,19.28,19.46,35700,19.03
2014-10-23,19.16,19.44,19.16,19.31,51200,18.89
2014-10-22,19.09,19.09,18.68,19.03,50700,18.61
2014-10-21,18.48,19.13,18.48,18.99,53400,18.57
2014-10-20,18.28,18.44,18.26,18.37,34400,17.97
2014-10-17,18.04,18.43,18.04,18.22,50600,17.82
2014-10-16,17.21,17.92,17.18,17.87,61800,17.48
2014-10-15,17.40,17.44,16.93,17.39,93000,17.01
2014-10-14,18.08,18.30,17.51,17.51,65400,17.13
2014-10-13,19.03,19.08,18.05,18.14,164200,17.74
2014-10-10,19.33,19.38,19.12,19.13,47000,18.71
2014-10-09,19.65,19.78,19.61,19.70,59600,18.84
2014-10-08,19.61,19.67,19.43,19.65,54600,18.79
2014-10-07,19.67,19.67,19.38,19.52,55400,18.67
2014-10-06,19.74,19.78,19.58,19.60,44100,18.74
2014-10-03,19.47,19.68,19.46,19.55,40900,18.70
2014-10-02,19.61,19.61,19.27,19.44,83400,18.59
2014-10-01,19.82,19.83,19.43,19.56,69300,18.71
2014-09-30,19.75,19.81,19.72,19.74,59400,18.88
2014-09-29,19.73,19.82,19.70,19.71,45200,18.85
2014-09-26,19.84,19.89,19.75,19.89,26500,19.02
2014-09-25,19.98,19.99,19.70,19.77,47900,18.91
2014-09-24,19.91,19.96,19.83,19.94,31200,19.07
2014-09-23,19.99,20.04,19.82,19.87,25600,19.00
2014-09-22,20.16,20.27,20.01,20.01,31600,19.14
2014-09-19,20.18,20.18,19.99,20.16,34600,19.28
2014-09-18,20.13,20.32,20.03,20.06,56200,19.18
2014-09-17,20.12,20.17,19.89,20.02,33700,19.15
2014-09-16,19.81,20.05,19.80,20.03,38400,19.16
2014-09-15,20.00,20.10,19.88,19.89,53600,19.02
2014-09-12,20.07,20.07,19.89,19.99,50100,19.12
2014-09-11,20.11,20.15,19.88,20.01,80700,19.14
2014-09-10,19.95,20.13,19.93,20.09,66900,19.21
2014-09-09,20.03,20.09,19.95,20.03,33300,19.16
2014-09-08,20.05,20.07,19.87,19.92,41600,19.05
2014-09-05,20.23,20.27,20.02,20.03,62300,19.16
2014-09-04,20.07,20.27,20.02,20.17,60600,19.29
2014-09-03,20.10,20.14,20.01,20.12,63200,19.24
2014-09-02,20.07,20.10,20.03,20.07,26500,19.19
2014-08-29,19.99,20.05,19.81,19.99,38800,19.12
2014-08-28,20.09,20.09,19.90,19.97,78000,19.10
2014-08-27,20.08,20.10,19.96,20.10,45100,19.22
2014-08-26,19.90,20.07,19.90,20.03,52500,19.16
2014-08-25,19.91,19.97,19.84,19.91,41700,19.04
2014-08-22,19.92,19.96,19.85,19.86,26100,18.99
2014-08-21,19.96,19.96,19.85,19.92,58500,19.05
2014-08-20,19.80,19.94,19.80,19.86,43700,18.99
2014-08-19,19.83,19.93,19.72,19.92,40000,19.05
2014-08-18,19.76,19.91,19.71,19.80,54000,18.94
2014-08-15,19.71,19.91,19.55,19.71,45900,18.85
2014-08-14,19.90,20.07,19.67,19.68,114000,18.82
2014-08-13,19.51,19.92,19.51,19.77,44100,18.91
2014-08-12,19.52,19.64,19.51,19.61,16100,18.75
2014-08-11,19.27,19.52,19.27,19.52,23800,18.67
2014-08-08,19.15,19.17,18.91,19.14,13500,18.30
2014-08-07,19.31,19.51,18.94,19.04,138800,18.21
2014-08-06,18.98,19.52,18.91,19.28,28400,18.44
2014-08-05,19.50,19.53,19.09,19.15,28400,18.31
2014-08-04,19.80,19.88,19.44,19.47,39400,18.62
2014-08-01,19.94,19.98,19.80,19.82,47300,18.95
2014-07-31,19.99,20.03,19.83,19.88,50400,19.01
2014-07-30,20.12,20.31,20.02,20.05,36800,19.17
2014-07-29,20.20,20.34,20.07,20.11,28900,19.23
2014-07-28,20.11,20.18,19.97,20.18,34800,19.30
2014-07-25,20.11,20.11,19.93,20.03,24900,19.16
2014-07-24,19.93,20.06,19.80,20.06,83700,19.18
2014-07-23,19.58,19.89,19.58,19.83,36900,18.96
2014-07-22,19.73,19.83,19.58,19.62,53100,18.76
2014-07-21,19.62,19.65,19.50,19.63,35500,18.77
2014-07-18,19.52,19.79,19.45,19.54,34100,18.69
2014-07-17,19.56,19.82,19.43,19.54,43100,18.69
2014-07-16,19.92,19.96,19.64,19.68,75000,18.82
2014-07-15,19.68,19.80,19.52,19.79,40400,18.93
2014-07-14,19.93,19.93,19.65,19.67,24800,18.81
2014-07-11,19.82,19.86,19.55,19.82,42500,18.95
2014-07-10,19.98,20.26,19.96,20.09,108500,18.79
2014-07-09,19.96,20.17,19.90,20.02,56100,18.73
2014-07-08,20.17,20.17,19.86,20.00,93000,18.71
2014-07-07,19.99,20.17,19.99,20.13,37400,18.83
2014-07-03,20.01,20.14,20.01,20.12,40700,18.82
2014-07-02,20.15,20.23,19.84,19.89,60100,18.61
2014-07-01,20.11,20.22,20.01,20.06,38600,18.77
2014-06-30,20.09,20.09,19.97,20.03,40200,18.74
2014-06-27,19.91,20.14,19.91,20.07,38300,18.78
2014-06-26,19.99,19.99,19.81,19.91,35900,18.63
2014-06-25,19.88,19.99,19.76,19.94,49900,18.65
2014-06-24,19.79,19.99,19.72,19.89,77700,18.61
2014-06-23,19.85,19.86,19.68,19.74,49100,18.47
2014-06-20,19.82,19.85,19.77,19.83,35600,18.55
2014-06-19,19.91,19.93,19.67,19.75,60800,18.48
