Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,18.56,19.13,18.56,19.01,931800,19.01
2015-02-12,18.48,18.71,18.19,18.52,1024900,18.52
2015-02-11,18.56,18.65,18.31,18.32,1061000,18.32
2015-02-10,18.74,18.80,18.37,18.50,997000,18.50
2015-02-09,18.33,18.77,18.18,18.49,1211700,18.49
2015-02-06,18.75,18.86,18.47,18.55,1076900,18.55
2015-02-05,18.91,19.05,18.60,18.65,964400,18.65
2015-02-04,18.76,19.20,18.52,18.86,2084300,18.86
2015-02-03,18.31,18.99,18.30,18.97,1233100,18.97
2015-02-02,18.11,18.26,17.67,18.23,2530900,18.23
2015-01-30,19.30,19.39,18.58,18.78,1421200,18.78
2015-01-29,19.66,19.79,19.36,19.74,554600,19.74
2015-01-28,20.20,20.21,19.46,19.53,644700,19.53
2015-01-27,19.77,20.14,19.58,20.04,843600,20.04
2015-01-26,19.77,20.04,19.64,19.92,792000,19.92
2015-01-23,20.12,20.13,19.52,19.83,889700,19.83
2015-01-22,20.12,20.38,19.99,20.14,802700,20.14
2015-01-21,19.88,20.05,19.70,19.90,541900,19.90
2015-01-20,20.10,20.19,19.56,19.94,955600,19.94
2015-01-16,19.97,20.09,19.69,20.08,1122500,20.08
2015-01-15,20.46,20.51,19.73,19.95,1146600,19.95
2015-01-14,20.81,20.84,20.05,20.38,1786500,20.38
2015-01-13,21.60,21.77,20.85,21.04,1503300,21.04
2015-01-12,20.88,21.47,20.85,21.45,899300,21.45
2015-01-09,21.25,21.30,20.75,20.80,1076200,20.80
2015-01-08,21.50,21.67,20.75,21.33,1472200,21.33
2015-01-07,20.82,21.49,20.81,21.36,1209500,21.36
2015-01-06,20.71,20.93,20.41,20.56,1447600,20.56
2015-01-05,20.55,20.79,20.16,20.63,1006500,20.63
2015-01-02,21.25,21.25,20.36,20.63,604500,20.63
2014-12-31,21.19,21.41,21.08,21.08,728800,21.08
2014-12-30,20.97,21.28,20.84,21.14,662400,21.14
2014-12-29,20.41,21.22,20.41,21.06,772100,21.06
2014-12-26,20.55,20.82,20.35,20.36,402100,20.36
2014-12-24,20.83,20.95,20.36,20.42,416300,20.42
2014-12-23,20.66,21.10,20.59,20.76,671700,20.76
2014-12-22,20.25,20.51,20.21,20.47,610800,20.47
2014-12-19,20.35,20.55,20.09,20.43,1524300,20.43
2014-12-18,20.40,20.59,20.01,20.32,862400,20.32
2014-12-17,19.84,20.16,19.69,20.08,954400,20.08
2014-12-16,20.00,20.60,19.73,19.74,1149200,19.74
2014-12-15,20.08,20.38,19.72,20.02,1530500,20.02
2014-12-12,20.39,20.94,20.32,20.33,1108400,20.10
2014-12-11,20.63,21.31,20.51,20.58,890700,20.35
2014-12-10,20.77,21.00,20.45,20.48,1071600,20.25
2014-12-09,19.98,20.84,19.94,20.78,1692600,20.55
2014-12-08,20.42,20.51,19.97,20.14,820400,19.92
2014-12-05,20.09,20.53,20.06,20.45,1315900,20.22
2014-12-04,21.76,21.79,19.91,20.07,3852800,19.85
2014-12-03,21.96,22.62,21.77,22.17,1244400,21.92
2014-12-02,21.82,22.08,21.70,21.89,1232500,21.65
2014-12-01,22.47,22.55,21.60,21.84,1150400,21.60
2014-11-28,22.61,22.93,22.51,22.67,685200,22.42
2014-11-26,22.85,22.85,22.37,22.54,495200,22.29
2014-11-25,22.90,23.19,22.68,22.88,511000,22.63
2014-11-24,22.39,22.89,22.36,22.82,866700,22.57
2014-11-21,22.58,22.73,22.22,22.30,740500,22.05
2014-11-20,21.87,22.44,21.87,22.19,624900,21.94
2014-11-19,21.92,22.15,21.70,21.99,459100,21.75
2014-11-18,21.73,22.02,21.64,21.91,700000,21.67
2014-11-17,21.92,21.97,21.63,21.83,465700,21.59
2014-11-14,21.68,21.99,21.50,21.95,560200,21.71
2014-11-13,22.08,22.23,21.51,21.66,392000,21.42
2014-11-12,21.50,22.19,21.38,22.08,757000,21.84
2014-11-11,21.42,21.65,21.39,21.63,400900,21.39
2014-11-10,21.69,21.87,21.19,21.46,686900,21.22
2014-11-07,21.95,22.16,21.69,21.75,650300,21.51
2014-11-06,21.86,22.30,21.85,22.16,499200,21.91
2014-11-05,21.24,21.88,21.22,21.83,669700,21.59
2014-11-04,21.87,21.93,21.02,21.15,1119100,20.92
2014-11-03,22.12,22.21,21.87,21.93,517900,21.69
2014-10-31,22.76,22.85,22.14,22.17,743200,21.92
2014-10-30,21.97,22.53,21.96,22.37,554700,22.12
2014-10-29,22.08,22.31,21.92,22.04,591900,21.80
2014-10-28,21.38,22.11,21.19,22.11,820300,21.87
2014-10-27,21.06,21.43,20.91,21.41,391500,21.17
2014-10-24,21.30,21.31,20.97,21.11,454000,20.88
2014-10-23,21.07,21.52,21.00,21.40,570900,21.16
2014-10-22,21.08,21.34,20.89,20.90,877300,20.67
2014-10-21,20.70,21.10,20.52,21.00,972000,20.77
2014-10-20,20.19,20.63,20.19,20.57,889000,20.34
2014-10-17,21.20,21.20,20.22,20.31,1392400,20.09
2014-10-16,20.77,21.17,20.70,21.09,939400,20.86
2014-10-15,21.34,21.70,20.93,21.11,1238000,20.88
2014-10-14,21.40,21.88,21.25,21.50,973300,21.26
2014-10-13,20.67,21.61,20.50,21.21,1296300,20.98
2014-10-10,20.95,21.12,20.67,20.69,1279000,20.46
2014-10-09,21.71,21.71,21.00,21.01,1023100,20.78
2014-10-08,21.25,21.87,21.14,21.86,806600,21.62
2014-10-07,21.52,21.71,21.29,21.30,666300,21.06
2014-10-06,22.21,22.22,21.63,21.64,695500,21.40
2014-10-03,22.33,22.51,22.11,22.13,747400,21.89
2014-10-02,21.80,22.22,21.74,22.12,792600,21.88
2014-10-01,21.85,22.07,21.67,21.85,1544600,21.61
2014-09-30,22.26,22.35,21.85,21.97,1101300,21.73
2014-09-29,22.34,22.47,22.19,22.28,821400,22.03
2014-09-26,22.62,22.75,22.30,22.52,589100,22.27
2014-09-25,22.56,22.76,22.23,22.62,1561000,22.37
2014-09-24,22.25,22.64,22.07,22.62,769300,22.37
2014-09-23,22.26,22.57,22.26,22.28,716000,22.03
2014-09-22,22.90,22.93,22.38,22.42,903900,22.17
2014-09-19,23.46,23.75,22.87,22.95,1986700,22.70
2014-09-18,22.99,23.36,22.99,23.11,840900,22.85
2014-09-17,22.79,23.10,22.66,22.97,1152300,22.72
2014-09-16,22.70,22.96,22.67,22.82,1131100,22.57
2014-09-15,22.90,23.12,22.79,22.81,1151300,22.56
2014-09-12,22.90,23.02,22.78,22.98,1976900,22.73
2014-09-11,22.75,22.92,22.66,22.90,741900,22.65
2014-09-10,22.71,22.92,22.54,22.81,788700,22.56
2014-09-09,23.24,23.35,22.74,22.78,1259500,22.53
2014-09-08,23.23,23.44,23.13,23.33,1128300,23.07
2014-09-05,23.07,23.65,22.74,23.43,2047600,22.95
2014-09-04,23.33,23.38,23.08,23.20,1442500,22.72
2014-09-03,23.41,23.82,23.23,23.28,1451300,22.80
2014-09-02,23.38,23.50,23.14,23.41,1929500,22.93
2014-08-29,23.40,23.74,23.15,23.44,2610400,22.96
2014-08-28,23.57,24.00,23.24,23.38,5588500,22.90
2014-08-27,25.87,26.00,25.40,25.64,2342500,25.11
2014-08-26,25.97,26.48,25.77,25.83,1344500,25.30
2014-08-25,25.87,26.12,25.78,25.90,626500,25.37
2014-08-22,25.21,25.98,25.07,25.87,1180300,25.34
2014-08-21,24.82,25.36,24.60,25.17,1881500,24.65
2014-08-20,25.77,25.98,25.61,25.84,876300,25.31
2014-08-19,25.77,26.06,25.26,25.75,1314700,25.22
2014-08-18,25.75,26.30,25.74,26.24,743300,25.70
2014-08-15,25.71,25.71,25.28,25.57,852700,25.04
2014-08-14,25.25,25.53,25.00,25.48,972600,24.96
2014-08-13,25.97,26.03,24.90,25.04,1151200,24.53
2014-08-12,26.25,26.42,25.90,26.00,786500,25.47
2014-08-11,26.76,26.83,26.01,26.27,1084600,25.73
2014-08-08,26.09,26.71,26.09,26.65,581900,26.10
2014-08-07,26.61,26.67,25.91,26.03,630100,25.49
2014-08-06,25.83,26.64,25.83,26.47,459200,25.93
2014-08-05,26.24,26.61,25.90,26.04,828300,25.50
2014-08-04,26.08,26.33,25.97,26.28,336500,25.74
2014-08-01,26.04,26.15,25.61,25.98,659500,25.45
2014-07-31,26.37,26.67,25.97,26.01,769800,25.48
2014-07-30,26.41,26.71,26.28,26.64,335900,26.09
2014-07-29,26.27,26.51,26.13,26.23,420000,25.69
2014-07-28,26.40,26.42,26.02,26.26,556400,25.72
2014-07-25,26.65,26.84,26.37,26.46,528800,25.92
2014-07-24,26.75,27.22,26.75,26.90,665900,26.35
2014-07-23,26.80,27.04,26.65,26.80,465100,26.25
2014-07-22,26.88,27.05,26.77,26.80,414400,26.25
2014-07-21,27.01,27.10,26.66,26.83,525900,26.28
2014-07-18,26.52,27.18,26.36,27.13,524000,26.57
2014-07-17,26.87,26.92,26.51,26.52,928500,25.97
2014-07-16,27.24,27.31,26.65,26.90,846700,26.35
2014-07-15,27.23,27.45,27.14,27.18,583600,26.62
2014-07-14,27.32,27.36,27.10,27.34,652200,26.78
2014-07-11,27.58,27.68,27.13,27.19,671000,26.63
2014-07-10,27.79,28.11,27.61,27.63,765700,27.06
2014-07-09,28.43,28.56,28.02,28.19,898800,27.61
2014-07-08,28.37,28.82,28.03,28.45,1889100,27.86
2014-07-07,27.54,27.88,27.38,27.39,740500,26.83
2014-07-03,27.22,27.75,27.16,27.52,941200,26.95
2014-07-02,27.13,27.28,26.76,26.99,788000,26.43
2014-07-01,26.96,27.54,26.90,27.30,784100,26.74
2014-06-30,27.48,27.48,26.99,27.00,1010500,26.44
2014-06-27,27.02,27.66,27.02,27.50,5351100,26.93
2014-06-26,27.28,27.28,26.95,27.07,439600,26.51
2014-06-25,26.97,27.32,26.76,27.28,610700,26.72
2014-06-24,26.88,27.48,26.82,27.00,809500,26.44
2014-06-23,26.65,27.20,26.65,26.94,859600,26.39
2014-06-20,26.53,26.66,26.33,26.61,960400,26.06
2014-06-19,26.93,26.96,26.33,26.43,499700,25.89
2014-06-18,26.89,27.01,26.61,26.96,567600,26.41
2014-06-17,26.77,27.13,26.66,26.88,592200,26.33
2014-06-16,26.02,27.00,26.02,26.83,1085800,26.28
2014-06-13,25.92,26.12,25.66,26.05,604000,25.51
2014-06-12,25.68,25.90,25.37,25.78,732200,25.25
2014-06-11,25.82,25.87,25.55,25.77,396600,25.24
2014-06-10,25.78,25.93,25.59,25.93,501600,25.40
2014-06-09,25.51,25.86,25.38,25.79,406700,25.26
2014-06-06,25.66,26.03,25.66,25.73,530000,24.98
2014-06-05,25.52,25.76,25.16,25.55,514500,24.81
2014-06-04,25.62,25.81,25.48,25.63,395100,24.88
2014-06-03,25.47,25.70,25.35,25.62,1119100,24.87
2014-06-02,25.58,25.69,25.27,25.52,823400,24.78
2014-05-30,25.48,26.37,25.25,25.50,2554300,24.76
2014-05-29,26.68,27.05,26.48,26.88,1159800,26.10
2014-05-28,27.05,27.08,26.43,26.46,1103300,25.69
2014-05-27,26.84,27.10,26.83,26.98,471700,26.19
2014-05-23,26.76,26.90,26.47,26.79,388000,26.01
2014-05-22,26.52,26.89,26.34,26.80,624600,26.02
2014-05-21,26.84,27.09,26.31,26.45,1281000,25.68
2014-05-20,27.64,27.80,26.76,26.77,557700,25.99
2014-05-19,27.89,27.99,27.72,27.87,296700,27.06
2014-05-16,27.71,28.10,27.53,28.03,363000,27.21
2014-05-15,27.93,27.93,27.24,27.60,632300,26.80
2014-05-14,28.16,28.31,27.84,28.07,593500,27.25
2014-05-13,28.24,28.43,28.13,28.21,717200,27.39
2014-05-12,27.87,28.31,27.79,28.15,481400,27.33
2014-05-09,27.63,27.88,27.45,27.78,435400,26.97
2014-05-08,27.22,28.11,27.22,27.61,551400,26.81
2014-05-07,27.00,27.24,26.61,27.23,562500,26.44
2014-05-06,27.21,27.21,26.90,26.95,395800,26.16
2014-05-05,27.20,27.49,26.85,27.26,419000,26.47
2014-05-02,27.09,27.76,27.06,27.32,464800,26.52
2014-05-01,26.96,27.34,26.80,27.04,370000,26.25
2014-04-30,26.77,26.97,26.64,26.91,426700,26.13
2014-04-29,26.60,26.92,26.49,26.84,459900,26.06
2014-04-28,26.87,26.96,26.14,26.59,906100,25.82
2014-04-25,26.88,27.01,26.60,26.74,240600,25.96
2014-04-24,27.09,27.19,26.79,26.99,395700,26.20
2014-04-23,27.13,27.33,26.89,26.97,584400,26.18
2014-04-22,27.17,27.28,26.86,27.08,1077700,26.29
2014-04-21,27.71,27.74,26.81,27.20,657900,26.41
2014-04-17,28.09,28.13,27.58,27.68,442900,26.87
2014-04-16,27.86,28.37,27.80,28.12,427200,27.30
2014-04-15,27.71,28.08,27.50,27.69,711500,26.88
2014-04-14,27.69,27.95,27.49,27.71,580200,26.90
2014-04-11,27.43,27.95,27.31,27.47,608100,26.67
2014-04-10,28.22,28.59,27.60,27.75,905900,26.94
2014-04-09,27.99,28.26,27.62,28.21,486400,27.39
2014-04-08,27.85,28.14,27.74,27.86,704700,27.05
2014-04-07,28.82,28.90,27.85,28.03,930500,27.21
2014-04-04,29.22,29.50,28.78,28.87,883400,28.03
2014-04-03,29.08,29.31,28.85,29.12,1158200,28.27
2014-04-02,28.07,29.12,28.02,28.98,1107000,28.14
2014-04-01,27.73,28.06,27.55,28.01,987100,27.19
2014-03-31,27.69,27.79,27.48,27.60,816100,26.80
2014-03-28,27.01,27.84,27.01,27.82,815300,26.79
2014-03-27,27.07,27.23,26.86,27.12,1110800,26.12
2014-03-26,27.20,27.35,26.94,27.07,1468100,26.07
2014-03-25,27.93,27.97,26.95,26.99,979300,25.99
2014-03-24,28.18,28.29,27.72,27.81,1420800,26.78
2014-03-21,27.94,28.74,27.89,28.04,1915300,27.00
2014-03-20,27.39,27.95,26.91,27.78,3991100,26.75
2014-03-19,29.14,29.27,28.57,28.76,1860200,27.70
2014-03-18,28.07,29.37,28.07,29.27,2653600,28.19
2014-03-17,28.55,28.74,28.34,28.45,1216700,27.40
2014-03-14,28.46,29.03,28.34,28.53,929400,27.47
2014-03-13,29.01,29.09,28.54,28.67,1759500,27.61
2014-03-12,29.37,29.47,28.82,28.86,1149200,27.79
2014-03-11,30.74,30.74,29.60,29.71,836200,28.61
2014-03-10,30.88,31.01,30.41,30.77,318800,29.63
2014-03-07,30.73,31.25,30.70,30.90,425200,29.76
2014-03-06,30.44,30.90,30.17,30.79,656900,29.65
2014-03-05,30.14,30.35,29.94,30.34,668200,29.22
2014-03-04,30.52,30.66,29.83,30.21,757300,29.09
2014-03-03,29.98,30.45,29.92,30.26,475600,29.14
