Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,16.63,16.72,16.59,16.68,110900,16.68
2015-02-12,16.65,16.70,16.58,16.63,126500,16.63
2015-02-11,16.53,16.58,16.46,16.58,127900,16.58
2015-02-10,16.48,16.55,16.47,16.52,102900,16.52
2015-02-09,16.53,16.54,16.35,16.40,337500,16.40
2015-02-06,16.71,16.77,16.44,16.47,130300,16.47
2015-02-05,16.58,16.70,16.50,16.67,132300,16.67
2015-02-04,16.41,16.59,16.39,16.57,126100,16.57
2015-02-03,16.58,16.60,16.39,16.43,297800,16.43
2015-02-02,16.54,16.70,16.41,16.49,136400,16.49
2015-01-30,16.49,16.52,16.37,16.45,222800,16.45
2015-01-29,16.42,16.56,16.40,16.50,288000,16.50
2015-01-28,16.44,16.48,16.35,16.37,186100,16.37
2015-01-27,16.38,16.45,16.33,16.44,147300,16.44
2015-01-26,16.41,16.45,16.35,16.43,179300,16.43
2015-01-23,16.40,16.43,16.34,16.40,213700,16.40
2015-01-22,16.41,16.44,16.30,16.40,183900,16.40
2015-01-21,16.25,16.41,16.16,16.41,383100,16.41
2015-01-20,16.38,16.38,16.15,16.21,264200,16.21
2015-01-16,16.16,16.28,16.12,16.26,347200,16.26
2015-01-15,16.15,16.16,16.06,16.13,224100,16.13
2015-01-14,16.19,16.19,16.06,16.10,236200,16.10
2015-01-13,16.22,16.25,16.09,16.25,401800,16.25
2015-01-12,16.00,16.25,15.94,16.16,742100,16.16
2015-01-09,15.96,15.96,15.78,15.85,178500,15.85
2015-01-08,15.88,15.93,15.82,15.93,164300,15.93
2015-01-07,15.80,15.82,15.73,15.82,106500,15.82
2015-01-06,15.72,15.77,15.65,15.73,133400,15.73
2015-01-05,15.77,15.85,15.66,15.70,179000,15.70
2015-01-02,15.90,15.91,15.81,15.89,292100,15.89
2014-12-31,15.62,15.93,15.57,15.92,1618200,15.92
2014-12-30,15.55,15.67,15.47,15.66,643600,15.66
2014-12-29,15.61,15.66,15.41,15.64,796500,15.64
2014-12-26,15.50,15.62,15.45,15.60,517500,15.60
2014-12-24,15.78,15.80,15.71,15.77,176300,15.39
2014-12-23,15.58,15.85,15.58,15.85,311900,15.47
2014-12-22,15.82,15.92,15.64,15.67,269500,15.29
2014-12-19,15.75,15.89,15.73,15.82,401800,15.44
2014-12-18,15.72,15.88,15.72,15.76,347500,15.38
2014-12-17,15.28,15.68,15.28,15.65,430100,15.27
2014-12-16,15.29,15.45,15.18,15.41,443800,14.92
2014-12-15,15.46,15.54,15.30,15.33,386700,14.84
2014-12-12,15.50,15.61,15.40,15.41,451400,14.92
2014-12-11,15.67,15.75,15.58,15.61,287200,15.11
