Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,19.66,19.66,19.66,19.66,200,19.66
2015-02-12,19.79,19.79,19.79,19.79,100,19.79
2015-02-11,19.78,19.78,19.78,19.78,000,19.78
2015-02-10,19.78,19.78,19.78,19.78,400,19.77
2015-02-09,19.75,19.75,19.75,19.75,000,19.74
2015-02-06,19.60,19.75,19.58,19.75,3600,19.74
2015-02-05,19.60,19.62,19.60,19.60,1100,19.59
2015-02-04,19.63,19.63,19.55,19.60,2700,19.59
2015-02-03,19.50,19.50,19.49,19.50,1000,19.49
2015-02-02,19.40,19.40,19.40,19.40,500,19.39
2015-01-30,19.02,19.02,19.02,19.02,000,19.01
2015-01-29,18.77,18.77,18.77,18.77,000,18.76
2015-01-28,19.29,19.29,19.29,19.29,000,19.28
2015-01-27,19.29,19.29,19.29,19.29,100,19.28
2015-01-26,19.30,19.30,19.30,19.30,500,19.29
2015-01-23,19.28,19.29,19.25,19.27,3600,19.26
2015-01-22,19.36,19.36,19.36,19.36,000,19.35
2015-01-21,19.30,19.36,19.26,19.36,13500,19.35
2015-01-20,19.26,19.26,19.26,19.26,000,19.25
2015-01-16,19.26,19.27,19.26,19.26,700,19.25
2015-01-15,19.30,19.79,19.30,19.79,600,19.77
2015-01-14,19.32,19.32,19.32,19.32,000,19.31
2015-01-13,19.31,19.32,19.31,19.32,300,19.31
2015-01-12,19.34,19.35,19.30,19.30,2400,19.29
2015-01-09,19.31,19.31,19.31,19.31,000,19.28
2015-01-08,19.36,19.52,19.31,19.31,1100,19.28
2015-01-07,19.26,19.26,19.26,19.26,000,19.23
2015-01-06,19.29,19.29,19.26,19.26,2100,19.23
2015-01-05,19.50,19.50,19.27,19.27,3900,19.24
2015-01-02,19.35,19.35,19.35,19.35,000,19.32
2014-12-31,19.35,19.35,19.35,19.35,1400,19.32
2014-12-30,19.40,19.50,19.40,19.50,2100,19.47
2014-12-29,19.38,19.39,19.38,19.39,200,19.36
2014-12-26,19.27,19.27,19.27,19.27,000,19.24
2014-12-24,19.27,19.27,19.27,19.27,000,19.24
2014-12-23,19.27,19.27,19.27,19.27,000,19.24
2014-12-22,19.36,19.36,19.36,19.36,000,19.33
2014-12-19,19.38,19.38,19.38,19.38,000,19.35
2014-12-18,19.27,19.38,19.27,19.38,600,19.35
2014-12-17,19.40,19.40,19.40,19.40,000,19.37
2014-12-16,19.37,19.40,19.27,19.40,2200,19.37
2014-12-15,19.32,19.32,19.27,19.27,1200,19.24
2014-12-12,19.32,19.34,19.32,19.33,1500,19.30
2014-12-11,19.32,19.32,19.32,19.32,000,19.29
2014-12-10,19.32,19.32,19.32,19.32,1200,19.29
2014-12-09,19.35,19.40,19.35,19.40,500,19.35
2014-12-08,19.36,19.36,19.32,19.36,1000,19.31
2014-12-05,19.31,19.31,19.31,19.31,000,19.26
2014-12-04,19.30,19.30,19.30,19.30,000,19.25
2014-12-03,19.74,19.74,19.74,19.74,000,19.69
2014-12-02,19.50,19.74,19.50,19.74,700,19.69
2014-12-01,19.73,19.73,19.73,19.73,300,19.68
2014-11-28,19.57,19.57,19.57,19.57,000,19.52
2014-11-26,19.57,19.57,19.57,19.57,000,19.52
2014-11-25,19.57,19.57,19.57,19.57,000,19.52
2014-11-24,19.28,19.57,19.28,19.57,400,19.52
2014-11-21,19.31,19.80,19.30,19.80,700,19.75
2014-11-20,19.50,19.50,19.31,19.31,400,19.26
