Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,14.60,14.60,14.33,14.37,15500,14.37
2015-02-12,14.72,14.72,14.25,14.40,32100,14.40
2015-02-11,14.02,14.79,14.02,14.26,16200,14.26
2015-02-10,14.19,14.19,13.75,13.96,37200,13.96
2015-02-09,14.48,14.70,14.11,14.15,22500,14.15
2015-02-06,14.32,14.69,14.15,14.30,28600,14.30
2015-02-05,14.07,14.50,13.99,14.48,44900,14.48
2015-02-04,14.00,14.41,13.78,14.11,35500,14.11
2015-02-03,13.28,14.31,13.28,14.00,47100,14.00
2015-02-02,13.94,14.06,13.24,13.30,45500,13.30
2015-01-30,14.00,14.28,13.79,13.88,30400,13.88
2015-01-29,14.04,14.25,13.94,14.14,26300,14.14
2015-01-28,14.36,14.46,13.80,14.04,55200,14.04
2015-01-27,14.45,14.45,14.08,14.34,79300,14.34
2015-01-26,14.01,14.48,13.83,14.45,28600,14.45
2015-01-23,13.76,14.35,13.75,13.94,36700,13.94
2015-01-22,13.76,14.16,13.23,13.80,53400,13.80
2015-01-21,14.10,14.10,13.32,13.63,60800,13.63
2015-01-20,14.45,14.58,13.86,14.11,9900,14.11
2015-01-16,13.65,14.59,13.60,14.40,42600,14.40
2015-01-15,14.17,14.47,13.17,13.74,63600,13.74
2015-01-14,14.50,14.87,13.56,14.19,53400,14.19
2015-01-13,13.55,13.94,13.44,13.91,29500,13.91
2015-01-12,13.94,13.98,13.56,13.65,16600,13.65
2015-01-09,13.58,14.50,13.58,14.02,22400,14.02
2015-01-08,13.63,14.11,13.60,13.95,15600,13.95
2015-01-07,14.10,14.34,13.60,13.99,42700,13.99
2015-01-06,15.07,15.23,14.25,14.43,19600,14.43
2015-01-05,15.34,15.34,14.46,14.94,21800,14.94
2015-01-02,15.45,15.50,14.87,15.50,34300,15.50
2014-12-31,15.00,15.85,14.85,15.62,30800,15.62
2014-12-30,15.01,15.20,14.56,15.00,46200,15.00
2014-12-29,14.85,15.63,14.39,15.26,70700,15.26
2014-12-26,14.74,14.85,14.63,14.85,9500,14.85
2014-12-24,14.62,14.76,14.38,14.65,2300,14.65
2014-12-23,14.56,14.67,14.00,14.62,37700,14.62
2014-12-22,14.97,14.97,14.30,14.55,44400,14.55
2014-12-19,13.81,15.02,13.65,15.02,80800,15.02
2014-12-18,13.87,13.87,13.45,13.69,24500,13.69
2014-12-17,13.34,13.87,13.34,13.87,25300,13.87
2014-12-16,13.39,13.46,13.14,13.44,26200,13.44
2014-12-15,13.35,13.44,13.13,13.34,17100,13.34
2014-12-12,13.30,13.68,13.26,13.33,34700,13.33
2014-12-11,13.36,13.68,13.17,13.47,13400,13.47
2014-12-10,13.71,13.78,13.35,13.46,29000,13.46
2014-12-09,12.86,13.90,12.86,13.81,40500,13.81
2014-12-08,13.14,13.39,12.76,13.15,23100,13.15
2014-12-05,13.26,13.35,13.08,13.25,32300,13.25
2014-12-04,13.16,13.40,13.01,13.30,11500,13.30
2014-12-03,13.10,13.36,13.08,13.25,10700,13.25
2014-12-02,12.90,13.21,12.90,13.17,14000,13.17
2014-12-01,13.15,13.52,12.90,12.90,31400,12.90
2014-11-28,13.59,13.90,13.33,13.80,16000,13.80
2014-11-26,13.38,13.78,13.02,13.65,20700,13.65
2014-11-25,13.40,13.40,13.13,13.28,24200,13.28
2014-11-24,12.99,13.51,12.66,13.50,30100,13.50
2014-11-21,13.15,13.15,12.92,13.05,63500,13.05
