Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,18.22,18.45,18.10,18.25,150400,18.25
2015-02-12,17.93,18.13,17.88,18.06,142500,18.06
2015-02-11,18.14,18.14,17.88,18.05,168100,17.71
2015-02-10,18.26,18.26,17.92,18.17,103100,17.83
2015-02-09,18.56,18.72,17.96,18.16,195100,17.82
2015-02-06,18.45,18.65,18.42,18.63,125700,18.28
2015-02-05,18.24,18.52,18.24,18.42,117700,18.08
2015-02-04,18.27,18.36,18.13,18.15,180700,17.81
2015-02-03,18.28,18.56,18.14,18.41,385700,18.07
2015-02-02,17.99,18.21,17.75,18.10,134700,17.76
2015-01-30,17.97,18.10,17.57,17.85,175200,17.52
2015-01-29,18.07,18.07,17.68,18.01,150700,17.68
2015-01-28,18.08,18.29,17.91,17.96,217500,17.63
2015-01-27,17.79,18.09,17.79,18.03,115200,17.70
2015-01-26,17.99,18.10,17.88,18.09,111600,17.75
2015-01-23,18.01,18.16,17.76,17.86,136100,17.53
2015-01-22,17.86,18.17,17.70,17.85,135600,17.52
2015-01-21,17.75,18.03,17.67,17.82,178400,17.49
2015-01-20,17.44,17.96,17.09,17.76,264700,17.43
2015-01-16,17.19,17.53,17.13,17.32,227300,17.00
2015-01-15,17.11,17.45,16.90,17.04,112600,16.72
2015-01-14,17.22,17.47,16.65,16.95,345900,16.64
2015-01-13,17.58,17.82,17.11,17.28,149600,16.96
2015-01-12,17.98,18.17,17.38,17.57,218900,17.24
2015-01-09,18.17,18.28,17.92,18.25,133600,17.91
2015-01-08,17.80,18.18,17.53,18.16,169400,17.82
2015-01-07,17.58,17.73,17.33,17.62,192900,17.29
2015-01-06,17.39,17.63,17.06,17.40,208300,17.08
2015-01-05,17.84,17.88,17.26,17.45,176800,17.13
2015-01-02,17.38,18.01,17.38,17.97,95600,17.64
2014-12-31,17.03,17.74,17.01,17.44,784600,17.12
2014-12-30,17.38,17.56,17.08,17.27,734700,16.95
2014-12-29,17.60,17.83,17.33,17.54,530400,17.21
2014-12-26,17.61,17.75,17.40,17.56,303800,17.23
2014-12-24,17.61,17.89,17.52,17.59,211400,17.26
2014-12-23,17.52,18.21,17.42,17.74,427800,17.41
2014-12-22,18.00,18.10,17.40,17.50,552500,17.18
2014-12-19,18.06,18.29,17.81,17.95,480600,17.62
2014-12-18,17.72,18.20,17.25,17.97,796700,17.64
2014-12-17,16.17,17.76,16.16,17.43,594300,17.11
2014-12-16,15.35,16.26,15.06,16.21,1107200,15.91
2014-12-15,15.85,16.02,15.07,15.59,796100,15.30
2014-12-12,15.85,16.13,15.61,15.72,897300,15.43
2014-12-11,16.12,16.74,16.00,16.02,896900,15.72
2014-12-10,16.05,16.46,15.85,16.14,958200,15.84
2014-12-09,16.63,16.98,15.96,16.33,993400,16.03
2014-12-08,17.35,17.39,16.31,16.85,697100,16.54
2014-12-05,17.58,17.85,17.41,17.47,565600,17.15
2014-12-04,17.62,18.00,17.43,17.57,491700,17.24
2014-12-03,17.65,18.32,17.55,17.78,466200,17.45
2014-12-02,18.21,18.35,17.59,17.63,781100,17.30
2014-12-01,18.74,18.78,17.82,18.36,403000,18.02
2014-11-28,19.18,19.31,18.74,18.74,238200,18.39
2014-11-26,19.38,19.67,19.31,19.62,245900,19.26
2014-11-25,19.51,19.58,19.13,19.49,357900,19.13
2014-11-24,20.26,20.27,19.51,19.58,229300,19.22
2014-11-21,20.57,20.69,20.11,20.11,181100,19.74
2014-11-20,20.39,20.80,20.20,20.35,160200,19.97
2014-11-19,20.05,20.53,20.03,20.37,105100,19.99
2014-11-18,19.96,20.20,19.90,20.05,135300,19.68
2014-11-17,20.12,20.23,19.83,20.00,120900,19.63
2014-11-14,20.13,20.40,19.92,20.14,83100,19.77
2014-11-13,20.66,20.85,20.02,20.15,120900,19.78
2014-11-12,20.50,21.17,20.50,20.84,119000,20.13
2014-11-11,20.32,20.73,20.09,20.73,113500,20.02
2014-11-10,20.52,20.70,20.36,20.40,98700,19.70
2014-11-07,20.20,20.47,20.07,20.39,93400,19.69
2014-11-06,20.18,20.21,19.92,20.14,140300,19.45
2014-11-05,20.35,20.45,20.09,20.23,236300,19.54
2014-11-04,21.25,21.28,20.34,20.38,212300,19.69
2014-11-03,21.25,21.59,21.21,21.37,96800,20.64
2014-10-31,21.38,21.47,21.13,21.36,168900,20.63
2014-10-30,21.07,21.35,20.94,21.30,131300,20.57
2014-10-29,21.02,21.18,20.81,21.10,107100,20.38
2014-10-28,20.80,20.99,20.67,20.80,131100,20.09
2014-10-27,21.00,21.00,20.67,20.81,120700,20.10
2014-10-24,21.08,21.29,20.93,21.08,112600,20.36
2014-10-23,20.97,21.12,20.83,21.11,149100,20.39
2014-10-22,20.65,20.94,20.55,20.65,167900,19.95
2014-10-21,20.97,21.16,20.61,20.67,225400,19.97
2014-10-20,21.05,21.26,20.54,20.91,130500,20.20
2014-10-17,21.19,21.45,20.64,21.00,146500,20.28
2014-10-16,19.94,21.44,19.58,20.92,342900,20.21
2014-10-15,19.35,20.08,19.02,20.07,264600,19.39
2014-10-14,20.86,20.92,19.35,19.50,334100,18.84
2014-10-13,21.05,21.09,20.56,21.04,221400,20.32
2014-10-10,21.12,21.15,20.51,21.13,174900,20.41
2014-10-09,21.39,21.46,20.79,21.15,146300,20.43
2014-10-08,21.67,21.72,21.07,21.54,140000,20.81
2014-10-07,21.40,21.56,21.33,21.56,120000,20.82
2014-10-06,21.84,21.90,21.45,21.45,218200,20.72
2014-10-03,21.75,21.89,21.53,21.77,175000,21.03
2014-10-02,21.52,21.64,21.17,21.59,193900,20.85
2014-10-01,21.70,21.74,21.27,21.51,246700,20.78
2014-09-30,21.33,21.80,21.25,21.74,303500,21.00
2014-09-29,20.74,21.36,20.64,21.22,206100,20.50
2014-09-26,20.44,20.91,20.44,20.84,154600,20.13
2014-09-25,20.74,20.83,20.32,20.41,271300,19.71
2014-09-24,20.40,20.98,20.22,20.80,257800,20.09
2014-09-23,20.50,20.74,20.32,20.34,251400,19.65
2014-09-22,21.20,21.25,20.56,20.69,257200,19.98
2014-09-19,21.35,21.42,21.22,21.30,215100,20.57
2014-09-18,21.21,21.45,21.16,21.22,210600,20.50
2014-09-17,21.07,21.35,21.05,21.16,341100,20.44
2014-09-16,20.77,21.29,20.75,20.98,234500,20.26
2014-09-15,21.09,21.09,20.85,20.91,173200,20.20
2014-09-12,21.25,21.28,20.88,21.10,201800,20.38
2014-09-11,21.12,21.39,21.06,21.25,244100,20.53
2014-09-10,21.40,21.44,21.16,21.30,219800,20.57
2014-09-09,21.38,21.45,21.04,21.34,287800,20.61
2014-09-08,21.39,21.51,21.28,21.39,189200,20.66
2014-09-05,21.31,21.43,21.17,21.28,245200,20.55
2014-09-04,21.62,21.63,21.15,21.23,199600,20.51
2014-09-03,21.70,21.73,21.49,21.60,217100,20.86
2014-09-02,21.70,21.80,21.61,21.65,164400,20.91
2014-08-29,21.81,21.97,21.52,21.63,215000,20.89
2014-08-28,21.92,22.12,21.69,21.76,243300,21.02
