Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.70,25.70,25.64,25.64,2400,25.64
2015-02-12,25.78,25.79,25.70,25.70,3200,25.55
2015-02-11,25.67,25.67,25.67,25.67,000,25.52
2015-02-10,25.70,25.70,25.61,25.67,3600,25.52
2015-02-09,25.70,25.76,25.70,25.70,3200,25.55
2015-02-06,25.66,25.66,25.66,25.66,800,25.51
2015-02-05,25.71,25.71,25.71,25.71,100,25.56
2015-02-04,25.81,25.82,25.81,25.82,1900,25.67
2015-02-03,25.82,25.82,25.82,25.82,400,25.67
2015-02-02,25.80,25.80,25.80,25.80,000,25.65
2015-01-30,25.65,25.85,25.65,25.80,3600,25.65
2015-01-29,25.69,25.72,25.69,25.72,1100,25.57
2015-01-28,25.70,25.70,25.65,25.65,900,25.50
2015-01-27,25.70,25.70,25.70,25.70,000,25.55
2015-01-26,25.69,25.70,25.58,25.70,1800,25.55
2015-01-23,25.60,25.68,25.56,25.68,500,25.53
2015-01-22,25.70,25.70,25.60,25.60,2800,25.45
2015-01-21,25.68,25.70,25.68,25.69,1300,25.54
2015-01-20,25.69,25.69,25.69,25.69,000,25.39
2015-01-16,25.69,25.69,25.69,25.69,000,25.39
2015-01-15,25.67,25.69,25.61,25.69,900,25.39
2015-01-14,25.65,25.70,25.65,25.70,1300,25.40
2015-01-13,25.70,25.70,25.70,25.70,500,25.40
2015-01-12,25.70,25.70,25.69,25.69,2000,25.39
2015-01-09,25.67,25.79,25.67,25.79,900,25.49
2015-01-08,25.70,25.79,25.70,25.79,1000,25.49
2015-01-07,25.70,25.80,25.70,25.70,2100,25.40
2015-01-06,25.81,25.81,25.68,25.68,600,25.39
2015-01-05,25.85,25.85,25.85,25.85,3500,25.55
2015-01-02,25.80,25.80,25.80,25.80,000,25.50
2014-12-31,25.75,25.83,25.75,25.80,600,25.50
2014-12-30,25.78,25.78,25.65,25.73,1500,25.43
2014-12-29,25.73,25.75,25.70,25.75,700,25.45
2014-12-26,25.85,25.85,25.66,25.66,1800,25.37
2014-12-24,25.65,25.65,25.65,25.65,000,25.36
2014-12-23,25.65,25.65,25.65,25.65,1400,25.36
2014-12-22,25.74,25.74,25.74,25.74,000,25.44
2014-12-19,25.75,25.75,25.65,25.74,300,25.44
2014-12-18,25.75,25.75,25.74,25.74,600,25.44
2014-12-17,25.83,25.83,25.65,25.75,2100,25.45
2014-12-16,25.72,25.79,25.67,25.79,1600,25.35
2014-12-15,25.95,25.95,25.75,25.78,1900,25.34
2014-12-12,25.83,25.83,25.83,25.83,000,25.39
2014-12-11,25.83,25.83,25.83,25.83,200,25.39
2014-12-10,25.83,25.83,25.83,25.83,000,25.39
2014-12-09,25.83,25.83,25.83,25.83,400,25.39
2014-12-08,25.82,25.82,25.76,25.76,5600,25.32
2014-12-05,25.82,25.82,25.82,25.82,600,25.38
2014-12-04,25.85,25.85,25.85,25.85,200,25.41
2014-12-03,25.86,26.24,25.51,25.95,2300,25.50
2014-12-02,25.98,25.98,25.98,25.98,000,25.53
2014-12-01,25.98,25.98,25.98,25.98,000,25.53
2014-11-28,25.98,25.98,25.98,25.98,000,25.53
2014-11-26,25.98,25.98,25.98,25.98,000,25.53
2014-11-25,25.94,26.00,25.94,25.98,4900,25.53
2014-11-24,26.01,26.01,26.01,26.01,000,25.56
2014-11-21,25.85,26.02,25.85,26.01,800,25.56
2014-11-20,26.28,26.28,26.28,26.28,000,25.83
2014-11-19,26.28,26.28,26.28,26.28,200,25.83
2014-11-18,26.44,26.44,26.44,26.44,000,25.99
2014-11-17,26.44,26.44,26.44,26.44,400,25.99
2014-11-14,25.85,26.27,25.85,25.90,1200,25.46
2014-11-13,26.32,26.32,26.32,26.32,000,25.87
2014-11-12,26.32,26.32,26.32,26.32,000,25.72
2014-11-11,26.32,26.32,26.32,26.32,000,25.72
2014-11-10,26.32,26.32,26.32,26.32,000,25.72
2014-11-07,26.32,26.32,26.32,26.32,1200,25.72
2014-11-06,26.24,26.24,26.24,26.24,000,25.64
2014-11-05,26.24,26.24,26.24,26.24,000,25.64
2014-11-04,26.24,26.24,26.24,26.24,700,25.64
2014-11-03,25.73,26.32,25.66,26.32,1300,25.72
2014-10-31,26.39,26.39,26.39,26.39,800,25.79
2014-10-30,25.90,25.90,25.90,25.90,000,25.31
2014-10-29,25.90,25.90,25.90,25.90,100,25.31
2014-10-28,26.42,26.42,26.42,26.42,000,25.82
2014-10-27,26.42,26.42,26.42,26.42,3200,25.82
2014-10-24,26.05,26.05,26.05,26.05,000,25.46
2014-10-23,26.05,26.05,26.05,26.05,200,25.46
2014-10-22,25.85,25.85,25.85,25.85,000,25.26
2014-10-21,25.73,25.85,25.73,25.85,400,25.26
2014-10-20,25.89,25.89,25.89,25.89,000,25.30
2014-10-17,25.89,25.89,25.89,25.89,500,25.16
2014-10-16,25.93,25.94,25.74,25.74,8400,25.01
2014-10-15,25.96,26.15,25.90,25.90,900,25.17
2014-10-14,26.15,26.15,26.15,26.15,100,25.41
2014-10-13,25.95,26.01,25.92,25.92,1400,25.19
2014-10-10,26.08,26.08,26.08,26.08,200,25.34
2014-10-09,26.15,26.15,25.91,25.91,800,25.18
2014-10-08,26.00,26.00,25.88,25.97,5300,25.24
2014-10-07,26.10,26.10,26.10,26.10,000,25.36
2014-10-06,26.29,26.29,26.00,26.10,1600,25.36
2014-10-03,26.21,26.21,26.20,26.20,1000,25.46
2014-10-02,26.17,26.23,26.14,26.23,6300,25.49
2014-10-01,26.08,26.18,26.02,26.13,15700,25.39
2014-09-30,26.24,26.28,25.74,26.28,3200,25.54
2014-09-29,26.29,26.29,26.29,26.29,500,25.55
2014-09-26,26.29,26.29,26.20,26.20,600,25.46
2014-09-25,26.25,26.25,26.25,26.25,300,25.51
2014-09-24,26.34,26.39,26.26,26.26,4900,25.52
2014-09-23,26.34,26.37,26.25,26.25,2300,25.51
2014-09-22,26.30,26.30,26.30,26.30,000,25.56
2014-09-19,26.42,26.42,26.30,26.30,200,25.56
2014-09-18,26.24,26.24,26.24,26.24,000,25.50
2014-09-17,26.35,26.44,26.20,26.24,3200,25.50
2014-09-16,26.59,26.80,26.51,26.60,10800,25.70
2014-09-15,26.86,26.86,26.85,26.85,3200,25.95
2014-09-12,26.80,26.90,26.80,26.85,23800,25.95
2014-09-11,26.45,27.04,26.36,26.77,77600,25.87
2014-09-10,26.44,26.60,26.25,26.41,49600,25.52
2014-09-09,26.22,26.68,26.22,26.49,40100,25.60
2014-09-08,26.10,26.62,26.08,26.53,23800,25.64
2014-09-05,26.28,26.57,26.28,26.29,44000,25.40
2014-09-04,26.12,26.65,26.12,26.29,49000,25.40
2014-09-03,26.08,26.85,25.83,26.09,75200,25.21
2014-09-02,26.20,26.30,26.01,26.19,8000,25.31
2014-08-29,25.93,26.20,25.93,26.20,1300,25.32
2014-08-28,26.00,26.00,26.00,26.00,1600,25.12
2014-08-27,25.76,26.15,25.76,26.15,2300,25.27
2014-08-26,25.80,25.80,25.79,25.80,8600,24.93
2014-08-25,25.80,25.80,25.80,25.80,000,24.93
2014-08-22,25.80,25.80,25.78,25.80,2100,24.93
2014-08-21,25.80,25.80,25.80,25.80,1200,24.93
2014-08-20,25.84,25.84,25.80,25.80,1600,24.93
2014-08-19,25.83,25.83,25.77,25.77,2100,24.90
2014-08-18,25.81,25.81,25.80,25.80,200,24.93
2014-08-15,25.85,25.85,25.85,25.85,400,24.84
2014-08-14,25.83,25.83,25.83,25.83,200,24.82
2014-08-13,25.82,25.85,25.82,25.85,800,24.84
2014-08-12,25.85,25.86,25.82,25.82,1400,24.81
2014-08-11,25.82,25.82,25.82,25.82,000,24.81
2014-08-08,25.83,25.83,25.82,25.82,300,24.81
2014-08-07,25.84,25.84,25.83,25.83,900,24.82
2014-08-06,25.87,25.87,25.87,25.87,200,24.86
2014-08-05,25.87,25.87,25.87,25.87,200,24.86
2014-08-04,25.82,25.82,25.82,25.82,1000,24.81
2014-08-01,25.83,25.83,25.83,25.83,000,24.82
2014-07-31,25.85,25.85,25.82,25.83,1600,24.82
2014-07-30,25.87,25.87,25.80,25.80,2000,24.79
2014-07-29,26.00,26.00,26.00,26.00,1000,24.98
2014-07-28,25.99,25.99,25.99,25.99,400,24.97
2014-07-25,25.97,25.97,25.96,25.96,600,24.94
2014-07-24,25.99,25.99,25.99,25.99,000,24.97
2014-07-23,26.00,26.00,25.84,25.99,700,24.97
2014-07-22,26.00,26.00,25.95,25.96,2300,24.80
2014-07-21,26.00,26.00,26.00,26.00,600,24.84
2014-07-18,25.98,25.98,25.95,25.95,2000,24.79
2014-07-17,26.03,26.03,25.98,25.98,1400,24.82
2014-07-16,25.95,25.95,25.95,25.95,000,24.79
2014-07-15,25.95,25.95,25.95,25.95,000,24.79
2014-07-14,25.95,25.95,25.95,25.95,000,24.79
2014-07-11,25.95,25.95,25.95,25.95,400,24.79
2014-07-10,25.90,26.05,25.90,26.05,600,24.89
2014-07-09,26.08,26.08,25.99,25.99,2000,24.83
2014-07-08,25.89,25.89,25.89,25.89,000,24.73
2014-07-07,25.89,25.89,25.89,25.89,100,24.73
2014-07-03,26.00,26.03,26.00,26.03,800,24.87
2014-07-02,26.10,26.10,26.10,26.10,000,24.93
2014-07-01,26.10,26.10,26.10,26.10,000,24.93
2014-06-30,26.10,26.10,26.10,26.10,000,24.93
2014-06-27,26.10,26.10,26.10,26.10,000,24.93
2014-06-26,25.90,26.10,25.90,26.10,2200,24.93
2014-06-25,25.85,25.85,25.80,25.80,1500,24.65
2014-06-24,25.80,25.80,25.80,25.80,400,24.65
2014-06-23,25.91,25.91,25.91,25.91,000,24.75
2014-06-20,25.91,25.91,25.91,25.91,1600,24.75
2014-06-19,25.80,25.80,25.80,25.80,000,24.65
2014-06-18,25.82,25.82,25.78,25.80,1900,24.65
2014-06-17,25.99,25.99,25.77,25.78,3800,24.63
2014-06-16,25.99,25.99,25.99,25.99,000,24.69
2014-06-13,25.99,25.99,25.99,25.99,300,24.69
2014-06-12,26.00,26.00,26.00,26.00,200,24.70
2014-06-11,25.85,25.85,25.85,25.85,2000,24.55
2014-06-10,25.96,25.96,25.85,25.85,4000,24.55
2014-06-09,26.05,26.05,26.05,26.05,000,24.74
2014-06-06,26.00,26.05,26.00,26.05,500,24.74
2014-06-05,25.85,25.85,25.85,25.85,000,24.55
2014-06-04,25.85,25.85,25.85,25.85,700,24.55
2014-06-03,26.13,26.13,26.13,26.13,000,24.82
2014-06-02,26.13,26.13,26.13,26.13,000,24.82
2014-05-30,25.98,26.13,25.98,26.13,3000,24.82
2014-05-29,25.80,25.90,25.80,25.90,2400,24.60
2014-05-28,25.90,25.90,25.90,25.90,800,24.60
2014-05-27,25.89,25.89,25.80,25.80,300,24.51
2014-05-23,25.85,25.85,25.85,25.85,200,24.55
2014-05-22,25.80,25.80,25.76,25.76,900,24.47
2014-05-21,25.87,25.87,25.85,25.85,200,24.55
2014-05-20,25.80,25.80,25.80,25.80,000,24.51
2014-05-19,25.78,25.81,25.78,25.80,2300,24.51
2014-05-16,25.81,25.82,25.65,25.82,13100,24.53
2014-05-15,25.97,25.97,25.97,25.97,000,24.53
2014-05-14,25.97,25.97,25.97,25.97,000,24.53
2014-05-13,26.00,26.00,25.93,25.97,5300,24.53
2014-05-12,25.97,26.09,25.97,26.09,1900,24.64
2014-05-09,25.83,25.83,25.77,25.80,2400,24.37
2014-05-08,26.00,26.00,25.87,25.87,600,24.43
2014-05-07,25.97,25.97,25.97,25.97,000,24.53
2014-05-06,25.97,25.97,25.97,25.97,300,24.53
2014-05-05,26.05,26.05,26.05,26.05,000,24.60
2014-05-02,26.05,26.05,26.05,26.05,000,24.60
2014-05-01,26.05,26.05,26.05,26.05,300,24.60
2014-04-30,26.07,26.11,25.83,26.11,3600,24.66
2014-04-29,25.96,26.17,25.96,26.17,400,24.72
2014-04-28,25.97,25.97,25.97,25.97,000,24.53
2014-04-25,25.97,25.97,25.97,25.97,200,24.53
2014-04-24,25.88,26.16,25.88,26.07,1700,24.62
2014-04-23,25.70,25.70,25.70,25.70,000,24.27
2014-04-22,25.70,25.70,25.70,25.70,200,24.27
2014-04-21,25.65,25.65,25.65,25.65,000,24.23
2014-04-17,25.65,25.65,25.65,25.65,000,24.23
2014-04-16,25.89,25.96,25.65,25.65,600,24.23
2014-04-15,25.74,25.74,25.71,25.71,1000,24.14
2014-04-14,25.72,25.72,25.72,25.72,500,24.15
2014-04-11,25.70,25.70,25.70,25.70,500,24.13
2014-04-10,25.77,25.77,25.77,25.77,000,24.20
2014-04-09,25.88,25.94,25.77,25.77,3000,24.20
2014-04-08,25.90,26.15,25.88,25.88,1100,24.30
2014-04-07,25.76,25.76,25.76,25.76,200,24.19
2014-04-04,26.00,26.33,26.00,26.33,800,24.72
2014-04-03,26.30,26.30,25.77,26.00,1900,24.41
