Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,35.44,35.59,35.38,35.44,1500,35.44
2015-02-12,35.34,37.05,35.08,35.08,5000,35.08
2015-02-11,34.63,34.95,34.54,34.86,2900,34.86
2015-02-10,35.32,35.32,34.90,34.96,5300,34.96
2015-02-09,35.90,35.90,35.39,35.39,900,35.39
2015-02-06,36.42,36.42,35.45,35.45,1700,35.45
2015-02-05,36.29,36.46,36.26,36.39,1500,36.39
2015-02-04,35.60,36.00,35.44,35.65,6300,35.65
2015-02-03,35.71,36.35,35.70,36.01,6100,36.01
2015-02-02,35.77,35.77,35.24,35.27,2400,35.27
2015-01-30,35.41,36.61,35.06,35.06,8200,35.06
2015-01-29,35.72,35.79,35.45,35.74,1300,35.74
2015-01-28,36.48,36.48,36.00,36.38,6900,36.38
2015-01-27,36.26,36.32,35.98,36.30,6100,36.14
2015-01-26,36.15,36.81,35.98,36.40,2900,36.24
2015-01-23,36.64,36.69,36.20,36.20,1900,36.05
2015-01-22,37.03,37.14,36.69,36.69,2200,36.53
2015-01-21,36.82,36.82,35.80,36.34,4700,36.18
2015-01-20,36.83,39.40,36.70,36.73,5000,36.57
2015-01-16,36.85,37.09,36.85,37.09,6900,36.93
2015-01-15,37.05,37.25,37.05,37.20,10900,37.04
2015-01-14,36.74,37.00,36.74,36.77,5900,36.61
2015-01-13,37.00,37.74,36.85,37.74,1900,37.58
2015-01-12,36.67,37.80,36.57,37.80,11100,37.64
2015-01-09,37.50,37.50,36.92,37.24,8100,37.08
2015-01-08,38.50,38.50,37.49,37.50,16800,37.34
2015-01-07,37.57,38.55,37.57,38.35,48300,38.19
2015-01-06,36.23,36.86,36.21,36.79,6600,36.63
2015-01-05,35.30,38.45,34.96,35.97,4700,35.82
2015-01-02,35.51,35.51,35.18,35.42,1200,35.27
2014-12-31,35.89,35.89,35.39,35.55,900,35.40
2014-12-30,36.58,36.58,36.10,36.10,2300,35.95
2014-12-29,36.55,36.76,36.52,36.58,1100,36.42
2014-12-26,36.00,36.00,36.00,36.00,100,35.68
2014-12-24,35.95,36.66,35.95,36.66,800,36.34
2014-12-23,35.50,35.91,35.38,35.91,3600,35.59
2014-12-22,35.32,35.32,34.50,34.95,7500,34.64
2014-12-19,34.45,35.00,34.35,35.00,5300,34.69
2014-12-18,34.38,34.71,34.28,34.42,6700,34.12
2014-12-17,34.19,34.22,34.00,34.00,2300,33.70
2014-12-16,34.00,34.80,33.91,34.80,3600,34.49
2014-12-15,34.16,34.16,34.16,34.16,700,33.86
2014-12-12,34.75,34.91,34.24,34.27,3100,33.97
2014-12-11,34.47,34.83,34.40,34.83,18400,34.52
2014-12-10,35.10,35.10,34.54,34.54,1600,34.23
2014-12-09,34.34,35.11,34.33,34.87,1600,34.56
2014-12-08,35.35,35.36,32.31,34.79,3900,34.48
2014-12-05,35.88,36.02,35.65,35.65,2700,35.34
2014-12-04,36.03,36.07,36.03,36.03,700,35.71
2014-12-03,36.78,36.80,36.33,36.36,3700,36.04
2014-12-02,36.34,36.69,36.34,36.48,9000,36.16
2014-12-01,35.41,36.51,35.37,36.51,12100,36.19
2014-11-28,35.38,35.38,34.80,34.80,500,34.49
2014-11-26,35.52,36.33,35.49,36.33,6000,36.01
2014-11-25,35.77,35.77,35.14,35.14,600,34.67
2014-11-24,35.28,35.57,35.28,35.32,3300,34.85
2014-11-21,35.28,35.34,34.99,35.34,2900,34.87
2014-11-20,34.58,35.34,34.58,35.34,8800,34.87
2014-11-19,35.76,35.80,34.11,34.11,14600,33.65
2014-11-18,35.59,35.94,35.59,35.94,8100,35.46
2014-11-17,35.48,35.92,35.47,35.47,8100,34.99
2014-11-14,35.90,35.90,35.40,35.40,2500,34.92
2014-11-13,35.50,36.22,35.50,35.50,12200,35.02
2014-11-12,36.15,36.16,36.01,36.15,11100,35.66
2014-11-11,36.10,36.26,35.93,36.15,12400,35.66
2014-11-10,36.25,36.55,36.00,36.27,10400,35.78
2014-11-07,36.86,37.25,36.62,37.25,13500,36.75
2014-11-06,36.47,36.60,36.25,36.51,3800,36.02
2014-11-05,36.06,36.98,36.06,36.98,3300,36.48
2014-11-04,36.35,36.35,36.19,36.29,1600,35.80
2014-11-03,36.61,36.86,36.33,36.70,9100,36.21
2014-10-31,36.34,36.58,36.06,36.06,1000,35.58
2014-10-30,36.05,36.79,36.05,36.75,800,36.26
2014-10-29,35.73,36.05,35.73,35.95,900,35.47
2014-10-28,36.16,36.16,35.78,35.78,900,35.14
2014-10-27,35.37,36.13,35.36,35.69,1900,35.05
2014-10-24,35.06,35.38,34.70,34.70,2400,34.08
2014-10-23,35.10,35.28,34.63,34.63,2900,34.01
2014-10-22,34.58,34.84,34.54,34.58,2800,33.96
2014-10-21,34.76,34.76,34.45,34.45,3000,33.83
2014-10-20,33.90,35.80,33.71,35.80,7300,35.16
2014-10-17,33.72,33.96,33.30,33.51,3500,32.91
2014-10-16,33.15,33.81,33.15,33.18,6900,32.58
2014-10-15,33.40,33.61,32.58,32.58,4600,32.00
2014-10-14,33.55,33.61,33.48,33.50,11500,32.90
2014-10-13,33.23,33.23,33.23,33.23,800,32.63
2014-10-10,33.62,33.77,33.12,33.52,4900,32.92
2014-10-09,34.13,34.55,33.69,33.69,3500,33.09
2014-10-08,33.65,34.18,33.65,34.18,4100,33.57
2014-10-07,33.68,33.95,33.40,33.40,4300,32.80
2014-10-06,33.96,34.22,33.95,34.22,2600,33.61
2014-10-03,34.22,34.27,33.68,33.95,6000,33.34
2014-10-02,34.79,34.83,34.16,34.23,1800,33.62
2014-10-01,34.42,34.88,34.32,34.55,7500,33.93
2014-09-30,34.52,34.53,34.38,34.53,18200,33.91
2014-09-29,34.87,35.02,34.77,34.77,17800,34.15
2014-09-26,35.25,35.25,34.86,35.18,5700,34.55
2014-09-25,35.14,36.10,34.99,36.10,2900,35.29
2014-09-24,35.71,35.73,35.30,35.56,30600,34.76
2014-09-23,35.72,36.75,35.45,36.00,32100,35.19
2014-09-22,35.78,35.91,35.46,35.46,16500,34.66
2014-09-19,36.60,36.78,36.30,36.78,45900,35.95
2014-09-18,36.12,36.60,35.80,36.60,23800,35.78
2014-09-17,35.93,36.43,35.90,35.97,16800,35.16
2014-09-16,35.87,36.04,35.50,35.56,9200,34.76
2014-09-15,36.01,36.52,35.62,35.62,6000,34.82
2014-09-12,36.85,36.93,36.25,36.41,1900,35.59
2014-09-11,36.81,36.90,36.81,36.90,1100,36.07
2014-09-10,37.10,37.35,36.98,36.98,1100,36.15
2014-09-09,37.30,37.30,37.11,37.11,900,36.28
2014-09-08,37.49,37.49,37.49,37.49,400,36.65
2014-09-05,37.58,38.06,37.58,38.06,1300,37.21
2014-09-04,37.08,38.00,37.08,38.00,1700,37.15
2014-09-03,37.20,37.90,37.05,37.90,5900,37.05
2014-09-02,37.24,37.25,37.11,37.11,3500,36.28
2014-08-29,37.39,38.00,37.38,38.00,7400,37.15
2014-08-28,38.32,38.47,37.71,37.97,6800,37.12
2014-08-27,37.50,37.50,37.50,37.50,400,36.66
2014-08-26,38.28,38.34,38.28,38.34,1600,37.32
2014-08-25,38.12,38.17,37.93,37.93,1100,36.92
2014-08-22,38.31,38.37,38.13,38.37,1300,37.35
2014-08-21,38.19,38.68,38.17,38.68,4600,37.65
2014-08-20,38.10,38.40,37.96,38.40,8900,37.37
2014-08-19,38.22,38.43,38.19,38.43,1000,37.40
2014-08-18,37.74,38.15,37.74,38.15,900,37.13
2014-08-15,37.93,38.20,37.63,38.20,3300,37.18
2014-08-14,37.34,37.71,37.34,37.63,5000,36.63
2014-08-13,37.73,37.73,37.30,37.30,3100,36.30
2014-08-12,37.30,37.41,37.30,37.30,1200,36.30
2014-08-11,37.30,37.70,37.28,37.70,2800,36.69
2014-08-08,37.24,37.51,37.06,37.06,21500,36.07
2014-08-07,37.23,37.36,36.80,36.80,5100,35.82
2014-08-06,37.05,37.43,37.03,37.43,5500,36.43
2014-08-05,36.61,36.99,36.61,36.99,700,36.00
2014-08-04,36.60,37.48,36.60,37.10,1100,36.11
2014-08-01,37.27,37.30,36.67,36.67,3500,35.69
2014-07-31,37.85,37.85,37.07,37.83,9800,36.82
2014-07-30,38.86,38.86,37.54,37.55,1600,36.55
2014-07-29,38.05,38.33,37.33,38.33,3200,37.31
2014-07-28,37.75,38.50,37.75,38.50,7000,37.31
2014-07-25,38.05,38.05,37.51,37.51,15000,36.35
2014-07-24,37.99,38.73,37.95,38.73,2800,37.53
2014-07-23,37.74,38.10,37.74,38.10,4000,36.92
2014-07-22,37.81,38.00,37.76,37.84,1800,36.67
2014-07-21,37.92,37.93,37.51,37.82,2800,36.65
2014-07-18,37.65,37.65,37.65,37.65,300,36.48
2014-07-17,37.65,37.75,37.47,37.63,700,36.46
2014-07-16,37.28,37.87,37.28,37.35,2100,36.19
2014-07-15,37.25,37.27,37.19,37.27,2700,36.11
2014-07-14,37.29,37.49,37.27,37.49,7400,36.33
2014-07-11,37.30,37.30,37.06,37.06,2000,35.91
2014-07-10,37.40,37.54,37.40,37.54,1500,36.38
2014-07-09,37.27,37.46,37.27,37.30,1800,36.14
2014-07-08,37.36,37.36,37.19,37.33,16000,36.17
2014-07-07,37.40,37.67,37.20,37.44,5000,36.28
2014-07-03,37.23,37.48,37.23,37.35,3200,36.19
2014-07-02,36.64,37.58,35.62,37.16,10100,36.01
2014-07-01,37.33,37.33,36.94,37.25,2700,36.10
2014-06-30,37.70,37.70,36.98,37.21,8700,36.06
2014-06-27,36.54,37.09,36.54,36.90,4800,35.76
2014-06-26,36.11,36.43,36.11,36.26,22600,35.14
2014-06-25,36.18,36.41,36.06,36.41,1500,35.12
2014-06-24,36.31,36.45,36.19,36.19,15300,34.90
2014-06-23,36.04,36.45,35.85,36.22,21100,34.93
2014-06-20,36.06,36.25,35.16,36.25,13900,34.96
2014-06-19,35.12,35.83,35.04,35.79,23100,34.52
2014-06-18,35.56,35.56,34.85,35.23,18100,33.98
2014-06-17,35.66,35.95,35.55,35.95,10100,34.67
2014-06-16,35.90,35.97,35.63,35.97,1400,34.69
2014-06-13,35.73,35.83,35.60,35.83,3300,34.56
2014-06-12,35.90,36.04,35.60,35.86,8000,34.59
2014-06-11,36.30,36.30,34.88,36.19,18600,34.90
2014-06-10,36.36,36.44,36.23,36.24,11700,34.95
2014-06-09,36.45,36.48,36.27,36.41,12400,35.12
2014-06-06,36.40,36.61,35.62,35.62,23100,34.35
2014-06-05,36.35,36.46,36.08,36.08,17300,34.80
2014-06-04,36.37,36.59,36.26,36.27,27000,34.98
2014-06-03,36.40,36.70,36.33,36.70,9600,35.40
2014-06-02,36.50,36.55,36.22,36.22,9700,34.93
2014-05-30,36.52,37.05,36.47,37.05,21000,35.73
2014-05-29,36.90,36.90,36.15,36.15,58700,34.86
2014-05-28,36.57,36.88,36.18,36.18,6000,34.89
2014-05-27,37.08,37.08,36.62,36.75,23000,35.28
2014-05-23,36.95,37.40,36.68,37.40,35400,35.90
2014-05-22,36.71,37.40,36.61,37.40,4500,35.90
2014-05-21,36.47,37.01,35.95,35.95,13300,34.51
2014-05-20,36.50,36.51,35.85,35.85,58600,34.42
2014-05-19,37.45,37.45,36.38,36.38,2700,34.93
2014-05-16,37.29,38.12,37.08,38.12,51400,36.60
2014-05-15,37.20,37.36,37.06,37.36,21700,35.87
2014-05-14,37.46,37.48,37.00,37.00,22900,35.52
2014-05-13,37.04,37.15,36.93,37.02,2200,35.54
2014-05-12,37.54,37.54,37.24,37.46,2500,35.96
2014-05-09,37.43,38.00,37.16,38.00,5200,36.48
2014-05-08,37.69,38.04,37.69,37.94,14500,36.42
2014-05-07,37.72,38.06,37.39,37.39,10600,35.90
2014-05-06,38.12,38.12,37.60,37.60,1200,36.10
2014-05-05,38.06,38.06,38.06,38.06,200,36.54
2014-05-02,38.42,38.45,37.75,38.09,3400,36.57
2014-05-01,38.85,38.88,38.70,38.87,5600,37.32
2014-04-30,38.43,38.43,38.43,38.43,200,36.89
2014-04-29,38.49,38.76,38.15,38.15,900,36.62
2014-04-28,37.89,38.38,37.89,38.15,2300,36.62
2014-04-25,38.02,38.06,37.99,38.02,1100,36.50
2014-04-24,37.75,38.04,37.70,37.99,1500,36.47
2014-04-23,37.62,37.83,37.21,37.83,2800,36.32
2014-04-22,37.67,37.69,37.67,37.69,600,36.18
2014-04-21,37.20,37.70,37.20,37.70,1700,36.19
2014-04-17,37.40,37.66,37.31,37.31,10100,35.82
2014-04-16,36.89,37.39,36.88,37.39,12600,35.90
2014-04-15,36.73,36.86,36.59,36.59,3600,35.13
2014-04-14,36.74,37.00,36.68,37.00,8600,35.52
2014-04-11,36.91,37.01,36.46,36.46,600,35.00
2014-04-10,36.22,36.94,36.22,36.94,1500,35.46
2014-04-09,36.84,36.94,36.25,36.25,5700,34.80
2014-04-08,36.60,36.87,36.60,36.87,600,35.40
2014-04-07,36.85,37.07,36.40,36.40,1700,34.94
2014-04-04,36.72,37.09,36.63,36.75,900,35.28
2014-04-03,36.69,36.69,36.24,36.24,2700,34.79
2014-04-02,36.81,36.81,36.56,36.56,500,35.10
2014-04-01,36.27,37.07,36.27,37.07,2000,35.59
2014-03-31,36.75,36.75,36.26,36.26,2600,34.81
2014-03-28,36.29,36.60,36.14,36.14,1500,34.69
2014-03-27,35.94,36.29,35.94,36.00,1900,34.56
2014-03-26,35.54,35.91,35.51,35.91,2800,34.47
2014-03-25,35.54,35.63,35.49,35.57,2900,34.15
2014-03-24,34.81,35.28,34.00,34.00,6000,32.64
2014-03-21,34.54,35.35,33.76,34.90,5600,33.50
2014-03-20,33.95,34.26,33.76,33.76,19600,32.41
2014-03-19,35.03,35.05,34.20,34.31,13300,32.94
2014-03-18,34.94,35.26,34.93,35.15,3400,33.74
2014-03-17,34.89,35.09,34.87,35.09,2100,33.69
2014-03-14,35.06,35.06,34.40,34.40,1600,33.02
2014-03-13,35.18,35.25,34.72,34.72,1000,33.33
2014-03-12,35.11,35.11,34.75,34.75,300,33.36
2014-03-11,35.31,35.41,35.12,35.12,900,33.72
2014-03-10,35.37,35.55,35.24,35.51,1800,34.09
2014-03-07,34.78,35.01,34.69,34.69,2800,33.30
2014-03-06,34.74,34.90,34.68,34.90,4700,33.50
2014-03-05,34.70,34.70,34.69,34.69,400,33.30
2014-03-04,34.45,34.51,34.35,34.44,4400,33.06
2014-03-03,34.44,34.47,33.94,33.94,3800,32.58
2014-02-28,34.53,34.57,34.45,34.57,1000,33.19
2014-02-27,34.21,34.23,34.07,34.12,1900,32.76
2014-02-26,34.17,34.34,34.17,34.33,1100,32.96
2014-02-25,34.18,34.18,34.18,34.18,400,32.81
2014-02-24,34.24,34.53,34.24,34.33,3900,32.96
2014-02-21,34.30,34.35,34.25,34.32,7000,32.95
2014-02-20,34.50,34.52,34.20,34.31,2300,32.94
2014-02-19,34.56,34.81,34.36,34.36,7100,32.99
2014-02-18,34.86,35.04,34.70,34.90,3800,33.50
2014-02-14,34.13,35.11,34.12,35.10,58600,33.70
2014-02-13,33.84,34.11,33.68,33.97,7300,32.61
2014-02-12,34.10,34.16,33.98,34.01,7200,32.65
2014-02-11,34.15,34.32,34.15,34.22,2600,32.85
2014-02-10,34.48,34.53,34.48,34.52,700,33.14
2014-02-07,34.58,34.67,34.40,34.56,4700,33.18
2014-02-06,34.44,34.54,34.44,34.54,700,33.16
2014-02-05,34.04,34.24,33.93,34.01,15100,32.65
2014-02-04,34.30,34.35,34.20,34.30,7000,32.93
