Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,18.18,18.18,17.95,18.06,47000,18.06
2015-02-12,17.93,18.72,17.93,18.18,72700,18.18
2015-02-11,17.97,18.09,17.79,17.92,62200,17.92
2015-02-10,18.06,18.10,17.90,17.97,72700,17.97
2015-02-09,18.11,18.32,18.04,18.09,68800,18.09
2015-02-06,18.85,18.85,18.14,18.16,137600,18.16
2015-02-05,18.77,18.93,18.65,18.80,109500,18.80
2015-02-04,18.90,18.90,18.70,18.77,56900,18.77
2015-02-03,18.77,18.91,18.67,18.85,82300,18.85
2015-02-02,18.53,18.82,18.30,18.72,77800,18.72
2015-01-30,18.75,18.89,18.50,18.53,127700,18.53
2015-01-29,18.80,18.91,18.63,18.89,115500,18.89
2015-01-28,18.99,19.16,18.77,18.78,76400,18.78
2015-01-27,18.96,19.16,18.92,19.00,61700,19.00
2015-01-26,19.06,19.10,18.92,19.05,93900,19.05
2015-01-23,19.18,19.30,19.01,19.08,42600,19.08
2015-01-22,18.90,19.16,18.81,19.15,109400,19.15
2015-01-21,18.68,18.86,18.62,18.73,67700,18.73
2015-01-20,18.90,19.00,18.70,18.75,63800,18.75
2015-01-16,18.67,19.00,18.67,18.83,93800,18.83
2015-01-15,18.70,18.82,18.51,18.77,123100,18.77
2015-01-14,18.41,18.70,18.41,18.60,82700,18.60
2015-01-13,18.59,18.76,18.39,18.52,86700,18.52
2015-01-12,18.49,18.65,18.42,18.60,82500,18.60
2015-01-09,18.67,18.72,18.47,18.53,51100,18.53
2015-01-08,18.91,18.95,18.64,18.71,143700,18.71
2015-01-07,18.69,18.85,18.65,18.78,116700,18.78
2015-01-06,18.76,18.89,18.60,18.62,93200,18.62
2015-01-05,18.42,18.82,18.31,18.76,75500,18.76
2015-01-02,18.35,18.51,18.15,18.49,63400,18.49
2014-12-31,18.56,18.67,18.12,18.21,78500,18.21
2014-12-30,18.29,18.58,18.29,18.52,97300,18.52
2014-12-29,18.25,18.43,18.24,18.39,118500,18.39
2014-12-26,18.22,18.30,18.13,18.20,94900,18.20
2014-12-24,18.17,18.25,18.05,18.13,33500,18.13
2014-12-23,18.28,18.30,18.09,18.21,83300,18.21
2014-12-22,18.04,18.35,18.04,18.27,125100,18.27
2014-12-19,18.17,18.39,18.17,18.30,225500,17.94
2014-12-18,18.18,18.40,17.90,18.17,367200,17.81
2014-12-17,17.77,18.06,17.58,18.02,128800,17.67
2014-12-16,17.57,17.90,17.57,17.64,98800,17.29
2014-12-15,17.86,18.02,17.51,17.57,104800,17.22
2014-12-12,17.98,18.20,17.76,17.79,75100,17.44
2014-12-11,18.17,18.25,18.12,18.15,85900,17.79
2014-12-10,18.10,18.23,18.05,18.15,60300,17.79
2014-12-09,17.95,18.21,17.95,18.20,83800,17.84
2014-12-08,18.15,18.24,18.03,18.05,83700,17.69
2014-12-05,18.02,18.10,17.89,17.96,71600,17.61
2014-12-04,18.04,18.17,17.81,18.07,78200,17.71
2014-12-03,18.03,18.24,18.03,18.11,78500,17.75
2014-12-02,17.99,18.25,17.95,18.14,70100,17.78
2014-12-01,18.12,18.37,18.03,18.05,68000,17.69
2014-11-28,18.21,18.48,18.11,18.12,55400,17.76
2014-11-26,18.10,18.28,18.03,18.17,82700,17.81
2014-11-25,18.18,18.20,17.97,18.04,111400,17.69
2014-11-24,18.12,18.15,18.01,18.11,47400,17.75
2014-11-21,18.24,18.49,18.00,18.00,68300,17.65
2014-11-20,17.94,18.15,17.94,18.09,62400,17.73
2014-11-19,18.25,18.27,18.01,18.04,95700,17.69
2014-11-18,18.24,18.33,18.22,18.25,76700,17.89
2014-11-17,18.25,18.49,18.21,18.24,75900,17.88
2014-11-14,18.40,18.58,18.25,18.25,77100,17.89
2014-11-13,18.52,18.60,18.32,18.42,91600,18.06
2014-11-12,18.60,18.84,18.30,18.46,85200,18.10
2014-11-11,18.70,18.83,18.66,18.69,55600,18.32
2014-11-10,18.68,18.86,18.53,18.75,50600,18.38
2014-11-07,18.56,18.68,18.29,18.64,69300,18.27
2014-11-06,18.70,18.70,18.44,18.54,102000,18.18
2014-11-05,18.75,18.99,18.53,18.70,112400,18.33
2014-11-04,18.50,18.72,18.43,18.57,145300,18.20
2014-11-03,18.58,18.70,18.44,18.50,98600,18.14
2014-10-31,18.48,18.63,18.13,18.61,141000,18.24
2014-10-30,18.00,18.27,17.82,18.27,70200,17.91
2014-10-29,17.97,18.15,17.80,18.00,72100,17.65
2014-10-28,17.73,18.01,17.62,18.00,168100,17.65
2014-10-27,17.56,17.73,17.56,17.72,74500,17.37
2014-10-24,17.81,17.81,17.64,17.68,46700,17.33
2014-10-23,17.76,17.81,17.66,17.75,90800,17.40
2014-10-22,17.66,17.81,17.61,17.68,77500,17.33
2014-10-21,17.68,17.73,17.56,17.68,72900,17.33
2014-10-20,17.32,17.71,17.32,17.67,71100,17.32
2014-10-17,17.83,17.83,17.33,17.38,89700,17.04
2014-10-16,17.42,17.70,17.42,17.64,87000,17.29
2014-10-15,17.49,17.71,17.45,17.59,115900,17.24
2014-10-14,17.84,18.02,17.54,17.64,135000,17.29
2014-10-13,17.30,17.76,17.30,17.67,90800,17.32
2014-10-10,17.30,17.50,17.10,17.33,101100,16.99
2014-10-09,17.50,17.55,17.29,17.40,97100,17.06
2014-10-08,17.17,17.64,17.17,17.51,152400,17.17
2014-10-07,17.38,17.43,17.16,17.17,59900,16.83
2014-10-06,17.38,17.57,17.38,17.40,57500,17.06
2014-10-03,17.47,17.65,17.27,17.37,97000,17.03
2014-10-02,17.11,17.28,17.03,17.26,64700,16.92
2014-10-01,17.00,17.22,17.00,17.07,109600,16.73
2014-09-30,17.33,17.33,17.00,17.00,118000,16.67
2014-09-29,17.18,17.37,17.13,17.36,71500,17.02
