Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,234.39,236.62,234.34,234.87,663700,234.87
2015-02-12,236.76,237.59,230.51,234.31,1278100,234.31
2015-02-11,237.73,238.97,235.56,237.60,889000,237.60
2015-02-10,239.66,240.00,236.66,238.88,446100,238.88
2015-02-09,239.17,241.86,237.38,238.63,508800,238.63
2015-02-06,239.54,242.77,239.54,240.30,504700,240.30
2015-02-05,239.65,241.40,237.97,240.02,833300,240.02
2015-02-04,242.22,242.45,236.20,239.16,1554100,238.08
2015-02-03,241.84,245.24,241.77,244.57,472300,243.47
2015-02-02,233.75,241.01,233.29,240.51,563700,239.42
2015-01-30,234.32,238.36,233.27,235.84,673100,234.77
2015-01-29,231.49,236.85,231.13,235.92,660400,234.85
2015-01-28,232.76,232.93,229.38,231.04,698800,230.00
2015-01-27,230.56,233.35,229.04,231.68,672800,230.63
2015-01-26,236.42,241.88,233.50,234.81,1161900,233.75
2015-01-23,243.50,247.69,243.50,245.99,791900,244.88
2015-01-22,245.22,246.12,243.18,245.16,404800,244.05
2015-01-21,241.16,246.97,240.91,244.19,470500,243.09
2015-01-20,242.00,243.77,239.81,242.61,365200,241.51
2015-01-16,237.92,241.59,235.04,241.29,654300,240.20
2015-01-15,241.90,244.80,237.76,237.92,489900,236.85
2015-01-14,241.92,243.00,240.00,241.90,753800,240.81
2015-01-13,246.84,247.98,241.33,243.44,399500,242.34
2015-01-12,249.04,249.95,244.10,245.15,366300,244.04
2015-01-09,250.70,250.78,246.88,248.23,334000,247.11
2015-01-08,247.38,251.23,247.38,251.14,453000,250.01
2015-01-07,246.00,247.07,243.11,245.67,339500,244.56
2015-01-06,249.53,249.94,242.84,245.45,427300,244.34
2015-01-05,253.70,254.34,248.18,248.98,394100,247.86
2015-01-02,256.02,256.97,253.33,255.22,314300,254.07
2014-12-31,258.24,259.00,254.51,254.89,445100,253.74
2014-12-30,258.37,259.41,256.80,257.49,319600,256.33
2014-12-29,256.79,259.67,256.79,258.86,294400,257.69
2014-12-26,258.00,259.14,256.74,257.09,133200,255.93
2014-12-24,257.85,258.40,256.48,256.98,158900,255.82
2014-12-23,259.21,259.89,257.26,257.80,609500,256.64
2014-12-22,257.92,259.03,256.13,258.22,377200,257.05
2014-12-19,253.17,261.57,252.82,257.81,881700,256.65
2014-12-18,246.24,252.30,246.24,252.23,568700,251.09
2014-12-17,244.26,245.22,242.00,244.02,712200,242.92
2014-12-16,243.92,249.23,242.42,244.23,323700,243.13
2014-12-15,246.41,248.14,242.85,244.17,431300,243.07
2014-12-12,246.43,249.96,244.41,245.97,673500,244.86
2014-12-11,242.05,247.14,241.28,246.16,466000,245.05
2014-12-10,248.69,248.71,241.08,242.65,517500,241.55
2014-12-09,248.36,249.65,247.27,249.46,267200,248.33
2014-12-08,251.70,253.46,249.74,250.12,538800,248.99
2014-12-05,251.79,254.49,251.51,252.83,561200,251.69
2014-12-04,248.39,251.10,246.81,250.57,444500,249.44
2014-12-03,244.62,248.57,243.97,248.57,798600,247.45
2014-12-02,241.01,244.26,239.70,244.17,591700,243.07
2014-12-01,244.91,245.31,242.12,242.46,555400,241.37
2014-11-28,247.84,248.84,245.33,245.68,290000,244.57
2014-11-26,249.04,249.31,246.71,247.16,329200,246.04
2014-11-25,250.35,250.60,248.34,249.24,299200,248.11
2014-11-24,249.00,251.04,247.58,250.85,362600,249.72
2014-11-21,246.71,248.95,246.71,248.21,516900,247.09
2014-11-20,243.37,246.43,243.37,244.87,311700,243.76
2014-11-19,243.50,244.84,241.98,244.34,323100,243.24
2014-11-18,244.90,246.25,242.97,243.33,328900,242.23
2014-11-17,245.84,245.96,243.92,244.44,284900,243.34
2014-11-14,244.14,247.01,243.65,246.27,234500,245.16
2014-11-13,246.52,246.73,243.95,244.37,405700,243.27
2014-11-12,245.45,248.21,245.12,246.77,803100,245.66
2014-11-11,249.18,249.23,245.34,246.31,492800,245.20
2014-11-10,251.39,252.27,247.33,248.77,584900,247.65
2014-11-07,254.84,254.84,252.23,254.81,313900,253.66
2014-11-06,252.85,255.08,251.13,254.77,379800,253.62
2014-11-05,251.38,253.20,249.74,253.16,376600,250.94
2014-11-04,247.23,249.90,247.01,249.43,361300,247.24
2014-11-03,246.80,248.39,245.95,247.60,409800,245.43
2014-10-31,247.25,248.02,245.77,246.80,455100,244.64
2014-10-30,241.25,244.63,240.60,243.86,285600,241.72
2014-10-29,242.67,243.94,240.94,242.19,443800,240.07
2014-10-28,239.81,243.13,239.06,242.63,386700,240.50
2014-10-27,237.64,238.78,235.45,238.42,304300,236.33
2014-10-24,235.77,238.31,234.25,237.78,286200,235.70
2014-10-23,234.51,236.67,233.28,235.38,611300,233.32
2014-10-22,235.02,235.07,231.43,231.54,758600,229.51
2014-10-21,231.32,235.23,231.32,234.50,1208200,232.45
2014-10-20,230.51,232.26,229.37,230.42,776000,228.40
2014-10-17,232.75,233.81,230.16,231.90,1407600,229.87
2014-10-16,228.60,237.49,223.92,229.72,1526700,227.71
2014-10-15,237.07,241.55,232.30,239.16,862400,237.06
2014-10-14,235.00,239.80,234.06,238.69,998300,236.60
2014-10-13,240.02,240.66,233.64,234.20,601300,232.15
2014-10-10,245.10,245.35,239.01,240.69,702400,238.58
2014-10-09,251.76,252.99,245.64,246.15,417500,243.99
2014-10-08,250.10,252.31,247.35,252.19,506000,249.98
2014-10-07,253.77,254.83,249.58,249.75,511200,247.56
2014-10-06,255.72,258.19,254.38,255.54,464600,253.30
2014-10-03,254.31,257.29,252.96,255.27,522700,253.03
2014-10-02,250.90,253.33,250.85,252.80,474800,250.58
2014-10-01,251.42,251.67,249.84,250.63,609100,248.43
2014-09-30,252.28,254.75,251.03,251.65,413600,249.44
2014-09-29,249.80,253.32,249.80,252.02,370100,249.81
2014-09-26,250.51,253.20,250.34,252.02,236400,249.81
2014-09-25,251.82,252.34,250.13,250.13,426500,247.94
2014-09-24,251.20,254.34,251.20,252.65,336800,250.44
2014-09-23,250.93,252.47,250.11,251.62,423500,249.42
2014-09-22,252.79,253.50,250.63,251.32,297200,249.12
2014-09-19,254.38,254.57,252.17,253.42,418300,251.20
